SA4_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
201,1745,730,3745,26068,33833,16499,13786,25890,12431,128519
202,1682,958,3961,25506,33640,16081,13216,23180,13157,124780
203,3403,1380,7326,50499,60554,28775,22150,45759,19379,227122
204,1975,1081,4590,27026,37091,18371,14869,27393,15040,139788
205,3155,1671,7251,41290,56667,29990,26060,44421,25167,223600
206,4394,1637,9372,161935,136593,39044,23149,110573,52998,524285
207,4967,1634,11110,78421,78687,35050,24009,66576,17608,300350
208,5781,2098,12538,87769,91909,37403,24013,66797,21959,329844
209,4248,1672,9057,92238,101162,44057,34646,97903,29504,399503
210,3289,1027,6650,60915,66502,29485,25963,82372,23356,288599
211,5200,1841,10639,100505,111720,50641,37120,83509,24551,408056
212,6779,2124,13311,135391,142668,62663,51460,169581,43348,605115
213,4431,1635,8698,126240,135957,56360,49497,156353,48081,572482
214,3523,1569,7772,52845,63482,29253,21745,49509,20449,237269
215,2142,1033,4819,22940,29778,15518,13231,26842,15052,123356
216,1669,828,3579,20372,25471,12590,10738,23986,12345,105507
217,1590,773,3529,19574,25721,13148,11052,20463,10717,100676
297,0,0,0,7,3,3,0,11,3,25
299,22,12,38,1281,954,324,278,1969,2020,6825
