SA4_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,..,1001,507,155,236,279,174,59,15,2422,..,307,705,669,1102,2056,2251,1789,1038,9925,270,457,251,146,166,206,206,115,61,1861,13324,8639,8345,9068,10209,9894,7812,4031,1654,72973,..,261,5687,9683,10879,11269,9221,3932,759,51690,..,1498,3698,2569,2318,1430,595,139,23,12254,..,300,1023,1723,1991,933,400,341,235,6944,26770,..,..,..,..,..,..,..,..,26770,..,6481,..,..,..,..,..,..,..,6481,..,4532,1813,746,569,288,42,3,0,7992,..,554,287,154,219,357,274,199,117,2170,..,467,279,120,117,79,35,8,3,1108,..,2006,1236,396,504,547,381,129,27,5221,..,631,1535,1583,2457,3747,3767,2580,1377,17682,546,863,599,383,395,412,379,177,81,3826,27311,17589,16149,17341,19443,19064,15089,7515,2628,142131
202,..,884,490,139,221,271,176,45,16,2244,..,247,617,574,1019,1928,2070,1645,919,9010,220,422,248,116,153,230,202,108,52,1757,12937,8431,8066,8743,9820,9694,7456,4043,1556,70756,..,316,5614,9418,10613,11101,8853,4152,863,50931,..,1558,3492,2423,2137,1393,601,140,24,11762,..,296,953,1652,1952,1043,398,322,218,6825,26081,..,..,..,..,..,..,..,..,26081,..,6501,..,..,..,..,..,..,..,6501,..,4208,1752,711,517,257,54,0,0,7503,..,637,313,117,215,339,325,223,137,2312,..,457,299,145,109,75,52,7,6,1149,..,1670,1125,370,475,551,362,122,30,4709,..,521,1377,1454,2307,3600,3491,2427,1273,16431,449,765,568,333,333,429,371,178,80,3492,26530,16920,15489,16617,18653,18785,14500,7569,2624,137687
203,..,1486,1016,221,317,344,220,87,20,3711,..,447,1190,1127,1661,3030,3508,2992,1847,15810,366,653,453,225,251,393,375,200,88,3001,23811,15152,16316,17179,17743,16649,13039,7299,2979,130176,..,473,11761,19969,20275,19877,16046,7472,1640,97511,..,2192,6813,4349,3306,2086,834,197,32,19812,..,385,1477,2921,3541,1791,708,552,394,11766,48271,..,..,..,..,..,..,..,..,48271,..,13114,..,..,..,..,..,..,..,13114,..,7742,3996,1433,910,460,76,3,0,14616,..,1171,674,258,363,557,490,364,206,4078,..,816,642,224,212,124,45,22,10,2095,..,3121,2518,633,694,656,454,167,35,8274,..,909,2505,2629,3854,5524,5432,4102,2484,27441,754,1254,1019,582,550,710,583,319,129,5907,49030,31175,31394,32993,33712,31776,24669,13195,4937,252885
204,..,371,333,104,262,284,180,72,16,1625,..,223,580,565,1103,2080,2255,1963,1089,9859,246,381,305,162,209,327,294,151,76,2165,13858,7768,8020,9254,11021,11468,8937,4732,1807,76872,..,318,5677,9978,12245,13697,11147,4944,1023,59025,..,1584,3579,2655,2452,1715,793,174,37,12987,..,274,998,1767,2022,893,433,321,228,6928,27880,..,..,..,..,..,..,..,..,27880,..,6479,..,..,..,..,..,..,..,6479,..,4438,1681,711,517,292,48,3,0,7695,..,520,245,111,206,382,356,250,142,2221,..,418,284,115,118,97,46,16,3,1098,..,879,779,275,539,592,366,140,32,3605,..,497,1401,1467,2670,4118,4063,2830,1511,18561,523,791,667,396,462,606,551,269,111,4376,28407,16198,15311,17480,21238,22385,17805,8953,3085,150862
205,..,603,487,188,369,481,299,96,36,2561,..,420,1009,849,1755,3500,3768,3355,1760,16413,428,618,436,223,351,544,534,250,100,3482,21897,12822,13408,13970,16961,18442,15090,7948,2871,123408,..,513,9680,14683,18300,21465,19198,8348,1667,93846,..,2622,5822,3945,3737,2760,1212,265,35,20393,..,510,1812,2855,3123,1519,679,518,367,11384,43900,..,..,..,..,..,..,..,..,43900,..,10419,..,..,..,..,..,..,..,10419,..,7452,2921,1215,865,457,76,3,0,12997,..,853,416,194,370,540,480,374,206,3435,..,633,417,181,191,126,58,27,15,1640,..,1234,1147,472,758,909,613,228,69,5420,..,936,2413,2445,4253,6841,6674,4975,2415,30946,828,1267,1000,599,751,1005,968,435,153,7006,44735,26434,25633,26582,32356,35614,29953,15166,4916,241385
206,..,16293,17883,2769,948,679,373,140,36,39120,..,4635,10295,8074,5717,6131,5444,4132,2098,46523,404,1411,2021,736,471,497,405,331,146,6416,30887,43892,73237,40327,30335,23529,15831,9558,3791,271384,..,1233,30359,35220,28447,21763,15778,8068,1995,142861,..,6851,35483,14824,8010,4423,1618,300,62,71561,..,174,1166,3201,4906,3176,1279,1179,709,15780,61521,..,..,..,..,..,..,..,..,61521,..,17922,..,..,..,..,..,..,..,17922,..,6215,6131,2166,1842,858,128,3,0,17343,..,5836,4557,1034,751,919,769,669,402,14936,..,2889,4422,631,262,164,72,25,6,8474,..,28830,36112,6095,2305,1477,835,305,91,76042,..,8457,19650,15382,11771,11127,8936,5902,2959,84194,854,2451,3945,1606,1066,872,671,482,224,12178,62380,80855,141820,80164,59361,44786,30071,16935,6451,522816
207,..,3014,2863,517,305,308,253,127,51,7446,..,830,1821,1522,1583,2576,3665,3889,2672,18559,269,553,517,245,213,273,255,232,153,2703,27752,24170,22911,22550,25177,20121,15614,10379,4698,173372,..,477,15434,29196,33495,26663,19947,11136,2802,139155,..,1726,6945,3294,2635,1587,700,195,55,17121,..,100,533,2250,4161,2617,1013,898,627,12201,56499,..,..,..,..,..,..,..,..,56499,..,25545,..,..,..,..,..,..,..,25545,..,7369,7833,1995,1568,714,110,6,0,19588,..,2530,1779,434,496,980,855,766,500,8342,..,2287,1783,353,252,161,59,27,14,4928,..,6507,6273,1211,717,611,481,229,84,16118,..,1932,3657,2985,3251,4192,5071,5052,3491,29637,511,1035,1038,514,461,455,400,351,213,4978,57014,49508,45274,42232,47029,37983,28638,18654,7785,334117
208,..,2475,2315,574,437,480,300,164,65,6817,..,721,2232,2313,2489,3872,4824,4246,3211,23904,351,500,580,314,300,333,284,242,156,3071,34593,22649,25371,28067,28950,22383,16506,10096,5341,193961,..,544,18032,35717,36708,27357,19236,9466,2778,149847,..,1862,9481,6044,4716,2701,1092,254,70,26221,..,107,699,2640,4697,2896,1129,841,751,13769,69848,..,..,..,..,..,..,..,..,69848,..,24422,..,..,..,..,..,..,..,24422,..,8610,7069,1913,1425,781,152,3,0,19960,..,1907,1531,377,485,827,783,708,486,7103,..,1365,1258,278,190,159,62,26,11,3353,..,4739,5150,1338,991,993,646,319,115,14292,..,1351,4401,4556,5140,6613,7152,5713,4208,39147,715,958,1207,704,595,585,486,371,242,5863,70569,45884,48828,53567,54950,42926,30741,17703,8654,373824
209,..,2029,1983,614,511,530,273,91,33,6066,..,570,1869,1908,2263,3429,3903,3518,1983,19450,502,807,802,464,384,379,416,306,143,4205,44555,28903,36227,34604,32059,26348,18333,10292,3844,235165,..,1333,30514,43720,39531,33340,23720,10907,2110,185178,..,2201,10901,7610,5189,2716,845,169,30,29658,..,369,1977,4364,6157,3686,1659,1304,723,20233,90682,..,..,..,..,..,..,..,..,90682,..,27543,..,..,..,..,..,..,..,27543,..,15581,12400,3684,2381,1002,146,4,0,35205,..,2935,2561,809,975,1489,1268,1039,604,11675,..,1915,2105,589,452,287,114,27,16,5503,..,4572,5249,1559,1207,1112,590,183,59,14526,..,1125,4076,4386,5060,6148,5997,4799,2670,34273,1008,1500,1719,1024,859,712,687,455,206,8171,91694,59074,71511,67751,61805,50487,35011,18888,6430,462647
210,..,540,847,320,312,322,171,66,18,2590,..,258,1020,1136,1434,2250,2629,2710,1447,12883,459,539,544,312,280,278,284,244,111,3058,34481,21828,26007,24341,23368,17848,12900,7861,2899,171542,..,1545,23655,31776,29503,22671,16264,8161,1684,135250,..,1507,6610,4343,3393,1648,518,131,24,18176,..,328,1699,3358,4733,2631,1268,1063,578,15659,70307,..,..,..,..,..,..,..,..,70307,..,21959,..,..,..,..,..,..,..,21959,..,13273,9953,2903,1875,794,113,3,0,28926,..,2146,1976,691,800,1192,1100,807,477,9192,..,1056,1297,422,322,217,74,27,10,3415,..,1803,2943,927,752,706,395,151,37,7710,..,620,2515,2787,3539,4155,4071,3628,2000,23314,904,1033,1235,762,664,541,490,384,167,6180,71217,45273,51889,47974,45582,34548,24295,14343,4976,340094
