SA4_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
201,563,1896,5262,5859,6125,4390,799,98,24,25019,1151,1134,1030,948,1134,1483,794,133,16,7821,57,84,147,171,217,285,102,22,4,1079,74,107,138,108,152,103,49,25,7,757,1846,3217,6578,7081,7620,6260,1742,279,51,34677,174,352,406,289,332,252,17,0,0,1814,267,202,114,77,84,95,34,3,0,871,441,551,521,364,414,345,50,3,0,2685,2284,3772,7096,7446,8039,6606,1793,281,51,37366,2396,871,912,1050,1543,3047,6071,3452,1081,20434,265,329,526,544,643,657,683,371,162,4174,4948,4971,8530,9046,10223,10317,8547,4100,1291,61973,192,1221,2698,2609,3582,2304,291,18,13,12929,1715,1738,2677,3708,3814,3021,724,55,19,17470,91,157,486,321,277,307,105,12,0,1748,60,87,78,95,105,91,30,12,0,569,2055,3196,5935,6742,7782,5720,1152,97,29,32713,98,209,232,153,190,118,3,0,0,1005,280,172,200,209,186,145,21,0,3,1212,372,377,435,360,379,259,20,0,3,2211
202,460,1983,5201,5558,5941,4335,750,112,25,24362,1218,999,983,964,1147,1607,797,150,13,7868,59,75,155,183,232,311,108,16,3,1153,64,86,115,110,123,101,33,19,5,669,1804,3151,6451,6809,7443,6357,1691,294,44,34049,143,296,328,269,241,261,10,3,0,1546,266,132,77,71,60,98,35,4,0,746,405,430,407,339,302,355,46,6,0,2293,2215,3576,6856,7150,7747,6716,1737,305,42,36341,2252,739,958,1052,1385,2740,5700,3370,1179,19377,283,282,548,534,700,739,698,443,234,4458,4748,4598,8364,8736,9833,10195,8128,4118,1457,60173,225,1192,2729,2586,3525,2338,291,34,6,12921,1637,1672,2576,3545,3794,3104,771,79,24,17199,91,148,454,328,279,315,102,5,0,1729,57,62,89,93,89,94,43,11,3,548,2016,3079,5839,6553,7692,5855,1204,122,42,32395,88,141,162,156,158,101,6,0,0,809,291,186,177,187,167,125,16,0,0,1154,379,328,341,341,326,231,18,3,0,1969
203,772,3347,10628,11890,11389,7576,1189,108,10,46911,2245,2361,1960,1631,1803,2508,1418,223,27,14171,139,152,315,347,391,453,150,19,3,1969,87,168,295,235,237,170,50,19,6,1265,3247,6026,13194,14099,13824,10703,2805,375,48,64319,214,492,617,479,531,442,10,0,3,2790,520,320,171,111,103,180,51,6,0,1469,732,810,783,588,635,624,62,7,3,4252,3976,6842,13980,14693,14460,11322,2865,387,53,68573,4376,1635,1748,1693,2042,4484,9770,5974,2309,34029,402,503,919,912,985,978,946,601,306,6547,8752,8977,16643,17300,17491,16783,13587,6955,2667,109156,278,2192,6217,5024,6277,3706,415,26,9,24134,3150,3257,4905,7295,7042,5487,1305,95,14,32555,182,226,920,606,451,493,148,10,4,3033,136,146,160,168,159,136,52,15,6,976,3740,5819,12197,13093,13930,9822,1911,150,38,60706,165,260,332,266,306,169,5,5,3,1510,564,321,341,371,285,235,34,3,0,2155,733,581,669,641,590,399,39,13,0,3661
204,862,2464,5440,5991,7166,5610,1316,211,57,29114,1248,692,877,954,1236,1772,1051,218,40,8092,71,83,189,222,267,423,182,35,10,1476,68,107,153,157,178,143,74,35,7,921,2247,3348,6654,7328,8842,7945,2626,492,114,39607,134,241,268,255,267,275,17,0,0,1462,209,70,54,53,67,125,34,3,0,613,345,307,328,304,331,400,52,3,0,2075,2594,3655,6987,7639,9176,8350,2674,497,114,41676,2464,587,719,901,1338,3113,6945,3968,1374,21406,329,336,611,679,811,960,813,516,265,5320,5382,4583,8309,9220,11323,12425,10432,4982,1754,68406,309,1196,2742,2964,4249,2993,480,66,16,15012,1784,1214,2633,3701,4129,3737,1037,117,20,18379,95,126,446,305,314,435,108,19,3,1852,79,71,108,112,132,109,54,18,8,699,2269,2611,5930,7079,8817,7269,1679,223,50,35941,96,154,184,160,177,132,5,0,0,913,220,108,151,188,164,169,22,0,0,1027,316,266,332,349,344,301,25,0,0,1936
205,978,3245,8400,8745,10063,7950,1753,257,47,41439,1903,1114,1506,1430,1886,2684,1569,316,52,12472,104,116,322,321,491,701,238,41,9,2335,114,140,232,227,242,206,118,38,16,1334,3102,4612,10455,10727,12684,11539,3682,655,122,57579,302,598,682,571,629,676,38,3,3,3498,351,154,129,103,119,222,55,0,0,1140,650,753,816,675,746,905,88,5,3,4638,3755,5361,11269,11400,13432,12440,3774,659,129,62216,3795,1002,1545,1798,2550,5565,12363,7046,2246,37898,486,542,1000,974,1372,1478,1484,929,389,8652,8033,6900,13812,14169,17348,19485,17619,8637,2763,108772,364,1849,4041,3909,5376,3839,621,74,18,20090,2567,2056,4406,5690,6624,5805,1463,185,17,28799,131,188,773,442,548,661,190,29,3,2961,121,113,128,150,201,208,80,39,15,1057,3184,4199,9351,10184,12751,10506,2356,332,51,52908,177,271,289,317,353,250,10,3,0,1667,402,223,351,335,276,307,36,4,4,1927,573,494,637,652,626,554,44,5,7,3591
206,353,6456,47344,30387,20598,11259,2701,289,69,119443,2367,7560,10968,4634,3512,3519,2310,431,69,35368,110,378,1093,717,540,392,180,32,6,3451,109,352,947,489,320,208,93,27,10,2561,2935,14741,60358,36231,24970,15367,5289,777,151,160826,138,844,2156,1317,1049,666,73,12,0,6257,1024,1906,1143,330,254,300,122,7,0,5093,1163,2756,3301,1646,1308,964,193,14,3,11350,4106,17494,63657,37877,26277,16332,5487,793,156,172179,7761,9774,6619,3161,3668,5857,9506,7054,3012,56412,956,2652,7434,4099,2862,2230,1580,925,416,23151,12815,29922,77711,45141,32810,24417,16573,8773,3585,251741,332,7300,42792,19575,13987,7600,1222,68,28,92903,3452,10192,15451,11314,8984,6400,2260,232,40,58323,141,512,2270,1665,590,514,164,19,10,5896,158,380,765,339,296,182,75,22,8,2217,4084,18387,61279,32900,23856,14697,3716,340,79,159332,125,748,1796,846,658,334,22,10,0,4535,1350,2269,1436,707,552,350,90,15,0,6759,1481,3022,3231,1554,1202,681,107,21,0,11299
207,290,3171,14425,15379,16605,10190,2184,229,20,62491,2663,4924,3669,1959,2339,2844,2274,473,66,21198,117,209,334,256,286,323,142,35,5,1704,64,188,350,260,259,162,75,18,6,1384,3131,8484,18777,17856,19492,13515,4679,754,98,86787,79,397,858,566,697,529,61,8,0,3199,933,960,427,144,147,212,81,11,0,2915,1011,1354,1287,713,844,742,144,16,0,6110,4143,9843,20061,18570,20337,14260,4827,770,101,92899,7697,4334,2709,1531,2009,4100,8837,8085,3557,42862,397,582,1164,888,1030,824,673,661,356,6580,12230,14761,23938,20987,23376,19181,14340,9515,4013,142342,142,2764,11090,7987,9526,5668,890,50,5,38111,3591,5301,5277,7797,9020,6017,2232,261,27,39513,113,253,912,703,402,405,163,16,9,2970,87,153,274,204,251,136,71,29,13,1220,3939,8464,17544,16685,19191,12232,3356,355,49,81820,60,284,616,371,366,171,12,3,0,1883,866,781,547,504,480,280,44,6,3,3513,927,1067,1160,876,843,456,50,6,3,5395
208,448,3350,16600,20886,20399,12058,2536,227,22,76525,2863,4305,3223,2186,2571,3236,2536,480,74,21473,113,170,381,392,365,404,175,33,7,2040,70,186,411,342,326,209,87,31,16,1668,3486,8015,20615,23806,23654,15906,5334,769,125,101708,121,441,773,621,763,535,66,5,3,3325,807,721,317,112,148,226,110,11,0,2448,926,1162,1089,732,907,758,178,20,4,5780,4419,9177,21700,24540,24566,16664,5514,788,123,107488,6980,2944,2033,1457,2038,4504,9399,7378,3885,40624,394,621,1427,1379,1365,1096,894,692,467,8342,11790,12743,25156,27381,27968,22264,15806,8859,4481,156447,189,2816,12697,10367,11799,6658,964,50,11,45552,3743,4896,6043,10420,10753,7197,2565,219,27,45852,159,214,1159,1027,506,490,169,21,5,3735,85,158,277,247,275,177,82,20,21,1333,4167,8088,20176,22059,23328,14512,3771,308,65,96470,79,256,627,411,403,232,19,3,4,2028,798,589,488,581,494,282,67,13,0,3311,883,847,1112,990,897,511,81,10,7,5341
209,1115,5489,23311,24554,21164,13219,2107,133,22,91122,3441,4812,5210,3580,3283,3373,1780,265,21,25767,143,248,547,520,507,529,154,17,3,2672,157,330,723,528,456,315,114,19,12,2659,4857,10884,29793,29182,25410,17444,4161,438,58,122228,351,839,1438,1054,872,653,47,0,3,5271,1086,843,525,253,197,247,82,9,0,3240,1439,1685,1970,1308,1068,898,128,8,3,8515,6297,12567,31760,30489,26477,18340,4294,443,65,130741,8101,3654,3846,3013,3634,6269,12915,8498,2966,52882,611,894,2159,1804,1566,1307,1087,776,398,10602,15007,17111,37769,35302,31682,25916,18297,9718,3427,194224,352,4094,14583,11168,11754,6642,763,40,11,49400,4741,6118,9162,12629,11133,7609,1698,133,18,53242,186,338,1800,1153,627,582,143,17,0,4853,136,229,466,372,364,218,59,29,3,1887,5424,10783,26004,25324,23883,15046,2657,220,40,109382,191,509,1013,644,601,255,20,3,3,3241,1196,781,784,785,563,336,29,3,3,4473,1388,1292,1797,1422,1160,591,51,7,3,7710
210,842,4382,16493,16347,14836,8567,1384,78,16,62946,2357,3407,3791,2667,2399,2086,1074,148,15,17950,92,188,443,383,352,389,105,11,0,1965,109,317,647,478,410,255,58,26,7,2306,3404,8292,21381,19870,17989,11296,2632,267,46,85178,323,779,1243,932,743,484,34,4,0,4539,859,518,321,190,190,177,50,9,0,2316,1179,1300,1566,1115,934,658,82,7,0,6855,4586,9591,22947,20990,18924,11960,2713,276,46,92027,6761,2442,3025,2755,3398,4964,8989,6374,2261,40967,545,718,1667,1431,1287,1069,896,617,285,8503,11887,12753,27632,25176,23610,17990,12600,7262,2587,141503,262,2911,9808,7550,8244,4245,484,27,0,33536,3144,3912,5808,7707,7073,4459,1005,71,10,33189,117,213,1096,694,399,383,85,4,3,3001,112,235,374,280,267,158,53,21,9,1505,3634,7268,17091,16227,15986,9244,1627,130,24,71229,209,461,760,508,436,204,3,0,0,2584,847,501,542,582,434,286,35,0,0,3225,1062,961,1306,1084,866,491,34,6,0,5808
