SA4_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
201,532,96,5,3,637,13,8,19,656,55,0,709,2428,294,31,13,2765,28,9,39,2804,70,0,2877,509,68,60,5,639,3,0,3,641,12,0,651,24,7,0,17,53,0,0,0,53,5,0,59,3497,459,97,49,4097,38,20,60,4156,138,0,4291,21,5,0,0,27,10,0,10,39,3,0,40,76,12,0,0,90,0,3,3,90,3,0,99,98,16,0,3,116,10,3,10,125,6,0,136,3593,469,96,47,4213,50,22,66,4279,145,0,4430,1703,235,50,39,2023,94,12,110,2137,212,3,2350,10,3,0,4,13,0,0,0,14,0,14,28,5305,710,148,89,6253,148,33,179,6430,358,18,6812,999,176,14,9,1193,18,12,30,1229,86,0,1316,2919,322,40,20,3297,30,7,37,3333,105,0,3434,105,20,29,10,160,3,0,3,161,5,0,175,22,3,0,19,48,3,0,3,47,8,0,54,4031,517,85,56,4697,57,19,74
202,579,108,13,4,712,20,5,21,734,45,0,784,2304,317,39,24,2675,24,8,30,2707,58,4,2770,516,72,59,12,652,4,0,6,662,6,0,669,36,3,0,13,49,0,0,0,49,4,0,53,3437,495,109,57,4096,54,9,60,4160,113,0,4271,18,0,0,5,22,0,0,0,23,4,0,27,98,11,0,0,110,3,6,10,121,4,0,126,113,16,0,5,130,5,6,14,138,11,0,157,3549,511,108,56,4225,59,18,76,4298,126,0,4423,1700,267,43,28,2036,70,19,86,2126,212,8,2340,8,0,3,3,17,0,0,0,17,0,4,19,5258,776,156,83,6276,122,35,161,6435,336,14,6788,1025,165,13,6,1211,15,11,29,1238,84,0,1324,2709,348,58,36,3157,25,3,22,3182,88,3,3265,108,24,18,3,150,0,0,0,153,3,0,151,23,0,0,19,41,0,0,0,41,0,0,45,3861,536,87,66,4554,46,12,58
203,1162,184,21,7,1380,33,11,44,1421,110,3,1531,4729,464,70,38,5295,61,11,77,5370,98,0,5470,1111,101,89,14,1308,7,0,7,1320,22,0,1344,48,5,3,49,99,0,0,0,99,4,5,114,7052,743,183,102,8082,102,19,123,8208,235,5,8453,46,5,0,4,58,3,0,3,64,12,0,74,196,24,3,0,218,7,5,10,228,4,0,232,245,32,5,4,278,9,5,14,298,11,0,307,7295,773,189,109,8364,115,28,141,8510,249,5,8761,3378,472,104,76,4036,117,31,148,4186,365,11,4561,28,0,3,14,45,0,0,0,45,0,25,74,10701,1252,295,199,12446,233,51,291,12738,617,46,13396,1857,301,38,9,2212,52,14,66,2277,148,3,2427,5518,580,55,39,6193,64,13,76,6275,116,9,6395,206,21,66,0,296,0,0,0,302,10,0,308,46,5,0,24,83,0,3,3,80,4,0,89,7630,914,155,81,8779,114,30,146
204,672,109,4,5,795,9,3,8,805,70,0,875,2290,281,62,23,2653,24,3,22,2674,51,4,2732,524,46,46,8,623,8,0,4,628,6,0,636,48,3,0,30,81,0,0,0,81,0,3,86,3535,432,112,67,4152,33,6,38,4188,125,11,4322,26,5,3,0,40,5,0,5,42,7,0,54,78,4,0,3,87,8,0,8,97,0,0,101,110,11,3,3,122,18,0,18,138,7,0,154,3642,444,114,72,4273,50,6,56,4328,133,11,4475,1760,238,70,55,2119,63,8,73,2193,201,5,2396,13,0,0,4,18,0,0,0,15,3,17,36,5411,679,187,134,6410,118,18,134,6543,335,29,6911,1257,199,20,10,1490,15,12,30,1516,93,3,1616,2795,393,45,30,3270,28,4,34,3304,106,7,3414,106,13,34,5,159,0,0,0,160,6,0,160,41,8,0,35,85,0,0,0,85,0,0,84,4197,613,107,90,5001,52,13,66
205,779,146,20,9,952,14,10,28,983,82,0,1070,3584,416,77,32,4103,63,11,78,4179,104,11,4288,745,98,79,9,932,8,0,8,945,19,0,966,52,3,0,25,81,0,0,0,87,4,3,91,5162,666,178,74,6075,95,24,117,6189,212,15,6415,26,9,0,0,39,10,3,15,47,7,0,60,124,11,0,0,139,21,0,27,165,8,0,181,147,24,6,0,179,36,6,39,216,19,0,233,5306,690,183,72,6253,123,26,156,6402,232,16,6653,2890,438,79,108,3520,167,26,196,3717,401,3,4117,10,3,0,7,23,0,0,0,23,9,24,54,8211,1134,266,182,9793,296,55,354,10141,643,41,10820,1633,246,25,13,1923,20,13,38,1957,146,0,2105,4269,516,82,36,4907,65,17,84,4994,207,5,5207,202,30,46,3,281,7,3,6,289,17,0,311,41,10,0,51,109,0,0,0,109,10,7,124,6149,808,155,108,7224,92,34,125
206,3048,418,44,17,3525,83,20,106,3631,211,3,3847,6249,854,79,44,7222,86,17,105,7330,160,3,7490,1944,207,172,25,2348,23,8,25,2372,41,3,2418,71,9,4,63,144,3,0,3,144,7,8,156,11318,1481,302,143,13241,198,39,240,13479,422,18,13919,169,26,0,3,193,31,3,32,227,7,0,237,263,42,0,3,307,32,10,43,348,23,0,369,431,67,3,6,504,66,15,77,580,28,0,609,11752,1548,302,146,13747,261,53,314,14061,444,18,14524,4855,705,94,88,5736,203,62,262,5999,666,3,6670,23,7,0,32,57,3,0,3,60,12,44,116,16626,2257,392,269,19549,461,114,575,20124,1126,62,21311,3454,481,39,17,3991,90,23,113,4104,218,3,4335,6017,733,49,39,6838,64,25,97,6930,152,8,7087,198,25,56,0,277,5,0,5,281,10,0,293,47,4,3,56,108,0,0,0,111,11,0,118,9713,1242,142,108,11215,162,48,212
207,2193,255,16,11,2478,60,13,71,2554,161,0,2709,4487,501,44,35,5067,56,12,69,5133,92,0,5222,1129,116,95,3,1340,8,0,11,1350,20,0,1373,40,3,0,47,96,0,0,0,96,7,8,106,7846,874,159,99,8976,132,23,151,9133,281,7,9420,109,16,0,0,127,18,5,28,154,3,0,159,215,18,0,0,236,17,4,22,263,6,0,267,328,40,0,3,369,40,8,44,416,12,0,427,8173,911,158,100,9349,166,27,199,9543,288,7,9842,3862,458,93,56,4467,142,26,165,4639,429,3,5071,23,10,3,12,45,0,0,0,50,0,17,68,12058,1380,257,170,13862,310,55,367,14230,719,26,14978,3386,408,18,16,3828,112,22,138,3967,241,3,4203,6351,553,48,48,7006,75,21,95,7100,158,5,7261,172,22,45,0,246,0,0,0,243,6,0,255,50,10,0,52,106,0,0,0,110,9,7,125,9956,992,112,113,11182,192,47,239
208,2785,319,35,19,3161,76,18,97,3255,154,0,3412,7053,566,60,58,7741,66,14,79,7821,130,19,7964,1622,122,151,17,1905,27,0,25,1935,32,0,1969,85,7,3,58,159,7,0,7,164,11,6,171,11544,1022,243,151,12965,179,35,215,13173,319,19,13515,117,20,3,0,137,13,0,13,149,13,0,160,313,30,3,0,339,17,3,23,363,8,0,371,426,45,3,0,479,31,3,36,518,15,0,530,11972,1072,252,150,13445,215,38,247,13691,334,19,14052,4851,426,103,99,5476,102,16,120,5597,277,11,5881,23,3,0,22,51,0,0,0,51,0,29,81,16838,1503,353,276,18967,311,56,367,19334,612,62,20013,4347,549,42,25,4966,88,31,120,5087,252,7,5343,8892,653,52,63,9659,108,5,117,9778,131,19,9922,251,32,47,3,332,3,0,3,337,8,0,343,90,13,0,56,156,9,0,9,164,12,3,177,13585,1245,140,151,15114,208,39,246
209,3231,503,44,31,3813,102,32,133,3946,212,12,4167,8374,960,87,77,9502,91,16,112,9612,192,16,9814,2061,270,195,12,2539,39,3,37,2576,27,4,2606,118,20,4,101,241,3,4,7,245,14,5,266,13790,1749,332,223,16090,230,56,288,16385,442,30,16859,198,30,3,12,239,48,5,54,295,17,0,311,417,65,3,0,485,38,17,56,540,19,0,561,612,92,9,14,726,86,23,108,835,36,0,869,14407,1844,340,234,16818,317,81,399,17215,476,30,17731,7242,1199,163,218,8818,374,77,457,9269,1397,29,10693,39,7,0,27,74,3,0,3,80,13,76,159,21681,3045,501,474,25708,700,155,860,26567,1883,138,28580,4157,584,46,39,4826,116,27,146,4969,284,5,5259,9243,1015,88,90,10432,106,30,137,10573,232,18,10821,390,65,64,9,525,9,0,9,530,11,0,541,90,19,0,90,201,0,0,0,206,14,8,230,13885,1680,192,222,15986,232,56,294
210,2287,357,34,22,2707,61,16,78,2780,164,7,2953,5019,596,58,53,5731,92,24,109,5839,141,11,5992,1314,105,119,14,1553,25,0,25,1574,33,0,1606,76,12,0,67,160,4,0,4,168,10,3,180,8699,1073,214,162,10148,179,41,221,10363,351,14,10726,170,44,3,4,214,31,0,31,251,17,0,270,288,44,0,3,337,35,5,41,373,12,3,390,455,88,3,5,554,68,5,69,626,26,3,652,9156,1161,212,170,10696,246,44,290,10987,378,17,11385,6014,1419,160,241,7828,380,70,450,8276,1727,49,10055,32,18,0,33,85,6,0,6,90,13,72,174,15200,2601,373,440,18616,634,116,742,19357,2120,137,21615,2992,426,33,22,3473,96,37,134,3604,222,5,3825,5514,635,62,60,6274,117,32,147,6417,223,16,6655,208,48,33,4,296,3,0,3,300,14,0,307,62,21,0,81,168,4,0,3,168,16,5,194,8782,1119,132,170,10203,222,70,286
