SA4_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
201,318,0,3,5,328,41,3,366,4176,614,55,33,4881,80,40,114,4998,333,13,5343,9331,1116,147,66,10657,113,38,145,10803,387,3,11193,714,100,114,18,943,10,0,14,955,29,0,988,83,16,0,95,197,3,0,3,203,19,3,222,14305,1845,318,218,16685,202,79,276,16962,768,20,17752,119,23,0,4,144,32,3,41,181,23,0,204,291,40,3,11,349,3,12,16,357,45,0,402,408,61,3,17,488,40,13,50,545,63,0,607,14710,1910,318,233,17173,243,88,333,17501,833,20,18361,4220,630,126,107,5080,217,38,252,5337,905,14,6257,17,3,4,8,36,0,3,3,39,3,36,78,18950,2543,448,345,22290,462,126,591,22879,1739,71,24687
202,267,7,3,9,277,21,0,299,4148,628,74,41,4889,83,34,109,4999,292,12,5302,8869,1246,176,98,10396,91,20,113,10503,341,11,10852,738,139,108,16,1002,13,0,13,1011,14,0,1025,109,9,0,90,206,3,0,3,208,12,3,222,13873,2021,359,241,16489,183,57,237,16721,655,23,17400,121,27,0,6,151,23,0,23,171,18,0,193,322,36,3,7,363,23,19,34,401,32,0,433,443,57,3,6,516,42,19,57,572,51,0,622,14314,2078,357,245,17001,222,67,294,17297,706,23,18022,4137,674,120,100,5025,182,59,237,5263,796,15,6073,37,6,3,3,49,0,0,0,51,3,37,85,18488,2758,482,354,22077,404,131,532,22606,1505,72,24186
203,906,13,8,17,924,113,3,1043,7817,1095,137,58,9105,183,48,228,9332,560,22,9921,18505,1992,233,151,20890,225,42,265,21149,552,17,21725,1550,146,231,20,1948,18,0,18,1967,60,0,2027,179,29,5,170,384,0,3,4,385,15,3,405,28056,3261,610,402,32330,427,85,515,32840,1192,49,34075,259,47,3,5,318,49,0,49,365,22,0,387,689,58,15,4,773,54,18,72,843,24,8,874,946,112,15,14,1091,100,18,119,1208,54,8,1266,29004,3373,622,418,33414,524,106,632,34046,1243,54,35338,8260,1183,245,219,9911,289,79,365,10276,1316,20,11605,82,4,4,28,120,0,0,0,120,5,72,199,37346,4559,875,662,43441,810,187,997,44436,2568,143,47142
204,174,3,3,6,176,24,0,204,5093,637,81,51,5868,46,15,58,5928,335,16,6274,9117,1210,196,104,10624,88,16,104,10728,348,24,11097,752,76,124,11,964,8,0,10,972,19,0,997,155,19,0,130,301,0,0,0,304,5,0,313,15115,1943,403,298,17754,136,37,175,17927,710,42,18680,146,18,10,0,171,32,0,32,203,35,0,236,305,32,4,10,352,23,3,25,372,21,3,396,447,50,10,8,517,56,5,62,577,55,3,636,15562,1991,413,310,18273,191,37,232,18504,762,43,19313,4225,565,148,157,5094,175,27,205,5306,782,18,6099,46,3,0,20,68,4,0,4,72,5,65,143,19831,2556,563,484,23438,373,66,439,23879,1553,127,25556
205,342,9,3,8,353,45,3,398,6429,818,119,50,7422,124,57,181,7608,481,15,8102,14359,1784,305,161,16604,256,43,301,16907,728,26,17652,1167,179,196,17,1560,26,3,32,1586,71,0,1656,167,31,4,198,395,9,0,9,407,26,7,437,22118,2809,628,424,25982,416,104,517,26498,1306,43,27849,194,68,9,0,266,60,4,65,337,44,0,379,456,84,9,9,557,70,20,93,656,40,4,696,653,154,21,10,824,136,31,164,990,79,7,1074,22771,2961,647,436,26812,550,130,678,27489,1388,49,28928,6988,1101,220,255,8570,387,87,475,9046,1439,18,10497,55,13,0,21,90,3,0,3,95,13,95,199,29814,4078,863,715,35467,945,221,1163,36633,2835,159,39622
206,1870,41,14,58,1931,284,9,2227,13590,1819,146,69,15622,351,85,440,16064,973,26,17063,20577,2699,209,138,23620,297,83,376,23999,724,23,24745,2309,252,273,34,2868,36,7,38,2909,66,3,2979,205,25,8,219,461,7,4,12,465,42,15,519,36674,4793,638,460,42572,696,177,868,43441,1795,70,45308,436,74,0,17,525,124,12,136,659,35,0,702,800,134,9,16,953,91,39,126,1078,94,0,1175,1234,209,10,26,1480,214,53,264,1742,130,6,1876,37916,5007,649,487,44047,905,224,1136,45182,1928,71,47180,10536,1673,170,260,12638,438,146,588,13224,2063,26,15315,60,9,0,75,140,7,0,7,146,30,119,299,48511,6688,815,819,56831,1347,373,1724,58552,4021,219,62794
207,3247,105,19,128,3377,406,7,3790,14749,1729,123,77,16680,486,93,580,17257,1081,11,18349,23589,2613,191,179,26576,383,88,473,27040,811,15,27869,1558,194,201,8,1962,19,3,21,1984,55,0,2041,252,31,3,226,515,7,0,12,524,39,19,585,40142,4574,521,484,45732,895,191,1084,46812,1986,54,48849,455,68,8,5,534,118,10,130,665,37,3,704,1043,100,8,12,1167,113,37,146,1314,61,0,1375,1499,167,17,14,1702,231,46,273,1973,99,3,2077,41649,4745,534,506,47432,1127,236,1360,48787,2086,53,50927,12386,1513,221,165,14286,451,107,555,14837,1754,22,16612,75,18,4,49,149,0,0,0,147,10,68,227,54114,6273,756,725,61862,1572,336,1912,63772,3850,143,67765
208,2877,64,21,85,2963,305,9,3273,17532,1935,163,86,19722,439,100,538,20258,926,18,21206,30412,2640,220,265,33543,414,50,464,34002,755,55,34810,2118,215,285,27,2641,40,3,42,2683,71,0,2751,348,39,8,254,655,24,0,24,678,29,18,721,50407,4839,673,641,56558,917,154,1068,57621,1779,90,59489,518,41,3,4,569,96,3,104,669,30,0,704,1306,93,6,10,1413,70,24,93,1507,35,0,1543,1827,131,12,9,1983,170,25,190,2177,65,0,2242,52233,4969,688,650,58539,1086,180,1257,59797,1849,88,61734,13515,1253,213,270,15253,300,55,355,15601,1188,30,16814,62,14,0,71,150,0,3,7,156,6,76,237,65806,6240,903,994,73938,1385,235,1614,75560,3040,197,78792
209,2743,68,18,92,2831,437,9,3272,17457,2309,231,156,20143,455,119,578,20723,1232,21,21976,32055,3749,317,297,36415,435,104,538,36953,1067,42,38060,2826,385,351,30,3589,47,3,54,3646,60,6,3710,408,54,9,410,876,11,8,17,897,68,19,980,52747,6498,901,888,61036,950,236,1182,62219,2424,93,64726,724,116,16,17,872,191,21,214,1079,73,0,1152,1436,216,11,26,1699,141,71,218,1913,117,0,2033,2158,331,32,44,2566,334,97,426,2993,190,0,3182,54905,6828,931,933,63598,1281,328,1614,65212,2610,93,67912,18041,3034,376,585,22033,883,224,1105,23139,4716,88,27938,127,18,0,80,230,10,0,10,239,25,231,497,73079,9879,1308,1595,85865,2177,552,2727,88591,7352,413,96350
210,1933,75,27,100,2034,532,14,2584,12384,1557,159,117,14216,391,95,488,14708,996,15,15717,19404,2487,262,226,22380,388,92,479,22857,943,40,23840,1746,195,198,26,2166,42,0,43,2213,66,0,2277,271,61,3,325,657,22,3,23,676,84,27,790,33809,4302,622,693,39419,844,196,1038,40457,2095,74,42626,581,177,15,15,787,156,0,155,938,104,4,1053,1027,243,9,42,1316,153,59,216,1528,124,12,1661,1605,413,19,57,2102,310,64,370,2470,229,17,2712,35410,4713,643,751,41518,1146,259,1409,42927,2319,96,45337,15410,3912,383,686,20392,1033,311,1340,21735,7004,151,28889,127,43,0,94,259,7,3,8,272,35,277,585,50945,8672,1026,1526,62165,2186,573,2759,64929,9359,525,74817
