SA4_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
201,1846,3217,6578,7081,7620,6260,1742,279,51,34677,18,51,70,112,139,141,140,24,3,706,3,3,12,24,22,5,0,0,0,66,125,112,219,321,374,244,37,3,0,1436,0,0,28,43,35,22,3,0,0,132,10,37,114,162,174,114,7,0,0,621,22,27,49,75,90,63,16,3,0,343,630,681,702,650,792,564,103,6,5,4132,829,563,429,406,391,264,64,6,5,2948,4,34,80,115,169,137,36,3,4,575,25,46,124,115,98,46,12,0,0,460,0,63,131,148,168,82,13,3,0,615,6,57,75,74,86,51,15,0,0,374,19,157,378,393,370,225,66,4,0,1612,17,60,161,194,260,207,39,4,0,936,15,74,393,540,589,381,70,10,0,2079,64,275,842,1094,1299,936,156,3,0,4666,86,633,1659,1755,2149,1826,265,9,7,8376,65,107,124,125,121,85,32,0,3,647,47,128,219,215,227,173,19,3,0,1033
202,1804,3151,6451,6809,7443,6357,1691,294,44,34049,25,31,88,143,164,200,139,39,6,824,0,12,27,27,29,17,3,0,0,121,149,219,327,295,384,267,58,0,0,1701,0,3,41,67,47,34,3,0,0,202,12,42,119,162,158,96,21,3,0,610,16,41,61,60,80,69,13,0,0,330,668,671,652,597,806,553,115,12,3,4074,740,517,390,300,346,216,41,8,3,2552,8,21,62,87,166,102,20,8,0,470,14,30,71,88,68,54,15,0,0,348,7,86,308,364,309,155,14,0,0,1248,8,26,87,75,79,64,26,0,0,363,33,97,297,413,344,238,67,4,0,1493,13,69,171,210,261,219,45,9,4,1008,11,72,338,514,558,401,67,3,0,1962,51,236,740,1015,1180,865,129,3,5,4227,105,614,1600,1655,2175,1922,281,13,5,8371,50,75,81,103,109,75,20,0,0,518,47,148,243,204,237,145,47,4,0,1072
203,3247,6026,13194,14099,13824,10703,2805,375,48,64319,23,33,76,129,155,134,101,21,3,676,0,4,10,14,7,5,0,0,0,47,196,199,359,437,493,349,52,3,0,2088,4,51,123,119,83,32,0,0,0,415,24,61,240,353,326,183,41,9,0,1239,34,89,173,224,196,133,24,0,0,876,1117,1360,1671,1411,1556,1061,167,9,3,8355,1569,1109,805,643,623,414,97,3,3,5275,22,80,165,194,269,177,34,4,0,939,42,66,134,152,120,65,22,4,0,606,11,107,563,548,464,196,30,3,3,1924,15,103,226,207,171,132,33,5,3,898,34,201,704,891,741,451,118,11,3,3153,24,111,335,484,571,367,107,8,0,2008,21,151,767,1023,1077,701,120,7,3,3870,104,425,1740,2031,2219,1672,246,8,0,8451,154,1062,3135,3239,3858,3050,500,15,0,15012,112,128,174,192,199,126,47,0,0,983,89,277,513,447,429,282,70,7,0,2111
204,2247,3348,6654,7328,8842,7945,2626,492,114,39607,38,72,159,214,300,462,346,106,15,1714,0,0,10,9,10,8,0,0,0,29,142,117,287,354,471,367,53,0,0,1788,0,3,19,26,25,22,5,0,0,94,18,39,138,193,218,136,21,3,0,764,20,25,69,87,139,81,17,0,0,442,640,447,673,714,1005,716,149,12,3,4363,868,482,560,523,618,456,122,9,0,3644,13,48,125,166,208,168,44,4,0,773,19,28,49,52,45,38,9,0,0,248,11,46,156,165,188,107,17,0,0,695,22,37,91,111,103,76,17,3,0,450,34,78,253,363,388,254,69,5,4,1448,30,59,193,260,345,287,62,3,0,1242,34,151,427,628,790,557,87,3,5,2680,70,203,794,1033,1150,1008,158,12,3,4427,126,486,1426,1680,2234,2126,339,15,4,8433,53,58,113,101,99,56,23,3,0,501,64,142,251,198,236,144,49,5,3,1098
205,3102,4612,10455,10727,12684,11539,3682,655,122,57579,49,150,442,510,629,701,483,164,14,3150,0,3,27,29,34,18,4,0,0,116,142,128,327,343,407,334,62,4,0,1753,11,24,100,122,130,68,5,0,0,459,17,47,243,264,299,180,47,3,0,1096,21,49,139,129,181,104,18,7,0,651,1060,770,1120,1166,1465,1100,174,17,0,6866,1164,737,665,660,774,610,121,5,4,4739,14,38,93,155,243,242,57,3,0,850,36,67,78,62,84,79,12,0,0,425,16,83,272,256,276,144,31,4,0,1070,26,73,180,151,168,120,34,3,0,762,51,144,461,463,504,397,120,13,0,2139,35,78,237,366,463,367,94,12,3,1651,36,225,761,901,951,689,104,8,3,3667,104,304,1185,1533,1969,1515,217,13,3,6838,123,835,2253,2270,3228,3013,507,30,7,12270,77,85,152,165,181,154,44,8,0,871,94,249,419,362,391,328,82,4,0,1923
206,2935,14741,60358,36231,24970,15367,5289,777,151,160826,9,47,120,63,63,42,26,4,0,364,0,7,101,119,61,17,5,0,0,306,166,370,1649,1072,799,373,100,13,0,4543,3,59,465,320,161,55,8,0,0,1066,16,181,905,520,410,178,49,3,0,2267,40,291,1299,858,586,284,95,8,3,3474,1090,3550,5447,2111,1581,959,257,28,5,15019,1550,4120,5152,1246,778,411,99,14,3,13377,19,192,1032,770,610,287,57,4,0,2968,82,417,2006,1258,709,299,58,4,3,4838,28,543,3775,2457,1363,605,134,13,9,8928,31,327,1242,585,429,247,108,15,8,2998,100,1827,9978,5165,3007,1479,431,40,7,22028,54,651,2480,1172,847,523,146,13,3,5886,29,376,3178,2521,1926,1219,211,18,3,9480,302,1377,6736,4277,3888,3044,668,44,10,20343,127,1939,9870,5259,4328,3352,844,69,11,25805,203,788,1898,1060,658,341,112,10,3,5064,107,637,1955,1017,783,493,104,7,5,5100
207,3131,8484,18777,17856,19492,13515,4679,754,98,86787,7,18,27,31,53,21,25,4,0,187,0,0,20,49,28,14,3,0,0,114,196,185,501,642,715,372,112,12,0,2736,0,18,166,142,110,33,6,0,0,475,10,89,290,383,380,198,72,5,0,1430,47,200,502,638,641,263,69,11,0,2369,1170,2041,1718,1348,1638,963,266,30,0,9183,1342,1315,1060,674,733,371,69,8,0,5584,17,76,238,338,357,221,35,3,0,1278,72,168,444,403,327,175,37,0,0,1626,13,250,1236,1297,1093,472,104,9,3,4473,27,169,467,387,403,217,82,14,4,1762,84,816,2387,2236,2106,1105,326,30,0,9089,35,241,628,564,611,409,122,20,4,2641,12,141,648,909,1055,694,163,20,0,3643,303,748,2056,2084,3182,2475,593,60,4,11498,147,1125,3594,3234,4201,3297,911,66,5,16586,242,294,333,244,244,143,75,8,3,1591,96,288,605,480,601,411,132,9,0,2619
208,3486,8015,20615,23806,23654,15906,5334,769,125,101708,3,13,41,47,58,23,13,7,0,212,0,5,31,48,42,20,0,0,0,142,218,218,676,1029,1035,562,152,11,0,3908,0,28,195,243,148,69,8,0,0,688,21,75,444,509,573,277,82,8,0,1996,36,177,606,815,800,398,100,6,3,2941,1282,1855,2046,1680,1899,1229,376,27,3,10398,1374,1236,1054,636,619,333,92,9,0,5354,13,77,313,411,445,258,46,3,0,1564,57,174,480,574,466,194,31,3,0,1977,24,208,1267,1659,1257,575,126,12,5,5117,24,175,506,500,526,279,106,11,6,2141,80,663,2612,2938,2537,1295,397,35,3,10553,34,245,788,874,849,479,164,18,4,3451,20,188,919,1325,1369,847,153,8,0,4841,301,725,2558,3021,3834,2982,621,30,3,14077,170,1117,3892,3896,4764,3570,885,57,11,18354,247,324,364,393,422,187,77,14,0,2020,130,324,712,683,790,436,130,9,0,3217
209,4857,10884,29793,29182,25410,17444,4161,438,58,122228,11,45,95,115,110,78,41,13,0,506,3,6,20,33,25,14,0,0,0,102,280,323,953,1215,1281,828,144,15,3,5040,0,50,269,258,142,78,11,3,0,804,31,164,588,683,631,334,74,3,0,2504,53,200,606,644,639,355,52,4,0,2541,1812,2585,2632,2210,2346,1418,237,8,3,13258,1908,1560,1405,856,817,426,59,4,0,7043,32,197,680,663,645,377,48,3,0,2642,68,140,458,426,314,145,24,0,0,1575,25,304,1316,1280,950,425,75,5,3,4383,38,200,508,362,346,174,39,4,4,1668,62,584,2149,2110,1577,800,179,13,4,7491,42,332,1004,929,955,624,109,9,0,4002,39,264,1455,1861,1781,995,166,8,3,6578,259,932,3388,3719,3678,2600,381,16,8,14991,202,1758,6036,5766,5577,4189,743,39,4,24317,222,332,416,359,326,189,43,7,0,1903,129,434,1048,911,821,422,102,16,0,3877
210,3404,8292,21381,19870,17989,11296,2632,267,46,85178,9,28,50,64,71,43,26,0,3,292,3,0,17,18,10,6,0,0,0,53,159,210,669,853,994,577,96,11,0,3566,7,27,158,117,105,54,0,0,0,463,27,91,405,418,426,179,34,4,0,1588,37,141,369,439,368,211,42,3,0,1614,1206,1830,1722,1351,1664,899,150,14,0,8833,1420,916,953,639,665,360,53,8,0,5026,42,270,811,843,906,458,72,3,0,3395,63,105,256,227,146,60,12,0,0,869,20,228,1010,947,672,316,57,0,3,3245,28,126,342,294,244,145,22,0,0,1206,35,360,1335,1188,829,440,94,7,0,4285,25,239,713,641,705,364,99,6,0,2801,17,209,961,1201,1263,695,103,7,0,4462,128,611,2141,2290,2351,1498,203,12,7,9227,135,1130,3634,3338,3222,2109,362,18,0,13962,84,205,258,237,191,139,42,0,0,1157,70,243,638,531,506,306,57,7,0,2352
