SA4_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
201,67,90,121,178,217,179,69,19,3,949,2055,3196,5935,6742,7782,5720,1152,97,29,32713,70,167,340,430,524,547,443,121,16,2663,6,21,124,144,149,72,5,3,5,526,256,383,905,1314,1489,1004,155,10,3,5527,8,32,110,153,188,122,14,0,0,624,306,812,1522,1219,1196,894,139,11,5,6113,55,104,219,319,351,256,62,10,4,1373,1012,1152,1321,1170,1262,994,247,22,5,7177,1401,956,774,665,589,443,119,16,8,4958,28,104,373,523,722,667,182,22,4,2627,46,105,277,302,271,166,39,0,0,1200,7,79,216,262,307,159,27,6,0,1065,8,84,166,148,176,138,42,8,0,766,43,288,753,814,750,515,202,18,0,3389,34,117,287,351,456,386,80,14,0,1728,40,147,747,1049,1192,815,136,13,4,4140,102,392,1215,1567,1753,1399,265,9,0,6692,103,741,2081,2214,2701,2337,378,17,9,10590,119,194,255,247,237,198,79,6,3,1338
202,67,74,131,171,195,172,66,14,9,905,2016,3079,5839,6553,7692,5855,1204,122,42,32395,70,130,362,472,561,678,402,147,26,2859,8,70,252,239,218,108,22,0,0,910,292,659,1241,1130,1323,1035,178,17,7,5867,3,31,168,177,226,149,17,0,0,774,233,728,1431,1189,1163,837,160,15,3,5753,41,105,224,261,301,219,60,9,0,1210,1150,1138,1201,1112,1283,965,253,35,5,7137,1284,862,696,502,529,355,83,11,3,4329,24,86,253,422,660,636,183,15,6,2282,28,62,154,210,188,140,34,3,0,821,15,143,516,660,561,278,58,0,0,2231,13,47,142,142,172,125,54,6,0,707,41,188,645,804,689,551,177,19,0,3119,35,120,306,383,466,428,91,13,3,1842,30,148,632,997,1216,916,153,9,3,4098,82,330,1036,1417,1599,1296,226,11,3,6005,125,728,1984,2087,2705,2462,404,30,7,10529,95,131,155,208,210,180,59,10,0,1059
203,126,185,305,355,375,285,101,22,9,1775,3740,5819,12197,13093,13930,9822,1911,150,38,60706,66,146,293,373,458,419,310,100,16,2181,3,17,89,95,101,79,8,0,0,390,342,694,1651,2127,2390,1641,266,23,8,9130,11,97,372,377,384,240,37,0,0,1517,490,1458,3346,2999,2441,1578,284,30,8,12626,88,251,537,717,731,525,114,7,0,2974,1848,2363,2943,2479,2456,1766,380,34,3,14265,2660,1924,1519,1125,980,698,229,17,3,9151,73,253,903,1108,1375,1176,278,19,4,5181,88,126,296,353,319,219,44,4,0,1452,18,177,882,971,864,435,96,13,3,3460,27,153,354,394,343,276,100,22,3,1674,72,415,1473,1864,1586,1126,386,48,9,6973,63,227,650,850,994,751,231,9,3,3772,51,323,1434,1972,2249,1470,266,29,3,7804,177,638,2519,2983,3065,2548,440,20,3,12389,186,1252,3860,4074,4692,3801,689,45,7,18606,263,317,379,427,391,291,112,8,0,2193
204,85,84,142,211,247,194,95,31,4,1100,2269,2611,5930,7079,8817,7269,1679,223,50,35941,133,261,560,724,1010,1365,1104,364,76,5598,0,12,72,67,77,62,21,0,0,306,302,557,1209,1416,1772,1367,223,19,3,6871,8,28,121,145,240,184,18,0,0,740,337,704,1449,1348,1443,1123,223,17,9,6644,72,109,298,327,434,337,72,10,6,1661,1050,790,1184,1197,1500,1198,326,37,7,7294,1435,755,907,836,918,727,240,21,3,5841,52,179,468,669,950,905,264,19,12,3518,32,54,93,115,127,105,27,0,0,563,11,62,213,251,286,180,40,3,3,1044,33,61,146,175,193,159,50,3,4,825,53,138,424,631,664,557,206,30,4,2689,72,149,384,497,620,541,134,15,8,2404,234,599,1172,1407,1717,1235,193,17,4,6575,95,273,1057,1373,1527,1421,255,26,7,6033,146,547,1666,1986,2634,2587,458,34,6,10064,95,101,213,204,225,153,52,11,0,1046
205,109,109,214,265,376,345,133,52,12,1608,3184,4199,9351,10184,12751,10506,2356,332,51,52908,244,496,1367,1522,1798,2005,1428,481,73,9422,5,33,317,342,432,299,39,5,0,1476,333,617,1408,1539,1889,1457,284,30,7,7562,33,131,524,648,1090,856,122,9,3,3425,457,1201,2607,2255,2266,1769,380,25,9,10966,67,176,432,492,610,433,111,20,0,2339,1772,1341,1985,1947,2228,1799,405,51,4,11542,2035,1132,1178,1003,1126,977,248,19,3,7717,57,141,455,665,1060,1030,326,21,0,3758,56,115,181,164,188,196,38,3,0,938,19,109,365,381,420,236,64,5,0,1607,31,107,259,262,296,246,100,10,4,1314,70,248,831,865,930,874,339,48,0,4205,89,165,456,633,810,684,201,18,3,3063,55,372,1387,1576,1764,1404,246,16,3,6836,158,421,1565,2010,2479,2120,361,22,3,9129,153,965,2621,2753,3813,3658,688,45,9,14707,158,146,266,310,332,317,101,19,0,1651
206,138,681,1993,1057,869,483,204,42,15,5472,4084,18387,61279,32900,23856,14697,3716,340,79,159332,18,97,305,176,139,123,79,23,0,961,0,21,296,258,172,76,24,3,0,852,238,801,4288,3125,2423,1405,376,60,5,12717,10,146,1240,825,450,213,42,0,0,2937,153,1279,5975,3112,2374,1367,332,42,6,14642,76,593,2774,2010,1548,834,257,38,7,8122,1750,5574,9392,4099,2940,1747,575,68,15,26153,2548,7511,11476,3349,1768,960,252,33,8,27912,81,651,3134,2297,2010,1172,328,32,0,9702,148,791,4438,3024,1810,804,166,15,7,11197,46,1098,8236,5562,3122,1365,396,69,28,19925,56,576,2533,1334,1004,608,305,59,16,6494,185,3463,21625,12086,6887,3848,1450,169,36,49753,111,1193,4554,2345,1587,955,334,38,8,11126,55,699,5570,4506,3763,2293,460,44,9,17397,519,2305,10466,6796,5852,4678,1159,92,13,31877,175,2417,13350,7625,6130,4725,1422,154,25,36034,431,1612,4106,2192,1340,769,277,36,7,10777
207,107,271,624,612,714,384,161,52,18,2940,3939,8464,17544,16685,19191,12232,3356,355,49,81820,11,44,80,71,124,72,73,20,7,507,0,7,64,128,106,73,27,0,0,402,270,507,1412,1798,2259,1446,431,66,6,8197,7,60,409,376,361,171,38,3,0,1425,190,885,2181,1950,2152,1239,389,57,4,9049,102,397,1192,1448,1716,859,243,48,3,6002,1940,3641,3529,2591,2961,1863,602,77,4,17210,2271,2720,2574,1450,1513,937,186,24,3,11683,50,263,875,1034,1259,934,239,29,3,4678,138,396,1090,1187,1013,511,111,12,0,4462,37,553,2594,3024,2665,1219,332,45,12,10490,59,330,1024,851,878,549,224,49,5,3976,163,1648,5232,5329,5064,3179,1158,160,20,21954,94,553,1341,1096,1211,844,302,42,4,5497,35,305,1294,1616,2051,1469,381,43,3,7196,540,1350,3154,3054,4290,3530,976,93,9,16997,210,1451,4851,4672,5723,4608,1449,145,16,23123,574,683,790,539,526,322,151,23,8,3617
208,134,267,663,772,911,512,203,37,26,3524,4167,8088,20176,22059,23328,14512,3771,308,65,96470,9,39,103,126,160,91,46,14,3,595,3,12,89,131,141,92,19,0,0,480,303,535,2036,2880,3270,2085,573,50,5,11741,10,63,472,579,455,230,48,4,0,1858,299,1189,3333,3135,3056,1848,491,63,5,13428,109,402,1376,1952,2114,1249,352,50,5,7614,2187,3286,3852,3341,3385,2310,804,108,14,19293,2347,2510,2443,1477,1269,740,184,23,3,11000,46,277,1021,1309,1629,1209,323,36,10,5856,118,330,1126,1523,1323,624,117,7,0,5168,52,480,2571,3859,3104,1404,386,44,18,11909,45,308,990,1020,1084,658,286,48,9,4447,148,1322,5612,6958,6034,3563,1334,153,9,25132,90,491,1464,1629,1602,1017,355,45,4,6700,43,333,1682,2409,2606,1710,384,41,14,9225,521,1224,3762,4319,5073,4084,976,70,5,20021,235,1365,4966,5178,6110,4743,1373,123,16,24104,623,749,938,868,850,452,179,34,5,4692
209,182,369,987,921,912,578,156,43,9,4154,5424,10783,26004,25324,23883,15046,2657,220,40,109382,32,95,260,286,263,189,105,34,0,1282,5,19,81,111,115,77,10,3,0,423,499,985,3439,4377,4656,3093,583,59,5,17702,8,136,687,686,516,366,62,4,0,2464,733,2354,6245,5333,4511,2549,525,31,5,22282,125,442,1539,1852,1866,1117,219,20,0,7177,3007,4392,5215,4115,3858,2503,525,41,11,23674,3315,2872,3179,1815,1513,837,150,12,9,13704,103,623,2942,2877,2928,2124,434,21,3,12063,127,284,1167,1285,959,472,71,4,0,4369,46,535,2557,2723,1896,918,159,16,3,8853,58,332,934,759,667,405,117,15,6,3287,140,1118,4533,4886,3337,1969,544,60,7,16596,100,690,1944,1858,1811,1301,287,28,3,8029,112,650,3008,3778,3618,2305,428,52,5,13952,403,1394,4806,5219,4898,3798,695,33,3,21267,263,2079,7537,7339,7028,5341,1069,64,3,30735,474,725,919,782,629,399,111,20,3,4062
210,127,294,645,603,642,387,100,22,8,2820,3634,7268,17091,16227,15986,9244,1627,130,24,71229,17,78,146,168,185,132,87,27,7,850,3,12,68,83,73,41,4,0,0,275,304,777,2570,3150,3447,2154,403,29,6,12836,14,93,438,414,371,232,25,3,0,1596,516,1755,4385,3610,3091,1524,320,24,3,15235,91,352,1024,1256,1203,699,146,14,0,4772,1940,3063,3434,2584,2775,1559,343,23,7,15742,2459,1795,2153,1293,1159,686,120,16,0,9683,148,929,3389,3375,3595,2185,428,11,4,14057,99,219,688,691,496,214,33,0,0,2449,30,375,1834,1782,1197,595,108,6,4,5944,47,232,624,544,455,309,62,8,3,2287,67,688,2804,2642,1767,1018,265,30,0,9292,97,569,1464,1272,1323,787,218,19,0,5759,79,538,2057,2367,2424,1541,277,17,3,9304,226,880,2957,3091,3008,2077,341,26,3,12615,168,1304,4340,4133,3918,2608,507,40,0,17019,240,431,589,507,403,274,104,17,3,2571
