SA4_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
201,63,136,108,155,206,313,192,745,37,1963,25,14,12,11,35,58,80,224,3,457,84,140,123,166,1093,1077,709,671,32,4093,22,15,10,27,139,146,59,77,3,494,155,193,205,353,902,1730,706,1150,92,5490,26,58,51,63,220,247,163,203,14,1033,76,521,275,314,614,439,310,456,43,3049,66,682,213,222,208,156,158,276,27,2010,91,125,109,168,263,362,254,630,43,2048,19,46,36,38,185,144,159,112,9,739,11,20,15,23,80,136,67,91,3,448,8,17,13,18,48,75,62,130,6,389,45,137,99,146,251,489,242,361,9,1782,22,137,97,100,149,132,53,93,13,792,94,79,91,87,590,566,271,251,27,2059,61,240,150,164,405,355,252,378,21,2026,76,181,192,357,443,401,214,323,18,2211,26,144,71,79,107,86,45,107,14,687,38,112,70,99,294,268,164,234,16,1301,62,117,87,102,262,292,124,238,336,1622
202,61,142,120,171,236,325,172,768,33,2039,34,25,15,13,47,97,142,412,11,790,114,162,157,235,1078,1058,647,662,48,4167,29,18,11,41,114,165,87,108,7,574,158,189,207,380,832,1597,684,1017,86,5149,27,52,42,37,176,191,126,229,6,879,97,648,287,290,582,416,332,375,41,3069,48,603,194,183,196,141,119,267,35,1776,72,112,117,155,245,348,257,481,27,1814,12,53,25,32,123,95,53,86,3,475,26,23,25,43,243,256,172,179,10,980,6,15,19,24,48,64,53,111,3,341,33,120,93,136,270,388,217,354,7,1619,26,130,110,104,171,133,52,105,12,834,121,78,89,122,539,588,329,259,12,2138,54,204,128,196,350,301,195,341,12,1781,101,181,192,344,428,436,179,275,19,2155,23,96,49,67,91,89,44,88,5,539,46,100,64,99,264,303,172,282,13,1337,62,136,64,106,282,293,124,241,272,1590
203,63,131,110,121,159,302,120,449,36,1503,30,12,8,3,21,53,36,183,0,343,177,199,214,262,1675,2138,1015,1311,51,7046,41,24,27,33,311,248,175,217,12,1101,286,400,422,683,1697,3658,1544,2562,146,11389,56,93,98,116,433,508,325,452,15,2098,165,1049,527,564,1067,987,574,908,72,5913,136,1333,446,401,432,389,218,471,60,3881,200,198,233,330,552,879,607,1173,70,4235,18,93,36,54,187,199,98,151,7,845,35,42,52,63,305,468,227,329,5,1528,23,50,38,47,115,167,91,239,9,778,94,269,209,265,590,998,485,882,32,3825,54,308,219,213,290,326,119,207,23,1763,187,166,149,184,957,1164,563,543,30,3937,105,386,259,326,857,779,458,741,27,3940,138,276,318,552,705,685,370,510,41,3588,31,298,119,123,170,184,105,174,13,1210,37,169,121,153,501,616,251,440,28,2326,90,220,173,186,472,652,216,463,585,3067
204,150,266,227,341,363,699,344,1420,79,3880,21,8,6,13,18,37,37,143,3,274,138,165,176,265,1219,1365,812,868,73,5082,15,17,11,30,174,146,98,138,5,645,252,250,259,409,849,1707,726,1340,90,5877,24,64,62,59,233,300,194,274,11,1224,99,454,202,288,515,505,339,481,35,2930,54,562,215,239,248,224,167,440,41,2192,106,133,168,194,429,471,317,866,54,2739,8,30,12,18,71,65,47,75,0,316,5,14,11,17,70,91,57,82,3,358,17,24,22,16,44,79,42,120,0,377,40,92,88,131,192,256,143,280,11,1242,51,178,115,124,218,195,103,156,19,1169,184,119,93,142,839,1126,699,649,29,3893,37,154,125,137,341,300,196,303,14,1608,96,127,168,256,307,298,142,216,17,1627,24,81,42,43,120,81,46,103,9,548,49,94,68,118,306,418,207,333,22,1610,107,147,102,106,310,401,148,305,400,2020
205,228,501,331,473,501,859,525,2737,114,6268,125,29,28,19,201,147,212,571,26,1354,207,206,216,323,1365,1276,1149,999,60,5811,173,67,91,105,894,653,456,506,21,2963,382,396,412,704,1451,2933,1167,2288,135,9870,57,87,92,89,329,377,277,368,11,1691,136,828,375,435,890,687,506,729,75,4676,109,907,312,304,340,306,180,471,56,2977,124,191,197,216,381,479,358,919,48,2910,22,46,32,25,113,107,72,94,7,511,14,35,12,24,95,154,64,123,8,540,17,38,21,35,80,108,66,179,7,553,71,158,120,179,329,466,225,500,18,2064,56,261,171,200,216,221,95,160,27,1404,199,147,110,164,815,787,486,429,30,3164,73,253,166,243,405,392,265,469,31,2292,101,194,234,397,479,487,214,296,20,2430,35,161,60,67,166,126,48,103,12,776,66,156,112,164,430,622,273,492,30,2346,140,219,159,173,438,541,212,487,598,2963
206,25,49,42,65,72,130,59,152,6,594,39,14,8,13,26,125,68,243,5,552,147,282,327,372,1606,2211,1286,1899,55,8176,35,45,48,54,519,557,246,347,10,1867,249,368,538,680,1389,3732,1645,3660,118,12373,84,170,212,234,815,1351,691,1072,26,4652,202,1595,1361,1059,1969,1885,1190,1767,104,11131,283,2362,2832,1529,1756,1761,1302,2509,205,14537,204,375,496,643,1206,1577,878,1273,74,6738,100,288,292,323,1194,1898,801,1410,52,6357,234,217,249,374,1789,3812,1471,2776,74,10997,57,166,175,202,424,808,456,1199,16,3495,520,1230,1120,1352,3671,8704,3787,7186,162,27725,105,538,751,452,934,1049,499,854,54,5244,273,259,289,422,2214,2052,1161,1181,56,7917,238,1865,940,947,1897,2201,1129,2222,105,11536,267,694,774,1206,1797,2110,1291,2004,80,10230,153,819,522,679,768,1095,542,1079,53,5710,68,329,334,381,758,859,459,705,43,3935,164,516,523,406,913,1462,531,1301,1251,7067
207,15,29,30,24,39,63,23,81,8,312,17,11,8,9,18,75,39,114,3,285,91,216,259,247,1045,1340,869,1374,23,5464,14,25,34,32,241,276,135,188,3,950,142,340,410,520,934,2220,878,2097,88,7621,56,195,142,148,612,1025,497,929,16,3634,173,1613,948,731,1137,1192,714,1440,81,8028,117,1562,1063,585,737,677,377,894,88,6104,91,199,237,283,522,897,420,729,31,3403,36,181,138,134,542,871,367,552,19,2835,88,169,186,235,830,1999,791,1688,37,6016,37,142,129,127,273,508,255,721,20,2211,193,765,613,737,1729,3666,1587,3506,72,12861,55,404,393,323,497,533,204,408,32,2855,125,184,128,162,910,964,546,515,28,3560,96,1133,365,387,838,1047,501,1073,49,5494,159,511,518,722,1114,1301,778,1383,44,6541,52,553,190,171,220,327,155,335,18,2025,45,246,193,186,494,524,296,499,25,2519,105,383,302,261,525,820,253,706,709,4068
208,4,32,27,34,57,92,35,104,3,388,13,12,6,9,10,78,41,171,0,337,130,244,247,283,1618,1991,1295,1983,46,7839,14,31,25,40,249,371,175,256,10,1172,235,410,456,736,1454,3493,1463,3058,127,11428,70,182,192,216,760,1359,692,1179,28,4667,184,1596,876,766,1328,1511,869,1674,84,8893,109,1484,864,501,620,626,437,928,83,5653,147,246,269,330,644,1034,570,993,56,4293,56,158,108,137,582,935,461,720,21,3193,116,171,190,243,867,2165,1019,1966,49,6790,38,116,124,156,190,503,309,841,31,2305,231,727,595,790,1810,4353,1903,4074,91,14580,77,369,324,363,505,671,340,552,50,3251,163,230,169,213,1008,1216,714,640,32,4389,117,965,442,447,961,1099,632,1229,50,5950,144,436,452,668,971,1083,697,1257,40,5749,43,646,229,252,294,468,234,478,22,2672,42,248,191,245,535,647,388,648,40,2996,104,382,284,290,674,1181,416,1025,809,5168
209,22,70,69,65,160,174,57,157,4,781,19,6,3,11,31,68,48,138,0,324,221,344,412,530,3523,3305,1914,2273,137,12666,34,44,40,51,470,470,213,315,18,1657,426,610,812,1219,3114,6557,2511,4224,304,19773,93,152,189,198,1056,1270,661,973,39,4633,221,1847,1127,930,2028,1727,967,1447,134,10417,138,1819,1074,666,864,744,418,822,125,6663,249,369,583,803,1804,2252,1277,1909,161,9420,48,122,106,131,748,847,311,445,27,2790,98,80,125,175,926,1562,582,888,42,4477,18,74,66,88,290,375,217,474,12,1621,152,450,412,487,1629,2894,1111,1912,56,9104,89,461,551,468,858,790,312,449,56,4028,260,332,254,354,2080,2019,1110,888,72,7376,106,923,478,488,1306,1170,672,1077,56,6272,185,438,583,873,1464,1405,632,768,73,6421,54,498,216,211,339,367,179,267,31,2160,68,310,356,336,1035,1186,545,836,52,4730,161,477,378,418,1415,1439,489,875,1258,6915
210,19,44,39,52,97,124,51,122,9,558,12,6,7,3,28,48,21,91,5,215,175,286,348,391,2752,2500,1290,1436,91,9273,20,28,32,30,304,331,146,227,13,1127,317,504,580,900,2232,4332,1599,2900,267,13644,55,134,124,126,804,914,391,576,35,3162,142,1091,782,607,1403,1210,662,914,98,6909,109,1175,801,440,675,514,285,574,88,4654,312,439,711,987,2078,2395,1377,2181,191,10661,30,87,74,65,463,450,166,233,7,1582,69,58,66,104,616,953,341,466,28,2698,22,53,53,55,220,230,119,300,10,1082,60,239,193,232,965,1679,622,956,59,5002,62,366,429,333,664,542,207,319,38,2956,169,230,266,249,1428,1262,640,541,60,4848,77,428,229,261,802,706,353,475,40,3388,71,219,251,409,698,703,282,381,42,3050,32,327,119,136,234,275,96,182,14,1414,75,255,241,262,870,864,433,621,59,3677,131,335,318,315,1008,1087,357,579,1139,5272
