SA4_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
201,8415,13213,10130,8197,8162,6666,3955,7550,1107,67396
202,8518,13622,9454,7873,7809,6400,3814,7933,1019,66444
203,14520,26367,18883,15714,15082,12707,7191,12505,2050,125026
204,11499,11840,11707,9128,8413,6829,5418,9446,1271,75545
205,15933,16886,18144,12775,12598,10566,7615,14037,1943,110486
206,51950,123774,24864,30365,38825,25722,5617,13767,5275,320165
207,28527,58989,13392,14786,22365,16605,3230,7941,2771,168603
208,34844,63696,18592,17941,27338,19037,4655,8998,3081,198179
209,27242,52226,32711,25093,33876,23039,13802,19804,3817,231609
210,17206,28629,23148,17391,23423,15660,12899,15070,2969,156400
211,31802,54558,38278,25944,36433,25040,11813,20079,3792,247729
212,36224,61761,50369,34484,46620,34122,28023,37906,6180,335693
213,35301,61529,42653,34956,47340,31610,31737,34502,6582,326215
214,16497,23100,22848,15469,17004,14362,7120,12391,2115,130907
215,12009,9241,8116,7234,6519,6125,4191,8854,1081,63374
216,8940,8124,7650,5805,5834,5388,3864,8190,905,54705
217,10302,8261,7517,5901,5397,5126,4042,8149,919,55609
297,0,4,7,0,0,0,0,3,0,23
299,178,405,297,277,182,134,200,307,57,2033
