SA4_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
201,4,0,3,10,0,3,0,0,0,29,0,54,3,6,0,0,0,3,0,3,0,15,0,26,0,3,0,8,0,4,0,12,5,22,0,52,0,0,0,3,0,3,0,8,0,11,0,26,10,8,0,11,0,16,0,26,0,49,0,114,8,17,0,22,0,34,3,50,7,67,0,213,9,30,3,36,3,89,6,83,15,140,0,414,35,58,0,112,7,199,8,124,17,161,0,731,73,93,13,301,30,397,25,113,33,196,11,1272,107,101,8,567,40,373,31,97,23,137,11,1487,136,92,25,578,66,366,9,57,22,100,3,1459,168,55,8,652,57,265,23,38,11,51,3,1334,501,87,28,1194,110,407,34,59,16,95,4,2528,468,47,16,770,92,164,15,15,7,30,3,1630,395,35,18,410,47,62,17,10,7,11,4,1006,208,17,8,154,16,98,6,12,3,5,3,526,411,26,0,418,51,119,17,25
202,12,0,3,0,0,5,0,0,0,25,0,49,4,0,0,3,0,0,0,4,0,6,0,22,0,0,0,9,0,8,0,7,5,7,0,36,0,0,0,0,0,3,0,11,0,6,0,17,3,4,0,11,0,7,0,23,3,84,4,149,5,9,0,18,0,30,3,44,3,53,0,166,16,25,0,35,0,75,5,84,11,129,4,382,26,55,0,109,8,211,9,112,12,153,4,701,57,90,7,272,26,370,24,131,27,174,6,1171,106,126,12,516,25,396,25,115,8,130,3,1463,139,91,14,584,30,351,30,70,24,79,3,1414,188,72,7,598,58,292,17,56,3,64,4,1363,512,135,33,1078,143,392,51,51,23,63,3,2470,507,69,11,816,101,139,25,28,5,28,0,1746,320,24,6,465,56,57,17,3,4,17,0,986,247,9,6,163,28,140,11,8,7,4,0,621,372,49,11,385,43,101,15,18
203,10,3,3,11,0,14,0,3,0,45,0,95,4,0,7,7,0,0,0,12,3,32,0,56,5,3,0,11,0,10,3,16,4,31,0,82,0,3,0,4,0,9,0,20,0,19,0,53,6,8,0,11,0,25,3,46,4,102,0,214,3,19,0,17,0,57,8,94,4,113,3,320,22,44,12,49,0,150,7,124,12,213,4,635,27,63,0,146,12,302,6,189,20,241,6,1022,72,142,7,392,40,618,22,233,46,299,11,1887,132,185,23,778,64,693,37,177,37,233,3,2373,206,145,18,1006,94,674,35,136,36,153,8,2510,309,143,17,1151,107,625,31,84,37,132,6,2639,916,209,53,2329,215,999,67,132,43,171,10,5150,867,124,42,1861,237,340,46,73,22,72,7,3688,706,52,38,1068,154,153,22,35,9,44,4,2297,501,28,17,432,70,291,12,25,15,15,0,1408,935,71,31,1212,119,361,34,40
204,4,0,4,5,0,3,0,4,0,13,0,46,9,0,0,0,0,4,0,7,0,6,0,30,5,3,0,3,0,3,0,3,0,17,3,38,0,0,0,0,0,0,3,12,3,19,0,37,14,10,0,15,0,8,0,15,5,61,0,124,5,23,0,18,3,29,0,48,11,61,3,206,21,24,3,34,3,73,12,62,13,123,6,378,45,62,10,106,12,221,16,100,20,138,5,729,96,88,9,326,31,437,22,119,23,145,10,1308,148,107,20,569,52,451,27,89,30,138,5,1623,165,84,16,663,52,350,25,55,31,75,7,1512,265,70,16,655,61,282,19,37,19,55,4,1492,701,115,24,1114,127,361,46,50,24,62,10,2632,637,69,18,820,121,138,25,20,7,33,4,1892,387,28,17,386,53,58,20,13,4,11,0,973,246,7,9,143,32,80,3,6,4,12,0,551,368,16,10,299,30,77,14,10
205,27,3,6,13,0,4,4,3,0,45,9,108,3,0,0,3,0,4,0,4,3,18,3,44,5,3,0,11,0,0,0,21,3,47,0,96,6,0,0,0,0,9,0,9,3,19,0,48,11,14,0,10,7,18,3,58,7,133,0,264,22,42,0,26,3,49,4,82,5,100,3,330,43,47,7,63,11,126,9,129,20,275,6,727,48,95,4,208,15,360,19,211,41,294,8,1313,139,170,26,526,40,635,39,251,54,300,10,2193,220,171,22,874,77,624,46,165,50,218,13,2478,206,106,20,964,79,557,48,118,29,169,9,2298,343,104,19,992,95,450,36,88,22,97,3,2250,728,149,48,1675,213,638,63,102,48,115,8,3782,672,93,28,1222,131,220,46,45,18,52,10,2528,472,45,23,591,69,112,19,19,3,26,7,1384,302,9,12,266,47,192,8,13,15,15,3,884,553,49,23,666,66,220,45,29
206,22,3,5,4,0,19,0,12,6,177,0,254,14,0,0,7,0,11,0,20,5,58,0,103,3,3,3,4,0,23,0,41,3,103,3,185,0,0,0,0,0,13,0,34,3,43,0,91,6,16,3,17,0,24,0,68,12,210,3,361,13,20,0,17,4,78,3,132,11,168,8,442,22,44,3,50,3,160,0,167,23,247,3,715,34,71,3,117,4,302,3,199,26,261,6,1031,86,151,7,219,13,501,23,241,39,363,8,1647,125,166,14,413,35,545,28,160,35,315,5,1841,145,117,14,484,39,660,26,151,15,274,8,1918,206,139,10,594,55,667,18,99,21,215,3,2040,755,282,42,1649,198,1479,50,203,53,331,7,5051,908,221,24,2054,267,488,62,124,30,159,8,4350,1023,150,29,1649,255,297,41,72,9,108,10,3644,915,78,38,904,243,1183,26,90,36,78,3,3595,4191,335,112,4741,741,1619,106,226
207,20,3,3,11,3,35,4,14,6,280,0,381,4,4,0,10,0,14,0,24,3,67,0,131,3,7,0,9,0,16,0,51,4,88,0,182,3,3,0,3,0,27,0,37,3,58,0,132,7,13,4,20,5,45,3,67,5,124,0,292,11,36,0,30,0,98,3,135,21,148,3,486,32,78,3,57,3,169,12,183,17,191,0,744,41,100,3,139,14,383,14,199,28,250,3,1168,99,142,9,332,14,582,20,238,29,350,3,1822,165,178,14,466,28,580,22,165,22,319,7,1969,172,111,13,568,32,665,26,171,19,252,4,2034,253,126,11,698,51,670,21,128,30,212,3,2212,815,232,28,1666,133,1450,41,223,46,418,18,5069,968,194,35,1946,150,598,39,165,24,221,11,4346,1047,157,17,1499,173,315,39,98,16,150,4,3509,975,61,13,814,111,1200,24,107,23,114,4,3446,4243,356,75,5309,465,1927,99,275
208,21,3,0,19,3,19,3,12,3,131,3,220,5,3,0,4,0,13,0,16,3,45,0,98,3,9,0,8,5,10,0,22,0,51,0,106,0,0,0,0,0,10,0,17,3,40,0,72,3,15,0,13,0,21,0,55,3,71,0,181,7,21,0,26,0,50,3,109,10,96,0,329,29,42,3,69,5,134,0,115,15,173,3,586,41,85,9,123,4,283,11,160,23,177,8,923,83,169,5,349,10,547,19,210,28,267,3,1709,141,163,10,620,33,580,22,170,28,263,5,2046,179,137,19,722,56,664,31,160,28,202,6,2201,321,141,19,939,68,744,23,124,22,197,9,2607,1005,259,37,2313,208,1644,64,238,42,305,15,6122,1251,203,52,2747,252,545,58,160,31,175,9,5482,1345,139,36,2125,261,349,45,113,19,111,0,4540,1171,82,28,1015,176,1645,17,93,37,111,4,4398,4773,281,79,5989,552,2002,100,249
209,15,6,3,16,4,26,0,12,10,291,3,380,3,3,3,4,0,15,4,20,9,95,0,147,0,7,0,10,0,20,0,73,8,125,5,253,0,3,0,0,0,22,0,50,6,74,0,160,6,15,0,23,0,51,0,118,7,385,3,608,14,37,0,48,3,209,5,258,32,308,9,921,28,90,7,110,8,436,14,298,43,532,12,1583,56,163,9,219,20,968,28,405,71,572,18,2531,154,315,27,710,70,1557,49,463,83,748,21,4206,353,302,29,1280,103,1471,63,336,74,684,11,4708,440,269,35,1705,158,1413,46,284,71,533,20,4971,657,224,45,1781,177,1241,66,225,64,495,11,4996,2043,413,82,4054,478,2228,115,317,106,576,35,10447,2008,241,76,3534,419,834,97,183,43,250,16,7691,1612,137,48,2197,295,415,54,103,28,152,7,5052,1174,68,32,950,156,797,15,78,29,87,5,3387,2502,149,54,2917,299,914,63,114
210,12,3,3,3,0,20,3,11,11,320,10,398,0,3,0,3,0,11,0,26,4,82,0,130,3,4,0,8,0,22,0,59,8,166,6,280,4,0,0,0,0,26,0,61,12,91,0,196,4,3,0,17,0,72,3,150,24,548,4,829,10,38,0,34,3,185,5,279,37,435,4,1031,27,71,8,69,11,418,13,365,43,630,24,1671,53,112,15,193,15,861,14,454,82,678,22,2498,112,205,12,554,50,1354,32,435,79,795,25,3652,296,218,29,952,78,1247,47,310,72,607,22,3878,362,164,25,1093,83,1177,46,219,47,471,16,3701,518,137,31,1192,116,984,47,201,35,395,17,3660,1543,219,53,2525,298,1583,84,233,68,558,18,7186,1376,128,32,2046,243,597,56,126,31,219,13,4870,1169,71,26,1228,194,304,23,76,22,131,3,3245,855,37,19,573,117,499,11,41,28,68,8,2247,1578,105,43,1386,167,494,42,80
