SED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SED20106,9,31,855,863,197,106,37,24,8,2127,0,0,0,17,9,4,3,5,0,39,0,0,0,12,6,15,17,7,0,59,23,43,118,759,252,198,152,54,25,1617,0,0,0,33,12,6,3,3,0,56,0,5,25,138,10,6,11,3,3,202,3,3,9,125,35,20,33,8,9,252,0,8,4,23,34,63,156,177,48,502,9,5,32,147,19,18,12,0,0,248,27,26,36,510,41,27,13,0,3,680,0,9,154,246,23,19,12,3,0,455,3,4,6,101,5,4,0,0,0,122,0,0,0,8,3,0,0,3,0,17,3,0,26,245,31,12,12,4,3,339,3,7,21,129,17,37,55,35,5,315,5,3,25,147,32,13,4,0,0,231,7,7,69,270,20,0,3,0,0,371,0,0,0,12,6,0,3,0,0,22,3,7,142,384,51,68,19,6,0,682,0,0,0,0,3,11,19,11,6,45
SED20207,36,81,163,1231,260,277,75,30,9,2160,0,3,0,27,36,44,51,31,3,195,3,3,5,24,17,15,14,6,3,97,22,118,82,334,280,208,205,117,49,1411,0,0,16,63,38,16,16,0,0,154,0,0,7,29,10,4,3,5,0,56,0,4,7,40,31,15,53,21,13,194,0,8,3,21,29,53,64,36,14,228,5,13,15,80,20,28,3,0,0,166,81,197,176,2195,159,130,61,18,3,3031,3,21,29,333,31,24,11,3,0,460,0,12,7,86,10,8,0,0,0,126,0,0,0,23,10,9,0,3,0,43,3,20,12,75,24,20,9,17,3,174,0,7,6,33,43,74,83,71,39,356,3,7,7,68,22,3,3,3,0,116,4,35,24,177,25,7,6,0,0,289,3,7,8,79,42,29,13,3,0,185,11,42,63,335,82,68,25,9,3,636,0,0,7,18,35,122,178,107,22,494
SED20302,3,6,9,74,22,19,10,4,0,144,0,0,0,3,8,9,9,8,0,44,0,16,11,20,8,4,11,5,3,74,7,60,48,182,287,355,442,241,97,1722,0,3,8,32,9,3,6,0,0,60,0,0,0,3,5,3,3,0,0,13,0,3,5,21,15,33,57,27,19,181,0,0,0,0,6,4,11,10,6,43,0,0,0,13,4,5,4,0,0,27,26,32,34,420,46,45,26,4,0,632,0,3,3,40,3,7,5,0,0,63,0,0,0,6,3,0,0,0,0,19,0,0,0,3,0,0,0,0,0,7,3,5,0,16,11,10,16,14,3,87,0,0,3,5,9,31,44,46,22,159,0,4,0,13,9,0,3,0,0,30,0,0,6,11,0,0,0,0,0,19,0,0,5,10,3,0,0,0,0,14,0,13,13,31,19,10,10,0,0,94,0,0,0,0,0,10,25,4,3,46
SED20401,6,31,56,485,135,99,47,17,3,881,0,0,0,0,3,6,8,8,0,30,0,3,3,9,0,8,12,0,0,41,0,24,41,147,237,293,295,210,72,1328,0,3,3,13,7,4,8,0,0,46,0,0,0,3,8,5,7,0,0,22,0,7,6,23,13,32,78,81,64,308,0,3,0,4,11,10,17,16,4,65,3,9,19,95,33,32,12,0,0,198,3,33,53,398,62,45,32,11,7,649,0,3,10,59,16,7,3,4,0,109,3,7,5,57,13,16,7,3,0,117,0,0,0,0,0,0,0,0,0,3,0,4,0,19,14,13,23,6,5,86,0,0,0,12,8,28,31,27,16,119,0,3,3,25,6,3,0,3,0,46,0,6,6,56,13,6,3,0,0,99,0,3,0,3,3,8,0,0,0,15,3,24,20,153,40,43,32,9,4,324,0,0,0,0,0,9,10,3,0,28
SED20508,0,3,8,28,9,13,0,0,0,69,0,0,0,0,7,7,17,16,0,46,0,0,0,0,0,3,9,0,0,18,5,50,28,147,216,298,379,198,85,1410,0,0,0,3,3,5,0,0,0,17,0,3,0,6,0,0,4,0,0,15,0,3,3,11,6,35,70,22,30,182,0,0,0,0,5,12,18,21,0,66,0,0,0,4,0,3,0,0,0,12,0,9,0,29,9,17,6,4,3,84,0,0,0,10,3,0,7,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,25,7,15,15,6,0,73,0,0,0,3,8,33,39,36,15,133,0,3,0,11,3,3,4,0,0,24,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,0,0,0,30,0,0,0,3,0,19,38,14,0,78
SED20604,0,3,5,28,11,3,9,0,0,60,0,0,0,3,3,13,17,24,8,75,0,0,0,0,0,3,3,0,0,8,5,17,22,87,141,151,176,94,35,729,0,0,0,10,0,3,3,0,0,14,0,3,0,4,8,8,3,4,0,28,0,3,4,11,31,42,87,43,23,247,0,0,0,0,3,0,0,0,0,6,0,0,0,8,0,4,0,0,0,10,0,17,8,109,11,8,6,3,3,157,0,0,0,7,5,6,0,0,0,18,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,8,3,0,28,0,0,3,3,3,6,13,19,6,62,0,3,0,6,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,3,14,3,7,4,0,0,30,0,0,0,0,0,0,0,0,0,6
SED20704,0,9,22,54,21,4,4,0,0,119,0,0,0,0,0,0,0,3,0,4,0,0,3,8,8,0,0,0,0,23,0,20,16,57,88,111,119,77,43,535,0,0,0,7,4,6,0,0,0,21,0,0,0,7,3,0,0,0,0,10,0,0,0,12,9,12,16,11,3,65,0,0,0,0,0,3,3,3,3,11,0,0,5,4,4,0,4,0,0,12,4,10,23,104,14,4,7,3,0,176,0,0,7,15,11,5,3,0,0,37,0,0,0,7,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,11,0,4,3,9,3,4,3,3,3,32,0,0,0,4,7,11,12,9,4,44,0,3,0,3,3,0,0,0,0,10,0,3,3,16,0,0,0,0,0,20,0,0,0,0,4,0,0,0,0,7,0,6,10,11,8,4,5,0,0,42,0,0,0,0,0,0,3,4,0,11
SED20804,0,6,8,31,19,6,4,0,0,66,0,0,0,3,3,0,6,0,0,11,0,0,0,3,0,0,0,0,0,6,3,9,14,67,120,163,150,90,43,662,0,0,3,6,5,0,0,0,0,17,0,0,3,3,0,3,0,0,0,10,0,0,3,6,12,18,32,12,6,88,0,0,0,0,4,3,5,3,0,22,0,0,5,4,3,0,0,0,0,16,5,7,8,126,3,10,0,0,0,174,0,0,0,5,6,3,3,0,0,20,3,9,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,9,0,0,35,0,0,0,0,3,7,10,3,0,22,0,0,3,12,3,4,0,0,0,28,0,0,0,7,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,0,15,15,7,7,3,0,52,0,0,0,0,0,4,3,0,0,14
SED20906,19,84,273,719,293,157,65,31,9,1642,0,0,0,5,16,10,11,12,0,54,0,3,3,8,8,17,21,17,13,83,15,72,39,194,186,130,119,68,64,886,0,0,0,10,12,4,0,0,3,32,0,10,11,31,8,9,4,3,9,89,0,7,14,25,25,8,45,29,17,173,0,0,7,10,47,88,191,193,38,575,3,8,12,35,20,17,12,10,0,112,12,45,66,429,107,55,48,38,15,813,0,0,3,50,13,0,0,3,0,70,0,0,0,25,5,4,0,0,0,38,0,0,0,3,0,0,0,0,0,6,0,3,7,41,32,11,13,10,3,118,0,3,3,18,29,46,90,107,44,348,5,23,18,95,31,12,6,3,0,189,0,24,37,88,33,7,0,0,0,182,0,0,0,11,12,17,6,10,4,62,0,15,15,87,46,40,17,13,0,232,0,0,0,0,3,4,8,8,3,33
SED21001,29,198,979,2106,760,501,202,147,47,4965,0,0,0,0,7,4,9,10,4,34,0,3,3,0,12,3,16,11,3,46,8,57,48,133,130,137,123,117,68,822,0,0,6,19,12,7,5,5,3,58,0,3,3,12,5,7,3,3,3,41,0,0,9,10,20,21,45,22,15,133,0,5,0,3,21,18,72,92,13,231,5,17,81,228,87,99,32,21,7,583,34,58,75,551,75,52,46,24,9,918,0,3,27,115,29,14,13,0,3,199,3,12,14,97,16,14,6,4,3,164,0,0,3,7,4,0,0,0,0,15,0,7,0,15,15,17,11,11,8,80,0,0,3,13,18,31,79,90,50,292,3,8,12,62,21,5,7,0,0,129,0,12,53,170,50,18,3,0,0,305,0,0,0,3,0,3,3,0,3,15,7,29,102,452,136,162,86,40,12,1027,0,0,0,0,0,3,4,6,3,17
