SED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SED20106,0,3,28,127,17,29,3,0,0,207,0,0,8,22,6,0,3,0,0,35,0,0,0,14,8,3,0,0,0,30,28,34,232,1126,173,155,155,122,58,2079,157,168,582,1974,509,438,299,133,70,4333,1698,2120,4826,16689,4765,3874,2708,1225,508,38414,0,0,5,19,4,3,0,0,0,26,2746,3392,3944,14435,5541,4496,2954,1081,385,38978,0,0,7,28,0,6,0,0,0,38,0,0,0,42,11,23,3,4,0,85,0,0,0,12,3,0,3,0,0,19,6,3,24,213,40,29,5,0,0,329,0,0,7,79,15,5,7,0,0,117,18,66,1456,1376,258,165,66,34,14,3442,0,0,3,29,19,16,9,8,0,89,0,0,0,26,19,26,35,16,3,115,39,111,234,1693,585,443,329,120,51,3608,0,0,0,53,17,18,4,3,0,97,6,20,50,322,32,19,24,12,4,487,4,6,28,232,65,40,74,21,15,488
SED20207,0,11,45,294,164,128,34,19,3,696,0,3,0,15,10,12,3,0,0,48,0,5,3,43,9,7,3,0,0,63,22,108,164,840,318,206,131,80,28,1895,183,282,237,811,329,261,180,114,56,2466,4009,6268,4862,16330,5959,4149,2618,1356,578,46137,0,0,9,15,8,7,0,0,0,34,7273,9639,6448,13013,5861,3434,1832,881,385,48764,4,10,23,178,26,7,3,0,0,250,0,0,3,78,35,40,19,4,4,181,0,0,12,65,40,40,19,5,7,190,0,14,7,52,21,12,3,3,0,125,0,0,4,44,38,25,32,4,0,147,60,175,351,2181,479,454,152,57,12,3926,0,3,4,49,74,80,90,67,3,371,3,9,17,60,37,34,28,14,5,211,40,239,194,732,594,424,399,198,76,2903,0,0,23,120,67,33,30,4,0,284,3,5,12,46,19,13,12,4,0,105,3,10,13,85,60,31,102,47,14,371
SED20302,0,8,4,31,12,10,3,0,0,64,0,0,0,11,4,6,11,13,0,43,0,4,10,34,4,3,3,0,0,51,4,55,90,298,121,88,83,36,19,790,115,247,231,613,400,395,404,253,140,2796,2560,4864,3740,9639,4601,4521,4264,2146,1051,37386,0,5,14,37,21,5,0,0,0,83,4917,8524,6143,12863,6206,5969,5072,2403,1049,53142,0,7,3,45,7,5,0,0,0,64,0,0,0,17,4,3,3,0,0,35,0,3,9,34,17,13,0,3,3,77,0,10,5,31,14,8,4,0,0,77,0,6,9,31,17,10,17,4,0,89,7,15,23,115,34,29,24,4,0,247,0,0,0,9,20,21,20,20,6,88,0,41,17,32,22,11,17,4,3,142,7,126,101,370,535,656,825,491,170,3279,0,10,12,58,22,3,8,0,0,111,0,0,0,7,16,8,4,9,0,41,0,4,11,35,35,61,114,72,26,358
SED20401,0,4,18,94,47,42,17,5,3,231,0,0,0,6,6,6,7,8,3,41,0,0,0,16,0,5,3,0,0,23,3,22,36,194,92,90,90,91,85,701,95,129,145,472,223,212,194,146,153,1769,2063,3388,3491,9127,4284,3802,3045,1659,984,31860,0,0,0,11,0,3,3,0,0,19,3927,6141,5945,12017,5646,4611,3304,1526,658,43772,0,0,0,25,6,0,0,0,0,33,0,0,4,26,11,16,0,3,0,60,0,0,8,50,30,15,20,9,0,124,0,0,3,28,16,14,3,0,0,71,0,3,0,21,16,10,14,9,0,61,10,52,101,835,234,167,90,35,10,1539,0,0,0,3,8,11,23,13,6,59,0,9,4,20,7,17,25,10,3,92,0,51,70,329,477,567,579,385,127,2579,0,3,9,28,24,13,11,3,0,87,0,0,0,12,9,5,9,0,3,50,0,15,11,42,29,58,148,182,97,575
SED20508,0,0,0,6,3,3,0,0,0,16,0,0,0,7,8,3,13,9,0,47,0,5,0,10,0,0,0,0,0,22,3,9,11,66,36,39,50,31,17,261,71,140,136,345,238,355,365,214,91,1948,1596,3605,2762,6565,4014,4580,4307,2191,1028,30653,0,3,3,0,0,0,0,0,0,9,3171,6792,5286,10479,5955,6589,5648,2753,1189,47857,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,7,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,10,0,32,18,16,3,3,0,86,0,0,0,3,0,3,5,0,0,9,0,3,14,45,19,17,7,4,0,108,0,0,0,3,15,20,24,38,0,100,0,0,0,0,3,18,20,8,3,45,9,95,70,292,436,531,715,407,157,2716,0,0,0,10,5,4,0,3,0,24,0,3,0,9,10,0,13,3,0,38,0,7,8,16,23,58,144,60,44,356
SED20604,0,0,0,7,0,0,0,0,0,12,0,0,4,3,7,3,9,0,0,20,0,0,0,6,6,0,0,0,0,14,9,34,32,116,52,55,74,55,32,461,102,190,234,540,331,357,298,179,80,2305,1963,4147,3570,7760,4525,4574,3401,1721,854,32532,0,0,0,5,0,0,0,0,0,3,3721,7698,6837,12522,7234,7178,5003,2267,978,53433,0,0,0,6,3,0,0,0,0,16,0,0,0,4,5,3,7,5,0,19,0,0,0,3,0,0,0,0,0,3,5,0,8,21,9,13,3,3,0,63,0,0,0,3,0,0,0,0,0,7,0,3,8,41,14,8,11,3,0,89,0,0,0,3,11,21,34,50,11,134,0,0,0,4,0,3,3,0,0,12,9,33,43,167,292,298,369,185,53,1459,0,3,5,16,3,3,5,4,0,37,0,3,0,9,6,11,9,5,3,44,0,5,9,17,45,86,196,82,44,476
SED20704,0,0,0,8,0,0,0,0,0,16,0,0,0,0,3,3,0,0,0,10,0,0,5,8,0,0,3,0,0,13,5,14,24,51,22,18,16,13,9,175,108,225,271,545,330,334,247,198,103,2351,2061,4127,4553,8075,4323,4195,3029,1780,1002,33147,4,3,6,15,3,0,0,0,0,33,3939,7864,7963,12859,6894,6712,4763,2557,1277,54839,0,4,0,15,4,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,26,11,4,3,0,3,62,0,0,0,3,0,0,0,0,0,3,0,14,37,97,36,10,3,3,0,201,0,0,0,0,4,0,3,6,0,18,0,5,4,14,8,4,0,0,0,40,4,30,36,118,212,227,256,125,61,1070,0,3,4,13,8,3,0,0,0,34,0,0,0,10,4,3,10,0,0,22,0,0,0,13,16,29,54,16,3,135
SED20804,0,4,7,21,6,7,0,0,0,38,0,0,0,3,0,0,13,0,3,22,0,0,0,9,0,0,0,0,0,7,0,3,14,65,24,27,35,7,6,183,109,169,202,584,325,386,348,246,184,2549,1762,3365,3403,7300,4060,4233,3523,2008,1032,30686,0,8,7,23,6,0,0,0,0,45,3279,6307,6141,11800,6400,6625,5131,2871,1167,49707,0,4,0,18,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,4,0,4,3,0,0,0,0,14,0,6,4,28,6,3,9,0,0,64,0,0,0,3,5,0,0,0,0,12,0,9,22,56,23,15,8,3,0,129,0,0,0,3,3,0,12,5,0,22,0,0,0,7,0,0,3,0,0,21,3,21,26,153,230,314,324,180,67,1324,0,0,5,9,9,4,0,0,0,27,0,0,3,10,5,3,0,0,0,25,0,3,4,14,14,32,55,21,13,152
SED20906,3,3,12,106,35,19,7,3,3,199,0,0,0,3,6,3,3,0,0,14,0,3,3,13,7,3,3,0,0,26,12,123,109,663,378,301,273,185,92,2137,77,118,144,394,217,189,151,134,91,1513,1864,4023,3460,8218,4919,3513,2421,1864,1166,31447,0,0,4,4,0,0,0,0,0,12,3496,6905,5322,8406,5518,3803,1949,1311,1025,37728,0,0,0,16,6,3,0,0,0,34,0,0,3,14,7,6,4,3,0,35,0,0,0,26,11,0,0,0,0,41,3,3,12,31,32,11,7,0,0,99,0,3,0,22,19,7,6,4,0,64,31,154,511,1193,509,283,121,61,21,2883,0,0,0,7,28,10,17,31,0,100,5,9,3,14,18,40,37,26,22,170,24,148,101,398,403,299,239,123,93,1836,0,0,0,14,16,12,3,3,3,51,3,22,17,58,30,15,11,5,9,170,0,13,19,53,44,23,84,41,29,307
SED21001,0,3,41,147,87,81,32,15,3,408,0,0,0,3,5,3,8,3,3,25,0,0,9,18,3,6,6,3,0,44,7,37,55,224,83,85,96,94,57,727,63,98,176,386,176,156,162,201,222,1632,1751,3867,4857,9687,5036,3952,2927,2326,1617,36028,0,0,4,9,0,0,3,0,0,20,3139,6402,6037,7932,5472,4274,2946,2044,1498,39749,0,6,11,46,5,3,0,0,0,73,0,0,3,7,6,0,0,3,0,28,0,0,5,25,8,23,6,5,0,67,3,11,9,44,24,26,7,0,3,117,0,5,0,16,3,13,10,3,0,46,78,394,1968,3552,1271,865,375,264,82,8844,0,0,0,0,11,10,16,16,10,60,0,0,6,7,14,12,22,16,14,88,20,111,101,298,312,295,292,205,126,1762,0,3,8,34,23,12,10,5,3,99,0,5,4,30,15,9,9,4,3,85,0,3,14,34,30,46,68,42,22,267
