SED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SED20106,0,0,9,15,21,19,35,41,20,23,33,29,19,43,12,329,0,3,6,9,13,195,436,781,200,225,329,429,420,220,172,3442,0,0,16,32,4,13,14,0,0,0,0,6,0,0,0,89,0,10,23,23,7,23,11,3,0,3,0,0,0,5,3,115,0,0,3,6,16,18,20,15,0,0,3,3,0,0,3,97,3,52,55,26,29,23,53,87,11,18,25,25,42,23,15,488,7,67,408,329,26,7,7,6,3,8,12,11,3,9,31,933,0,0,7,16,27,90,83,66,21,21,24,17,26,11,15,446,0,5,3,48,19,84,225,363,82,87,112,173,239,161,51,1649,0,3,3,9,15,36,248,157,45,55,46,79,61,40,19,807,0,0,0,0,18,15,26,68,27,38,22,19,23,8,6,273,0,0,0,0,3,7,10,8,0,3,0,0,0,0,0,34,0,7,15,30,18,34,56,168
SED20207,0,0,0,10,7,19,22,32,13,8,3,9,3,0,0,125,0,0,5,12,25,221,1054,1223,250,258,252,194,165,107,163,3926,0,5,88,150,8,39,49,3,3,5,4,0,13,0,10,371,0,4,31,37,14,28,35,32,10,0,0,3,13,3,3,211,0,0,0,3,22,57,77,64,6,4,24,11,8,0,4,284,0,107,67,24,15,19,46,47,7,13,9,8,4,4,16,371,0,34,131,187,26,13,12,4,3,13,9,0,6,0,20,458,0,0,3,8,16,66,113,50,22,17,6,13,20,6,6,347,0,3,7,58,47,153,1386,2480,316,332,385,537,455,261,162,6586,0,0,0,4,14,66,400,189,32,26,29,19,40,15,20,857,0,0,0,0,6,17,24,61,24,44,59,10,11,3,3,279,0,0,0,0,4,6,44,16,3,0,3,0,3,6,0,89,0,8,25,42,14,36,30,80
SED20302,0,0,7,12,10,17,13,20,0,3,3,0,0,3,0,77,0,3,9,0,8,15,40,79,10,6,26,9,23,3,15,247,0,5,16,41,10,11,7,0,0,0,0,0,0,0,3,88,0,13,4,6,0,5,22,35,18,11,5,9,3,3,0,142,0,0,0,3,11,24,22,33,0,4,0,3,0,3,3,111,4,110,108,41,22,10,19,12,3,4,3,4,3,0,14,358,3,12,34,34,3,3,3,0,0,0,0,0,0,0,4,102,0,0,0,0,4,14,10,5,0,3,0,3,0,0,0,52,0,5,10,34,15,39,234,609,50,72,73,52,69,37,51,1337,0,3,4,0,3,5,27,25,0,0,3,5,3,11,4,92,0,0,0,0,0,0,6,13,3,0,0,0,0,0,5,29,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,10,0,12,32,40,18,22,15,9
SED20401,0,0,8,13,10,18,14,7,4,0,3,3,0,0,3,71,0,4,6,3,17,137,384,550,81,61,73,80,57,39,37,1539,0,3,7,26,3,13,4,0,0,0,0,0,0,0,3,59,0,11,14,17,4,8,8,8,0,9,3,0,6,0,3,92,0,0,3,5,7,28,25,10,0,3,0,0,3,3,3,87,5,145,187,64,46,11,24,23,5,3,4,0,0,5,54,575,0,14,36,50,8,5,0,0,3,7,0,0,0,0,3,120,0,0,4,7,28,97,121,61,6,12,11,13,14,5,15,397,0,5,13,57,29,112,276,497,69,79,42,67,56,47,37,1385,0,3,4,10,12,10,71,39,0,0,6,8,8,3,0,173,0,0,0,0,10,24,37,37,30,20,24,5,10,10,3,221,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,0,6,14,34,19,28,14,10
SED20508,0,0,6,22,7,6,13,16,0,3,3,0,0,0,3,86,0,3,3,0,0,14,19,39,0,3,6,3,13,4,3,108,0,3,44,42,0,0,0,4,0,0,0,0,0,0,4,100,0,11,17,15,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,3,0,3,0,0,0,4,6,0,0,0,0,24,0,167,89,31,28,6,14,3,0,0,0,3,0,0,14,356,0,22,59,44,8,0,0,0,0,3,0,0,0,0,10,147,0,3,0,4,0,4,0,9,0,0,0,0,0,0,0,25,0,7,5,27,5,3,9,59,8,6,4,0,13,0,11,163,0,4,0,4,0,3,4,0,0,0,0,3,0,0,0,33,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,16,36,15,18,22,27
SED20604,0,0,3,12,9,10,18,6,0,0,0,0,0,5,0,63,0,3,0,0,0,10,17,27,4,0,3,8,3,0,3,89,0,4,50,59,6,3,4,0,0,0,0,0,0,0,4,134,0,0,4,4,0,0,4,3,0,0,0,0,0,0,0,12,0,0,0,0,3,10,8,8,3,0,0,5,0,0,0,37,0,189,134,57,24,19,16,16,5,4,0,0,0,0,18,476,0,0,4,3,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,17,0,4,0,9,0,5,34,177,9,25,13,12,17,16,12,331,0,3,0,3,0,6,3,9,0,0,0,0,0,0,0,24,0,0,0,0,0,3,4,0,9,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,13,15,13,5,7
SED20704,0,0,3,4,7,3,14,11,3,3,0,3,4,3,0,62,0,0,0,0,3,14,41,65,20,13,10,14,14,4,4,201,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,7,14,5,5,0,8,0,0,0,3,40,0,0,0,0,0,3,5,10,3,0,0,7,0,8,0,34,0,46,31,20,13,3,15,7,0,0,0,0,0,0,3,135,0,8,3,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,3,4,5,10,0,0,0,0,0,0,0,27,0,0,4,11,3,3,69,154,15,18,18,19,21,18,23,373,0,5,0,0,4,3,16,13,3,0,0,0,0,3,0,48,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,18,0,0,0,0,0,0,12,3,0,0,0,0,3,0,0,16,0,7,12,10,5,8,11,4
SED20804,0,0,0,13,6,6,15,4,0,0,0,0,3,0,6,64,0,0,0,0,3,10,15,31,3,12,11,10,9,11,23,129,0,3,4,11,0,0,3,0,0,0,0,0,0,0,3,22,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,21,0,0,0,0,0,7,8,11,0,0,0,0,0,0,4,27,0,57,34,17,9,7,5,6,3,0,3,0,0,0,11,152,0,8,16,13,3,0,0,0,0,0,0,0,0,0,0,42,0,0,4,0,3,3,3,7,0,0,3,4,4,0,12,45,0,3,8,12,0,0,29,162,15,20,26,31,38,25,26,375,0,3,0,0,4,0,8,3,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,4,0,4,14,6,0,4,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,11,0,9,15,14,7,13,10,14
SED20906,0,0,0,15,11,12,29,8,8,5,0,3,4,5,4,99,0,10,17,16,30,306,606,718,159,146,168,233,250,119,104,2883,0,0,40,35,3,10,5,0,0,0,3,0,0,0,3,100,0,19,50,45,10,12,3,14,0,3,0,0,5,0,8,170,0,3,0,7,3,14,15,3,0,0,0,0,0,0,0,51,8,77,50,27,19,15,45,28,8,3,3,0,8,3,12,307,4,60,509,377,42,18,12,3,3,9,8,10,4,4,33,1088,0,0,4,24,33,35,30,36,3,5,9,16,4,0,10,208,0,14,15,149,85,152,296,486,60,66,56,105,94,71,48,1697,0,7,3,3,5,26,56,18,0,3,5,3,4,0,0,134,0,0,0,0,15,11,12,25,14,4,0,3,4,4,0,88,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,15,0,12,14,29,18,46,40,36
SED21001,0,3,3,19,23,16,23,17,4,3,3,3,0,0,3,117,0,6,19,25,106,937,1690,2010,455,555,634,790,817,401,412,8844,0,5,18,29,0,0,4,0,0,0,0,0,0,0,0,60,0,17,21,20,8,6,10,3,0,0,3,0,0,0,3,88,3,0,3,6,12,30,27,9,0,0,0,0,3,0,0,99,0,61,63,36,27,20,23,18,0,0,3,0,0,0,10,267,0,43,230,114,19,8,3,5,0,0,8,0,3,3,4,429,0,5,7,44,133,311,202,146,36,45,43,40,49,27,31,1125,4,10,9,59,52,123,274,579,79,82,117,199,223,139,61,2011,0,0,6,5,26,47,138,52,11,7,12,13,13,12,3,357,0,0,0,3,17,24,26,60,31,45,55,49,34,15,9,379,0,0,0,0,0,0,3,11,0,0,3,10,0,0,0,29,0,9,16,23,8,25,13,10
SED21106,0,0,8,36,22,26,47,45,13,13,16,11,18,3,7,267,3,8,15,5,21,163,197,254,52,63,90,129,124,52,54,1237,0,3,18,31,3,11,15,5,4,0,3,0,0,0,4,96,0,24,34,38,3,3,8,3,0,0,0,0,0,0,0,125,0,0,0,4,5,3,6,3,0,0,0,4,0,0,3,37,13,95,60,30,45,36,52,45,6,20,4,17,26,11,13,467,3,46,167,108,4,4,8,5,0,7,0,0,0,3,16,373,0,0,7,23,23,20,26,21,8,5,16,8,8,4,3,168,0,12,11,76,34,64,68,114,8,17,18,38,12,29,18,518,0,4,3,6,6,9,20,15,3,0,0,3,0,3,0,85,0,0,0,3,11,3,6,13,3,8,8,0,5,3,0,64,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,17,0,7,23,23,22,48,64,100
SED21203,0,0,0,3,0,3,8,6,0,0,0,0,3,0,0,32,0,0,9,0,8,64,96,111,28,6,8,10,21,6,30,401,0,4,60,136,15,25,15,0,0,0,0,0,0,0,10,268,0,33,62,70,17,53,36,37,3,14,16,14,9,6,23,399,0,0,0,3,22,89,41,48,3,15,8,10,4,0,17,257,0,53,28,13,10,12,8,9,3,0,3,3,0,0,7,151,0,35,243,207,38,21,23,3,12,3,6,0,3,0,135,741,0,0,0,0,7,11,7,3,0,3,0,0,0,0,0,39,0,5,7,50,26,69,255,676,53,45,100,174,133,83,73,1750,0,4,0,0,8,17,44,19,0,4,4,6,3,3,3,113,0,0,0,0,10,13,37,77,47,59,234,7,8,11,54,558,0,0,0,9,88,591,1335,831,302,204,507,233,175,220,102,4599,0,8,11,18,3,4,3,11
SED21303,0,0,4,14,23,19,35,41,8,13,19,22,22,15,10,247,0,0,8,11,40,189,207,240,69,81,142,154,201,122,62,1521,0,3,24,52,3,12,11,0,0,3,0,0,0,0,3,123,0,5,30,35,19,23,11,6,6,4,0,5,3,5,3,165,0,0,0,3,7,17,8,6,0,0,0,5,7,0,0,58,0,35,25,17,12,26,67,53,16,14,23,14,19,11,8,345,0,100,812,571,62,33,10,3,4,5,13,6,6,7,45,1682,0,0,4,6,37,49,25,25,3,11,8,6,16,3,3,199,0,4,5,32,27,49,95,246,32,55,56,92,99,81,18,904,0,0,0,3,13,21,48,62,6,14,27,32,104,130,5,467,0,0,0,3,7,13,5,28,27,26,44,26,19,8,4,222,0,0,0,0,17,11,12,11,0,0,6,0,0,3,0,55,0,0,11,24,24,32,45,58
SED21401,0,0,3,4,3,11,13,13,3,3,6,0,3,0,0,69,0,28,66,74,201,1192,1419,1399,272,325,296,415,355,167,254,6455,0,0,97,79,9,13,3,3,0,3,0,0,0,0,8,208,0,40,51,92,21,97,41,48,0,10,10,6,8,3,7,426,0,4,4,6,26,25,17,5,0,0,0,0,0,0,3,81,4,98,44,27,8,18,12,14,0,0,0,0,0,0,6,233,8,253,945,558,81,36,18,8,15,15,19,8,3,3,71,2040,3,4,30,84,228,552,264,99,11,34,19,29,33,13,32,1426,0,10,4,80,61,184,200,222,14,27,30,55,24,20,26,959,0,5,8,11,20,38,105,14,4,0,3,10,0,3,8,241,0,0,0,10,65,170,162,211,103,105,131,65,35,52,22,1135,0,0,0,0,0,18,30,0,9,7,0,3,3,0,3,72,0,5,5,11,11,18,6,0
SED21503,0,0,0,0,4,11,8,4,3,0,0,5,0,3,0,43,0,4,7,7,19,287,696,1064,174,230,305,431,401,197,155,3979,0,3,45,151,6,16,4,0,0,0,0,0,0,0,12,244,0,14,35,31,11,64,19,4,0,7,3,10,6,0,17,226,0,0,3,5,10,37,35,7,4,0,7,0,0,3,4,114,0,63,43,18,16,10,16,22,0,3,0,4,3,4,6,205,0,94,378,338,39,24,11,3,8,11,11,0,6,0,44,974,0,0,0,4,44,67,48,30,7,17,14,8,20,9,3,285,0,3,3,24,31,154,263,397,54,68,125,154,183,184,42,1681,0,3,3,6,4,23,51,22,8,13,9,9,7,9,0,169,0,3,0,0,8,17,23,84,39,47,86,38,27,14,9,393,0,0,0,3,4,13,28,22,6,3,13,15,18,6,0,131,0,4,12,23,9,35,15,27
