SED_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED20106,..,1668,432,2107,14,2119,..,90,3,92,0,92,..,709,23,733,0,738,..,86,4,89,0,90,..,76,0,80,0,80,..,74,0,74,0,74,..,265,8,278,3,279,..,1300,42,1346,4,1352,..,1075,82,1152,12,1165,..,322,77,390,5,398,..,399,175,573,4,580,..,108,11,121,0,122,..,51,0,50,3,54,..,245,11,261,3,258,..,175,26,196,0,196,..,439,199,639,4,643,..,24,0,24,0,24,..,146,13,161,0,165,..,120,0,127,0,127,..,696,23,719,4,722,..,140,0,146,3,146,..,116,0,116,0,116,..,1073,27,1103,9,1105,..,975,84,1061,5,1062,..,168,8,174,3,178,..,209,27,235,0,238,..,161,34,190,3,196,..,381,53,435,3,441,..,1769,227,1999,34,2035,..,17303,2520,19820,157,19980,..,137,26,155,8275,8427,47544,17433,2547,19982,8434,75951
SED20207,..,1062,145,1212,11,1224,..,401,21,421,0,425,..,2685,114,2799,19,2821,..,1381,143,1518,16,1536,..,386,16,402,4,405,..,629,48,682,3,682,..,1008,65,1076,3,1081,..,6486,415,6903,46,6950,..,1153,129,1280,15,1294,..,222,23,242,0,241,..,439,172,605,6,617,..,783,109,892,6,901,..,1009,81,1089,5,1095,..,219,37,252,3,257,..,288,31,314,0,318,..,272,29,303,0,303,..,296,21,320,3,323,..,514,85,596,7,611,..,668,16,679,7,694,..,908,63,963,3,971,..,817,27,849,4,853,..,246,6,251,0,251,..,2635,109,2745,19,2770,..,738,75,813,6,819,..,597,27,632,8,637,..,194,44,237,0,237,..,140,20,162,0,162,..,1155,434,1588,9,1604,..,4305,875,5180,122,5302,..,30283,5124,35401,343,35747,..,184,65,248,4317,4569,51386,30464,5188,35657,4656,91695
SED20302,..,210,26,235,9,240,..,84,8,89,0,89,..,307,11,315,0,316,..,557,93,647,6,657,..,611,58,666,3,672,..,63,3,65,0,65,..,224,21,244,0,244,..,1835,191,2032,12,2040,..,444,65,512,19,534,..,68,0,68,0,68,..,26,7,34,0,34,..,23,0,23,0,22,..,60,4,59,0,63,..,41,4,43,0,43,..,74,6,75,0,75,..,78,7,86,3,92,..,81,7,86,0,86,..,67,15,75,0,77,..,198,4,204,4,204,..,82,9,84,4,90,..,200,3,205,0,203,..,64,3,69,0,69,..,535,22,561,11,575,..,295,29,329,8,337,..,147,14,159,3,160,..,75,28,102,0,102,..,68,7,75,0,75,..,109,37,146,3,148,..,1614,287,1900,46,1940,..,7222,998,8217,138,8360,..,173,28,195,4419,4613,59729,7390,1028,8416,4556,72701
SED20401,..,287,37,323,8,326,..,55,3,58,0,58,..,413,20,432,0,432,..,318,41,363,0,361,..,401,24,425,8,438,..,72,0,70,3,75,..,365,33,398,3,397,..,1618,123,1749,18,1764,..,305,39,345,3,347,..,82,8,97,0,97,..,155,77,230,0,230,..,13,6,18,0,18,..,9,0,9,0,9,..,192,48,242,9,244,..,170,42,209,0,209,..,90,12,101,3,100,..,32,4,35,0,35,..,80,26,102,0,105,..,177,9,185,3,189,..,160,9,169,0,166,..,187,0,187,4,190,..,55,0,54,0,54,..,580,13,595,9,598,..,271,37,310,7,312,..,156,4,162,3,167,..,122,29,151,0,153,..,18,4,29,0,29,..,311,129,437,3,445,..,1156,359,1509,53,1563,..,9044,1893,10933,157,11089,..,156,24,182,2924,3101,47991,9195,1917,11115,3079,62184
SED20508,..,219,43,262,6,268,..,8,0,11,0,11,..,38,5,40,0,40,..,31,3,36,0,36,..,16,0,16,0,16,..,11,0,11,0,11,..,31,4,29,0,31,..,132,10,138,3,145,..,368,36,402,10,417,..,48,3,49,0,53,..,7,0,7,0,7,..,20,8,26,0,30,..,97,4,106,3,110,..,4,0,4,0,4,..,50,0,53,0,53,..,13,4,16,0,16,..,0,0,0,0,0,..,17,4,19,0,19,..,38,0,38,0,38,..,35,0,35,0,35,..,38,0,39,0,39,..,4,0,4,0,4,..,114,0,115,0,115,..,68,5,80,0,79,..,3,0,5,0,5,..,31,10,42,0,42,..,34,3,38,0,38,..,50,8,62,0,62,..,323,48,373,7,382,..,2283,274,2560,50,2609,..,163,3,166,3065,3227,53380,2445,277,2726,3113,59222
SED20604,..,36,3,44,0,42,..,17,0,16,0,20,..,75,4,78,0,78,..,111,8,122,3,124,..,54,3,62,0,60,..,36,3,34,0,39,..,191,68,256,8,261,..,477,93,568,12,579,..,178,13,190,12,200,..,38,0,46,0,46,..,17,3,17,0,17,..,5,0,5,0,5,..,8,0,7,0,7,..,14,3,18,0,18,..,33,3,34,0,34,..,12,0,12,0,12,..,0,0,0,0,0,..,55,8,67,0,65,..,71,3,74,0,77,..,25,0,25,0,25,..,120,11,126,0,126,..,34,0,35,0,35,..,250,14,260,0,265,..,65,8,69,0,70,..,19,0,19,0,19,..,42,10,55,0,55,..,3,0,3,0,3,..,15,0,20,0,20,..,540,121,660,16,677,..,2617,348,2966,58,3025,..,131,7,144,3998,4139,57057,2747,361,3110,4060,64222
SED20704,..,57,9,64,0,64,..,31,4,37,0,32,..,94,4,101,0,98,..,101,11,108,0,109,..,59,3,66,0,66,..,57,4,60,0,62,..,69,6,77,0,77,..,410,31,444,4,446,..,112,5,120,4,119,..,29,0,32,0,33,..,37,11,43,0,43,..,3,0,3,0,3,..,12,0,12,4,20,..,13,0,13,0,13,..,15,0,15,0,15,..,29,5,29,0,29,..,8,0,9,0,9,..,0,0,3,0,3,..,69,0,71,0,68,..,57,0,57,0,57,..,58,0,58,0,58,..,8,0,8,0,13,..,189,0,194,3,197,..,26,8,35,0,35,..,41,3,45,0,45,..,21,4,27,0,27,..,14,3,11,0,11,..,38,3,41,0,42,..,597,319,914,16,938,..,2246,531,2779,40,2820,..,136,13,149,4044,4190,57239,2385,540,2924,4081,64246
SED20804,..,81,10,95,0,96,..,21,0,21,0,21,..,86,7,92,0,89,..,87,10,100,0,98,..,39,3,39,0,42,..,3,0,3,0,3,..,55,6,56,0,56,..,288,26,318,0,322,..,100,3,104,0,104,..,37,0,37,0,40,..,7,4,12,0,12,..,8,0,8,0,8,..,14,0,14,0,14,..,20,3,25,0,25,..,16,4,13,0,16,..,17,4,18,0,18,..,9,0,9,0,9,..,12,0,9,0,9,..,72,0,72,0,70,..,33,0,33,0,33,..,85,0,87,0,87,..,16,0,16,0,16,..,203,0,202,0,205,..,60,6,67,0,67,..,34,0,30,3,35,..,40,8,42,4,44,..,8,0,6,0,6,..,40,18,59,3,63,..,569,353,926,30,959,..,2060,590,2645,51,2699,..,167,11,178,4873,5054,52369,2228,600,2828,4923,60122
SED20906,..,2481,467,2944,34,2981,..,56,0,57,0,57,..,517,18,541,0,541,..,193,12,205,3,204,..,146,3,153,0,151,..,26,0,26,0,26,..,261,29,285,3,293,..,1201,68,1269,6,1273,..,1010,104,1116,15,1129,..,335,73,408,0,408,..,277,76,351,3,355,..,48,7,51,0,51,..,19,0,19,0,19,..,82,11,91,0,93,..,341,36,377,0,375,..,1751,314,2066,21,2086,..,12,0,12,0,12,..,161,11,166,0,166,..,83,0,83,3,88,..,124,4,125,0,125,..,107,5,104,0,109,..,34,4,41,0,41,..,345,7,359,3,362,..,371,24,397,8,399,..,162,3,165,0,169,..,78,21,101,0,101,..,84,17,107,4,112,..,286,55,342,7,352,..,2080,219,2301,42,2345,..,15421,2637,18052,173,18224,..,113,20,132,2515,2645,40164,15528,2655,18181,2688,61033
SED21001,..,1059,163,1225,11,1231,..,105,13,124,3,127,..,670,30,694,9,708,..,334,26,363,0,358,..,337,8,342,3,348,..,141,0,142,0,142,..,412,38,449,0,453,..,2003,110,2112,17,2128,..,782,105,881,4,891,..,234,31,261,0,261,..,434,164,599,6,603,..,66,4,75,0,75,..,17,0,19,0,19,..,299,83,382,5,392,..,97,9,111,0,109,..,74,5,84,0,84,..,5,0,5,0,5,..,62,3,69,3,69,..,138,0,140,0,140,..,294,19,311,0,314,..,166,0,167,0,167,..,76,4,82,0,81,..,681,21,707,4,705,..,250,32,284,0,284,..,225,9,231,0,230,..,165,35,203,0,203,..,54,8,61,0,61,..,504,142,649,10,658,..,1066,241,1310,43,1352,..,18990,5483,24466,173,24643,..,154,58,208,2651,2859,41844,19142,5535,24677,2831,69349
