SED_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SED20106,380,2372,7991,5112,3183,2418,1586,464,137,23645,45,133,376,273,503,355,207,73,21,1983,32,75,297,259,398,314,255,147,34,1814,5,25,69,50,98,110,102,62,20,525,4,3,38,19,59,95,180,176,83,654,5,5,18,13,18,17,17,31,15,139,120,398,1280,743,593,503,404,206,64,4311,593,3008,10066,6477,4857,3806,2750,1156,372,33078,521,2850,8477,5198,3357,2431,1372,407,126,24735,55,114,283,191,481,398,277,90,33,1926,30,63,195,156,321,382,327,145,54,1673,10,13,44,43,53,98,120,65,28,478,3,7,32,28,43,81,242,256,137,819,0,9,26,11,22,18,35,67,21,211,137,452,1305,696,484,459,339,193,104,4165,751,3507,10358,6323,4763,3874,2703,1225,506,34012,905,5221,16468,10309,6540,4851,2955,875,263,48377,103,247,665,466,986,746,484,159,55,3913,61,135,491,421,723,695,586,295,92,3493,17,37,110,88,151,206,219,123,51,1005
SED20207,638,1970,5668,6325,3169,1776,864,288,73,20777,111,201,471,643,1032,574,202,59,11,3304,106,228,554,672,990,814,441,161,40,3998,53,41,123,164,228,280,238,97,36,1261,14,19,61,67,127,208,373,291,87,1246,7,10,38,34,44,45,70,40,10,300,112,172,435,440,358,265,236,155,64,2222,1033,2646,7343,8329,5949,3959,2424,1094,328,33107,600,2000,6820,6599,3423,1822,708,234,73,22282,64,144,356,480,1003,570,225,80,28,2963,78,136,355,447,805,766,521,219,79,3412,21,38,63,109,209,332,297,159,58,1282,16,10,52,80,128,293,522,384,183,1668,7,3,29,42,56,92,75,75,33,410,112,131,453,420,329,272,264,200,128,2310,889,2472,8135,8172,5956,4140,2612,1355,578,34313,1243,3967,12489,12927,6595,3599,1572,527,142,43060,175,350,828,1119,2036,1146,433,138,44,6264,184,368,912,1110,1793,1584,961,378,120,7413,68,79,193,267,442,610,536,258,96,2541
SED20302,321,876,2397,2269,1366,1275,1064,406,124,10096,195,282,536,667,1004,768,494,154,42,4137,197,321,793,839,1150,1067,901,405,83,5755,75,82,214,254,350,470,550,280,74,2335,42,38,83,82,134,200,399,368,182,1530,3,5,22,16,17,20,20,13,7,128,128,103,260,305,368,393,419,326,152,2455,957,1699,4299,4430,4388,4199,3846,1957,650,26424,385,1152,3454,3044,1779,1530,991,419,155,12911,113,189,441,573,1082,879,552,202,59,4081,110,230,491,590,974,1052,1128,424,143,5151,48,57,127,166,275,453,582,266,112,2083,20,18,51,54,104,196,489,400,308,1634,0,3,14,24,32,16,26,17,11,141,112,118,275,322,356,396,498,418,260,2746,791,1766,4857,4771,4597,4516,4264,2147,1051,28754,708,2030,5849,5310,3142,2801,2054,828,279,23001,307,468,980,1236,2085,1639,1048,354,96,8216,305,547,1287,1429,2126,2127,2035,833,227,10901,122,137,337,420,631,918,1131,545,187,4422
SED20401,374,1320,3142,2847,1644,1439,978,407,141,12297,102,199,426,490,967,663,365,131,25,3369,117,209,575,578,832,716,584,260,67,3935,34,49,118,142,221,264,278,164,50,1317,10,16,55,68,95,113,219,221,106,900,7,11,17,23,25,21,29,18,3,154,64,80,227,256,221,215,212,185,109,1572,707,1891,4561,4409,4002,3426,2657,1391,492,23538,425,1462,3769,3361,2107,1569,891,361,142,14083,66,139,292,335,955,792,428,177,52,3222,68,106,279,350,687,787,768,356,135,3532,24,22,41,94,223,269,341,189,104,1309,10,11,38,46,79,132,305,285,230,1142,0,0,21,18,28,39,29,25,14,178,73,79,240,230,207,203,278,270,317,1901,665,1816,4690,4435,4283,3795,3042,1662,984,25370,794,2783,6915,6207,3751,3007,1867,768,280,26379,165,338,719,825,1919,1450,792,306,78,6595,184,313,859,932,1515,1502,1351,612,194,7464,59,70,163,238,446,536,616,360,151,2630
SED20508,343,835,1593,1985,1347,1610,1381,557,174,9829,92,166,336,489,942,841,536,202,38,3641,96,158,358,455,712,918,857,380,89,4028,45,54,96,122,186,277,418,255,75,1524,14,17,27,28,67,117,306,328,179,1083,3,3,11,11,7,7,14,15,6,77,70,74,135,192,222,293,397,272,143,1794,662,1314,2556,3282,3483,4060,3909,2005,700,21972,370,916,2201,2690,2055,1933,1323,555,188,12223,52,98,237,396,961,982,734,256,75,3801,75,86,248,317,601,895,1037,446,157,3871,21,17,59,58,147,304,413,254,111,1378,13,4,14,24,45,115,339,346,309,1196,3,3,3,6,4,9,11,21,4,56,67,55,139,173,197,346,439,319,190,1929,603,1180,2897,3664,4014,4581,4304,2186,1026,24462,712,1752,3794,4674,3408,3540,2708,1107,361,22055,147,258,569,885,1904,1829,1276,457,119,7445,179,245,611,769,1314,1805,1896,827,244,7892,58,68,154,179,329,581,832,508,185,2898
SED20604,401,1101,1803,1735,1247,1344,951,287,117,8981,157,277,478,607,949,746,415,108,44,3786,164,341,706,803,1303,1268,830,325,65,5794,45,45,153,151,288,372,456,211,40,1766,17,24,60,68,108,195,393,346,139,1350,0,7,12,20,22,14,13,11,3,108,119,175,313,342,361,390,316,248,103,2380,905,1967,3532,3717,4280,4341,3391,1526,508,24164,405,1083,2538,2535,1819,1530,850,309,132,11197,87,163,366,470,984,909,488,151,37,3650,94,176,494,547,1122,1212,911,401,169,5126,40,33,89,100,206,375,438,218,100,1597,8,20,31,43,50,161,341,332,253,1242,0,3,12,22,22,19,20,4,7,104,124,134,255,269,317,361,354,309,160,2291,761,1610,3780,3978,4528,4573,3403,1721,854,25204,805,2186,4335,4272,3065,2881,1804,592,246,20181,244,440,842,1073,1934,1659,900,260,78,7429,259,512,1195,1354,2426,2480,1747,719,230,10923,86,78,248,251,493,748,896,420,141,3366
SED20704,429,1472,2132,1970,1289,1258,794,289,106,9733,164,279,371,456,954,794,361,127,31,3533,138,244,634,652,962,915,684,280,68,4583,45,76,171,143,282,359,437,227,41,1785,20,28,78,74,116,159,305,298,176,1247,3,4,22,22,25,21,14,5,3,115,137,139,247,234,331,324,306,251,136,2108,933,2243,3652,3542,3951,3830,2902,1478,566,23101,611,1760,2850,2729,1917,1485,729,264,143,12482,108,191,316,412,926,905,494,185,62,3597,85,184,437,478,802,948,763,364,138,4194,40,40,89,111,240,367,416,253,103,1645,8,29,45,36,99,144,314,356,282,1314,0,8,21,20,29,15,8,8,0,116,133,135,255,266,312,324,305,345,280,2370,984,2341,4020,4050,4321,4193,3029,1777,1002,25723,1038,3230,4983,4701,3205,2745,1521,552,248,22222,268,472,689,864,1873,1702,856,306,89,7129,230,427,1073,1135,1763,1862,1440,649,208,8782,79,113,260,250,524,728,852,482,147,3435
SED20804,280,984,1905,1699,1206,1280,940,358,102,8751,124,247,385,504,825,739,310,135,26,3292,124,276,577,615,886,997,690,311,81,4552,54,66,177,182,310,367,450,276,59,1946,24,32,74,81,122,191,352,348,162,1382,0,5,26,25,31,24,20,7,3,146,114,173,545,451,438,408,392,271,148,2942,721,1786,3690,3555,3806,4007,3157,1705,580,23006,353,1177,2444,2301,1770,1545,931,355,131,11006,80,167,313,401,839,828,454,181,47,3314,111,225,423,437,803,849,838,383,134,4198,23,49,93,116,244,407,454,286,129,1809,15,19,56,55,68,200,415,401,303,1531,0,11,26,26,22,17,19,12,6,123,112,108,307,291,309,389,412,400,280,2607,692,1756,3655,3633,4057,4233,3521,2008,1027,24588,630,2164,4346,4001,2974,2828,1871,710,232,19759,205,418,705,906,1663,1568,767,314,73,6604,237,497,1000,1054,1688,1849,1530,692,215,8746,75,112,274,304,553,772,904,561,189,3747
SED20906,504,1537,2682,3528,3165,2024,1053,433,221,15145,43,79,135,222,569,445,232,91,57,1877,43,73,173,214,419,437,289,200,103,1946,27,13,45,42,90,120,130,105,66,637,15,8,14,32,39,80,193,278,188,841,0,3,10,15,27,15,26,23,10,136,80,95,174,230,212,157,170,150,73,1322,713,1811,3220,4283,4520,3272,2098,1283,708,21905,499,1428,3048,4174,3704,2164,1006,526,262,16814,38,35,100,147,568,492,332,194,84,1989,24,38,87,139,313,431,391,332,206,1967,6,9,18,37,73,107,154,150,110,663,6,10,12,22,27,105,296,394,312,1182,0,6,6,14,16,33,43,46,32,196,59,80,186,226,208,178,198,220,145,1501,639,1602,3466,4742,4919,3510,2416,1862,1163,24315,1007,2965,5732,7702,6871,4182,2056,965,488,31957,77,113,237,367,1138,943,564,285,145,3867,72,107,258,354,732,869,683,533,311,3916,30,22,67,79,165,222,292,250,175,1304
SED21001,655,2514,4199,3587,3235,2527,1538,722,338,19323,54,105,169,193,528,414,262,147,59,1932,51,69,158,188,330,279,260,213,101,1656,30,26,38,42,99,109,112,99,64,629,12,9,30,25,45,83,117,182,128,626,4,16,29,39,34,28,26,30,8,216,81,123,207,201,211,200,153,177,192,1536,894,2858,4833,4278,4490,3631,2476,1570,904,25927,653,2389,4475,4177,3943,2722,1449,782,395,20990,40,57,94,120,461,454,387,290,132,2043,29,35,78,92,248,325,450,370,238,1858,15,8,33,46,79,136,160,174,130,789,7,15,19,37,50,107,218,348,308,1120,0,7,37,31,40,52,51,51,34,311,79,103,241,177,198,153,212,303,381,1850,815,2618,4979,4689,5030,3941,2927,2327,1616,28953,1312,4901,8674,7767,7181,5248,2991,1510,739,40311,102,165,266,320,991,868,655,433,191,3977,78,101,241,276,582,603,709,583,337,3510,44,39,78,93,176,245,270,278,193,1420
