SED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED20106,20,516,2551,928,690,542,363,91,27,5724,9,239,2190,921,581,432,255,60,11,4708,6,93,1885,1050,673,478,234,45,8,4476,0,45,1200,952,601,351,191,52,10,3410,8,56,2174,2112,1259,761,313,50,8,6737,10,35,797,2168,1816,1135,522,109,22,6609,320,902,2701,1504,1142,966,708,378,182,8806,2472,6531,20435,12802,9621,7680,5452,2377,884,68259
SED20207,13,364,2124,1793,1301,783,190,64,19,6653,3,110,1424,1424,1004,459,86,18,3,4531,0,46,1099,1403,953,462,77,7,5,4056,0,18,673,1156,673,291,39,5,3,2867,3,14,831,1860,1071,439,59,7,3,4286,0,4,213,847,523,189,46,8,6,1834,396,386,983,953,764,567,448,256,135,4883,4879,5130,15499,16521,11915,8115,5048,2458,905,70471
SED20302,12,230,1246,1105,999,744,280,92,46,4759,0,76,831,719,644,416,138,33,14,2867,0,33,533,600,552,337,91,28,8,2175,0,14,243,404,363,198,55,9,4,1288,0,10,266,481,419,235,71,12,3,1504,10,9,77,165,172,153,60,30,12,683,478,269,611,648,759,758,871,654,379,5430,4092,3469,9171,9214,8991,8722,8113,4099,1699,57563
SED20401,7,258,1466,1022,1047,729,283,66,25,4909,0,98,1034,839,707,539,148,20,11,3407,0,31,684,752,596,415,90,11,8,2590,0,21,365,530,426,259,56,12,3,1675,0,8,368,710,567,301,72,14,7,2060,5,0,76,187,180,138,34,17,4,636,239,236,579,558,504,466,495,440,444,3959,3383,3710,9252,8857,8290,7231,5708,3054,1474,50973
SED20508,3,171,733,789,840,836,420,111,58,3959,5,59,571,611,656,469,200,48,14,2642,3,29,403,586,578,462,164,46,15,2280,0,6,188,398,440,311,92,30,6,1473,0,5,189,478,490,410,129,41,12,1752,3,8,67,255,289,226,115,55,17,1038,294,166,327,403,473,664,834,553,338,4047,3294,2501,5459,6949,7499,8639,8217,4200,1731,48485
SED20604,25,322,1013,923,1037,906,323,97,34,4690,8,106,708,743,796,591,205,35,18,3205,7,46,374,556,628,489,115,20,12,2243,3,8,217,394,449,311,71,6,12,1472,0,8,183,397,499,334,73,24,6,1515,5,3,44,127,189,143,76,23,0,616,473,322,613,634,679,744,629,489,282,4870,4102,3580,7317,7699,8807,8918,6793,3249,1369,51834
SED20704,10,272,1031,833,927,751,280,92,49,4246,4,122,699,671,716,482,155,27,18,2894,0,37,459,614,581,451,104,19,15,2279,0,18,258,383,418,282,75,11,7,1445,0,14,252,499,543,315,72,36,4,1737,4,8,70,209,235,172,60,29,9,802,500,317,537,504,621,677,598,510,430,4690,4403,4590,7678,7595,8278,8032,5934,3259,1570,51349
SED20804,6,245,841,721,849,708,249,104,41,3761,3,94,591,530,549,465,119,29,6,2390,0,29,347,441,472,368,79,29,4,1772,0,11,191,285,312,210,43,12,11,1070,0,8,197,352,357,263,56,18,8,1263,4,14,49,139,170,143,65,18,9,624,391,331,883,742,758,768,757,567,428,5616,3375,3555,7356,7194,7873,8241,6689,3709,1609,49596
SED20906,4,201,901,780,886,674,242,78,64,3827,0,81,723,697,704,476,147,45,20,2896,4,26,532,741,753,436,110,24,17,2647,0,7,297,585,602,363,67,25,15,1950,0,10,487,1286,1194,509,89,21,18,3613,7,15,188,1026,940,318,58,19,33,2601,232,243,410,525,529,401,368,330,265,3305,3865,3424,6687,9033,9443,6788,4520,3146,1873,48784
SED21001,6,328,1254,820,801,657,378,158,87,4484,7,107,969,668,635,516,226,94,64,3273,3,50,632,637,766,481,201,74,51,2890,3,21,374,589,570,391,133,50,30,2164,8,9,494,1139,1088,684,189,68,32,3706,5,14,173,902,1183,589,168,71,27,3134,272,278,469,455,491,361,365,501,658,3859,4590,5502,9832,8973,9528,7587,5406,3901,2527,57846
SED21106,4,247,1061,632,721,586,454,171,88,3958,4,87,925,585,589,525,316,109,61,3207,5,33,719,672,710,551,277,103,47,3113,0,18,451,550,549,381,198,61,31,2237,3,14,726,1218,1249,809,403,128,56,4604,0,18,365,1861,2332,1306,509,168,75,6642,284,257,722,719,759,584,448,388,358,4508,3637,3235,7556,8780,10020,7667,5527,3058,1952,51431
SED21203,11,235,1068,760,746,396,85,36,12,3349,3,68,520,445,444,234,30,3,0,1748,0,30,321,300,293,133,23,6,3,1115,0,12,158,216,185,95,15,5,0,684,0,8,171,241,157,82,9,5,3,681,6,3,52,66,69,38,19,14,7,259,570,516,1137,874,878,624,527,467,191,5777,5133,5552,11675,9122,9099,6540,4647,3442,1242,56445
SED21303,15,444,2729,1088,779,512,204,35,11,5812,4,151,2035,1017,651,403,112,26,3,4402,4,66,1607,1119,671,378,90,10,3,3943,0,25,871,876,555,294,56,10,3,2699,0,13,1114,1520,973,467,81,17,6,4180,0,14,299,1016,623,275,44,13,10,2299,234,476,1395,824,542,447,334,362,308,4925,2635,6846,18752,11601,7985,5849,3872,2999,1473,62016
