SED_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SED20106,7,1512,160,1680,52,1970,185,2197,22,1026,121,1166,15,2607,390,3012,41,8746,1287,10070,57,5659,765,6473,96,4147,619,4858,141,3193,474,3805,170,2251,323,2750,174,826,149,1155,148,179,46,372,918,32115,4512,37542,14,1520,165,1698,34,1907,176,2120,7,1163,142,1314,21,3029,463,3517,45,9020,1296,10368,57,5567,705,6328,81,4178,504,4765,134,3306,438,3874,188,2215,297,2708,296,790,137,1225,244,194,69,508,1121,32902,4387,38414,22,3035,325,3380,84,3879,356,4314,26,2190,262,2472,40,5639,852,6531,88,17764,2585,20435,115,11221,1465,12802,179,8322,1123,9621,271,6500,911,7680,362,4469,625,5452,467,1619,284,2377,393,374,119,884,2044,65014,8898,75951
SED20207,69,3983,215,4267,284,6046,352,6682,91,2276,124,2488,57,2424,178,2656,70,6882,403,7355,85,7811,446,8340,133,5469,349,5953,215,3504,242,3963,270,1987,167,2426,260,752,87,1098,162,138,30,328,1683,41277,2592,45554,34,3741,233,4009,144,5815,316,6268,48,2225,120,2385,32,2307,136,2475,79,7624,439,8147,118,7615,449,8184,185,5457,322,5959,266,3644,243,4149,301,2147,174,2618,399,868,94,1356,335,193,49,578,1947,41629,2567,46137,105,7724,442,8276,424,11863,667,12955,137,4494,240,4879,85,4733,314,5130,153,14509,841,15499,203,15424,900,16521,319,10930,670,11915,479,7146,488,8115,567,4142,340,5048,658,1619,181,2458,499,328,78,905,3633,82906,5155,91695
SED20302,42,2508,174,2720,249,4458,289,4992,96,1885,139,2116,47,1556,99,1697,81,3983,246,4301,104,4036,294,4440,174,3880,334,4390,243,3609,350,4199,321,3219,308,3850,295,1469,185,1957,214,353,78,650,1866,30956,2498,35313,8,2405,140,2560,114,4461,293,4864,45,1814,117,1971,33,1619,124,1767,82,4489,299,4868,127,4330,319,4775,209,4059,333,4601,298,3908,317,4521,316,3616,334,4264,403,1538,204,2146,480,437,131,1051,2115,32666,2604,37386,48,4912,315,5277,363,8917,578,9859,140,3699,250,4092,75,3170,218,3469,155,8471,544,9171,235,8365,614,9214,383,7942,667,8991,536,7516,663,8722,638,6833,647,8113,703,3004,394,4099,701,790,207,1699,3978,63624,5099,72701
SED20401,41,1998,99,2138,210,3237,171,3621,60,1579,73,1715,63,1741,87,1892,78,4247,243,4563,109,4045,260,4416,137,3664,204,4008,127,3102,192,3427,212,2296,157,2658,254,1040,98,1396,213,228,47,498,1510,27187,1632,30328,32,1919,110,2063,99,3152,138,3388,55,1533,80,1675,35,1708,76,1818,67,4360,264,4690,107,4082,254,4438,131,3943,214,4284,173,3435,185,3802,242,2618,184,3045,386,1137,134,1659,507,337,142,984,1840,28234,1781,31860,70,3919,209,4205,316,6387,305,7013,120,3113,154,3383,98,3448,167,3710,145,8604,505,9252,217,8126,518,8857,270,7608,419,8290,309,6544,384,7231,449,4917,343,5708,644,2183,231,3054,717,567,189,1474,3349,55421,3414,62184
SED20508,35,1635,93,1759,185,3399,192,3768,72,1557,83,1713,44,1203,71,1316,61,2331,163,2556,68,3018,197,3282,111,3173,204,3484,176,3610,278,4060,282,3296,332,3912,279,1555,173,2005,250,376,74,700,1562,25145,1852,28565,16,1501,84,1596,108,3334,166,3605,42,1468,80,1584,23,1094,59,1179,44,2681,172,2900,86,3409,172,3663,111,3684,219,4014,207,4044,328,4580,240,3732,339,4307,389,1621,179,2191,506,433,86,1028,1772,27009,1877,30653,48,3139,175,3357,289,6727,358,7376,116,3024,160,3294,68,2302,135,2501,108,5013,333,5459,156,6423,369,6949,224,6861,414,7499,377,7651,607,8639,519,7028,665,8217,670,3178,355,4200,760,812,161,1731,3333,52157,3730,59222
SED20604,33,1852,139,2025,267,3746,232,4244,80,1927,137,2142,57,1748,165,1967,91,3125,313,3531,111,3283,328,3721,162,3776,337,4276,224,3779,336,4341,320,2856,218,3387,258,1140,127,1527,186,268,55,513,1793,27500,2385,31681,16,1818,133,1963,96,3822,232,4147,40,1795,129,1956,48,1428,134,1610,70,3435,272,3782,116,3600,265,3981,148,4089,291,4525,243,4015,320,4574,247,2925,232,3401,331,1245,142,1721,399,388,68,854,1768,28560,2213,32532,49,3668,276,3994,359,7574,464,8392,117,3721,266,4102,108,3180,297,3580,166,6567,589,7317,227,6881,593,7699,312,7862,631,8807,469,7797,655,8918,566,5780,449,6793,593,2393,272,3249,591,658,125,1369,3561,56061,4598,64222
SED20704,32,1989,131,2149,279,3972,316,4556,94,1982,128,2202,65,2032,143,2241,98,3309,246,3660,97,3211,238,3542,161,3493,299,3954,213,3345,280,3833,246,2406,247,2899,188,1147,142,1485,198,281,88,566,1673,27162,2261,31097,21,1897,140,2061,121,3741,267,4127,42,2001,158,2204,48,2159,148,2346,100,3656,264,4019,101,3680,267,4050,154,3887,284,4323,206,3691,303,4195,235,2580,214,3029,330,1281,170,1780,469,401,134,1002,1826,28978,2347,33147,50,3892,271,4211,397,7712,580,8687,136,3982,285,4403,110,4192,288,4590,203,6959,515,7678,203,6893,507,7595,318,7378,582,8278,410,7041,578,8032,482,4991,464,5934,526,2425,312,3259,665,680,227,1570,3493,56142,4605,64246
SED20804,40,1603,148,1792,207,3122,270,3602,68,1552,116,1736,50,1545,189,1790,112,3035,540,3695,128,2994,431,3555,181,3200,428,3806,199,3445,365,4008,281,2604,273,3158,258,1284,162,1705,177,300,95,580,1717,24691,3026,29430,21,1598,147,1762,97,3075,199,3365,67,1473,104,1640,49,1599,117,1760,90,3264,304,3662,114,3245,269,3633,151,3600,308,4060,242,3653,336,4233,266,2964,292,3523,336,1458,211,2008,422,430,181,1032,1849,26361,2471,30686,61,3198,296,3554,303,6199,464,6966,133,3020,221,3375,105,3144,304,3555,211,6301,849,7356,249,6238,705,7194,332,6803,740,7873,438,7102,705,8241,554,5571,563,6689,592,2739,378,3709,600,733,276,1609,3567,51056,5499,60122
SED20906,19,1865,99,1986,111,4094,174,4377,43,1887,84,2009,30,1681,98,1815,37,3018,165,3222,59,3994,231,4283,83,4218,218,4525,101,3023,153,3276,157,1815,119,2101,216,980,89,1283,260,409,43,708,1123,26984,1477,29585,11,1769,84,1864,73,3807,140,4023,29,1762,64,1858,29,1494,87,1605,37,3241,189,3470,49,4458,241,4749,107,4586,224,4919,144,3207,155,3513,208,2062,146,2421,406,1337,121,1864,519,575,73,1166,1622,28310,1518,31447,31,3635,180,3853,178,7902,314,8399,66,3652,148,3865,60,3180,187,3424,77,6257,355,6687,110,8457,467,9033,196,8803,440,9443,243,6232,313,6788,364,3884,270,4520,625,2312,204,3146,782,986,110,1873,2746,55292,2998,61033
SED21001,15,1712,74,1804,144,3789,149,4080,53,2225,83,2366,51,2702,121,2877,49,4592,203,4837,70,3991,214,4280,84,4184,220,4491,115,3345,167,3632,148,2205,128,2479,246,1207,120,1574,335,486,78,907,1304,30445,1574,33317,11,1662,78,1751,50,3697,123,3867,23,2117,88,2225,26,2494,108,2632,57,4696,232,4994,76,4424,188,4694,126,4691,217,5036,153,3639,164,3952,198,2584,148,2927,476,1693,160,2326,776,693,156,1617,1975,32396,1655,36028,27,3379,151,3555,194,7481,272,7945,75,4346,169,4590,77,5196,231,5502,105,9287,438,9832,147,8416,403,8973,214,8873,438,9528,271,6987,330,7587,339,4788,277,5406,722,2896,281,3901,1106,1183,237,2527,3279,62839,3226,69349
