SED_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SED20106,3,35,0,37,977,146,1166,15,47,0,63,2543,404,3012,585,159,4,748,8011,1309,10070,1784,119,23,1931,3810,737,6473,1202,81,20,1307,2954,602,4858,276,187,3,467,2851,487,3805,43,394,7,445,1950,352,2750,3,97,0,106,864,181,1155,3,3,0,8,296,67,372,3910,1139,57,5104,24262,4295,33660,3,57,0,59,1085,165,1314,22,92,0,116,2922,474,3517,994,340,33,1372,7687,1308,10368,2053,255,93,2398,3244,687,6328,1162,204,59,1422,2850,488,4765,114,529,10,647,2796,431,3874,18,673,0,694,1706,306,2708,3,126,0,130,918,176,1225,8,6,0,11,401,94,508,4378,2282,195,6854,23611,4127,34599,3,95,0,103,2060,313,2472,40,139,0,179,5474,878,6531,1578,504,38,2116,15700,2620,20435,3835,375,119,4330,7049,1425,12802,2361,289,76,2725,5804,1091,9621,385,717,15,1113,5649,921,7680,64,1072,7,1139,3655,656,5452,11,226,0,235,1785,359,2377,9,8,0,23
SED20207,3,101,0,110,2200,176,2488,60,84,4,148,2312,198,2656,2042,152,18,2216,4691,447,7355,4524,99,72,4700,3189,449,8340,1936,121,30,2085,3511,349,5953,305,347,10,664,3039,257,3963,58,367,4,429,1788,214,2426,11,78,0,90,876,131,1098,3,6,0,3,270,47,328,8954,1354,143,10447,21885,2280,34608,18,139,0,155,2051,176,2385,183,149,0,331,1989,156,2475,3464,261,72,3801,3880,463,8147,5145,200,188,5531,2232,417,8184,1772,331,49,2153,3501,308,5959,157,889,18,1062,2846,245,4149,50,595,8,653,1746,219,2618,7,101,0,106,1103,151,1356,3,5,0,14,491,75,578,10800,2672,342,13814,19843,2209,35859,20,242,4,266,4253,356,4879,247,227,3,482,4298,350,5130,5501,417,90,6016,8572,910,15499,9672,301,266,10231,5425,867,16521,3712,455,80,4239,7018,660,11915,466,1236,27,1726,5885,499,8115,106,961,11,1077,3536,430,5048,14,174,0,197,1977,280,2458,10,13,0,20
SED20302,4,107,3,114,1744,258,2116,117,81,6,204,1385,112,1697,1578,127,38,1747,2284,272,4301,2473,108,59,2640,1523,275,4440,1292,156,30,1480,2564,353,4390,203,410,6,622,3228,353,4199,33,429,3,464,2989,399,3850,8,68,0,75,1578,305,1957,6,4,0,5,500,139,650,5718,1482,148,7351,17783,2471,27601,22,190,0,215,1571,185,1971,274,163,20,453,1183,130,1767,2417,264,131,2808,1775,280,4868,2911,162,190,3263,1201,313,4775,1136,416,56,1611,2666,324,4601,87,946,11,1047,3130,344,4521,33,686,5,725,3129,412,4264,8,76,0,77,1688,378,2146,8,12,0,20,817,210,1051,6904,2918,411,10225,17162,2572,29960,25,297,0,324,3318,446,4092,395,241,28,662,2563,246,3469,3996,396,163,4555,4056,554,9171,5383,270,252,5902,2722,588,9214,2423,577,88,3085,5227,676,8991,291,1358,21,1667,6357,697,8722,68,1115,6,1194,6116,811,8113,14,141,0,153,3268,679,4099,16,17,3,32
SED20401,4,67,0,73,1528,106,1715,53,58,0,111,1681,98,1892,1140,137,19,1300,3008,256,4563,2267,83,59,2405,1765,248,4416,1237,105,34,1370,2412,214,4008,177,309,9,493,2734,207,3427,30,469,0,499,1965,197,2658,14,95,0,104,1109,178,1396,0,7,0,7,395,92,498,4918,1330,124,6373,16593,1608,24569,13,115,3,131,1429,108,1675,117,127,4,252,1490,85,1818,1704,239,88,2026,2411,254,4690,2587,171,170,2925,1282,234,4438,1182,273,74,1532,2542,216,4284,95,896,12,1001,2602,194,3802,31,767,3,802,2009,237,3045,10,75,3,86,1325,244,1659,0,8,0,10,714,259,984,5737,2680,356,8774,15808,1822,26403,19,184,3,211,2964,219,3383,170,184,4,363,3168,182,3710,2840,384,107,3327,5414,510,9252,4848,261,230,5334,3041,483,8857,2421,380,101,2904,4960,427,8290,273,1204,20,1493,5340,395,7231,57,1236,3,1301,3976,433,5708,20,170,0,192,2434,429,3054,0,10,0,16
SED20508,9,72,0,81,1509,126,1713,45,43,0,93,1153,73,1316,850,87,20,957,1447,160,2556,2015,84,52,2151,931,193,3282,1156,105,47,1313,1967,203,3484,204,424,6,636,3145,273,4060,35,611,6,651,2888,371,3912,8,127,0,129,1642,236,2005,0,6,0,6,564,124,700,4328,1551,137,6020,15249,1764,23034,14,118,0,134,1319,132,1584,105,89,3,203,917,67,1179,1343,161,68,1568,1182,147,2900,2334,147,190,2675,828,164,3663,1183,286,53,1523,2303,194,4014,107,1026,15,1140,3131,314,4580,29,963,9,1004,2905,399,4307,0,128,3,136,1753,306,2191,3,6,0,8,872,150,1028,5118,2929,338,8386,15201,1860,25452,21,187,0,210,2828,262,3294,149,136,3,293,2068,144,2501,2190,246,89,2525,2628,307,5459,4352,230,246,4832,1757,357,6949,2342,386,104,2834,4269,395,7499,313,1450,17,1778,6275,586,8639,67,1572,15,1652,5792,773,8217,4,255,6,261,3398,535,4200,3,13,0,19
SED20604,14,88,0,100,1799,244,2142,89,79,3,169,1631,171,1967,1164,144,32,1336,1889,308,3531,1984,103,66,2152,1254,315,3721,1127,170,36,1330,2609,339,4276,202,427,8,633,3350,355,4341,34,353,0,389,2693,312,3387,5,76,0,81,1218,234,1527,5,5,0,8,414,87,513,4619,1431,146,6198,16847,2368,25412,23,138,3,164,1588,210,1956,185,147,10,341,1151,123,1610,1794,225,121,2138,1400,247,3782,2410,156,129,2698,1043,233,3981,1030,453,56,1537,2719,272,4525,90,975,9,1076,3177,327,4574,20,567,3,590,2493,322,3401,8,83,0,90,1369,267,1721,11,12,0,18,712,123,854,5567,2760,327,8647,15646,2126,26422,33,228,3,264,3386,453,4102,272,222,14,508,2783,293,3580,2957,367,150,3471,3290,559,7317,4397,262,197,4851,2292,553,7699,2160,617,98,2873,5327,612,8807,292,1400,14,1709,6530,683,8918,57,913,4,973,5180,635,6793,9,162,0,168,2583,498,3249,10,16,0,33
SED20704,7,95,0,107,1861,239,2202,103,109,3,219,1874,155,2241,1224,134,31,1387,2017,253,3660,2058,84,64,2200,1113,232,3542,1206,158,31,1400,2263,292,3954,173,454,7,632,2898,303,3833,29,418,0,453,2148,297,2899,7,84,0,90,1153,239,1485,3,5,0,6,441,124,566,4814,1541,135,6485,15773,2123,24383,26,182,0,208,1764,232,2204,221,189,22,430,1780,141,2346,1748,264,125,2132,1642,243,4019,2490,155,168,2812,992,247,4050,1114,400,52,1565,2477,285,4323,105,1039,5,1145,2762,288,4195,25,636,7,667,2082,278,3029,3,88,0,96,1383,305,1780,12,7,0,20,757,233,1002,5743,2953,379,9077,15631,2251,26957,34,275,0,314,3622,469,4403,329,303,20,653,3648,292,4590,2967,402,154,3522,3661,495,7678,4545,231,232,5014,2102,478,7595,2317,560,87,2965,4743,571,8278,280,1485,13,1776,5655,593,8032,56,1052,10,1122,4233,583,5934,7,175,0,178,2536,544,3259,16,12,0,25
SED20804,12,71,0,78,1457,199,1736,114,78,3,194,1412,188,1790,1064,121,37,1217,1945,532,3695,1700,91,61,1851,1271,432,3555,1002,156,39,1198,2186,425,3806,196,402,11,604,3019,383,4008,36,356,0,397,2409,357,3158,6,79,0,82,1360,267,1705,3,4,0,7,450,120,580,4123,1363,146,5634,15510,2902,24040,29,144,0,168,1303,165,1640,224,127,9,357,1286,118,1760,1535,244,94,1872,1507,281,3662,2071,143,142,2357,1001,274,3633,923,417,66,1407,2371,285,4060,104,959,9,1077,2830,328,4233,29,612,5,645,2509,370,3523,6,95,0,100,1567,338,2008,3,4,0,10,765,251,1032,4922,2749,322,7998,15138,2423,25559,39,214,0,252,2764,365,3375,332,202,12,552,2696,310,3555,2595,366,129,3088,3451,811,7356,3775,234,202,4215,2271,707,7194,1924,577,101,2600,4557,711,7873,299,1360,14,1677,5850,719,8241,61,977,3,1040,4918,724,6689,10,171,0,181,2926,603,3709,8,15,0,20
SED20906,11,67,0,77,1799,135,2009,8,40,0,53,1666,100,1815,650,70,8,730,2295,197,3222,2514,69,36,2621,1433,235,4283,1872,70,29,1976,2339,215,4525,296,224,7,521,2589,162,3276,30,350,3,385,1550,160,2101,8,122,0,128,1042,116,1283,4,12,0,13,630,67,708,5394,1024,86,6503,15338,1385,23228,6,129,0,135,1622,97,1858,23,81,0,106,1411,87,1605,1100,139,27,1263,2011,198,3470,3160,122,138,3428,1100,220,4749,1918,173,71,2160,2540,220,4919,136,577,15,725,2614,171,3513,41,631,5,677,1555,186,2421,12,156,3,174,1502,187,1864,5,10,0,17,998,154,1166,6404,2023,256,8687,15356,1513,25556,13,200,0,215,3429,225,3865,39,123,0,159,3069,191,3424,1749,209,36,1993,4302,394,6687,5679,191,176,6045,2533,457,9033,3794,241,94,4131,4880,434,9443,426,796,20,1244,5206,336,6788,71,978,7,1065,3110,351,4520,20,277,3,304,2545,301,3146,8,24,0,30
SED21001,8,79,3,86,2146,130,2366,14,64,0,78,2661,138,2877,771,84,5,863,3743,232,4837,2320,60,48,2428,1637,222,4280,1810,71,37,1919,2357,211,4491,350,230,6,588,2892,162,3632,66,499,3,566,1757,152,2479,13,163,0,176,1233,160,1574,0,12,0,14,744,148,907,5353,1256,108,6720,19168,1545,27436,4,111,0,112,2010,101,2225,34,77,0,114,2400,112,2632,1212,170,33,1418,3339,239,4994,2935,162,126,3226,1285,179,4694,1916,156,61,2132,2716,198,5036,210,616,12,838,2959,152,3952,46,892,4,944,1808,182,2927,9,202,0,220,1846,269,2326,4,20,0,29,1324,265,1617,6374,2413,244,9029,19680,1700,30412,12,186,3,202,4154,234,4590,49,141,4,196,5064,247,5502,1979,252,40,2277,7082,470,9832,5254,217,181,5655,2922,397,8973,3728,225,97,4046,5072,407,9528,556,847,17,1425,5848,314,7587,110,1384,8,1510,3567,330,5406,28,365,4,393,3077,428,3901,11,36,0,46
