SED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED20106,7266,16747,6989,1034,366,32402,1012,33414
SED20207,1303,10297,12952,3349,1536,29440,766,30207
SED20302,1208,8997,10263,3162,1545,25174,1069,26244
SED20401,1077,7740,9087,2787,1433,22129,685,22812
SED20508,631,7251,9301,2738,1387,21301,708,22012
SED20604,1060,7434,9373,3218,1744,22818,858,23681
SED20704,1086,7394,9184,3189,1701,22552,853,23396
SED20804,1480,8210,8265,2808,1529,22287,1007,23289
SED20906,1465,7834,8841,2114,915,21168,640,21805
SED21001,2372,9902,9010,2218,1037,24532,662,25197
SED21106,1576,9211,9156,2152,942,23032,615,23651
SED21203,2066,7713,6997,2485,1270,20538,1199,21741
SED21303,5178,13720,6838,1519,600,27858,895,28750
SED21401,1009,6875,9120,2838,1497,21335,602,21938
SED21503,1463,7182,8153,2543,1275,20614,637,21255
SED21608,1018,6458,8025,3175,2074,20751,872,21621
SED21706,1861,7979,9170,2454,984,22447,579,23027
SED21805,1365,8554,10262,2795,1350,24330,919,25244
SED21906,2939,10602,8382,1736,762,24420,700,25117
SED22005,2288,9392,8665,2609,1195,24154,945,25095
SED22105,805,8183,13835,4084,1851,28762,946,29711
SED22201,1019,7317,8711,2622,1391,21054,601,21658
SED22305,2320,8827,7791,2626,1457,23021,1247,24267
SED22404,626,5928,7820,3426,2371,20170,975,21144
SED22501,543,5227,9048,3107,1944,19868,390,20255
SED22607,3281,10593,7861,1989,950,24673,899,25571
SED22704,1051,7335,8690,3531,2433,23040,1144,24191
SED22802,568,4988,8165,3123,2151,18998,505,19510
SED22901,853,5926,8468,2941,1511,19701,507,20211
SED23007,3912,11917,8557,2328,995,27709,1247,28953
SED23101,1153,6692,8922,2454,1132,20345,504,20852
SED23205,1909,8971,8413,2243,1086,22624,1013,23637
SED23308,2258,10365,8769,2239,968,24599,939,25531
SED23402,640,6138,9766,3460,2266,22269,601,22868
SED23502,1010,7435,8454,3078,1724,21708,1159,22866
SED23602,1001,6946,7946,2931,1710,20544,826,21368
SED23702,765,6638,9258,3716,2687,23059,777,23837
SED23806,2778,10299,8402,2051,897,24429,656,25086
SED23901,1761,8828,8970,2301,1004,22868,701,23564
SED24006,1118,7280,8824,2627,1196,21040,494,21535
SED24105,1266,6548,8544,3268,1557,21191,808,21997
SED24207,900,6816,10643,3553,1685,23603,891,24491
SED24308,1975,8328,8178,2703,1416,22598,1090,23684
SED24408,1183,7070,7781,3175,2216,21421,982,22404
SED24504,544,5129,8339,3343,2231,19587,701,20288
SED24606,2201,8886,7919,1980,1026,22021,624,22641
SED24703,23479,16258,5084,779,269,45867,1890,47756
SED24808,1179,8249,10474,3508,1946,25362,1049,26407
SED24904,1497,7457,8212,2984,1880,22025,1214,23241
SED25003,700,6066,9135,3258,1931,21087,611,21703
SED25102,434,4709,8397,3200,2175,18909,447,19364
SED25205,1368,8289,9493,2400,1086,22644,634,23276
SED25302,774,6754,9523,2944,1444,21434,708,22143
SED25402,1568,8305,8778,3020,1663,23323,1078,24396
SED25501,1027,7125,8763,2690,1101,20704,480,21182
SED25605,1160,6750,8509,2723,1373,20507,684,21192
SED25704,1231,7026,8570,3254,1991,22071,1141,23216
SED25802,1207,7386,8964,3504,2402,23465,992,24457
SED25905,690,5552,8638,3323,2084,20282,658,20937
SED26005,505,5697,10894,3840,2069,23002,638,23643
SED26102,1044,8318,9177,2572,1146,22253,1155,23407
SED26207,1230,6806,8619,2686,1355,20695,722,21415
SED26303,3295,11494,7375,1524,584,24263,742,25011
SED26406,3202,10843,8311,1980,876,25211,781,25994
SED26504,1105,7084,7879,2757,1702,20528,1105,21630
SED26603,2777,11342,8718,2268,1075,26186,915,27103
SED26708,854,6371,8257,3353,2222,21051,932,21983
SED26806,7709,17377,6585,1011,366,33049,1106,34152
SED26903,3298,11112,7330,1906,831,24471,1119,25582
SED27003,6543,15051,6415,1155,306,29477,1104,30580
SED27101,1485,8947,9034,2185,999,22649,602,23257
SED27208,1314,7615,8656,3309,2228,23121,1213,24335
SED27305,320,3929,7942,3188,2060,17436,388,17824
SED27406,1296,8280,8875,2180,970,21601,567,22169
SED27504,1405,8129,9078,3255,1841,23714,1138,24856
SED27608,750,6769,10864,3152,1686,23221,637,23854
SED27708,1187,7646,8899,2990,1728,22446,991,23443
SED27807,2422,8699,7703,2891,1443,23159,1307,24472
SED27907,886,6581,8516,3044,1743,20761,610,21372
SED28007,590,5291,9887,3863,2282,21912,579,22492
SED28107,753,8806,12392,3724,1817,27496,824,28323
SED28203,1634,7622,8236,2693,1305,21490,876,22368
SED28301,579,4930,8462,3223,2072,19274,492,19760
SED28408,1615,8349,8004,2243,1034,21240,832,22074
SED28507,1373,8370,8931,2813,1425,22907,790,23697
SED28607,2389,10675,9622,2095,816,25592,786,26380
SED28704,428,5945,11899,3915,2532,24713,585,25299
SED28803,643,6600,11055,3931,2437,24665,660,25324
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
