SED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED20106,..,12551,12551,10970,2359,13333,3528,711,4244,2278,177,2460,615,43,658,155,22,179,17553,15869,33414
SED20207,..,5278,5278,7711,653,8364,6134,147,6282,6626,51,6677,2419,30,2442,1144,11,1158,24041,6170,30207
SED20302,..,6873,6873,8452,552,8998,3816,68,3880,3832,21,3849,1753,5,1761,884,0,884,18734,7513,26244
SED20401,..,5727,5727,6819,551,7371,3907,94,4000,3742,34,3774,1362,14,1372,560,8,562,16392,6425,22812
SED20508,..,5665,5665,7959,396,8362,2955,31,2980,3173,11,3183,1356,0,1360,466,0,463,15906,6109,22012
SED20604,..,6314,6314,8220,560,8781,3310,60,3374,3215,31,3241,1417,10,1424,541,0,542,16700,6980,23681
SED20704,..,6052,6052,7551,676,8224,3343,201,3547,3247,71,3314,1577,23,1599,649,9,661,16367,7033,23396
SED20804,..,7285,7285,7593,707,8302,3142,129,3272,2749,24,2773,1168,8,1179,469,5,480,15125,8160,23289
SED20906,..,5070,5070,5774,453,6228,3704,139,3840,4597,44,4645,1575,15,1594,425,11,433,16075,5735,21805
SED21001,..,6312,6312,6808,781,7590,4043,330,4374,4449,140,4595,1664,60,1721,566,39,600,17533,7658,25197
SED21106,..,6636,6636,7041,803,7841,3249,142,3396,3947,37,3983,1438,9,1441,346,3,348,16020,7629,23651
SED21203,..,4401,4401,4887,425,5313,3590,136,3724,3689,91,3781,2319,61,2381,2101,44,2141,16587,5153,21741
SED21303,..,8502,8502,8144,2219,10361,3580,1063,4646,3234,485,3723,941,161,1102,356,63,418,16254,12499,28750
SED21401,..,4414,4414,6996,346,7343,3856,134,3990,3962,47,4009,1570,14,1586,585,12,598,16968,4972,21938
SED21503,..,4499,4499,6122,574,6700,3649,306,3955,3799,171,3968,1352,100,1454,629,52,679,15549,5705,21255
SED21608,..,5715,5715,6931,657,7590,2959,138,3096,3136,87,3226,1377,15,1388,602,13,611,15004,6620,21621
SED21706,..,5368,5368,5870,616,6485,3665,410,4070,4449,240,4696,1669,123,1792,508,102,616,16160,6867,23027
SED21805,..,6764,6764,7375,698,8073,4230,92,4322,4016,19,4036,1446,7,1456,604,0,604,17670,7581,25244
