SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED20106,3,42,425,757,396,87,14,29,1755,3,244,1969,1624,340,67,3,88,4343,8,156,1055,2243,641,97,24,80,4316,10,403,3023,3864,983,171,31,170,8658,147,730,977,196,16,4,3,73,2149,81,1613,1836,308,12,3,6,139,4006,104,4800,8800,2147,133,17,12,343,16355,0,13,8,8,0,0,0,0,27,338,7156,11618,2665,158,20,18,554,22533,4,143,156,32,6,0,0,10,362,5,20,51,21,6,0,0,15,110,354,7766,15275,7334,1552,275,71,778,33414
SED20207,19,66,1187,10403,10122,1047,128,420,23396,10,70,1404,1204,748,35,6,72,3558,6,16,285,1166,543,80,8,39,2145,16,90,1689,2371,1287,118,12,112,5702,3,76,446,226,28,11,0,25,824,0,46,10,0,0,0,0,8,64,0,25,114,14,0,0,0,6,158,0,0,0,0,0,0,0,0,0,7,154,565,242,35,11,0,34,1042,0,3,9,10,6,0,0,0,27,0,0,9,18,9,3,0,10,40,49,313,3460,13047,11451,1179,137,573,30207
SED20302,35,234,2872,11222,7978,918,165,527,23954,4,191,678,317,56,6,0,69,1339,0,11,93,252,51,0,0,8,415,3,203,774,576,106,8,0,76,1755,4,25,99,48,6,0,0,9,196,0,9,3,3,0,0,0,0,13,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,37,100,54,6,0,0,15,220,14,89,95,3,8,0,0,22,235,0,3,17,30,18,0,0,15,85,64,568,3865,11882,8114,930,170,652,26244
SED20401,15,146,1949,9693,4605,862,166,330,17761,4,174,1611,972,231,40,3,91,3126,3,17,436,431,35,3,0,21,948,4,190,2049,1406,268,45,3,112,4072,10,116,343,203,22,6,0,40,741,0,38,81,9,0,0,0,3,130,0,8,23,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,10,168,446,210,22,6,0,45,903,0,0,3,8,3,0,0,0,13,0,9,10,14,14,0,0,11,64,33,513,4457,11326,4905,915,169,493,22812
SED20508,18,137,1775,10665,6193,837,149,361,20127,10,80,593,288,19,3,3,33,1024,0,4,90,194,47,6,4,10,361,10,90,679,478,74,10,4,41,1389,3,20,136,68,7,3,0,11,255,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,136,70,7,3,0,11,258,8,54,42,22,10,0,0,8,134,0,4,20,46,17,3,3,13,100,29,305,2641,11279,6303,861,154,441,22012
SED20604,26,213,2196,10986,6407,791,149,409,21172,0,208,968,253,16,0,0,60,1504,0,3,54,41,0,0,0,9,108,0,210,1021,291,22,3,0,62,1608,0,118,362,69,4,0,3,30,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,362,69,4,0,3,30,583,13,43,30,20,14,5,3,10,143,0,7,26,67,38,14,3,8,163,39,599,3626,11441,6479,813,157,528,23681
SED20704,20,187,2156,10664,6694,845,144,405,21105,11,220,1030,355,35,3,0,80,1728,0,10,52,132,17,0,0,3,221,11,236,1084,487,50,3,0,81,1949,0,6,86,49,3,0,0,12,159,0,0,6,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,95,52,8,0,0,12,174,11,17,25,11,4,0,0,8,88,0,4,17,22,18,6,3,15,83,41,458,3377,11234,6770,854,149,512,23396
SED20804,42,417,3490,11179,4655,610,127,509,21030,14,258,747,226,13,3,0,78,1345,0,22,77,58,3,3,0,21,186,16,276,817,287,19,6,3,102,1526,8,106,171,54,3,0,0,21,369,0,24,12,0,0,0,0,8,44,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,144,185,56,3,0,0,26,429,21,67,37,21,4,0,0,12,158,0,11,36,48,36,0,3,10,148,89,920,4563,11586,4725,621,132,662,23289
SED20906,10,75,1864,7585,3987,885,147,263,14816,6,110,1071,809,65,5,0,64,2130,0,46,211,882,511,38,0,26,1714,6,157,1287,1684,579,39,3,89,3847,6,234,1208,596,123,5,0,53,2229,0,71,227,14,0,0,0,9,322,0,152,271,16,0,0,3,26,470,0,0,0,0,0,0,0,0,0,12,456,1705,633,123,5,3,89,3018,0,6,31,15,4,0,0,0,58,0,8,8,23,19,0,0,3,63,29,704,4898,9938,4710,933,152,448,21805
SED21001,11,78,1483,6851,4737,1247,210,245,14860,3,244,2641,1568,130,19,4,91,4701,8,32,503,1160,365,38,4,40,2157,14,279,3146,2725,487,57,12,136,6855,4,189,1067,177,17,3,0,39,1503,29,306,548,47,0,0,0,26,957,42,461,363,16,0,0,3,31,915,0,0,0,0,0,0,0,0,3,71,949,1980,241,24,5,4,100,3369,0,0,15,12,5,0,0,0,39,0,8,14,26,9,7,0,10,67,99,1317,6629,9859,5260,1314,227,492,25197
