SED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SED20106,134,4,3,4,141,14,0,152,0,0,0,5,5,0,0,0,5,0,3,3,629,76,5,6,714,20,9,29,746,52,7,796,152,24,3,0,175,7,3,8,182,11,0,193,141,19,3,0,163,7,3,6,169,4,0,176,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,288,42,6,0,342,8,5,13,359,18,0,370,4,0,0,0,4,0,0,0,6,0,0,8,4,4,0,0,5,0,0,0,6,0,0,6,7,4,0,0,10,0,0,0,9,0,0,9,298,43,6,0,353,10,6,18,368,18,0,382,49,7,0,0,58,5,0,5,60,10,0,73,0,0,0,0,0,0,0,0,0,0,0,0,347,50,6,5,414,16,6,20,430,25,0,459,181,26,0,0,207,4,0,4,211,19,0,228,180,16,0,4,203,4,0,3,208,5,0,212
SED20207,544,17,5,18,560,113,0,680,0,0,0,5,5,0,0,0,5,4,6,14,2091,262,24,44,2418,79,12,94,2509,189,11,2716,393,47,0,0,440,15,0,22,460,20,0,487,415,69,3,3,492,9,5,7,501,13,0,512,6,3,4,0,20,0,0,0,20,3,0,18,3,0,0,5,10,0,0,0,10,0,0,16,821,117,6,12,957,28,9,32,994,37,3,1032,25,3,0,0,26,0,0,0,29,0,0,32,39,0,0,0,37,7,0,4,43,0,0,49,57,5,0,0,62,8,0,8,73,0,0,77,882,123,11,14,1024,31,7,41,1064,43,3,1107,216,37,4,5,261,16,7,19,281,62,0,348,0,0,0,0,0,0,0,0,3,0,3,3,1097,161,15,17,1289,48,16,58,1347,109,3,1456,593,60,4,3,660,13,4,19,674,38,0,713,505,74,5,6,589,13,3,20,611,17,0,627
SED20302,363,15,3,20,385,53,0,437,0,0,0,3,3,0,0,0,3,0,9,11,1547,203,32,32,1818,45,7,47,1866,116,9,1986,300,33,4,0,342,11,0,11,347,21,0,370,394,49,9,4,460,7,0,7,466,19,0,489,18,0,6,0,26,3,0,3,28,0,0,28,3,3,0,4,7,0,0,0,8,0,0,8,721,92,16,10,837,23,0,23,856,36,0,896,5,0,0,0,11,0,0,0,11,0,0,11,13,6,0,0,19,0,0,0,19,4,0,23,23,9,0,0,30,3,0,3,29,4,0,33,743,97,16,10,862,21,0,21,890,41,0,927,153,21,5,4,188,3,0,4,197,39,0,233,3,0,0,0,3,0,0,0,3,0,7,11,902,121,26,16,1062,27,0,25,1083,79,7,1171,425,42,6,0,472,8,0,8,477,20,4,500,492,74,10,10,581,15,0,15,596,28,0,624
SED20401,275,3,0,5,281,44,0,328,3,0,0,4,3,0,0,0,3,0,0,10,1151,141,21,15,1329,16,3,19,1348,86,3,1435,192,23,6,9,228,3,3,5,231,15,0,248,371,34,9,3,417,4,0,7,421,13,0,439,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,4,3,0,0,0,3,0,0,3,565,62,15,13,655,4,7,12,667,33,0,701,4,3,0,0,11,3,0,3,14,0,0,14,7,0,0,0,6,0,0,0,6,0,0,6,13,3,0,0,16,3,0,3,20,0,0,22,582,64,15,15,671,7,6,19,689,32,0,721,135,25,3,0,162,4,0,4,172,26,0,200,0,0,0,0,0,0,0,0,0,0,4,3,715,90,21,16,839,17,8,22,861,62,4,920,308,35,6,8,355,11,6,12,364,23,0,389,500,41,8,3,555,9,3,9,565,21,0,586
SED20508,251,3,0,4,254,23,0,284,0,0,0,3,3,0,0,0,3,0,0,3,1190,175,20,22,1414,19,7,29,1440,66,8,1511,216,39,7,0,257,0,0,0,260,20,0,279,363,61,8,3,427,9,3,7,435,17,0,454,10,0,0,0,9,0,0,0,13,0,0,10,0,4,0,8,7,0,0,0,7,0,0,9,587,98,9,8,709,12,3,11,718,43,0,759,9,3,0,0,10,0,0,0,14,0,0,14,12,0,0,0,13,0,0,0,12,0,0,12,20,6,0,0,24,0,0,3,29,0,0,29,609,101,9,8,729,8,3,16,748,43,0,788,110,14,3,3,129,7,0,7,130,22,0,151,5,0,0,0,5,0,0,0,5,0,0,5,717,117,14,10,864,12,3,18,882,58,0,943,308,57,3,3,371,4,0,8,383,17,0,405,492,66,5,10,577,3,0,3,582,19,0,599
SED20604,238,7,0,8,244,53,0,302,3,0,0,0,3,0,0,0,4,0,4,9,1276,163,36,33,1505,23,0,27,1533,122,6,1663,312,28,10,3,350,0,0,0,355,12,0,364,386,47,5,6,446,3,0,3,450,20,0,469,8,3,5,0,12,0,0,0,12,4,0,16,3,0,0,9,12,0,0,0,12,0,0,12,713,73,17,19,827,0,0,3,828,34,0,867,3,0,0,0,6,4,0,4,10,4,0,6,8,0,0,0,12,0,0,0,11,0,0,15,13,0,0,0,13,4,0,3,17,3,0,25,723,73,23,22,840,6,3,8,849,43,0,886,91,20,5,4,116,5,0,8,127,40,0,167,0,0,0,0,3,0,0,0,3,0,6,8,818,96,28,27,963,11,3,19,976,76,6,1063,480,39,9,6,537,0,0,0,540,18,0,563,505,54,8,4,576,5,0,7,579,30,0,610
SED20704,282,9,5,19,295,61,0,360,4,0,0,0,4,0,0,0,4,0,3,7,1275,166,36,20,1488,29,9,31,1523,100,3,1622,272,33,5,0,310,5,0,4,314,6,4,326,456,56,10,6,522,3,0,7,530,11,0,539,10,3,3,0,12,0,0,0,12,0,0,18,0,0,0,5,3,0,0,0,5,0,0,12,740,86,18,14,857,7,0,15,863,23,0,895,9,4,0,0,11,3,0,3,12,0,0,12,12,0,0,0,15,3,0,3,17,4,0,24,21,7,0,0,27,3,0,3,28,4,0,34,761,90,18,14,878,16,0,17,898,28,0,929,132,27,3,0,169,3,3,4,175,36,0,208,0,0,0,0,0,0,0,0,0,0,3,3,898,122,18,11,1050,20,6,22,1068,62,7,1140,379,53,5,3,443,8,0,11,448,19,4,469,595,75,12,4,683,4,3,6,691,23,0,715
SED20804,247,8,5,5,257,59,0,318,0,0,0,0,0,0,0,0,0,0,0,3,988,171,22,34,1214,16,10,27,1238,110,3,1352,204,39,3,0,246,3,0,6,250,24,0,273,288,50,7,4,343,11,0,12,351,21,0,374,18,3,0,0,25,0,0,0,25,0,0,25,4,0,0,3,13,0,0,0,13,0,0,13,517,85,11,11,621,12,3,13,639,45,0,682,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,14,0,0,12,13,0,0,0,12,0,0,0,14,0,0,18,525,88,11,11,634,12,3,15,654,45,0,701,91,14,3,4,115,3,3,3,123,34,0,153,0,0,0,0,0,0,0,0,0,0,0,4,617,101,12,14,751,12,5,18,773,76,3,858,299,29,4,0,335,0,4,3,339,17,0,362,366,66,5,3,446,0,0,0,453,24,3,476
SED20906,281,8,0,8,289,30,0,320,5,0,0,0,5,0,0,0,5,0,0,6,1614,146,12,24,1800,43,6,51,1847,70,3,1927,348,29,5,0,385,12,0,13,398,23,0,422,471,49,5,11,535,6,0,13,544,13,0,561,8,0,4,0,6,0,0,0,10,0,0,10,6,0,0,7,12,0,0,0,12,0,0,16,832,80,15,14,942,21,3,21,966,34,7,1002,16,0,0,0,11,0,0,3,14,0,0,14,28,0,0,0,24,0,0,0,24,0,0,24,39,0,0,0,41,0,0,3,42,0,0,42,869,82,15,18,978,23,4,24,1008,34,7,1046,158,11,0,0,174,0,0,0,175,13,0,192,0,0,0,0,0,0,0,0,0,0,3,3,1030,97,15,21,1157,27,4,28,1179,49,6,1239,491,51,8,0,550,15,4,21,568,26,0,600,568,53,3,7,630,17,0,17,643,31,0,670
SED21001,319,8,0,9,332,24,0,358,4,0,0,0,6,0,0,0,6,0,0,6,1587,157,22,19,1790,37,14,52,1837,88,0,1928,309,29,0,0,346,11,3,16,355,14,0,373,497,61,3,0,559,9,0,12,575,26,0,598,7,0,0,0,12,0,0,0,15,0,0,13,0,0,0,5,4,3,0,3,11,5,0,12,824,89,4,3,926,27,4,26,949,43,0,993,6,0,0,0,8,0,0,0,9,0,0,9,20,0,0,0,20,5,0,5,24,0,0,24,27,0,0,0,26,6,0,6,31,0,0,33,846,95,9,3,952,28,4,33,989,44,0,1031,164,17,6,3,185,7,4,7,195,21,0,215,0,0,0,0,0,0,0,0,0,0,0,0,1013,114,7,5,1140,33,9,40,1181,64,0,1244,448,46,10,0,504,15,6,14,524,46,0,566,674,71,5,0,749,19,0,15,767,31,0,795
SED21106,380,6,0,4,386,15,0,401,3,0,0,0,3,0,0,0,3,0,5,3,1612,132,11,18,1773,27,3,32,1797,67,4,1873,294,31,3,0,333,6,0,9,340,12,0,354,464,45,0,0,507,6,0,6,511,13,0,520,6,3,7,0,15,0,0,0,13,0,0,13,7,0,0,3,9,0,0,0,14,0,0,14,775,80,8,3,865,12,0,11,875,23,0,905,9,3,0,0,10,3,0,3,10,0,0,10,22,0,0,0,17,3,0,3,22,0,0,22,27,3,0,0,26,7,0,7,37,0,0,37,801,80,8,3,890,16,0,18,909,23,0,941,190,24,0,3,210,9,0,11,221,8,0,232,3,0,0,0,3,0,0,0,3,0,0,3,988,102,7,6,1104,28,0,33,1135,37,3,1176,431,51,0,3,484,12,0,13,498,15,0,518,601,60,3,4,667,8,0,9,673,23,0,695
SED21203,692,54,20,73,763,517,11,1294,6,0,0,12,20,0,0,0,20,0,10,32,907,339,14,63,1325,102,35,132,1455,620,29,2099,131,25,3,0,161,8,3,8,172,31,0,204,146,50,7,3,208,8,9,9,220,24,3,246,0,3,3,0,6,0,0,0,6,0,0,7,6,4,0,8,16,0,0,0,16,0,0,19,286,88,12,14,395,15,8,20,412,64,7,481,5,4,0,0,10,3,0,3,11,4,0,15,8,10,0,3,23,0,3,6,31,9,0,41,14,14,0,3,34,8,3,10,43,14,0,54,297,101,10,19,428,20,10,31,456,77,6,533,240,116,6,13,380,23,16,43,423,327,4,753,6,0,0,4,10,0,0,0,10,0,15,19,539,223,16,39,810,45,33,77,885,402,25,1306,206,53,0,3,258,11,3,16,277,34,0,319,246,74,4,8,333,11,0,11,346,56,3,406
SED21303,158,8,0,8,165,21,0,189,5,0,0,3,4,0,0,0,4,0,3,7,857,130,14,15,1012,36,6,42,1057,67,4,1128,168,26,4,0,195,7,0,8,203,7,0,217,238,23,4,3,267,6,0,10,272,0,0,280,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,407,51,10,4,466,12,0,13,481,10,0,498,6,0,0,0,6,0,0,0,5,0,0,5,10,5,0,0,14,3,0,3,13,0,0,14,13,5,0,0,13,8,0,8,23,0,0,25,426,54,10,4,485,14,0,21,504,12,0,523,67,16,0,3,82,0,0,0,82,19,0,103,3,0,0,0,3,0,0,0,3,0,3,3,491,66,8,8,570,14,0,21,587,37,3,631,219,40,10,3,270,8,3,11,283,18,0,299,284,44,10,4,336,6,0,9,340,12,7,357
