SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED20106,50,88,61,41,58,40,27,370,8,3,0,0,6,3,8,25,3,0,0,4,0,0,5,13,100,213,142,103,171,114,80,923,8,18,14,3,7,6,0,56,12,25,9,4,3,5,3,58,19,37,17,12,12,16,4,112,116,249,164,111,186,131,84,1040,103,102,59,62,84,49,28,482,6,3,3,3,0,0,0,15,232,361,223,177,269,171,107,1535
SED20207,118,232,162,112,151,58,38,870,18,15,10,3,12,4,0,55,6,6,3,3,4,7,3,32,266,519,372,226,396,180,119,2081,22,51,22,15,25,10,7,152,22,37,19,17,21,3,3,120,42,86,47,32,43,16,10,269,310,609,419,261,436,200,130,2356,367,304,155,113,122,51,27,1140,12,8,8,5,5,5,0,46,687,924,579,372,565,249,160,3542
SED20302,177,332,199,136,166,60,13,1080,25,11,15,6,9,4,0,76,14,12,10,8,3,0,0,41,287,507,352,271,356,146,41,1964,13,31,16,19,21,11,0,110,16,57,36,27,17,3,0,167,31,93,59,45,39,8,0,275,321,601,409,317,391,157,41,2239,462,414,212,109,129,27,20,1378,12,9,10,6,3,0,0,36,793,1028,633,425,522,187,58,3650
SED20401,80,185,154,122,160,68,37,798,16,9,5,0,11,3,3,41,5,6,4,3,8,3,0,29,157,323,270,229,336,176,86,1568,10,21,11,4,9,3,4,52,10,22,20,6,9,3,3,78,17,43,25,11,15,3,5,132,175,365,292,242,355,186,89,1697,247,194,110,80,100,32,31,792,8,3,4,0,0,0,0,14,423,566,410,320,455,215,117,2504
SED20508,109,257,181,122,166,55,16,907,16,9,8,3,12,7,0,49,0,4,3,3,3,0,0,21,157,372,299,212,315,117,42,1516,3,16,10,7,13,7,0,55,21,34,22,6,12,5,3,92,22,53,30,16,22,6,3,147,179,422,326,225,331,130,48,1664,221,200,93,87,80,27,10,713,0,4,4,0,0,0,0,16,407,625,423,315,418,159,60,2397
SED20604,140,299,204,110,171,36,10,973,18,17,3,3,4,0,0,47,8,5,14,4,13,0,0,46,232,508,365,248,399,92,24,1865,21,25,21,16,25,4,0,110,32,38,15,11,12,5,3,122,56,63,36,31,38,8,4,227,284,569,401,272,435,97,27,2092,341,330,171,110,112,28,3,1088,7,6,7,7,0,0,0,20,632,907,581,390,543,124,31,3208
SED20704,139,337,211,147,194,55,18,1096,28,15,11,11,9,5,3,84,9,4,3,6,4,0,0,20,226,487,363,276,399,132,52,1936,16,28,17,13,15,0,0,85,28,43,28,12,17,7,0,131,42,68,44,28,35,9,0,216,262,553,408,302,438,137,52,2159,416,372,200,116,132,31,11,1279,3,0,0,0,3,0,0,8,679,928,605,421,565,168,65,3442
SED20804,112,244,174,101,151,38,11,829,17,23,13,5,6,0,0,59,4,3,5,3,4,0,0,19,166,368,276,201,309,104,38,1468,9,30,22,10,16,3,0,97,22,44,21,15,20,8,0,124,32,78,46,26,35,6,0,222,203,443,322,224,343,114,42,1695,386,339,161,105,120,38,13,1169,4,3,6,0,0,0,0,16,592,783,495,331,471,153,54,2878
SED20906,65,153,107,102,126,73,38,665,11,5,0,3,4,3,7,25,0,4,3,0,3,6,3,21,125,306,246,208,310,194,123,1513,4,10,5,10,14,8,5,57,3,23,16,12,11,6,3,70,8,33,26,20,23,12,6,128,131,341,266,225,333,203,131,1643,98,115,82,52,70,47,26,484,6,3,6,0,0,0,0,14,236,463,353,281,401,250,153,2141
SED21001,47,128,101,86,138,76,41,614,11,3,3,3,3,3,3,30,0,0,3,3,3,4,3,21,101,246,223,176,324,204,117,1396,3,9,4,5,14,7,3,51,8,14,7,10,3,12,3,52,7,28,17,16,20,21,3,106,114,269,236,189,350,221,123,1502,100,136,73,81,101,53,50,589,3,3,0,0,0,3,0,13,216,404,311,269,449,278,168,2099
