SED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED20106,2054,1279,881,565,125,17,8075,38,636,608,467,413,201,30,3,2394,1700,7807,4328,2416,1782,1056,329,94,19507,542,1709,1243,976,818,550,183,55,6077,496,1461,855,811,554,355,138,59,4732,60,86,69,43,47,27,11,0,343,74,186,163,158,158,121,49,11,925,632,1740,1091,1007,756,503,196,73,6001,48,187,121,73,74,83,36,11,632,1205,2649,1489,1183,1003,764,411,188,8899,4357,17707,10924,7408,5726,3716,1308,444,51585
SED20207,2191,705,310,105,13,0,5358,28,419,537,338,190,61,16,3,1590,744,4431,4341,1849,942,399,126,27,12858,468,1863,2069,1487,763,324,117,25,7118,900,2097,2135,1982,1264,647,248,86,9352,106,104,130,98,52,28,7,0,525,95,202,301,255,169,108,26,9,1168,1098,2402,2570,2335,1490,776,284,93,11050,41,144,166,113,66,59,25,11,630,688,967,993,781,642,579,351,182,5197,3145,12184,12861,7612,4410,2306,929,344,43792
SED20302,322,196,180,162,27,7,1249,23,170,231,200,201,145,33,0,1002,233,1426,1344,796,770,585,186,56,5396,315,1148,1179,943,784,679,258,83,5394,1056,2636,2255,2110,1775,1207,547,146,11738,128,138,140,132,76,61,14,0,697,81,167,221,207,210,186,60,33,1166,1261,2946,2625,2446,2060,1451,626,180,13598,25,61,66,70,61,86,35,18,423,704,615,695,831,892,1061,833,460,6090,2573,6715,6457,5478,4951,4166,2005,804,33149
SED20401,603,327,227,129,31,7,2038,31,261,354,225,214,97,35,5,1222,438,2374,1951,1084,742,463,159,45,7256,371,1216,1195,993,766,539,177,66,5328,858,1936,1732,1815,1420,912,518,131,9320,103,86,98,92,63,30,9,7,479,82,128,156,176,188,139,68,36,967,1039,2148,1986,2078,1672,1081,591,171,10766,17,63,63,61,64,70,48,20,404,408,543,563,498,520,588,524,455,4092,2342,7285,6708,5259,4216,2955,1575,760,31108
SED20508,346,314,330,268,74,16,1526,18,144,263,294,362,220,44,5,1357,209,1161,1491,1141,1182,905,320,84,6488,211,633,900,955,1112,959,379,113,5257,767,1655,1671,1736,1673,1244,552,161,9451,74,93,80,67,75,65,22,3,479,52,95,128,146,218,202,92,29,966,890,1841,1881,1950,1971,1510,661,197,10894,11,20,41,44,67,83,60,27,360,422,336,394,485,732,994,705,386,4455,1770,4310,5310,5186,5750,4945,2245,825,30339
SED20604,235,276,241,144,20,3,1137,16,174,261,278,278,151,24,3,1187,203,1085,1300,879,953,537,152,58,5163,251,797,940,1090,1010,681,216,63,5044,1206,2311,1994,2187,1797,998,371,113,10964,190,143,131,139,92,58,6,6,771,78,133,166,193,200,177,42,23,1015,1470,2591,2284,2516,2088,1236,424,136,12753,17,36,30,48,59,63,51,12,315,749,616,670,755,895,858,606,285,5426,2719,5507,5713,5830,5522,3665,1495,564,31020
SED20704,321,314,240,155,31,13,1365,24,232,359,324,297,160,27,3,1427,449,1672,1570,1031,918,516,170,54,6389,238,666,828,903,844,580,219,88,4371,1137,2076,1728,1852,1552,830,362,111,9660,150,147,104,101,92,38,0,3,634,91,140,145,162,193,128,50,26,932,1378,2361,1981,2113,1838,994,419,136,11222,15,35,36,38,54,64,35,19,307,780,547,547,682,741,770,670,460,5201,2936,5760,5646,5414,4936,3243,1574,767,30274
SED20804,289,317,284,227,61,12,1461,17,185,278,312,333,182,45,4,1356,296,1293,1243,949,922,583,223,53,5561,174,604,694,770,858,613,245,64,4022,1030,1947,1620,1653,1522,934,442,104,9250,127,130,109,110,85,43,4,6,608,56,129,150,154,175,133,44,17,863,1214,2210,1878,1917,1787,1110,490,130,10727,32,43,40,40,66,63,38,20,335,692,882,789,807,911,912,730,482,6200,2461,5446,5204,5105,5159,3690,1829,766,29661
SED20906,1193,925,460,187,43,15,3766,20,191,435,499,300,125,32,7,1617,717,2325,3232,2523,1431,577,280,102,11189,283,745,1099,1256,873,483,235,96,5075,405,791,817,1192,863,511,300,175,5066,59,24,52,63,50,24,7,0,290,34,78,110,189,154,117,54,39,778,498,901,975,1444,1068,658,368,219,6126,20,59,83,108,62,73,29,40,463,401,393,501,493,439,422,393,276,3326,1989,5499,7519,7259,4632,2521,1375,762,31556
SED21001,1472,1209,737,420,152,47,5865,32,288,494,606,490,263,86,28,2287,1304,3714,3369,2755,1922,1048,540,229,14892,484,1032,901,1099,924,706,407,225,5773,520,722,615,921,689,434,308,168,4372,75,49,49,59,47,30,7,7,331,40,80,104,166,131,118,80,59,773,631,853,766,1147,871,583,390,237,5479,40,85,85,100,86,83,73,34,587,489,482,447,472,389,420,551,521,3772,3103,8151,7530,7398,5422,3526,2202,1320,38644
