SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED20106,225,74,542,247,128,112,12,54,12,1392,4,3,3,3,4,3,0,0,0,27,162,202,26,53,94,39,15,16,33,635,76,93,50,36,38,42,11,23,94,471,7082,14606,2419,2349,3679,1998,293,780,529,33741
SED20207,196,51,507,244,211,142,100,136,19,1603,5,0,4,4,3,4,3,6,3,35,57,102,50,61,64,35,48,24,17,458,74,54,91,60,87,44,86,74,118,696,4354,9069,4230,3071,4135,1893,1430,1492,508,30188
SED20302,143,23,468,203,137,154,82,138,11,1369,3,3,0,0,0,4,3,3,0,17,28,43,36,41,28,23,35,27,11,263,107,35,136,89,58,92,73,100,95,774,2397,4070,3978,2624,2100,1414,1096,1504,284,19451
SED20401,113,33,371,149,144,144,46,87,11,1101,0,0,3,3,0,0,4,12,0,18,38,67,31,33,47,22,17,19,9,285,52,36,90,38,46,50,51,58,76,494,2440,5715,3999,2494,2674,1288,746,1075,259,20689
SED20508,83,33,383,184,102,109,38,82,10,1021,0,0,0,0,0,4,0,5,0,11,30,64,40,37,38,17,12,11,6,263,52,37,86,58,37,50,32,42,57,450,2185,5000,3286,2332,1853,990,576,957,255,17441
SED20604,151,26,439,172,116,133,75,167,10,1286,3,7,3,0,3,0,3,7,0,30,45,31,29,47,34,14,22,22,5,255,92,54,100,77,69,60,82,96,95,719,2766,4631,3557,2649,2146,1122,1004,1356,297,19524
SED20704,98,31,406,167,115,127,40,113,3,1102,0,3,3,0,3,0,7,4,0,15,35,47,32,32,28,24,20,14,3,236,68,48,82,69,59,54,33,86,43,550,2378,5722,3170,2503,2068,1090,731,1144,216,19019
SED20804,81,23,376,137,89,107,39,138,11,1004,0,3,7,3,0,0,0,12,0,25,31,80,21,23,24,13,16,23,10,243,75,48,89,63,41,48,53,87,55,568,1961,4778,3025,2192,1628,914,664,1334,223,16717
SED20906,124,36,346,136,110,111,29,63,4,950,6,3,0,3,3,0,3,6,0,20,64,129,27,29,48,30,17,9,9,356,55,60,50,24,37,48,16,24,64,379,3901,8184,2361,1828,2758,1336,367,616,286,21646
SED21001,108,19,290,142,97,72,14,65,7,822,5,0,5,7,3,3,0,3,0,28,63,107,24,34,64,30,3,14,13,349,44,74,53,34,35,38,14,29,71,387,4040,10349,2173,1954,3036,1542,381,740,372,24595
SED21106,123,38,238,125,100,78,9,28,7,747,0,3,0,0,3,0,0,0,0,11,111,206,23,42,64,47,4,8,18,515,59,70,24,22,44,31,7,16,70,350,5694,10713,1580,1643,2509,1528,181,386,386,24605
SED21203,51,8,271,120,64,67,72,85,10,752,4,0,9,7,3,7,9,10,3,43,16,44,45,35,30,12,30,28,8,235,30,43,104,89,57,52,79,97,86,634,980,2652,2261,2179,1428,834,1154,1199,286,12975
SED21303,125,50,477,182,107,102,32,60,15,1145,0,7,6,5,8,4,0,8,3,32,126,310,55,81,124,70,11,12,32,830,44,124,58,54,52,29,19,30,110,526,4321,14359,2919,2698,3479,1748,473,980,447,31421
SED21401,116,29,287,123,101,128,14,67,12,874,3,6,4,5,0,9,0,4,3,32,65,58,26,30,49,32,16,12,5,296,58,42,53,40,33,49,23,28,71,390,3457,7188,2084,1581,2507,1554,351,677,321,19734
SED21503,79,29,288,151,124,98,25,73,8,882,3,0,4,0,4,0,4,9,0,27,36,71,38,30,40,14,20,25,12,285,41,53,64,43,40,54,38,48,69,440,2359,5967,2872,2275,2461,1317,650,1072,277,19250
SED21608,98,23,309,142,117,97,39,93,10,934,3,3,0,3,3,3,4,6,0,22,36,54,37,35,48,13,16,20,3,255,57,46,115,53,51,64,53,88,60,582,2084,4486,3232,2231,1922,967,783,1119,285,17107
SED21706,113,35,254,110,59,70,12,43,0,700,3,0,0,4,3,7,0,3,0,27,84,116,24,38,58,38,7,17,16,404,37,48,30,26,39,23,15,20,81,318,4402,9867,1904,1777,2801,1500,321,728,337,23649
SED21805,129,47,424,193,185,162,71,122,11,1335,0,0,3,3,4,0,3,4,0,22,59,57,52,35,65,11,33,19,13,343,62,51,104,69,57,65,63,75,91,638,2706,4977,4216,2683,2781,1432,1010,1235,361,21400
SED21906,123,42,427,151,91,80,17,58,13,1001,0,0,0,3,0,0,0,4,0,13,95,166,35,50,74,38,4,27,9,492,61,82,36,24,36,49,10,17,68,388,4738,11809,2050,2083,2976,1686,329,755,401,26833
SED22005,122,37,508,150,104,124,86,137,15,1290,3,0,10,3,3,3,3,16,0,45,45,59,49,41,52,31,37,51,6,364,37,47,96,64,72,58,49,78,96,590,2359,6440,3205,2294,2787,1576,1056,1604,364,21670
SED22105,197,44,622,273,226,202,161,239,25,1987,0,3,4,9,8,3,7,10,0,42,37,37,71,81,56,29,67,48,18,454,52,57,148,89,94,68,102,132,160,897,2913,5732,5529,4152,3728,1963,2263,2268,466,29004
SED22201,115,37,353,143,142,119,36,72,13,1030,0,0,3,0,3,4,0,11,0,21,38,80,36,43,44,22,11,15,8,289,35,34,82,31,54,37,30,47,71,427,2541,5692,3460,2299,2561,1237,551,861,243,19444
SED22305,78,13,400,144,70,89,86,171,11,1065,3,0,12,9,3,3,14,26,8,66,25,31,45,30,38,23,29,35,13,279,29,38,141,80,52,59,105,138,110,750,1295,3072,3207,2270,1954,1140,1520,1881,329,16673
SED22404,139,27,399,168,109,122,45,141,13,1154,3,3,3,3,3,0,0,7,4,25,56,53,36,30,35,15,18,20,16,277,104,47,144,91,60,52,82,103,76,769,2612,3620,3766,2230,1710,896,807,1341,320,17304
SED22501,105,35,247,131,131,99,19,41,14,816,3,0,0,3,3,0,0,0,0,15,50,93,26,48,63,29,10,8,7,331,49,26,57,39,56,39,6,21,53,347,3660,7943,3174,2111,2666,1121,397,637,262,21979
SED22607,107,53,317,165,133,83,21,60,11,952,3,4,0,3,5,3,5,4,3,30,84,150,25,50,109,36,11,19,15,502,58,66,52,52,55,37,15,42,75,448,4388,10626,2364,2218,3234,1428,470,878,376,25980
SED22704,139,23,363,147,105,93,42,116,13,1056,3,3,3,3,0,0,0,6,0,21,54,33,29,37,32,10,28,19,7,249,120,58,143,76,76,50,99,147,66,838,2823,3344,3271,2167,1644,822,978,1482,256,16792
