SED_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SED20106,441,574,172,232,269,152,21,45,28,1931,540,547,272,363,400,215,25,75,24,2464,575,295,1175,395,433,295,106,185,43,3501,49,28,23,31,40,28,4,13,0,223,116,107,42,93,108,84,12,24,11,592,76,152,24,27,46,35,7,21,14,401,91,130,46,52,73,39,9,30,77,561,7082,14606,2419,2349,3679,1998,293,780,529,33741
SED20207,344,423,310,281,355,145,100,88,34,2081,493,479,424,628,604,258,159,153,47,3247,703,358,2487,819,791,406,592,619,108,6875,21,19,32,52,80,44,32,29,7,319,100,58,76,122,154,82,86,72,14,772,77,94,45,37,56,34,38,32,15,420,94,86,86,88,94,58,81,76,85,752,4354,9069,4230,3071,4135,1893,1430,1492,508,30188
SED20302,222,272,147,176,201,117,52,79,18,1291,294,334,262,607,375,193,69,138,20,2294,902,294,3110,955,694,569,689,853,115,8177,43,20,33,89,82,66,24,59,4,423,69,51,60,159,111,84,60,78,6,674,33,38,27,22,32,19,11,26,4,219,101,57,103,116,80,104,67,117,74,819,2397,4070,3978,2624,2100,1414,1096,1504,284,19451
SED20401,233,336,214,230,253,115,41,65,17,1505,333,389,297,538,438,199,61,101,32,2394,607,333,2870,785,691,388,426,545,84,6723,27,16,30,43,79,48,25,30,7,304,47,56,53,142,128,70,25,55,6,584,16,44,31,24,45,16,9,27,5,217,50,60,71,73,65,51,49,73,51,550,2440,5715,3999,2494,2674,1288,746,1075,259,20689
SED20508,215,373,153,213,195,86,30,46,21,1330,263,311,217,433,334,128,28,74,21,1817,614,254,2531,916,564,381,388,576,96,6320,23,19,26,51,58,41,15,33,5,276,56,27,31,131,90,68,22,42,11,477,18,47,22,16,16,11,8,13,3,149,52,70,65,92,48,61,40,54,31,525,2185,5000,3286,2332,1853,990,576,957,255,17441
SED20604,260,330,120,225,202,58,26,51,10,1281,378,346,225,661,367,140,51,98,26,2285,946,388,2851,1021,792,535,678,815,116,8146,48,14,42,78,96,66,39,75,7,470,69,28,39,114,130,72,55,82,8,597,17,28,27,19,24,8,16,10,4,160,102,72,81,80,91,74,82,114,73,765,2766,4631,3557,2649,2146,1122,1004,1356,297,19524
SED20704,184,332,105,214,173,63,22,45,8,1145,264,316,174,495,289,112,33,78,22,1779,813,319,2528,1006,708,490,503,634,78,7083,33,20,31,60,86,72,27,59,8,387,71,34,53,123,109,75,39,79,8,593,22,37,21,22,25,10,13,13,0,160,62,70,58,91,62,78,46,96,38,597,2378,5722,3170,2503,2068,1090,731,1144,216,19019
SED20804,129,318,96,190,141,61,23,47,10,1017,201,279,171,404,229,105,38,106,13,1551,658,259,2385,890,580,385,441,720,80,6391,24,19,37,54,52,59,28,83,0,359,48,30,47,113,77,61,33,75,6,485,13,48,15,16,15,16,8,26,8,168,87,72,77,70,58,55,57,93,44,609,1961,4778,3025,2192,1628,914,664,1334,223,16717
SED20906,308,447,162,195,272,137,22,49,9,1607,320,385,216,330,396,193,39,57,19,1950,419,213,1414,417,375,257,144,249,39,3530,14,24,15,40,45,19,7,15,3,184,66,60,29,106,106,43,17,18,3,454,47,85,29,21,41,27,8,3,10,275,43,80,55,39,61,46,17,31,51,430,3901,8184,2361,1828,2758,1336,367,616,286,21646
SED21001,272,411,161,200,265,138,45,69,19,1575,303,302,255,345,328,193,29,78,31,1868,374,181,1015,374,331,240,123,189,61,2893,18,21,21,26,53,29,5,22,0,192,54,58,34,55,98,50,18,25,4,396,45,102,38,25,34,26,13,9,7,287,36,71,48,52,49,45,14,39,50,411,4040,10349,2173,1954,3036,1542,381,740,372,24595
SED21106,405,498,114,170,224,151,22,29,24,1619,405,383,146,263,316,176,22,31,20,1769,448,218,888,311,299,211,64,142,46,2618,23,24,11,41,31,30,8,8,0,179,85,81,24,74,103,62,11,18,7,469,56,103,12,21,35,17,3,7,8,261,62,120,37,40,59,42,8,13,71,453,5694,10713,1580,1643,2509,1528,181,386,386,24605
SED21203,81,126,135,169,138,64,77,84,20,906,131,171,238,442,221,126,123,117,29,1601,207,115,1352,647,304,227,389,426,67,3730,9,8,20,52,38,25,38,43,4,249,35,19,43,120,71,42,62,53,8,437,20,36,29,31,20,16,33,12,6,195,34,49,89,98,66,48,90,101,62,638,980,2652,2261,2179,1428,834,1154,1199,286,12975
SED21303,235,437,209,220,208,151,33,67,18,1575,295,462,323,358,325,188,36,102,29,2118,409,291,1362,477,403,244,154,235,62,3632,17,25,24,54,45,23,7,25,3,232,54,69,50,85,98,56,17,35,9,457,23,104,37,22,42,15,7,17,9,275,49,106,46,48,68,35,17,39,74,481,4321,14359,2919,2698,3479,1748,473,980,447,31421
SED21401,246,354,158,154,225,133,26,66,15,1376,284,279,180,256,289,184,37,70,18,1604,427,171,1106,347,273,258,118,239,40,2974,14,9,17,34,39,26,3,16,3,173,80,33,34,78,113,68,10,35,4,455,39,75,25,25,50,34,3,12,4,281,72,96,46,65,65,60,23,30,57,518,3457,7188,2084,1581,2507,1554,351,677,321,19734
SED21503,235,299,158,220,260,111,60,55,8,1400,264,300,243,412,354,179,50,107,29,1941,425,196,1903,678,504,287,274,375,67,4720,21,14,29,42,49,46,13,24,3,241,47,45,41,86,129,57,30,54,5,496,31,48,33,29,37,25,11,17,9,241,46,72,60,70,61,50,37,55,51,508,2359,5967,2872,2275,2461,1317,650,1072,277,19250
SED21608,187,293,119,197,182,57,31,42,16,1119,238,263,186,422,330,123,27,80,23,1693,688,273,2522,856,656,410,546,639,108,6710,28,16,30,56,80,55,24,63,6,368,36,25,58,107,63,59,24,63,7,441,15,20,19,29,21,9,6,4,9,134,77,59,96,76,58,66,56,94,48,629,2084,4486,3232,2231,1922,967,783,1119,285,17107
SED21706,289,412,132,152,228,123,28,65,25,1450,273,329,194,313,315,180,43,92,19,1753,367,197,944,353,270,218,93,173,34,2644,24,14,13,35,32,20,4,19,0,161,51,51,28,68,101,60,6,23,9,402,43,81,26,18,42,23,3,15,10,257,37,75,23,38,42,21,12,16,52,321,4402,9867,1904,1777,2801,1500,321,728,337,23649
SED21805,302,358,162,237,292,115,56,75,25,1627,377,434,260,618,524,230,88,98,36,2666,806,361,3276,967,833,526,582,711,145,8198,22,24,39,81,72,60,37,50,0,378,85,57,54,135,182,89,47,61,11,722,44,41,25,22,35,24,25,26,4,251,60,76,96,104,80,65,69,79,73,687,2706,4977,4216,2683,2781,1432,1010,1235,361,21400
SED21906,324,460,172,175,275,130,25,53,18,1642,312,370,224,344,302,183,36,87,18,1879,356,218,963,381,302,213,99,161,34,2725,21,22,17,31,46,23,8,24,0,191,74,83,54,76,96,77,15,16,3,488,51,119,23,31,29,31,3,20,10,334,76,158,40,36,68,52,17,21,59,524,4738,11809,2050,2083,2976,1686,329,755,401,26833
SED22005,185,293,241,177,230,112,93,112,16,1466,300,300,427,419,369,187,157,182,32,2362,338,166,1658,567,395,278,313,431,64,4211,15,12,29,47,48,45,15,48,9,266,55,36,53,99,106,49,48,62,5,509,29,60,35,42,49,29,27,34,6,304,28,67,87,77,85,63,53,107,74,636,2359,6440,3205,2294,2787,1576,1056,1604,364,21670
SED22105,305,356,318,324,322,152,184,143,19,2123,486,487,486,1009,610,278,276,254,33,3924,835,371,3842,1319,1052,643,1017,1063,140,10274,46,27,45,97,116,101,59,80,6,583,81,38,89,210,157,98,113,92,11,888,31,67,47,43,63,31,45,39,6,370,71,83,125,127,120,79,99,138,132,979,2913,5732,5529,4152,3728,1963,2263,2268,466,29004
