SED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED20106,33,114,125,144,214,226,127,187,8,1180,48,164,153,129,210,373,110,325,258,1772,1227,3243,3497,3500,6628,9837,4805,8796,513,42057
SED20207,37,149,142,149,358,292,129,159,16,1427,52,178,160,147,388,451,119,183,402,2080,1272,4182,4024,4253,9208,10232,3945,5267,797,43172
SED20302,45,156,127,125,223,236,123,165,11,1207,66,153,95,104,251,246,98,176,294,1487,1344,3828,3264,3767,5581,5513,2688,4053,654,30684
SED20401,33,141,128,148,266,263,114,173,9,1282,41,131,116,119,301,280,105,153,261,1508,1062,3590,3066,3393,6567,6095,2903,3401,506,30579
SED20508,23,163,112,101,179,163,64,120,8,933,48,116,79,73,116,152,55,117,199,952,1042,3632,3146,3261,4046,4470,2093,3198,433,25318
SED20604,29,133,86,131,218,220,123,138,18,1090,65,102,57,77,167,188,71,128,234,1100,1283,3408,2927,3723,5248,5122,2946,4452,566,29677
SED20704,51,150,102,127,209,156,113,150,11,1067,37,113,66,79,142,151,61,132,185,964,1338,4125,3089,3670,5357,4547,2626,3768,526,29027
SED20804,29,129,87,125,178,172,96,122,11,953,51,128,67,94,165,141,58,113,185,1005,1036,3373,2879,3415,4727,4252,2305,3063,431,25474
SED20906,24,153,133,124,162,176,86,147,5,1008,24,118,109,91,160,247,89,147,198,1191,844,3713,3088,3215,4684,6074,2824,4258,406,29110
SED21001,24,177,158,117,205,164,89,152,6,1095,44,169,147,110,197,212,71,123,242,1304,920,4570,3836,3523,5261,6204,2863,4541,456,32180
SED21106,19,157,96,111,126,122,72,152,4,850,38,174,121,140,116,248,89,284,203,1420,865,3897,3143,3321,3653,6015,3204,6707,455,31256
SED21203,22,134,109,85,208,180,76,80,16,913,45,175,147,123,317,230,76,95,493,1702,633,2762,2694,2556,5201,4166,1545,1910,888,22361
SED21303,26,146,131,160,272,218,137,160,16,1274,35,143,127,109,194,244,98,167,287,1407,1173,4332,4146,4603,7177,7960,4223,5560,585,39756
SED21401,25,158,92,112,196,174,95,124,12,980,39,159,110,90,193,239,63,151,268,1321,706,3711,2986,2922,4735,5650,2327,3704,525,27259
SED21503,19,135,144,129,220,193,103,117,8,1075,35,149,98,91,237,243,59,100,285,1297,926,3703,3304,3183,5534,5652,2360,3068,584,28315
SED21608,34,123,107,110,184,167,88,117,10,943,45,113,83,86,159,158,59,130,233,1072,1109,3448,2896,3305,4578,4445,2304,3421,572,26081
SED21706,23,142,115,108,164,138,89,102,9,888,29,185,147,78,163,228,81,143,220,1277,875,4508,3517,3260,4666,5833,2915,4687,485,30747
SED21805,49,158,127,129,293,284,143,159,16,1355,48,136,106,134,402,390,134,202,293,1844,1180,3408,3063,3684,6895,6845,3330,4107,587,33096
SED21906,23,189,136,139,183,174,112,148,14,1118,36,184,130,123,167,293,121,197,258,1507,885,3998,3644,3637,5154,6874,3435,5429,540,33600
SED22005,21,178,189,138,340,248,98,146,10,1363,43,172,186,137,460,357,88,123,404,1974,854,3922,3840,3358,7465,6534,2379,2955,730,32039
SED22105,52,210,153,183,438,370,181,193,15,1802,69,187,151,216,653,524,181,217,496,2692,1366,4136,3914,5029,11427,9225,4140,4634,953,44825
SED22201,21,135,124,137,272,232,109,182,7,1223,28,133,96,101,276,231,95,149,223,1328,934,3676,2916,3173,5641,5629,2896,3624,450,28953
SED22305,20,116,127,112,299,214,90,100,12,1101,77,188,173,199,589,401,147,109,541,2435,730,2927,2841,3215,7554,5429,2182,2245,960,28081
SED22404,41,173,137,120,223,228,108,168,16,1206,83,164,105,126,188,258,94,175,280,1474,1123,3415,2959,3301,4028,4620,2249,4014,633,26341
SED22501,24,165,118,144,189,198,91,151,9,1089,34,134,86,101,141,209,68,181,179,1129,1027,4118,3478,3617,4639,5907,3013,4625,425,30852
SED22607,25,110,109,129,193,152,88,157,13,979,25,137,110,80,174,207,83,186,255,1251,1045,3989,3592,3529,5783,7111,3524,5446,540,34553
SED22704,38,131,78,101,158,199,96,156,12,979,63,126,89,93,182,185,66,136,268,1211,1205,3258,2803,3201,4530,4680,2445,4345,652,27117
SED22802,39,180,144,149,261,271,152,189,17,1403,59,134,106,105,250,288,113,175,221,1461,1057,3731,3030,3161,5353,5541,2871,3830,510,29075
SED22901,27,138,97,131,243,204,111,141,9,1104,45,129,104,110,312,244,82,124,221,1378,842,3467,2837,3193,5919,5769,2568,3135,445,28169
SED23007,34,162,196,146,333,223,127,107,10,1351,58,208,242,173,465,356,107,167,487,2261,1054,3921,4601,4009,8427,7590,3151,3924,855,37541
SED23101,20,146,123,113,170,185,89,125,9,988,31,119,106,98,191,243,63,123,200,1170,705,3739,3052,2978,4853,5537,2251,3056,390,26563
SED23205,32,157,100,121,190,180,98,100,15,993,55,139,87,104,266,286,95,162,250,1440,945,3329,2682,3310,5157,5002,2566,3232,497,26724
SED23308,20,145,118,116,206,206,87,119,24,1031,37,121,76,88,152,167,56,111,237,1045,1126,4072,3342,3527,5148,5291,2840,3770,509,29625
SED23402,29,145,130,142,270,283,141,221,14,1378,42,178,111,140,299,331,125,225,252,1702,1054,4093,3460,3675,6259,6487,3290,4855,581,33748
SED23502,35,127,95,110,137,159,70,129,12,880,59,108,88,85,123,173,43,120,221,1023,1277,3147,2680,3105,3518,3468,1845,3639,546,23221
SED23602,25,113,77,102,133,164,79,116,18,827,47,112,76,90,120,127,51,139,235,996,1066,3240,2566,2854,3323,3599,1992,4410,552,23604
SED23702,44,193,156,173,286,323,130,219,12,1527,53,142,117,129,263,332,100,207,282,1637,1145,4164,3439,3946,6141,6499,3426,4733,634,34140
SED23806,21,140,100,102,143,121,78,112,7,832,37,143,123,98,126,212,68,234,192,1236,1010,4389,3629,3281,4602,6660,3492,6443,452,33955
SED23901,27,129,123,113,137,164,82,136,3,916,40,131,78,111,177,205,72,122,207,1139,967,3923,3285,3381,5006,6118,2968,4402,439,30489
SED24006,19,134,98,73,116,115,67,105,5,740,48,177,140,111,123,217,65,175,246,1301,807,4546,3264,3151,3940,5576,2641,5515,469,29903
SED24105,8,180,167,138,326,275,102,151,22,1367,43,168,208,151,585,380,116,158,432,2243,746,3413,3200,3132,7749,6149,2344,2920,762,30412
SED24207,34,174,163,138,331,226,107,110,22,1297,55,212,138,180,482,392,81,134,511,2192,1043,3788,3344,3868,8567,7524,2706,3354,1004,35195
SED24308,32,131,76,125,208,186,94,105,9,957,61,111,80,115,220,236,80,130,294,1321,1022,3367,2670,3147,5296,5020,2085,3082,587,26280
SED24408,42,94,81,106,167,191,78,127,12,905,51,80,68,72,123,125,31,103,214,872,1120,3144,2616,3094,3868,4231,2064,4488,524,25145
SED24504,24,126,88,128,133,176,95,184,11,962,40,135,96,90,143,198,75,153,212,1141,1107,3599,3080,3324,3827,4771,2439,4237,492,26875
SED24606,6,128,76,92,116,109,69,99,7,697,36,169,112,88,129,221,68,216,224,1269,763,3808,3127,2858,3937,5715,2913,5882,445,29451
SED24703,50,179,192,161,256,224,120,147,17,1342,82,267,291,137,269,361,125,237,418,2187,1695,6543,6712,4554,8606,12033,5044,7651,994,53839
SED24808,23,138,104,131,274,297,131,199,12,1318,46,134,92,138,338,351,115,159,345,1718,1190,3548,2953,3651,7084,6872,3123,4259,698,33372
SED24904,17,100,80,83,217,204,71,114,13,906,65,107,86,102,170,206,53,122,297,1209,1009,3097,2451,3137,4943,4619,2241,4138,647,26279
SED25003,30,144,116,140,315,224,114,151,19,1250,43,161,109,134,414,273,91,140,349,1716,986,3697,3308,3714,7973,6508,2705,3296,751,32927
SED25102,44,158,121,123,209,252,113,223,7,1248,56,160,100,110,214,272,99,205,202,1425,1100,3983,3152,3499,4778,5467,2894,4170,438,29478
SED25205,32,159,103,130,210,202,103,145,17,1101,42,142,115,106,202,279,92,163,226,1360,1021,3872,3193,3399,5434,6404,3315,4422,486,31541
SED25302,29,135,110,149,133,175,85,158,11,976,37,174,115,107,162,216,97,191,195,1305,908,3951,3146,3432,3789,4908,2548,4540,437,27652
SED25402,22,146,86,96,208,194,79,145,7,983,43,83,64,62,141,148,61,128,251,981,1176,3601,2817,3141,5076,4158,2502,3530,516,26503
SED25501,18,123,120,104,157,151,74,98,6,836,34,143,117,97,224,278,65,120,269,1353,735,3822,2964,2835,5155,5941,2240,3077,478,27241
SED25605,11,151,144,106,270,211,68,99,17,1090,30,146,156,123,367,313,92,128,325,1672,670,3242,3045,2965,6147,5571,2123,2871,595,27233
SED25704,39,131,83,112,224,203,97,146,5,1037,58,114,63,86,137,166,60,148,287,1124,1202,3296,2585,3293,4290,4343,2358,4714,625,26699
SED25802,36,179,129,136,262,248,113,210,19,1334,71,136,97,85,164,206,83,157,278,1282,1210,3778,3139,3373,4708,4742,2627,4563,623,28768
SED25905,28,179,131,146,298,289,148,157,21,1386,46,156,113,121,385,361,93,184,364,1824,867,3596,2907,3539,7072,6187,2697,3322,706,30891
SED26005,26,176,133,167,353,307,166,175,18,1523,58,198,152,181,561,423,142,174,410,2289,1056,4389,3474,4222,8858,7717,3290,4186,765,37964
SED26102,27,144,90,122,153,135,70,110,10,856,60,139,116,103,131,181,61,125,231,1150,1019,3662,2817,3243,3397,3924,1804,3087,516,23464
SED26207,31,148,101,125,198,185,67,132,18,1002,47,128,96,88,196,228,73,139,258,1254,941,3354,2866,2891,5144,5738,2469,3916,579,27902
SED26303,23,150,111,140,219,220,86,112,14,1083,26,116,121,112,196,240,84,151,240,1281,1047,3841,3691,4252,5947,6923,3606,4988,533,34822
SED26406,19,134,138,120,228,183,86,123,18,1043,26,133,151,116,231,267,78,129,288,1423,1007,4285,3755,3461,6344,6997,3120,3844,600,33396
SED26504,21,95,75,73,144,183,64,133,6,804,69,127,71,77,146,151,56,119,232,1052,1155,2962,2599,3156,3995,3956,2146,3794,570,24335
SED26603,30,148,128,139,273,224,121,138,23,1224,60,132,135,123,244,312,96,125,367,1589,1095,3553,3938,3848,7272,7255,3269,4107,725,35060
SED26708,27,133,81,84,157,151,60,138,13,838,60,141,99,95,139,174,69,135,289,1206,1226,3606,2957,3313,3909,4138,2345,5351,634,27478
SED26806,20,139,122,150,241,208,125,172,5,1185,47,146,132,115,218,365,159,300,305,1785,1120,3431,3426,3628,7612,10213,5445,8326,573,43777
SED26903,19,123,144,115,232,194,78,115,15,1034,51,132,158,126,292,267,86,138,319,1569,882,3439,3622,3409,6551,5980,2568,3027,634,30117
SED27003,37,140,101,142,266,223,141,157,10,1216,43,121,110,114,226,321,146,275,277,1620,1212,3498,3344,3795,7041,9297,5537,8374,583,42686
SED27101,39,142,136,140,231,215,110,152,13,1180,34,139,89,102,239,242,74,142,215,1275,958,3616,3230,3433,5785,6301,2913,3775,478,30488
SED27208,35,131,99,79,152,151,71,105,17,847,64,112,82,74,157,156,69,111,238,1054,1149,3158,2673,3158,4035,4107,2040,3781,553,24644
SED27305,22,145,126,140,267,261,98,187,14,1256,30,121,107,119,273,312,98,168,215,1452,845,3700,2999,3201,5699,6073,2549,3722,420,29211
SED27406,21,147,108,92,124,132,84,108,11,815,27,165,78,116,128,245,95,213,171,1249,893,3745,3017,3111,3773,5667,2944,5277,385,28813
SED27504,36,158,119,120,274,255,118,154,23,1258,62,110,93,88,194,210,82,160,327,1338,1215,3459,2767,3500,5481,5269,2765,4122,669,29239
SED27608,30,199,121,154,200,195,79,146,9,1132,31,152,93,91,120,186,65,144,186,1062,1362,5031,3847,3884,5296,5924,3011,4608,488,33450
SED27708,24,182,104,117,183,186,77,119,12,999,53,126,64,83,166,170,68,137,251,1119,1358,3961,3046,3605,4615,4588,2590,4213,641,28611
