SED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED20106,0,8,0,0,0,8,18,13,33,608,374,47,1030,49,54,107,1138,712,19,1867
SED20207,7,28,4,0,3,30,26,22,77,1132,704,84,1922,121,93,210,2133,1268,40,3445
SED20302,5,16,4,5,8,21,37,19,80,758,841,91,1692,84,105,189,1881,1240,41,3160
SED20401,4,25,0,0,0,26,29,6,67,925,734,78,1738,53,64,118,1857,1028,20,2901
SED20508,8,11,0,0,0,15,29,10,51,592,670,51,1322,52,63,121,1435,758,19,2215
SED20604,7,15,0,0,3,21,22,11,53,774,743,81,1595,88,69,154,1753,970,30,2746
SED20704,0,18,0,0,0,18,20,7,48,750,811,96,1653,71,88,158,1814,1109,25,2939
SED20804,3,18,4,0,4,18,39,11,69,655,727,72,1447,77,86,169,1616,1200,33,2845
SED20906,4,19,0,0,0,19,15,16,50,817,592,60,1469,57,58,115,1579,855,20,2456
SED21001,4,16,0,0,0,16,10,11,34,746,577,50,1381,51,38,94,1477,988,24,2489
SED21106,3,11,0,0,0,11,13,8,35,676,498,53,1228,41,39,75,1305,632,13,1943
SED21203,3,20,0,0,3,21,63,33,117,579,505,87,1168,104,89,198,1370,2306,69,3750
SED21303,3,10,0,0,0,8,14,4,28,562,429,37,1028,30,51,82,1107,902,12,2023
SED21401,0,3,0,0,3,3,10,12,25,668,460,48,1177,38,57,89,1266,987,27,2279
SED21503,7,14,0,3,3,18,24,13,53,672,551,74,1301,36,49,81,1390,957,20,2366
SED21608,4,15,0,0,3,24,25,13,57,582,617,75,1276,73,102,173,1452,1043,25,2516
SED21706,0,8,0,0,0,4,24,11,40,716,551,45,1313,49,52,100,1410,895,27,2333
SED21805,7,22,4,3,4,23,31,19,76,1108,834,99,2041,79,103,183,2225,1098,37,3362
SED21906,3,7,0,0,3,13,17,7,27,611,448,25,1083,35,21,52,1136,563,5,1708
SED22005,5,13,0,3,3,16,25,19,69,761,566,83,1403,49,71,125,1530,1467,43,3043
SED22105,16,33,0,3,4,39,39,28,97,1230,870,137,2227,143,125,262,2496,1454,48,3997
SED22201,0,20,0,0,0,23,17,14,52,939,699,69,1705,36,54,95,1800,848,27,2667
SED22305,0,18,4,0,3,22,35,30,86,729,530,67,1330,128,119,248,1576,1894,57,3525
SED22404,7,26,0,3,3,26,26,12,63,588,682,67,1333,42,59,100,1438,764,38,2239
SED22501,0,8,0,0,0,9,14,0,25,810,595,51,1457,28,36,66,1527,555,7,2091
SED22607,0,12,0,0,0,17,38,19,78,629,450,53,1135,61,60,126,1255,953,35,2245
SED22704,0,16,0,4,3,17,45,18,76,655,624,69,1356,76,64,137,1491,1172,35,2698
SED22802,5,25,0,0,0,25,16,12,48,791,678,80,1543,38,37,76,1619,749,19,2384
SED22901,7,27,0,3,3,26,14,10,48,784,589,60,1434,42,55,93,1526,839,18,2379
SED23007,4,25,0,5,4,34,37,21,88,796,607,93,1502,142,136,284,1779,1726,53,3557
SED23101,0,10,0,0,0,10,18,4,33,660,489,42,1190,36,42,81,1276,922,13,2214
SED23205,9,20,0,4,4,23,39,31,94,975,832,90,1894,111,108,217,2109,1461,55,3623
SED23308,0,20,4,3,4,19,26,17,64,824,753,94,1663,77,59,135,1803,1071,34,2907
SED23402,5,25,0,0,0,25,23,10,52,924,740,68,1732,60,70,135,1861,843,26,2732
SED23502,3,16,0,3,4,21,22,15,59,480,613,75,1175,57,63,118,1288,912,37,2233
SED23602,3,21,0,0,3,21,20,12,58,438,559,62,1054,66,61,123,1176,835,30,2038
SED23702,4,22,3,0,7,30,16,16,59,974,910,95,1979,67,91,161,2133,1045,32,3208
SED23806,3,12,0,0,0,12,8,5,32,548,369,46,966,27,39,58,1022,594,16,1633
SED23901,4,9,0,0,3,16,26,13,55,763,539,60,1356,49,65,108,1470,1039,23,2525
SED24006,0,9,5,0,3,13,11,5,31,746,501,48,1297,46,40,85,1377,841,15,2234
SED24105,4,10,3,0,3,17,30,18,64,833,637,69,1542,93,87,179,1716,1443,41,3201
SED24207,0,26,4,3,8,29,50,28,104,1041,764,100,1901,130,142,274,2178,1682,48,3918
SED24308,3,15,5,3,8,19,51,33,108,771,816,93,1678,123,130,255,1937,1773,56,3767
SED24408,4,13,0,0,3,14,31,19,63,448,507,51,1003,43,56,96,1102,885,29,2018
SED24504,3,13,0,0,0,13,19,7,39,531,571,49,1149,39,37,78,1227,636,19,1880
SED24606,5,9,0,0,0,9,7,7,25,569,397,38,1003,26,28,53,1060,564,14,1637
SED24703,0,14,0,3,4,19,25,16,61,562,369,44,978,60,66,123,1105,1019,29,2151
SED24808,3,20,3,5,6,24,57,26,110,1063,847,109,2016,147,157,306,2325,1958,58,4344
SED24904,3,15,3,0,8,21,53,26,102,655,591,69,1313,86,79,162,1475,1231,51,2762
SED25003,7,31,0,0,0,31,22,14,63,937,639,71,1653,71,72,137,1789,1048,28,2867
SED25102,4,25,0,0,0,25,13,6,45,708,667,42,1422,34,48,86,1502,667,20,2190
SED25205,0,4,0,0,0,6,17,6,29,868,635,51,1558,29,41,70,1631,825,16,2468
SED25302,8,19,0,0,0,19,15,9,39,670,650,57,1378,36,50,86,1459,702,16,2178
SED25402,4,10,3,3,6,14,44,21,79,700,743,84,1518,141,136,281,1805,1326,46,3173
SED25501,3,16,0,0,0,16,8,17,40,728,438,59,1225,37,53,89,1317,930,22,2271
SED25605,3,16,0,0,0,20,10,6,37,724,491,63,1278,70,49,123,1400,1192,22,2609
SED25704,0,12,0,4,5,12,33,20,69,546,563,48,1158,61,65,131,1286,949,47,2279
SED25802,6,20,0,0,3,19,39,10,65,658,678,93,1428,77,82,160,1590,1155,25,2776
SED25905,5,17,0,3,7,22,21,21,70,836,591,67,1501,66,69,140,1640,1131,33,2800
SED26005,0,9,4,0,5,15,22,17,59,1109,707,91,1906,86,79,161,2070,1143,28,3237
SED26102,3,20,0,0,0,27,29,12,71,566,715,64,1351,55,55,110,1462,949,36,2457
SED26207,4,24,3,0,3,24,28,11,58,784,532,70,1382,38,54,92,1473,1021,30,2517
SED26303,3,11,0,0,0,11,13,10,33,583,498,48,1132,35,34,70,1199,826,20,2040
SED26406,3,17,0,0,0,17,12,9,33,614,465,57,1133,49,38,92,1222,855,23,2100
SED26504,3,14,0,0,0,14,27,26,66,486,581,76,1143,74,49,129,1269,883,38,2196
SED26603,3,14,0,0,4,25,27,17,73,758,556,64,1375,69,58,125,1509,1316,46,2863
SED26708,8,13,4,0,3,17,30,23,70,506,594,64,1163,52,41,95,1253,823,39,2114
SED26806,0,5,0,0,0,10,13,3,22,544,333,31,908,33,40,75,987,671,12,1668
SED26903,8,22,3,3,8,27,49,18,93,658,593,43,1298,85,66,153,1449,1539,40,3028
SED27003,3,5,0,0,0,5,36,22,64,513,373,44,928,66,77,143,1076,1149,28,2251
SED27101,5,13,0,0,0,16,25,4,45,795,591,55,1445,45,50,99,1543,916,18,2471
SED27208,3,6,3,0,3,13,41,25,81,463,550,69,1088,65,59,125,1216,1148,36,2394
SED27305,5,14,0,0,0,14,17,9,36,716,484,58,1263,28,37,60,1323,552,18,1892
SED27406,5,14,0,0,3,16,9,4,28,670,495,50,1209,42,41,80,1293,673,6,1975
SED27504,10,29,3,3,3,33,39,23,102,750,739,103,1592,72,104,182,1772,1276,47,3100
SED27608,3,20,4,0,0,20,12,8,46,718,648,71,1438,56,49,105,1539,637,10,2186
SED27708,4,22,0,3,4,28,31,17,71,605,724,79,1413,47,67,121,1531,930,36,2501
