SED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED20106,240,220,315,425,1033,2078,1254,3128,52,8743,498,941,1005,1315,2406,4220,1969,3445,100,15890,59,150,271,204,554,775,356,580,36,2981,124,628,614,527,469,499,245,285,52,3435,144,391,460,453,1272,1268,517,581,32,5114,91,521,387,330,525,587,301,488,29,3256,14,57,65,65,113,106,39,79,6,542,32,289,347,145,151,175,85,116,26,1368,19,50,44,41,104,136,42,104,187,723,1227,3243,3497,3500,6628,9837,4805,8796,513,42057
SED20207,135,173,202,303,932,1587,749,1538,62,5691,314,570,744,860,2119,3065,969,1139,93,9882,104,234,326,359,1362,1500,639,721,83,5331,154,718,681,769,683,613,263,285,59,4226,233,532,707,731,1845,1515,475,464,57,6560,110,1060,575,478,644,549,236,305,63,4018,95,147,229,272,829,669,376,504,79,3191,95,688,511,428,685,578,200,239,66,3486,25,65,54,54,110,154,37,65,231,788,1272,4182,4024,4253,9208,10232,3945,5267,797,43172
SED20302,134,213,191,293,478,766,467,1202,57,3801,254,358,482,573,861,891,414,537,46,4420,179,285,291,417,1115,1426,596,815,81,5214,192,639,664,721,544,329,179,183,66,3524,156,456,484,573,913,648,239,233,34,3740,151,954,491,486,502,356,192,204,59,3397,81,113,130,187,510,477,337,516,44,2388,164,765,497,485,591,565,243,309,79,3706,31,43,27,25,61,50,24,50,188,507,1344,3828,3264,3767,5581,5513,2688,4053,654,30684
SED20401,93,115,140,210,607,800,501,866,30,3361,278,473,573,704,1317,1407,684,765,45,6231,144,230,317,357,1209,1521,621,704,72,5177,139,708,564,633,544,343,193,167,47,3335,162,453,581,618,1248,888,350,258,40,4587,107,867,425,356,476,341,166,199,52,2993,51,100,92,151,528,352,207,241,30,1752,73,617,352,345,557,391,150,175,54,2711,16,28,28,26,73,56,33,40,137,424,1062,3590,3066,3393,6567,6095,2903,3401,506,30579
SED20508,97,162,183,277,381,653,397,863,27,3042,259,545,739,761,883,969,461,674,44,5329,130,276,263,333,827,1158,474,604,73,4135,160,756,587,602,418,381,153,191,42,3282,147,424,541,510,652,473,196,201,25,3176,98,691,417,337,304,253,144,167,32,2439,43,98,97,104,212,242,151,251,28,1219,91,641,288,294,325,291,97,208,48,2278,21,37,25,36,49,62,17,45,119,411,1042,3632,3146,3261,4046,4470,2093,3198,433,25318
SED20604,144,195,191,297,467,727,538,1535,49,4148,237,365,586,766,933,924,477,653,39,4986,150,222,210,342,960,1223,694,796,66,4669,207,616,517,687,548,412,266,275,62,3602,145,369,449,584,891,531,263,202,37,3478,104,752,410,427,390,247,151,197,36,2723,89,111,126,172,474,407,246,474,43,2133,170,735,424,411,532,578,274,247,70,3445,33,30,19,34,56,63,33,64,155,494,1283,3408,2927,3723,5248,5122,2946,4452,566,29677
SED20704,107,153,158,275,494,614,472,1110,49,3437,343,492,703,922,1170,1106,574,778,51,6142,117,238,206,293,916,1017,499,671,67,4011,234,776,551,703,483,349,191,208,54,3553,174,446,508,582,940,494,268,210,45,3664,139,1069,466,359,411,226,169,176,45,3067,72,114,93,114,319,299,223,384,33,1653,124,789,365,389,573,392,213,184,67,3096,23,47,33,37,50,47,16,40,121,408,1338,4125,3089,3670,5357,4547,2626,3768,526,29027
SED20804,96,116,183,246,391,542,391,826,39,2835,253,457,638,819,903,895,474,657,31,5125,121,236,245,346,889,913,449,531,54,3777,148,574,492,615,444,379,145,174,32,3016,132,372,393,451,734,443,192,168,25,2908,75,788,379,332,361,212,147,138,34,2473,42,91,91,119,280,308,199,316,38,1487,129,700,429,457,667,509,275,218,63,3445,33,34,26,30,61,43,28,33,121,410,1036,3373,2879,3415,4727,4252,2305,3063,431,25474
SED20906,121,152,220,312,620,1159,733,1515,36,4859,282,660,870,970,1435,2236,961,1354,74,8850,66,202,216,281,573,829,332,449,44,2999,89,773,472,474,341,268,136,145,28,2717,135,493,587,572,927,841,312,314,41,4224,82,884,393,333,344,347,157,244,24,2807,20,68,77,68,186,153,88,111,14,784,32,445,225,180,205,167,79,93,20,1448,9,30,37,23,62,74,22,39,131,426,844,3713,3088,3215,4684,6074,2824,4258,406,29110
SED21001,110,183,259,342,644,1112,664,1542,42,4898,367,997,1089,1219,1871,2601,1130,1740,75,11091,67,231,296,265,647,672,299,387,45,2902,103,908,583,459,357,256,145,129,18,2959,130,627,611,575,929,785,304,305,42,4321,72,975,481,347,375,359,160,235,22,3030,20,76,93,69,150,154,65,86,9,723,42,507,372,205,223,178,80,75,41,1719,18,54,51,40,67,75,21,51,157,540,920,4570,3836,3523,5261,6204,2863,4541,456,32180
