SOSR_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOSR201,26494,25143,51641,28099,26453,54560,27566,26240,53807,27891,26710,54598,27447,25934,53379,137494,130480,267976,26921,25312,52235,26899,25793,52690,26176,25021,51195,26279,24925,51199,26037,24797,50832,132314,125843,258159,25185,23956,49142,24285,22983,47265,24185,22699,46882,23616,22437,46056,23005,22078,45082,120285,114148,234434,23586,22378,45962,23932,23571,47504,24203,23548,47751,26255,25387,51642,28856,28226,57085,126834,123105,249943,30343,29773,60113,31635,30631,62266,32080,30901,62979,32570,32448,65023,32993,32758,65748,159623,156508,316127,33580,34040,67620,34375,35154,69530,33532,35318,68857,34567,35782,70348,34090,34977,69063,170144,175269,345414,34545,36364,70908,34497,36094,70594,34646,35644,70293,34783,35543,70329,33904,34261,68172,172375,177914,350286,33050,33145,66192,31632,32027,63652,30321,30753,61076,29229,29597,58830,28857,28902,57757,153093,154414,307505,28591,29300,57891,28265,29204,57475,28761,30177,58944,28586,30181,58766,29251,31314,60560,143460,150176,293633,29685,32498,62188,28419,30098,58515,27625,29527,57148,27185,28534,55725,25719,27036,52756,138640,147698,286330,25751,26943,52693,24933,26264,51200,25478,26911,52393,25696,26543,52233,24862,25871,50729,126724,132531,259255,24501,25900
SOSR203,914,928,1835,1032,997,2032,1024,959,1983,1007,944,1949,1054,907,1966,5029,4732,9762,935,888,1821,908,931,1837,975,909,1889,915,948,1864,994,854,1847,4721,4534,9259,866,858,1720,905,846,1753,903,849,1757,947,847,1799,963,866,1830,4590,4263,8858,968,866,1833,944,937,1880,988,1014,2000,1057,1014,2072,1040,1138,2172,4990,4969,9959,1102,1216,2314,1243,1215,2461,1292,1218,2512,1190,1108,2296,1174,1174,2346,6002,5934,11931,1173,1130,2305,1090,1204,2296,1089,1180,2261,1036,1076,2113,1084,1069,2154,5469,5664,11132,1061,1125,2191,1073,1096,2172,1011,1015,2031,1009,1115,2122,1015,1019,2031,5171,5377,10547,1013,1017,2036,930,990,1920,883,958,1843,916,975,1889,888,943,1830,4631,4892,9519,921,946,1874,944,1027,1973,1009,1037,2043,948,1056,2002,1016,1129,2142,4845,5191,10030,1023,1130,2149,952,1030,1980,943,1031,1976,991,963,1951,937,988,1926,4839,5140,9979,880,973,1858,923,1049,1970,1021,1088,2112,909,1060,1969,910,1093,2001,4642,5263,9907,899,1065
SOSR211,1892,1834,3735,1969,1842,3809,2023,1869,3888,2053,1958,4005,2041,2054,4097,9977,9558,19530,1939,1863,3799,1883,1867,3752,2026,1892,3915,1887,1826,3710,1924,1867,3788,9656,9312,18970,1843,1752,3590,1726,1604,3331,1770,1689,3457,1679,1478,3155,1767,1679,3441,8773,8193,16968,1770,1654,3422,1782,1648,3426,1831,1753,3585,1796,1741,3541,1817,1872,3688,8994,8670,17664,1911,2009,3926,2114,2115,4226,1995,2098,4092,2017,1898,3910,1938,2006,3947,9981,10117,20098,1949,2051,4003,1909,2050,3957,1872,1926,3796,1878,2058,3930,1785,2026,3811,9387,10107,19491,1932,2013,3943,1861,1988,3853,1793,1983,3778,1779,1917,3698,1722,1845,3570,9085,9748,18836,1748,1953,3699,1603,1744,3344,1682,1745,3429,1735,1675,3409,1521,1775,3292,8283,8888,17174,1559,1695,3254,1626,1711,3335,1696,1736,3429,1634,1805,3431,1745,1915,3660,8259,8854,17114,1753,1903,3653,1643,1767,3413,1675,1815,3487,1583,1746,3328,1418,1654,3075,8070,8889,16960,1511,1679,3189,1580,1610,3189,1560,1758,3318,1653,1867,3521,1662,1796,3458,7969,8705,16676,1562,1834
SOSR212,1103,1063,2167,1120,1053,2171,1150,1110,2264,1162,1128,2291,1169,1069,2238,5702,5430,11137,1087,1090,2173,1187,1105,2292,1137,1096,2238,1180,1096,2278,1152,1053,2205,5748,5447,11192,1119,1111,2233,1057,965,2020,1081,1005,2085,1072,1042,2121,1092,1023,2117,5431,5148,10573,1118,1091,2213,1093,1122,2219,1266,1166,2433,1110,1029,2138,1110,1031,2139,5699,5441,11145,1015,1033,2052,1029,1051,2079,1100,1110,2208,1139,1084,2222,1144,1185,2330,5431,5468,10899,1174,1197,2368,1158,1228,2385,1080,1175,2255,1151,1114,2268,1110,1131,2235,5675,5840,11512,1096,1113,2206,1080,1165,2245,1044,1150,2187,1031,1095,2126,976,1129,2114,5219,5659,10874,983,1128,2112,980,1085,2063,902,1059,1959,967,1001,1969,956,1036,1998,4790,5310,10107,988,993,1979,959,1106,2064,998,1121,2125,1089,1135,2224,1153,1161,2315,5187,5514,10704,1080,1259,2337,1083,1193,2275,1121,1128,2249,1063,1079,2139,1035,1110,2144,5372,5769,11140,1009,1145,2151,1029,1120,2148,1044,1148,2190,1049,1221,2270,1079,1163,2245,5215,5786,11001,1071,1188
SOSR213,1566,1395,2965,1632,1556,3193,1585,1625,3215,1792,1631,3417,1707,1615,3320,8283,7823,16108,1651,1512,3158,1722,1750,3470,1698,1546,3244,1687,1613,3298,1734,1678,3414,8492,8091,16585,1601,1543,3143,1602,1446,3046,1544,1479,3014,1594,1498,3094,1534,1475,3006,7876,7426,15305,1547,1445,2995,1560,1507,3070,1649,1506,3154,1583,1442,3022,1383,1361,2747,7722,7258,14987,1392,1278,2669,1377,1304,2681,1358,1350,2707,1419,1454,2876,1421,1384,2804,6968,6773,13737,1425,1498,2915,1412,1490,2903,1388,1431,2820,1403,1573,2973,1362,1458,2824,6989,7443,14435,1449,1538,2989,1432,1509,2942,1408,1599,3010,1367,1570,2934,1410,1599,3010,7070,7817,14889,1430,1536,2964,1348,1477,2824,1387,1476,2864,1385,1488,2869,1364,1534,2890,6906,7507,14415,1436,1596,3025,1433,1587,3016,1529,1589,3116,1554,1710,3263,1604,1743,3356,7554,8220,15779,1668,1875,3548,1553,1657,3216,1554,1677,3230,1449,1642,3089,1371,1592,2965,7600,8454,16051,1392,1572,2968,1433,1559,2993,1539,1696,3235,1531,1763,3293,1635,1759,3399,7541,8348,15885,1538,1780
SOSR214,790,688,1479,765,730,1494,771,778,1544,878,744,1614,859,771,1630,4058,3702,7760,887,801,1689,794,754,1554,813,800,1617,796,818,1621,859,831,1692,4152,4013,8166,865,799,1662,772,793,1563,809,771,1588,833,776,1614,845,790,1634,4124,3930,8056,906,771,1686,857,771,1627,903,843,1749,859,746,1607,725,665,1389,4253,3795,8049,741,604,1344,738,584,1324,714,663,1377,699,633,1327,709,677,1391,3596,3164,6762,674,644,1322,662,647,1306,640,691,1328,650,633,1283,639,693,1341,3267,3311,6577,704,763,1468,679,743,1417,678,741,1423,656,688,1345,686,685,1372,3406,3616,7022,664,703,1369,660,703,1365,672,723,1399,719,750,1466,677,755,1434,3397,3636,7033,726,762,1495,677,840,1521,754,851,1607,823,860,1689,822,931,1746,3804,4254,8057,874,914,1787,793,896,1683,910,926,1833,805,883,1695,789,908,1697,4173,4521,8689,856,912,1771,877,890,1769,840,914,1759,886,1000,1885,907,1021,1931,4370,4739,9109,901,1004
SOSR215,1261,1142,2402,1266,1168,2441,1319,1211,2537,1339,1269,2603,1353,1380,2737,6537,6175,12710,1389,1269,2662,1431,1363,2792,1391,1414,2800,1444,1342,2792,1460,1373,2831,7117,6762,13879,1419,1347,2757,1300,1261,2560,1338,1235,2579,1294,1206,2502,1297,1158,2453,6642,6212,12855,1281,1229,2510,1283,1227,2510,1334,1247,2572,1200,1022,2220,1061,944,2004,6155,5665,11821,1044,971,2014,1105,989,2092,974,963,1940,983,1053,2041,1141,955,2093,5253,4929,10185,1033,1082,2117,1100,1097,2198,1085,1111,2190,1049,1103,2156,1060,1146,2209,5324,5535,10864,1015,1126,2133,1119,1267,2387,1026,1188,2220,1098,1175,2271,1031,1283,2314,5290,6033,11323,1143,1241,2377,1087,1183,2264,1095,1192,2287,1144,1158,2300,1084,1220,2304,5552,5979,11535,1154,1256,2414,1212,1282,2501,1211,1341,2549,1300,1394,2690,1352,1499,2850,6233,6774,13006,1377,1552,2934,1265,1382,2640,1306,1417,2720,1281,1383,2661,1267,1331,2592,6494,7053,13543,1293,1409,2698,1309,1432,2737,1406,1566,2977,1456,1523,2975,1493,1556,3054,6954,7491,14448,1415,1570
SOSR221,280,295,578,327,309,641,350,285,635,327,297,625,364,347,707,1650,1535,3187,379,316,697,422,340,762,383,362,746,395,362,760,434,378,815,2014,1771,3783,418,369,788,375,312,693,377,354,733,305,360,668,333,359,691,1814,1755,3570,374,338,713,321,347,664,362,310,676,331,312,642,287,236,520,1673,1546,3218,284,236,522,255,216,475,247,247,494,222,231,451,238,229,467,1249,1161,2410,242,259,502,232,245,473,243,253,494,266,272,535,266,276,542,1246,1304,2552,256,273,532,272,295,567,261,318,580,269,279,547,294,295,583,1349,1463,2810,265,312,583,275,357,631,270,319,595,320,320,632,295,337,635,1425,1650,3071,345,323,670,355,329,684,351,358,707,366,405,775,388,429,821,1806,1848,3652,396,456,850,392,461,856,428,423,855,405,402,808,389,394,780,2008,2144,4152,382,397,776,431,419,853,424,466,889,441,439,884,442,473,919,2128,2193,4321,509,479
SOSR222,187,192,378,199,176,375,214,186,397,217,200,419,237,206,451,1060,961,2021,218,235,458,266,220,486,242,243,490,261,233,498,281,227,510,1272,1164,2437,266,278,539,224,195,420,223,227,449,228,254,478,207,241,454,1146,1194,2339,214,229,446,229,233,464,253,218,476,238,178,416,210,150,364,1150,1012,2156,164,154,322,173,135,311,154,158,313,172,163,337,146,148,293,816,751,1563,163,178,339,196,163,359,164,150,317,136,167,302,161,183,346,822,847,1667,182,188,371,155,188,344,178,199,377,207,197,404,183,174,360,911,948,1850,180,201,377,170,221,389,155,193,347,203,228,427,217,220,438,917,1063,1982,228,214,440,201,212,414,207,219,424,252,261,507,244,265,513,1130,1172,2301,257,272,528,246,243,492,265,237,501,265,291,552,245,283,530,1281,1319,2606,271,285,560,264,277,542,296,294,591,286,315,602,326,332,661,1455,1507,2959,337,372
SOSR231,1859,1800,3659,1991,1941,3936,2117,2032,4150,2290,2106,4395,2322,2184,4510,10584,10062,20650,2403,2319,4725,2619,2476,5095,2741,2482,5220,2791,2520,5312,2932,2726,5656,13481,12526,26009,2869,2749,5618,2697,2738,5430,2870,2758,5628,2861,2757,5618,2847,2792,5636,14141,13789,27936,2950,2737,5683,2926,2821,5746,2982,2760,5739,2798,2471,5268,2535,2074,4607,14188,12860,27043,2309,1901,4207,2188,1851,4039,2035,1734,3775,1906,1659,3568,1937,1656,3591,10371,8809,19177,1822,1520,3337,1722,1609,3333,1778,1536,3311,1670,1623,3292,1708,1641,3345,8691,7927,16619,1742,1768,3509,1812,1810,3622,1829,1846,3672,1965,1924,3890,1877,2060,3937,9218,9407,18626,1996,2056,4045,2011,1965,3977,2039,2001,4040,2190,2234,4425,2251,2253,4507,10487,10508,20990,2382,2362,4749,2528,2574,5105,2678,2770,5444,2683,2792,5479,3129,3101,6230,13408,13589,26999,3189,3304,6488,3105,3119,6218,3243,3393,6637,3193,3206,6396,3219,3095,6319,15946,16115,32063,3317,3297,6609,3215,3250,6466,3493,3404,6897,3587,3491,7076,3709,3597,7308,17326,17036,34357,3770,3610
