SOSR_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOSR201,23,58,350,938,3290,3608,6641,4275,655,674,563,626,672,422,404,23199,17,177,827,3488,2729,9822,9719,12397,1877,3155,2297,1967,2194,1526,1136,53328,0,4,11,131,827,1512,2469,3183,549,642,751,891,1136,715,709,13538,15,221,985,7322,1917,2620,1515,602,112,97,153,114,120,42,544,16383,3,42,111,4395,2390,3069,2123,974,220,161,202,155,192,133,500,14677,784,9659,22350,32316,16417,13404,16953,15232,3724,3611,3174,2973,3065,1700,4349,149707,14,116,298,1220,1265,1840,3237,2589,760,779,793,949,1062,633,560,16124,4,16,46,386,21366,23235,9649,8724,1597,1938,2481,2418,2415,1492,2827,78584,0,7,43,72,318,244,963,1252,138,160,124,161,177,116,58,3845,385,6124,9358,24006,24827,41530,48029,39731,8073,9883,11483,11694,12651,8290,8338,264413,2573,49148,101600,136570,121826,188334,230598,243576,47823,57062,63528,66545,71191,45498,48507,1474364
SOSR203,0,0,9,56,45,56,98,98,29,21,4,8,13,10,3,451,0,0,9,18,21,34,40,84,14,42,18,21,25,23,5,347,0,0,0,3,14,19,47,169,34,28,47,27,38,28,19,477,0,6,128,281,63,56,23,3,4,0,0,0,3,0,10,587,0,0,0,39,9,19,13,7,0,0,0,3,6,3,7,114,29,591,1351,1484,533,396,470,522,98,55,99,81,57,23,205,6000,0,3,0,35,28,37,90,76,17,12,16,18,18,16,9,388,0,0,0,9,92,57,42,44,14,13,20,9,27,13,24,360,0,0,0,0,9,0,36,44,3,0,4,3,0,0,0,113,5,347,554,770,279,404,592,753,141,209,318,204,223,148,194,5132,70,2379,3697,4022,1824,2161,2907,3965,749,894,1118,967,1151,769,1039,27705
SOSR211,0,3,8,31,55,55,178,133,30,22,18,9,14,14,3,574,0,3,15,20,30,54,102,211,41,38,20,15,23,13,11,599,0,0,0,10,13,32,78,236,38,28,54,59,48,36,38,668,0,0,11,65,10,30,23,19,0,0,4,0,0,0,3,167,0,0,3,38,16,12,13,9,0,0,0,0,0,0,0,99,41,708,1445,1935,744,498,491,438,90,72,74,61,52,22,264,6927,0,6,14,67,42,39,108,70,31,23,22,30,26,5,14,502,0,0,0,3,59,75,56,101,19,16,29,17,15,17,23,427,0,0,0,3,7,11,42,52,6,3,3,3,9,3,3,142,11,239,329,649,388,602,1292,1506,231,235,284,223,276,183,220,6670,79,2233,3267,4107,2430,2743,4695,6238,1016,1112,1142,1026,1067,703,1264,33125
SOSR212,0,4,10,13,34,16,99,146,26,27,9,27,14,7,15,450,0,9,6,13,9,49,60,98,21,45,36,28,31,24,8,434,0,0,0,0,3,19,46,60,14,22,16,9,12,8,15,232,0,6,24,31,8,11,5,0,0,3,0,0,0,0,4,85,0,0,3,125,65,102,97,24,9,3,0,5,4,6,14,453,35,480,946,1158,460,325,338,247,92,73,39,39,52,26,157,4467,0,3,3,33,20,24,61,40,13,14,7,7,13,6,4,243,0,0,0,3,45,51,40,54,8,9,9,13,15,5,4,262,0,0,0,0,0,6,7,34,3,4,3,8,7,7,3,79,14,129,182,277,204,292,875,1013,175,184,332,257,282,178,232,4623,84,1692,2398,2460,1540,1767,3375,3800,753,790,937,909,953,662,981,23103
SOSR213,3,7,19,41,78,53,148,201,34,16,9,14,18,8,18,667,0,7,14,25,18,18,32,96,11,29,21,19,20,9,10,321,0,0,0,0,3,24,30,63,3,12,16,18,14,4,6,189,0,3,8,23,8,3,3,0,0,0,0,0,0,0,0,56,0,0,3,11,12,3,8,17,0,0,0,0,0,0,3,62,65,1217,2168,2375,878,573,630,686,105,104,113,63,56,33,336,9413,0,13,11,90,63,48,109,94,28,18,41,21,42,3,22,592,0,0,0,3,33,38,43,59,7,15,15,17,9,5,13,252,0,0,7,0,15,12,49,39,14,10,12,7,3,4,3,165,21,252,360,523,278,262,443,493,141,122,85,98,132,37,149,3396,146,3432,4465,4340,2441,2031,2967,3560,649,693,633,558,578,263,1102,27868
SOSR214,0,3,4,38,32,24,86,73,9,9,5,8,8,0,3,298,0,6,6,20,8,10,19,26,4,12,12,4,3,0,11,142,0,0,0,0,3,16,23,34,9,14,7,9,6,0,14,142,0,0,9,19,10,3,0,0,0,0,0,0,0,0,6,45,0,0,0,9,3,3,5,0,0,0,0,0,0,0,4,33,41,611,1322,1455,480,333,280,280,43,31,35,33,28,14,221,5218,0,5,9,57,27,22,53,39,16,8,3,9,11,3,12,265,0,0,0,3,10,19,10,18,7,0,5,7,4,0,46,124,0,0,4,4,4,3,15,10,0,3,0,0,0,0,0,42,4,132,186,282,131,122,186,230,27,54,39,55,81,33,139,1716,83,1762,2641,2610,1271,1121,1439,1625,317,349,325,304,347,209,980,15380
SOSR215,0,0,11,57,68,37,142,70,0,9,3,17,9,4,16,442,0,8,10,24,17,21,19,51,3,23,3,4,0,0,4,191,0,0,0,7,9,24,46,95,5,19,14,14,12,5,22,272,3,3,0,27,0,3,0,3,0,0,0,0,0,0,0,42,0,0,0,41,9,18,12,9,0,0,0,0,0,0,0,93,69,1046,2013,2562,878,606,621,403,86,68,41,41,45,16,422,8909,0,11,16,84,44,50,87,68,9,13,19,10,16,8,11,439,0,0,0,3,32,35,55,48,10,3,17,8,9,4,26,254,0,0,3,0,16,6,22,24,0,0,0,0,0,3,0,84,22,232,336,466,305,248,331,350,48,43,69,81,88,65,132,2806,141,2733,3936,4384,2376,1858,2428,2258,378,417,432,395,420,237,1159,23543
SOSR221,0,0,12,16,22,14,12,21,0,0,4,3,0,0,0,103,0,4,9,12,3,0,4,4,0,3,0,0,0,0,0,38,0,0,0,0,6,10,6,21,7,0,7,3,5,3,0,65,0,0,3,7,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,6,5,5,0,0,0,0,0,0,0,0,0,22,15,296,702,859,302,177,166,138,17,12,11,14,3,0,116,2845,0,0,7,26,26,20,29,23,0,3,3,13,0,0,7,160,0,0,0,3,0,9,0,3,0,0,3,0,0,4,0,20,0,0,0,3,3,3,4,0,0,0,0,0,0,0,0,13,0,45,86,149,90,82,48,48,12,7,10,6,7,12,47,655,27,764,1270,1402,817,580,509,419,76,74,88,86,58,48,278,6500
SOSR222,0,0,3,10,15,14,22,15,7,0,0,3,0,0,0,78,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,4,7,5,3,3,0,0,7,0,0,41,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,7,162,384,495,191,93,99,49,14,8,6,9,6,3,83,1605,0,0,3,11,8,13,13,14,0,3,0,0,0,0,0,72,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,27,66,104,57,46,33,30,9,14,9,24,19,12,25,488,16,388,677,843,454,330,322,277,59,70,76,64,62,56,196,3896
SOSR231,0,4,36,64,121,82,238,196,48,12,15,27,21,10,24,897,0,7,20,61,28,33,47,101,21,21,6,8,9,8,22,389,0,0,0,8,12,30,63,80,24,18,15,28,20,9,44,344,0,9,41,106,28,18,8,3,0,0,0,0,0,0,25,241,0,0,0,65,22,31,22,3,4,0,0,0,0,0,32,172,42,1381,3104,4041,1535,1120,1254,801,115,109,67,66,69,28,646,14386,0,20,27,191,105,122,178,95,25,11,13,23,20,11,22,869,0,0,0,9,52,52,44,40,4,8,5,4,16,8,174,420,0,0,13,5,17,29,36,69,5,4,7,0,3,0,7,200,17,350,639,1065,534,448,499,428,90,95,71,93,117,57,422,4924,135,4379,7192,8074,4619,3663,4610,3824,676,629,592,562,671,438,2697,42766
