SOSR_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
SOSR201,173,2968,26,2992,..,23925,1033,24955,188,25140,..,13888,1564,15453,176,15627,..,11949,1186,13137,119,13259,..,2750,671,3422,30,3453,..,12308,2325,14637,154,14790,..,34255,12140,46401,367,46759,..,84709,20344,105054,2061,107121,..,575730,105682,681408,7133,688543,..,4991,1279,6269,110840,117112,1250438,580720,106961,687680,117975,2056095,1288155,..,..,..,..,1288155,..,2135,28,2159,11,2174,..,30080,6794,36873,406,37280,..,119,3,122,0,122,..,29920,10199,40126,227,40352,..,74550,25955,100506,553,101060,..,6968,2856,9825,57,9879,..,111440,39018,150459,833,151295,..,7393,1321,8716,106,8819,..,3106,98,3206,39,3242,..,8628,346,8973,69,9045,..,7752,240,7995,94,8090,..,43650,11009,54654,508,55163,..,4393,433,4824,32,4859,..,21459,1413,22867,175,23044,..,19300,2901,22201,222,22425,..,16211,1188,17402,128,17529,..,7868,1173,9042,90,9132,..,12940,1454,14396,89,14482,..,82166,8561,90723,745,91469,..,43542,8861,52399,658,53058,..,5042,889,5929,51,5982,..,5510,2234,7749
SOSR203,4,63,3,64,..,371,7,381,5,389,..,158,26,184,0,185,..,108,0,112,0,112,..,46,17,66,0,65,..,106,29,139,0,139,..,187,66,251,4,257,..,1706,518,2220,57,2276,..,8432,1481,9911,142,10052,..,194,29,224,4300,4526,61063,8630,1505,10133,4438,75635,66024,..,..,..,..,66024,..,49,0,49,0,49,..,203,56,263,3,263,..,11,0,11,0,11,..,163,25,186,0,191,..,615,171,782,12,799,..,32,8,45,0,45,..,809,200,1014,14,1032,..,793,189,987,7,991,..,189,0,193,6,198,..,147,8,151,3,155,..,322,12,330,3,336,..,257,55,309,7,319,..,43,9,56,0,56,..,189,6,192,0,194,..,276,38,318,3,321,..,93,10,102,0,102,..,67,9,85,0,85,..,129,7,137,3,141,..,800,81,880,9,887,..,801,173,968,14,984,..,104,7,114,0,114,..,57,11,71
SOSR211,3,64,0,64,..,640,26,666,8,674,..,313,33,351,3,351,..,98,3,102,0,103,..,71,15,88,3,90,..,108,14,126,0,126,..,184,74,257,5,258,..,2307,698,3002,60,3065,..,9429,1619,11045,150,11197,..,371,40,406,8346,8755,113119,9798,1656,11449,8500,133073,121321,..,..,..,..,121321,..,89,3,95,0,95,..,348,58,413,9,419,..,18,0,18,0,23,..,171,53,228,3,233,..,627,237,860,5,869,..,58,16,67,0,67,..,861,302,1159,8,1167,..,213,38,248,3,254,..,149,3,155,3,160,..,178,10,188,3,187,..,279,8,293,4,293,..,241,46,288,5,291,..,110,16,131,0,131,..,414,37,453,4,455,..,485,90,576,7,585,..,222,15,239,0,239,..,159,22,177,0,182,..,233,82,315,3,313,..,1627,264,1891,23,1907,..,387,38,420,7,430,..,123,13,134,0,132,..,68,19,90
SOSR212,30,98,0,100,..,325,43,368,0,369,..,85,19,99,0,101,..,76,12,96,0,96,..,64,25,92,0,93,..,308,118,426,4,428,..,104,59,171,3,168,..,1589,643,2230,47,2273,..,6870,1806,8678,120,8791,..,206,28,235,5774,6008,67461,7076,1833,8910,5893,82267,72471,..,..,..,..,72471,..,90,3,94,3,92,..,526,208,733,12,743,..,26,0,26,0,25,..,140,61,204,4,205,..,363,268,631,3,636,..,20,14,36,0,36,..,529,342,869,8,878,..,105,5,115,0,116,..,99,3,97,3,102,..,88,4,95,4,93,..,145,3,153,0,157,..,298,55,357,5,363,..,64,0,66,0,66,..,169,5,178,0,184,..,399,76,477,7,485,..,161,16,174,0,179,..,86,9,93,0,93,..,119,15,136,4,144,..,1001,124,1127,16,1146,..,885,171,1060,11,1069,..,79,13,99,0,99,..,50,30,76
SOSR213,9,52,0,52,..,411,30,443,0,442,..,139,17,156,0,151,..,49,12,60,0,60,..,53,12,64,4,68,..,39,11,54,0,54,..,118,36,157,3,164,..,937,251,1187,27,1216,..,5388,799,6189,106,6294,..,315,35,352,7695,8046,106441,5704,831,6534,7805,120784,114696,..,..,..,..,114696,..,107,0,107,3,107,..,133,31,160,3,165,..,14,0,14,0,19,..,102,20,123,0,125,..,311,151,458,4,463,..,30,15,42,0,42,..,442,180,625,12,636,..,136,15,149,0,152,..,233,4,238,5,247,..,146,7,151,0,151,..,347,11,360,5,365,..,232,41,276,9,284,..,37,0,37,0,37,..,117,12,127,0,127,..,203,26,231,0,232,..,101,5,111,0,111,..,51,0,51,0,54,..,90,8,97,0,97,..,587,63,650,3,656,..,868,184,1050,18,1066,..,80,9,89,0,89,..,29,4,30
SOSR214,6,16,0,23,..,166,9,174,0,178,..,83,5,92,0,92,..,36,3,40,3,40,..,25,8,35,0,35,..,31,4,33,0,33,..,34,6,39,0,39,..,405,103,502,15,514,..,2811,501,3306,58,3371,..,149,18,167,5375,5538,58337,2958,515,3471,5434,67240,62731,..,..,..,..,62731,..,51,0,51,0,51,..,108,24,128,3,136,..,9,0,9,0,9,..,45,20,64,0,64,..,191,122,310,3,316,..,25,13,45,0,45,..,257,160,422,3,418,..,51,3,53,0,53,..,105,0,108,0,108,..,79,5,83,3,88,..,175,6,178,3,184,..,132,17,153,7,157,..,7,3,7,0,7,..,66,5,67,0,67,..,113,23,137,0,139,..,27,6,35,0,35,..,34,9,40,0,38,..,32,4,35,0,35,..,278,44,323,3,323,..,448,68,514,7,525,..,44,4,47,0,47,..,24,0,28
SOSR215,3,43,0,39,..,217,14,226,5,234,..,140,11,147,3,150,..,26,21,44,0,46,..,62,16,72,0,73,..,65,16,81,0,89,..,92,59,145,0,152,..,756,178,931,28,955,..,3920,610,4533,86,4616,..,276,25,296,7230,7532,93213,4193,637,4826,7325,105368,98613,..,..,..,..,98613,..,52,0,52,0,52,..,60,9,69,0,67,..,17,0,17,0,17,..,77,31,109,0,109,..,201,100,306,3,305,..,7,10,21,0,21,..,289,145,437,3,440,..,79,14,93,0,93,..,227,4,234,3,238,..,146,6,153,3,151,..,358,5,364,4,372,..,194,25,218,3,222,..,17,0,23,0,23,..,71,5,75,0,78,..,93,24,114,4,117,..,44,5,49,0,46,..,17,3,20,0,20,..,60,7,72,3,69,..,305,46,357,6,364,..,659,101,765,14,776,..,59,8,71,0,71,..,22,5,22
SOSR221,0,3,0,3,..,38,0,33,0,33,..,37,3,42,3,44,..,4,0,4,0,4,..,17,3,17,0,17,..,12,3,15,0,15,..,11,0,11,0,11,..,148,30,172,6,178,..,859,82,938,20,962,..,74,6,79,2229,2312,26922,934,92,1022,2254,30195,27097,..,..,..,..,27097,..,10,0,12,0,12,..,15,6,15,0,14,..,3,0,3,0,3,..,8,0,8,0,8,..,44,9,56,0,56,..,4,0,4,0,4,..,59,8,67,0,64,..,21,0,19,0,22,..,33,0,35,0,39,..,32,0,31,0,31,..,84,0,88,0,87,..,53,6,61,0,59,..,0,0,0,0,0,..,11,0,11,0,11,..,11,4,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,24,4,35,0,35,..,86,4,91,0,93,..,14,0,14,0,14,..,5,0,6
SOSR222,3,7,0,7,..,45,4,46,0,46,..,36,7,36,0,36,..,0,0,0,0,0,..,3,3,4,0,4,..,4,0,4,0,4,..,10,3,9,0,8,..,94,23,120,3,121,..,538,87,619,10,627,..,60,0,61,1535,1594,16972,598,90,683,1539,19200,16704,..,..,..,..,16704,..,9,0,9,0,9,..,8,0,8,0,8,..,6,0,6,0,6,..,11,4,15,0,15,..,56,30,84,0,91,..,4,6,10,0,10,..,73,40,113,0,113,..,8,0,13,0,13,..,28,0,28,0,28,..,24,0,21,0,21,..,57,5,64,0,65,..,31,0,36,0,36,..,0,0,0,0,0,..,0,0,0,0,3,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,22,0,19,..,67,11,75,0,77,..,10,3,15,0,15,..,3,3,5
SOSR231,7,40,0,40,..,383,30,418,3,421,..,203,13,220,6,228,..,59,9,62,0,62,..,61,7,72,0,72,..,154,14,176,7,177,..,148,54,204,0,204,..,1218,209,1426,46,1474,..,8512,921,9429,160,9586,..,501,39,537,18747,19288,184983,9016,960,9970,18909,213864,175812,..,..,..,..,175812,..,153,3,157,0,157,..,164,7,176,9,184,..,45,3,49,0,50,..,91,17,116,3,119,..,365,140,506,10,516,..,25,4,25,0,25,..,483,166,647,10,659,..,222,39,266,0,266,..,394,10,401,7,404,..,260,5,272,0,270,..,626,21,648,6,655,..,447,67,518,12,532,..,25,0,27,0,27,..,168,10,182,0,182,..,238,54,296,0,297,..,96,9,103,4,108,..,23,6,29,0,29,..,52,5,53,0,53,..,613,81,693,6,701,..,1475,180,1653,26,1678,..,122,10,132,0,134,..,31,5,34
SOSR279,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,18,7,0,7,3,28,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOSR299,0,5,0,5,..,20,0,20,0,20,..,31,3,28,0,28,..,9,0,10,0,10,..,3,0,3,0,3,..,20,3,24,0,21,..,27,11,39,0,39,..,115,30,151,5,154,..,532,158,687,15,698,..,21,4,28,1236,1261,2372,555,162,714,1245,4331,1835,..,..,..,..,1835,..,0,0,0,0,0,..,22,21,41,0,41,..,0,0,0,0,0,..,27,9,36,0,36,..,84,37,124,0,124,..,8,9,19,0,19,..,124,57,177,0,177,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,13,0,13,0,18,..,15,3,18,0,18,..,6,0,6,0,6,..,4,3,4,0,4,..,9,0,12,0,12,..,3,0,3,0,3,..,3,0,7,0,7,..,6,0,6,0,6,..,34,5,44,0,44,..,24,7,28,0,30,..,4,0,5,0,5,..,8,6,17
