SOSR_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
SOSR201,64,7812,..,11219,2600,13820,133,13956,..,6986,613,7595,113,7705,..,5749,1424,7173,62,7233,..,6555,1062,7617,70,7691,..,7558,1758,9320,82,9396,..,4948,336,5291,101,5389,..,6328,1419,7749,79,7826,..,8500,244,8744,81,8820,..,7891,588,8478,57,8534,..,11159,332,11492,129,11621,..,3443,204,3647,27,3679,..,30988,1364,32353,301,32653,..,14765,2021,16785,138,16929,..,10266,1059,11324,100,11421,..,5353,1219,6568,58,6625,..,11567,3258,14827,144,14975,..,34548,19020,53573,400,53973,..,79818,23439,103253,1945,105200,..,587207,139998,727203,7327,734529,..,5193,1354,6544,110874,117417,1288155,592399,141354,733749,118196,2140106,2538591,..,..,..,..,2538591,..,4245,59,4301,24,4325,..,62601,11859,74461,807,75263,..,227,9,238,3,240,..,57365,18168,75531,445,75979,..,136676,46356,183028,1005,184035,..,13429,5135,18564,106,18671,..,207463,69662,277123,1554,278680,..,14236,2278,16512,201,16716,..,5586,164,5748,69,5819,..,16381,650,17029,144,17177,..,14588,426,15010,175,15192
SOSR203,0,71,..,361,115,477,8,484,..,28,3,33,0,33,..,158,43,200,0,201,..,213,43,253,3,257,..,80,30,111,0,111,..,13,0,13,0,13,..,263,88,351,5,361,..,175,6,186,0,186,..,106,3,112,0,112,..,225,4,234,4,235,..,79,3,81,0,83,..,595,15,607,3,614,..,208,51,259,3,263,..,63,5,68,0,68,..,117,27,148,0,147,..,92,26,118,0,116,..,175,80,260,0,260,..,1545,605,2151,38,2185,..,8463,1929,10393,135,10534,..,240,19,261,4645,4908,66024,8702,1950,10656,4786,81462,127090,..,..,..,..,127090,..,113,0,113,0,113,..,497,117,611,10,614,..,19,0,19,0,19,..,312,67,376,3,378,..,1217,320,1538,15,1555,..,91,32,121,0,121,..,1621,415,2034,20,2050,..,1548,317,1873,16,1884,..,327,3,331,9,341,..,266,10,275,3,279,..,571,15,588,7,595
SOSR211,0,90,..,105,14,121,4,122,..,378,30,403,5,414,..,58,16,70,0,70,..,128,18,145,0,145,..,85,12,97,0,98,..,275,20,293,8,302,..,197,24,221,0,224,..,360,13,371,8,376,..,130,7,138,0,135,..,478,8,490,4,496,..,105,4,105,3,106,..,1072,32,1102,10,1114,..,331,44,374,8,380,..,91,11,106,0,106,..,144,32,177,5,185,..,110,18,130,0,130,..,206,91,296,7,298,..,2237,767,2996,81,3078,..,9995,1922,11914,191,12111,..,434,30,465,8758,9223,121321,10423,1957,12381,8951,142654,234443,..,..,..,..,234443,..,174,10,181,0,181,..,724,101,823,7,834,..,48,0,48,5,53,..,324,94,419,5,422,..,1197,430,1624,8,1634,..,126,24,147,0,149,..,1646,551,2192,15,2210,..,397,69,465,3,470,..,262,4,267,5,276,..,323,15,333,3,336,..,500,15,509,6,516
SOSR212,0,82,..,70,15,83,0,85,..,86,3,88,0,88,..,42,16,59,0,59,..,70,11,74,0,76,..,32,4,38,0,38,..,149,9,155,0,157,..,30,4,31,0,36,..,196,11,201,0,205,..,43,3,46,0,51,..,234,8,240,0,240,..,89,21,113,0,110,..,557,42,603,3,605,..,119,16,134,0,134,..,65,7,72,0,75,..,123,31,150,3,148,..,290,120,411,5,409,..,102,80,177,3,183,..,1538,551,2086,38,2127,..,7204,1857,9060,116,9181,..,231,46,280,6063,6341,72471,7438,1900,9337,6179,87993,139940,..,..,..,..,139940,..,190,5,195,3,198,..,1117,370,1486,23,1508,..,43,0,44,3,48,..,255,120,376,4,375,..,675,499,1170,8,1177,..,31,34,66,0,66,..,961,651,1609,14,1625,..,196,13,204,3,208,..,158,3,157,4,160,..,172,8,175,4,181,..,272,3,283,3,283
SOSR213,0,30,..,45,4,49,0,51,..,160,15,178,5,179,..,24,8,33,0,33,..,112,20,129,0,128,..,42,3,46,0,46,..,21,0,19,0,19,..,72,23,91,0,91,..,268,13,283,0,282,..,81,9,89,0,93,..,308,13,320,0,317,..,63,10,74,0,75,..,721,38,763,4,770,..,159,15,176,0,172,..,52,7,56,0,56,..,87,25,107,3,112,..,43,5,51,0,51,..,120,58,177,3,176,..,899,202,1100,37,1140,..,5897,972,6872,110,6983,..,340,23,365,8189,8554,114696,6237,1003,7236,8301,130231,221137,..,..,..,..,221137,..,200,0,201,3,207,..,297,50,351,7,359,..,32,0,32,3,35,..,193,51,240,6,241,..,557,251,807,17,823,..,49,22,69,0,69,..,796,326,1123,20,1141,..,275,29,304,0,306,..,454,8,464,7,465,..,278,11,286,0,286,..,639,17,659,11,666
SOSR214,0,28,..,37,0,35,0,38,..,91,4,95,0,95,..,9,0,9,0,9,..,48,3,52,0,49,..,21,3,22,0,22,..,8,0,8,0,8,..,19,0,19,0,19,..,96,0,99,4,102,..,39,3,38,0,38,..,110,0,112,0,112,..,23,0,23,0,23,..,267,7,267,3,273,..,87,8,97,0,97,..,36,3,40,0,40,..,68,11,80,0,81,..,11,4,18,0,18,..,35,17,49,0,51,..,444,93,532,20,554,..,2940,487,3425,66,3488,..,180,14,203,5213,5415,62731,3119,503,3622,5281,71633,121061,..,..,..,..,121061,..,90,0,92,0,92,..,232,50,275,3,280,..,14,0,14,0,14,..,104,37,141,0,141,..,356,269,628,8,635,..,87,40,129,0,129,..,547,353,902,8,910,..,102,4,108,3,109,..,189,0,186,3,191,..,139,8,145,10,150,..,335,8,344,9,352
SOSR215,3,25,..,37,3,46,0,46,..,80,3,83,0,89,..,11,0,11,0,11,..,87,14,102,3,105,..,43,11,52,0,52,..,17,3,20,0,20,..,30,4,35,0,38,..,144,8,146,0,151,..,42,0,49,4,47,..,178,3,187,3,184,..,59,3,60,0,60,..,422,10,434,9,445,..,155,14,170,3,169,..,26,0,26,3,22,..,97,25,127,4,131,..,64,18,79,0,79,..,85,89,172,3,178,..,783,172,954,24,981,..,4416,742,5151,96,5250,..,253,17,268,7484,7748,98613,4667,754,5421,7581,111612,191830,..,..,..,..,191830,..,103,0,103,3,104,..,145,14,158,3,162,..,40,0,39,0,39,..,140,64,207,3,211,..,360,191,548,14,560,..,25,17,50,0,50,..,533,272,804,10,815,..,156,25,184,0,184,..,389,7,390,7,400,..,265,10,272,8,282,..,604,11,619,9,624
SOSR221,0,6,..,10,3,14,0,14,..,28,0,28,0,26,..,3,0,3,0,3,..,15,0,21,0,19,..,11,0,12,0,15,..,5,0,5,0,5,..,14,0,16,0,16,..,28,0,28,3,32,..,22,0,17,0,18,..,30,0,33,0,32,..,15,0,15,0,15,..,98,4,97,3,105,..,52,0,54,3,53,..,3,0,3,0,3,..,37,7,43,0,43,..,12,8,14,0,14,..,3,3,11,0,11,..,177,22,200,8,205,..,911,87,1000,28,1023,..,72,7,74,2229,2301,27097,979,92,1070,2252,30425,54026,..,..,..,..,54026,..,24,0,24,0,24,..,37,3,43,3,48,..,5,0,5,0,5,..,20,0,22,0,22,..,68,15,81,3,80,..,7,0,7,0,7,..,98,12,110,3,114,..,50,7,55,0,56,..,75,3,77,5,82,..,65,0,68,0,68,..,158,3,158,3,162
SOSR222,0,5,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,8,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,8,4,12,0,12,..,33,3,42,0,43,..,5,0,4,0,3,..,16,0,17,0,22,..,14,0,14,0,14,..,64,10,76,4,82,..,30,5,34,0,34,..,3,0,3,0,3,..,26,3,24,0,24,..,7,0,8,0,8,..,7,0,9,0,9,..,113,14,122,3,128,..,623,104,729,8,737,..,70,0,70,1491,1560,16704,695,104,793,1506,19003,33676,..,..,..,..,33676,..,15,0,15,0,15,..,18,0,18,0,18,..,6,0,6,0,6,..,19,11,25,0,25,..,88,46,132,0,132,..,3,7,8,0,8,..,110,54,169,0,165,..,20,0,24,0,24,..,58,0,58,0,57,..,40,3,42,0,42,..,95,7,100,3,107
SOSR231,0,34,..,180,25,207,3,206,..,322,12,340,6,345,..,12,0,12,0,12,..,170,7,180,0,186,..,76,13,90,0,93,..,50,3,54,0,54,..,107,13,113,0,117,..,240,10,248,0,253,..,67,3,71,0,70,..,212,4,217,3,224,..,63,0,63,0,63,..,580,20,603,3,612,..,215,22,242,5,245,..,55,8,64,0,64,..,161,24,184,0,184,..,120,28,149,0,148,..,115,63,175,4,179,..,1195,191,1384,32,1417,..,8402,1029,9424,144,9565,..,430,30,454,14353,14809,175812,8827,1054,9882,14496,200186,360793,..,..,..,..,360793,..,286,3,291,0,295,..,351,30,382,18,397,..,61,4,68,0,63,..,175,45,214,3,218,..,659,266,922,15,944,..,32,11,44,0,46,..,865,316,1181,22,1201,..,476,66,539,3,542,..,756,23,782,4,785,..,456,21,478,0,480,..,1147,26,1172,11,1187
