SOSR_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR201,1427,2336,7493,9403,13683,23317,43902,44212,23452,169225,344,1492,4762,5299,6835,7874,7821,9022,3831,47278,11997,20078,48730,36686,33327,30092,28901,25188,17049,252054,107797,314913,694827,600369,544861,438612,317109,184951,85137,3288573
SOSR203,103,136,317,404,501,958,1922,2032,1351,7727,11,40,122,137,147,130,156,164,86,995,503,751,1430,1196,1458,1429,1557,1510,1107,10943,4321,11881,21658,19532,19867,18451,14379,8759,4591,123449
SOSR211,176,241,636,629,903,1681,3182,2896,1792,12145,14,56,195,242,287,200,170,107,39,1312,1063,1431,2770,2404,2559,2650,2740,2377,1389,19385,7876,20052,38293,34266,33603,32104,24740,13406,5954,210296
SOSR212,104,164,437,486,613,1119,2262,2330,1383,8893,29,63,221,242,227,185,181,144,69,1353,710,828,1763,1533,1795,1919,2029,1761,1063,13406,4691,10850,22368,20794,22132,20492,15850,9348,4242,130761
SOSR213,123,191,443,490,758,1488,3245,3527,2429,12693,16,41,103,135,194,163,142,146,62,1002,868,1060,2026,2117,2455,2741,3084,2790,1754,18893,6135,13698,29311,30178,31914,32043,27034,16230,7495,194040
SOSR214,100,120,241,259,444,996,2318,2364,1568,8421,4,17,67,64,80,93,87,78,49,538,507,539,1334,1384,1646,1889,2330,2091,1191,12913,3296,6742,13588,15087,17797,18926,18459,11052,5124,110070
SOSR215,98,132,349,404,679,1415,3256,3398,2382,12112,10,23,69,69,140,106,103,115,54,678,746,818,1650,1842,2409,2969,3214,2769,1686,18102,4715,10163,22164,24530,27986,30243,27216,15747,7552,170305
SOSR221,32,24,95,96,236,406,944,873,505,3211,3,3,8,12,23,22,32,28,10,132,197,165,427,553,699,984,1085,691,418,5206,1280,2399,5356,6723,8469,9645,8502,4134,1603,48119
SOSR222,17,23,55,70,117,324,623,475,283,1982,3,4,13,6,8,8,10,6,5,74,175,165,358,415,556,653,615,388,201,3516,866,1562,3517,4279,5565,6385,4977,2095,847,30096
SOSR231,178,202,506,628,1210,2605,5773,4088,1670,16854,24,26,95,99,127,135,218,246,81,1058,1842,1735,3963,4836,6392,6660,5798,2940,940,35112,10689,19114,35214,47971,66400,69068,50333,18866,5264,322915
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
SOSR299,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
