SOSR_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
SOSR201,2366,12525,18846,17631,18954,19038,28809,23808,13823,155800,1887,14023,26602,24180,24119,18948,17392,9376,5383,141921,1152,13902,31155,25695,25636,18384,11314,5151,2398,134785,620,13416,38797,27221,27254,18600,8055,3164,1697,138821,273,8924,43918,27793,26719,18241,6279,2208,1142,135487,74,2878,31876,21367,18756,11854,3462,975,578,91817,67,917,21260,19219,16164,9908,2493,784,461,71265,31,325,10404,12786,11009,6708,1638,540,281,43723,57,278,11827,18280,14101,7547,2164,752,430,55429,105,272,3006,10355,9524,4577,2051,947,530,31375,9794,11499,26380,19890,18457,16327,15654,13628,11993,143623,123105,156508,353181,304594,280226,228049,167930,102445,53590,1769632,124248,56132,58845,41473,34606,39362,20933,9007,3670,388280,58007,26779,14648,14216,12497,13424,10071,4666,1742,156047,22415,40227,34654,28634,27036,32317,30256,19490,6215,241238,7842,26917,29314,24882,26794,33024,58025,43169,14623,264584,6259,25295,32412,26526,28833,30279,46324,36068,19346,251333,4904,28752,45319,35445,35373,30621,31406,17212,8054,237075,2891,28943,60069,43559,42077,33067,22242,10540,4286,247666,1608,27704,81536,54624,51957,38110,18311,6628,3068,283550
SOSR203,156,621,829,789,997,1059,1625,1308,887,8274,112,727,1093,1157,1066,979,893,469,285,6787,42,663,1205,1068,1075,890,550,241,124,5862,17,545,1237,974,1064,825,325,138,69,5194,9,344,1254,923,961,729,225,111,68,4613,3,80,962,653,615,442,92,29,18,2904,4,26,578,534,509,313,59,22,14,2062,0,12,245,328,354,235,44,8,3,1238,0,3,219,346,335,186,39,16,15,1165,9,6,52,155,156,84,49,31,8,551,438,424,722,654,729,742,777,765,724,5975,4969,5934,11039,10084,10403,9767,7721,5024,2996,67932,4017,964,1190,928,927,1291,536,218,142,10208,2659,879,473,522,441,554,368,142,59,6095,1121,1850,1351,1032,1162,1516,1443,787,254,10521,407,1130,1134,1072,1248,1679,2909,2312,860,12745,355,1189,1347,1120,1493,1604,2588,1896,1202,12785,247,1390,1714,1553,1477,1569,1641,846,428,10859,115,1345,2218,1694,1694,1524,1092,496,223,10401,57,1158,2665,1923,2032,1714,753,299,128,10739
SOSR211,327,1043,1607,1468,1611,1883,2787,1970,1021,13730,240,1346,2367,2082,1871,1619,1534,700,476,12232,124,1272,2372,2055,1939,1602,872,388,175,10793,39,877,2322,1941,1932,1504,510,179,102,9400,16,558,2097,1607,1753,1311,349,139,80,7908,10,182,1384,1177,1120,722,155,60,24,4839,0,36,720,810,798,574,110,22,12,3072,0,9,301,473,551,364,66,20,17,1799,0,10,225,409,448,294,71,29,8,1495,12,23,70,203,196,129,58,47,26,771,851,793,1525,1265,1287,1362,1406,1221,917,10635,8670,10117,19862,17743,17586,17108,13112,7502,3895,115597,6924,1455,1815,1577,1456,2074,867,326,205,16697,4247,1169,879,756,687,896,629,212,79,9561,2043,3020,2537,1927,1859,2688,2186,1061,408,17719,739,1736,2076,1929,2123,2961,5437,3449,1039,21498,775,1826,2341,2149,2488,2978,4551,3012,1364,21486,554,2423,3377,2864,2650,2675,2842,1288,673,19343,324,2564,4210,3349,3157,2842,1849,830,321,19450,123,2165,5130,3897,3759,3141,1304,440,192,20160
SOSR212,184,573,836,858,1018,1110,1643,1356,761,8332,152,719,1298,1224,1233,1057,950,523,329,7478,94,741,1457,1242,1332,1028,537,262,117,6798,32,566,1403,1144,1301,964,345,128,81,5961,8,341,1224,988,1128,837,251,96,48,4925,3,121,787,716,688,472,100,27,11,2929,0,36,440,519,558,363,71,26,8,2021,0,21,173,306,369,242,29,13,5,1160,0,9,105,256,288,205,41,19,21,941,10,17,64,122,129,82,42,33,17,504,582,479,950,823,899,975,1014,912,633,7264,5441,5468,11499,10828,11557,10739,8380,5321,2739,71969,4172,726,1122,932,884,1386,635,227,115,10205,2982,604,477,458,447,555,373,146,65,6111,1183,1292,1422,1274,1282,1495,1458,806,239,10449,461,820,1206,1171,1320,1724,3380,2392,794,13264,465,1040,1245,1255,1487,1720,2730,2052,1086,13062,346,1324,1889,1704,1690,1625,1805,946,462,11799,192,1501,2586,1990,2025,1773,1077,536,216,11894,94,1266,2989,2249,2423,1978,838,279,144,12268
SOSR213,229,688,1241,1303,1490,1833,2889,2388,1399,13464,205,962,1709,1907,1861,1772,1709,943,570,11648,99,959,1867,1789,1943,1543,950,436,191,9780,39,676,1716,1611,1839,1372,587,276,125,8236,22,391,1628,1343,1570,1194,381,179,118,6819,5,118,1073,957,1014,626,187,58,29,4063,0,39,591,636,852,536,118,43,14,2830,0,17,224,449,462,356,77,32,13,1628,0,6,186,403,418,257,89,42,13,1417,13,12,82,188,204,136,91,45,32,811,755,592,1081,1088,1244,1426,1589,1478,1153,10401,7258,6773,15262,15728,16799,16904,14263,9051,4849,106887,5644,842,1323,1350,1302,2211,985,418,231,14303,4059,776,702,777,714,987,620,264,135,9040,1450,1631,1826,1774,1727,2584,2473,1342,486,15295,622,1073,1594,1728,1942,2862,5776,3879,1243,20720,630,1254,1790,1868,2228,2871,4776,3612,1895,20934,537,1744,2380,2544,2556,2770,3225,1789,819,18365,242,1972,3251,2761,3019,2774,2016,952,365,17355,112,1643,3810,3227,3485,2993,1457,598,210,17535
SOSR214,133,383,604,718,909,1098,1968,1480,888,8176,106,435,890,997,1098,1051,1197,654,393,6814,58,465,861,883,1110,899,632,322,161,5376,23,311,739,813,995,766,351,175,92,4271,14,144,622,633,861,579,254,104,70,3280,4,56,397,417,507,357,98,40,13,1876,0,15,248,337,383,269,75,36,11,1374,0,3,85,214,245,153,44,13,5,755,0,0,85,179,185,125,51,19,13,659,3,4,37,73,78,76,50,38,16,384,442,254,548,615,729,934,1194,1074,771,6565,3795,3164,6928,7888,9259,9885,9777,6026,3261,59991,3154,457,598,698,701,1240,585,229,70,7739,1918,397,340,358,387,626,405,166,65,4672,745,763,901,912,1016,1681,1697,903,341,8952,310,533,787,941,1168,1970,4162,2741,966,13582,327,644,902,1052,1374,1834,3396,2351,1252,13145,290,870,1266,1347,1530,1706,2190,1213,595,11002,136,1000,1547,1431,1801,1658,1325,681,270,9851,68,784,1693,1627,1946,1722,887,356,182,9269
SOSR215,177,519,926,1123,1396,1667,2891,2296,1475,12470,137,677,1454,1479,1698,1625,1653,842,540,10116,64,697,1399,1487,1570,1438,922,426,213,8221,24,492,1288,1264,1550,1250,534,241,126,6770,14,261,1126,1069,1364,1048,379,167,105,5539,0,63,673,715,766,587,154,63,25,3057,0,12,386,532,608,487,116,42,24,2209,0,6,140,300,354,264,58,37,14,1173,0,11,127,282,334,250,74,40,10,1130,3,7,53,128,180,118,77,48,33,646,711,406,889,1008,1140,1422,1555,1372,1070,9577,5665,4929,11573,12757,14549,15700,13961,8507,4820,92460,4882,670,1085,1157,1242,2045,958,369,180,12584,2744,614,598,659,661,975,653,256,137,7298,991,1110,1442,1403,1661,2579,2483,1259,442,13374,419,780,1159,1434,1807,2858,5991,3947,1276,19669,505,910,1331,1585,2106,2798,5046,3624,2068,19978,395,1264,2025,1962,2440,2637,3126,1553,810,16208,186,1444,2419,2347,2593,2646,1919,916,367,14850,97,1281,2924,2675,3066,2824,1429,525,228,15046
SOSR221,50,129,241,351,422,518,865,558,294,3413,48,149,339,417,501,512,422,169,115,2659,10,158,305,397,489,401,246,107,37,2160,5,109,316,339,456,366,166,55,18,1834,0,71,236,259,370,294,108,59,25,1420,0,21,153,145,236,172,50,4,3,788,0,0,85,145,157,131,30,8,3,551,0,0,37,83,88,76,11,5,4,299,0,0,23,79,91,63,21,10,0,292,7,3,14,30,40,40,20,10,0,163,187,94,228,281,370,467,495,353,266,2737,1546,1161,2769,3503,4336,4824,4146,2111,972,25366,1361,168,252,293,400,714,282,105,23,3602,746,150,148,207,205,311,196,64,9,2031,249,269,389,441,528,930,771,356,86,4018,110,212,311,448,590,956,2015,1082,291,6013,131,235,344,504,697,933,1613,957,420,5836,117,263,466,569,724,852,898,362,163,4412,52,355,569,644,843,801,590,225,70,4141,21,275,692,710,923,891,418,130,43,4104
SOSR222,34,90,152,202,257,379,440,284,148,1973,20,112,235,276,322,328,262,84,52,1689,8,92,221,250,309,257,133,60,30,1359,3,77,188,200,275,244,96,20,18,1121,4,44,174,175,250,208,58,20,15,953,0,9,93,112,140,101,28,10,3,508,0,0,45,79,118,89,10,6,4,358,0,3,26,50,82,49,8,3,0,221,0,0,4,49,57,47,5,3,3,179,0,3,3,18,28,34,9,12,5,109,156,82,162,216,266,287,277,169,105,1705,1012,751,1788,2236,2826,3161,2340,1052,502,15679,909,88,165,197,267,433,195,68,22,2339,440,74,99,115,146,203,104,23,16,1222,173,181,256,279,351,538,520,203,52,2562,69,114,190,272,343,679,1153,539,160,3525,91,154,205,283,399,645,877,487,228,3368,80,201,348,401,478,554,535,184,80,2856,39,208,393,430,524,517,311,121,51,2590,19,197,462,435,598,575,253,53,24,2617
SOSR231,350,884,1275,1957,2691,2949,3547,1703,684,16047,300,1040,1842,2553,3417,3308,2423,798,290,15963,147,1128,1889,2397,3468,2912,1572,492,150,14153,58,883,1926,2315,3288,2679,1080,295,80,12619,37,469,1755,2099,2979,2363,863,244,83,10878,4,124,1063,1365,1894,1577,467,92,30,6613,3,45,614,1056,1633,1227,316,84,25,4998,7,12,255,603,939,725,202,58,13,2815,0,8,257,741,1069,800,249,77,14,3214,17,28,129,416,701,538,271,105,23,2231,1722,826,1526,2082,2940,3197,2696,1275,487,16757,12860,8809,17334,24097,33153,33382,22945,8465,2766,163808,10576,1355,1909,2452,3561,5171,2401,680,235,28339,6524,1192,948,1317,1637,2337,1573,479,123,16129,2049,2046,2115,2693,3483,5322,4833,1804,467,24811,1026,1401,1835,2616,3721,5518,9343,4163,964,30589,1105,1623,1988,2867,4194,5308,7243,3313,1079,28725,970,2242,2765,3682,5243,5955,5284,1819,535,28492,511,2639,3441,4095,5883,5742,3670,1231,311,27521,252,2307,4255,4778,6801,6330,2898,770,188,28575
