SOSR_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SOSR201,20988,96656,9193,126834,24562,123880,11180,159623,43073,273487,25960,342522,49523,227441,19585,296548,51042,197649,16665,265362,34844,162808,13475,211120,26131,111910,11554,149599,11866,61793,9069,82732,2374,24784,4499,31661,264403,1280407,121189,1665995,26012,88581,8517,123105,32837,113500,10173,156508,55954,273062,24167,353181,69074,218148,17367,304594,61852,202707,15666,280226,40885,173453,13716,228049,32867,121934,13132,167930,14539,76063,11846,102445,3048,42049,8494,53590,337060,1309483,123091,1769632,46998,185235,17713,249943,57394,237376,21349,316127,99031,546542,50128,695698,118599,445585,36956,601145,112887,400361,32337,545587,75723,336257,27192,439174,59003,233840,24682,317529,26398,137858,20919,185177,5420,66833,13000,85254,601460,2589889,244277,3435626
SOSR203,1050,3511,428,4990,1007,4603,393,6002,1597,8308,733,10640,1720,7170,580,9472,1975,6845,666,9480,1714,6386,601,8701,1439,4606,616,6667,631,2608,505,3744,123,1192,279,1596,11252,45228,4818,61294,1281,3313,378,4969,1326,4205,391,5934,2009,8353,679,11039,2581,6945,557,10084,2502,7270,634,10403,1946,7156,669,9767,1791,5261,660,7721,782,3519,723,5024,158,2284,555,2996,14377,48311,5241,67932,2335,6822,799,9959,2336,8807,790,11931,3607,16663,1410,21680,4301,14115,1137,19552,4469,14114,1304,19884,3658,13541,1269,18465,3234,9871,1276,14388,1413,6125,1232,8763,282,3477,836,4593,25634,93537,10059,129222
SOSR211,1596,6541,857,8994,1597,7642,734,9981,2666,14419,1387,18467,3178,12209,1158,16545,3488,11389,1164,16043,2877,10988,1152,15011,2625,7921,1104,11647,1135,3956,830,5919,189,1498,377,2053,19339,76576,8754,104666,1984,5881,801,8670,2076,7308,738,10117,3434,15046,1377,19862,4537,12099,1110,17743,4170,12266,1152,17586,3696,12229,1181,17108,3324,8581,1206,13112,1294,5030,1176,7502,257,2943,693,3895,24767,81392,9438,115597,3580,12431,1653,17664,3674,14948,1473,20098,6096,29469,2763,38326,7716,24309,2260,34284,7652,23660,2321,33634,6566,23218,2333,32117,5946,16505,2308,24759,2425,8988,2003,13422,441,4442,1070,5952,44104,157966,18194,220263
SOSR212,992,4177,529,5699,758,4196,478,5431,1556,8440,899,10891,1995,7226,759,9983,2276,7449,862,10588,1945,6963,859,9766,1622,5009,841,7481,757,2657,620,4035,143,1105,262,1507,12048,47222,6114,65381,1130,3793,526,5441,973,4073,417,5468,1905,8720,877,11499,2768,7314,749,10828,2668,8087,803,11557,2248,7631,864,10739,2044,5338,995,8380,949,3443,933,5321,199,1966,579,2739,14873,50362,6735,71969,2115,7975,1054,11145,1738,8274,890,10899,3458,17158,1775,22389,4765,14542,1505,20807,4940,15531,1671,22142,4192,14591,1723,20504,3669,10352,1837,15863,1711,6094,1554,9362,340,3071,839,4248,26922,97584,12845,137351
SOSR213,1423,5571,732,7722,1055,5368,542,6968,2298,10711,1058,14067,3232,10172,1055,14460,3620,10410,1107,15136,3300,10688,1164,15150,3147,8357,1288,12792,1580,4609,1000,7194,244,1896,510,2649,19895,67775,8457,96130,1617,4943,696,7258,1256,4999,514,6773,3063,11220,985,15262,4549,10210,973,15728,4465,11247,1086,16799,3965,11708,1234,16904,4026,8824,1409,14263,1974,5676,1405,9051,408,3535,905,4849,25322,72362,9208,106887,3045,10519,1426,14987,2309,10370,1053,13737,5359,21926,2042,29330,7779,20381,2034,30191,8083,21654,2199,31934,7264,22396,2396,32056,7172,17182,2697,27053,3551,10282,2403,16238,659,5429,1414,7501,45217,140140,17665,203020
SOSR214,784,2970,506,4253,604,2672,325,3596,1013,4886,766,6673,1602,4880,723,7206,2056,5649,833,8544,2032,6191,827,9042,2203,5506,979,8690,1037,3202,790,5023,212,1264,393,1869,11538,37228,6142,54907,844,2512,432,3795,570,2365,229,3164,1338,5068,518,6928,2461,4860,566,7888,2570,6039,653,9259,2472,6643,779,9885,2866,5817,1096,9777,1302,3644,1087,6026,276,2269,717,3261,14700,39216,6075,59991,1627,5478,942,8049,1172,5039,552,6762,2353,9956,1290,13599,4065,9743,1282,15094,4630,11683,1493,17803,4500,12833,1602,18934,5068,11327,2075,18475,2339,6848,1868,11053,483,3541,1108,5132,26238,76441,12215,114902
SOSR215,1169,4221,772,6155,927,3864,462,5253,1855,7924,835,10613,2969,7941,867,11785,3434,8930,1083,13448,3638,9631,1286,14555,3765,8142,1357,13263,1788,4352,1114,7255,316,1916,501,2740,19865,56920,8278,85067,1294,3693,683,5665,988,3567,378,4929,2482,8289,798,11573,4259,7596,902,12757,4411,9117,1021,14549,4311,10114,1274,15700,4754,7802,1408,13961,2262,4921,1320,8507,479,3450,887,4820,25230,58552,8684,92460,2458,7909,1451,11821,1907,7434,841,10185,4335,16214,1636,22188,7229,15544,1768,24539,7843,18042,2108,27995,7947,19749,2564,30257,8515,15944,2765,27228,4053,9275,2432,15760,797,5362,1394,7560,45099,115468,16961,177528
SOSR221,347,1108,216,1673,241,913,92,1249,487,1898,211,2596,864,2106,259,3227,1111,2675,344,4133,1279,3093,446,4821,1204,2654,506,4362,451,1270,304,2023,70,408,150,633,6063,16132,2525,24722,389,976,178,1546,251,829,77,1161,645,1917,200,2769,1241,1999,257,3503,1396,2623,312,4336,1415,2994,414,4824,1364,2298,478,4146,595,1163,352,2111,110,635,231,972,7417,15446,2495,25366,743,2085,395,3218,492,1747,173,2410,1135,3819,412,5364,2113,4104,512,6731,2507,5301,660,8472,2695,6090,864,9647,2566,4955,986,8504,1053,2436,649,4133,182,1046,382,1603,13481,31575,5027,50085
SOSR222,236,752,161,1150,125,604,86,816,307,1258,170,1726,580,1303,173,2050,783,1672,277,2737,877,2066,278,3228,723,1632,283,2638,258,629,158,1043,38,248,57,344,3923,10169,1638,15723,255,614,146,1012,142,539,73,751,420,1212,158,1788,786,1253,194,2236,862,1726,247,2826,913,1999,255,3161,739,1347,257,2340,278,605,171,1052,64,365,74,502,4450,9658,1571,15679,486,1370,301,2156,263,1140,160,1563,726,2467,323,3521,1359,2557,366,4284,1647,3398,521,5565,1794,4068,526,6392,1457,2984,543,4978,532,1233,334,2095,98,610,137,847,8370,19823,3208,31400
SOSR231,3360,8922,1905,14188,1962,7357,1048,10371,3139,12249,2528,17911,6379,14611,2902,23893,9724,20223,3324,33275,9841,22573,3296,35706,7375,17074,2956,27407,2214,6682,1512,10409,288,1768,444,2499,44281,111464,19905,175653,3676,7532,1652,12860,2151,5933,723,8809,4127,11833,1376,17334,9236,13029,1832,24097,11356,19202,2591,33153,9971,20663,2748,33382,7136,13459,2347,22945,1986,5208,1273,8465,307,1994,468,2766,49952,98841,15014,163808,7042,16450,3558,27043,4111,13290,1773,19177,7267,24075,3903,35251,15621,27638,4738,47992,21084,39425,5917,66424,19812,43241,6043,69088,14514,30536,5305,50347,4198,11893,2785,18869,594,3763,912,5266,94235,210306,34916,339459
