SOSR_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR201,514,4501,75,5095,112296,9442,126834,2488,4141,118,6746,141518,11356,159623,62888,7431,878,71199,245117,26197,342522,144722,4835,2755,152313,124565,19677,296548,86290,5298,1695,93279,155111,16964,265362,15059,15570,418,31048,166187,13887,211120,2369,24540,176,27080,110441,12075,149599,518,6841,41,7393,65884,9453,82732,137,414,3,553,26469,4645,31661,314982,73574,6156,394717,1147584,123696,1665995,743,7274,93,8104,106257,8748,123105,6632,7909,331,14877,131342,10286,156508,103358,14002,3349,120706,208280,24191,353181,174212,9655,7648,191513,95785,17290,304594,83995,14660,3305,101960,162385,15882,280226,7944,43534,647,52126,161804,14122,228049,2118,41894,313,44317,109880,13728,167930,626,7925,72,8623,81392,12438,102445,179,523,12,720,44104,8770,53590,379805,147369,15770,542942,1101222,125465,1769632,1258,11778,169,13203,218552,18187,249943,9122,12054,454,21623,272855,21643,316127,166242,21436,4225,191913,453395,50397,695698,318932,14493,10403,343824,220352,36971,601145,170287,19954,4998,195239,317499,32846,545587,23008,59103,1067,83170,327984,28017,439174,4486,66429,491,71403,220327,25798,317529,1144,14767,112,16019,147269,21890,185177,317,940,16,1267
SOSR203,25,191,11,224,4318,443,4990,211,193,3,413,5193,400,6002,2583,338,68,2988,6925,724,10640,5092,168,127,5382,3509,586,9472,2815,293,74,3186,5620,678,9480,442,915,10,1371,6707,616,8701,95,1054,10,1154,4870,642,6667,21,219,0,241,2968,536,3744,8,17,0,21,1275,300,1596,11294,3389,302,14983,41378,4929,61294,49,394,3,444,4146,383,4969,425,375,30,840,4696,400,5934,3844,608,235,4692,5667,679,11039,6032,394,312,6737,2788,555,10084,2727,813,124,3656,6102,645,10403,249,2271,21,2544,6551,678,9767,71,1823,8,1908,5108,711,7721,29,316,3,345,3905,771,5024,14,17,3,28,2386,575,2996,13439,7004,743,21186,41354,5392,67932,74,585,8,665,8464,822,9959,642,571,41,1249,9885,803,11931,6432,946,306,7682,12598,1400,21680,11119,561,436,12116,6292,1144,19552,5542,1102,194,6846,11722,1323,19884,692,3193,31,3911,13258,1292,18465,165,2872,23,3062,9975,1351,14388,48,533,3,585,6874,1305,8763,18,34,3,51
SOSR211,52,386,0,441,7677,878,8994,553,415,16,981,8245,752,9981,5772,608,167,6541,10560,1369,18467,8622,412,283,9312,6062,1167,16545,4364,654,123,5137,9728,1178,16043,660,1647,30,2342,11489,1184,15011,117,1571,11,1695,8763,1193,11647,25,303,0,327,4715,876,5919,15,12,0,30,1649,385,2053,20179,5996,622,26799,68892,8979,104666,130,760,3,895,6946,820,8670,1147,848,62,2049,7339,728,10117,8618,1188,514,10322,8179,1359,19862,10338,679,634,11647,4996,1103,17743,4109,1749,241,6098,10320,1175,17586,377,4136,35,4551,11343,1211,17108,96,2601,15,2712,9086,1306,13112,32,382,0,416,5837,1251,7502,13,34,0,51,3131,717,3895,24871,12377,1508,38751,67178,9670,115597,185,1142,9,1339,14627,1700,17664,1698,1257,78,3034,15587,1483,20098,14391,1796,677,16866,18738,2729,38326,18961,1092,916,20965,11056,2265,34284,8477,2401,357,11237,20050,2344,33634,1040,5782,64,6893,22836,2395,32117,213,4165,21,4409,17854,2495,24759,55,683,0,744,10552,2129,13422,25,49,0,78
SOSR212,30,242,5,277,4888,534,5699,295,176,15,481,4473,480,5431,3182,355,87,3632,6379,882,10891,5153,227,163,5542,3702,736,9983,2847,395,62,3302,6416,864,10588,451,971,17,1441,7462,864,9766,73,910,9,990,5639,846,7481,23,165,0,180,3199,654,4035,8,9,0,13,1211,285,1507,12060,3446,359,15870,43366,6150,65381,73,441,3,517,4390,535,5441,604,442,34,1084,3961,426,5468,4825,625,281,5726,4908,858,11499,6325,466,348,7134,2957,733,10828,2776,1012,128,3919,6840,800,11557,252,2377,25,2660,7221,858,10739,76,1468,16,1562,5809,1008,8380,25,233,0,256,4108,957,5321,10,29,0,40,2098,598,2739,14968,7091,837,22893,42294,6779,71969,108,682,12,803,9283,1065,11145,901,617,52,1565,8430,901,10899,8006,979,369,9356,11294,1743,22389,11479,687,516,12679,6655,1473,20807,5623,1408,191,7222,13257,1663,22142,709,3350,41,4095,14686,1723,20504,153,2384,20,2549,11455,1858,15863,48,398,0,445,7299,1615,9362,12,33,3,54
SOSR213,41,354,0,395,6582,753,7722,409,287,14,704,5697,563,6968,4585,454,123,5166,7855,1044,14067,7881,333,267,8484,4905,1067,14460,4298,530,129,4954,9059,1115,15136,694,1558,15,2262,11710,1174,15150,123,1582,11,1709,9745,1342,12792,23,331,4,360,5777,1057,7194,6,17,0,20,2091,538,2649,18052,5438,567,24060,63416,8650,96130,115,623,8,753,5800,707,7258,882,555,37,1473,4772,526,6773,6812,892,415,8121,6165,973,15262,9400,632,648,10678,4091,964,15728,4104,1571,201,5880,9802,1120,16799,388,3779,36,4205,11443,1257,16904,95,2505,16,2610,10177,1468,14263,32,445,7,482,7044,1530,9051,20,34,0,59,3855,941,4849,21861,11037,1360,34258,63147,9484,106887,154,979,14,1145,12382,1465,14987,1293,841,50,2182,10466,1088,13737,11401,1348,538,13289,14017,2020,29330,17279,971,912,19166,8994,2031,30191,8402,2104,326,10834,18864,2232,31934,1079,5337,52,6466,23158,2427,32056,209,4085,24,4321,19921,2812,27053,54,770,5,840,12820,2585,16238,32,51,0,81
SOSR214,26,175,0,205,3535,519,4253,226,157,8,390,2894,323,3596,2143,227,56,2423,3474,770,6673,3754,182,111,4046,2445,720,7206,2255,286,72,2621,5092,835,8544,356,812,14,1180,7041,828,9042,72,886,3,964,6701,1029,8690,20,181,3,206,3972,849,5023,12,12,0,22,1442,402,1869,8859,2925,266,12047,36592,6270,54907,54,307,3,368,2981,448,3795,491,257,19,768,2167,230,3164,3245,389,185,3813,2604,512,6928,4639,331,321,5292,2036,560,7888,2110,826,98,3037,5574,650,9259,207,1929,14,2157,6938,792,9885,57,1432,7,1494,7115,1171,9777,17,228,3,256,4616,1161,6026,15,20,0,36,2470,750,3261,10843,5723,654,17215,36502,6273,59991,78,480,3,566,6511,968,8049,722,412,20,1155,5061,552,6762,5391,611,237,6238,6075,1281,13599,8388,514,433,9335,4480,1275,15094,4366,1111,175,5656,10664,1487,17803,560,2740,32,3329,13975,1619,18934,129,2324,8,2459,13814,2197,18475,41,414,9,461,8592,2006,11053,29,34,0,66
SOSR215,34,279,0,320,5044,792,6155,299,219,16,534,4266,458,5253,3590,382,94,4067,5712,837,10613,6440,271,210,6917,3979,880,11785,3660,485,93,4239,8121,1089,13448,692,1332,19,2046,11185,1320,14555,115,1392,3,1510,10334,1416,13263,26,276,0,304,5794,1160,7255,17,23,3,45,2167,523,2740,14881,4664,441,19981,56606,8487,85067,51,462,9,520,4460,682,5665,638,391,32,1067,3484,381,4929,5404,665,354,6422,4339,818,11573,7677,491,550,8717,3152,889,12757,3452,1293,169,4916,8624,1008,14549,323,3255,24,3601,10776,1328,15700,90,2266,12,2371,10103,1489,13961,31,355,3,386,6674,1443,8507,17,38,4,53,3831,934,4820,17686,9209,1148,28047,55437,8980,92460,87,736,4,835,9509,1480,11821,941,612,52,1600,7745,841,10185,8997,1045,441,10485,10044,1653,22188,14113,765,762,15637,7134,1766,24539,7114,1775,260,9148,16741,2102,27995,1013,4580,47,5647,21962,2654,30257,204,3654,15,3880,20438,2914,27228,57,629,3,689,12463,2606,15760,40,62,4,106
SOSR221,11,73,4,85,1361,225,1673,66,40,3,110,1046,91,1249,932,82,22,1034,1350,210,2596,1701,73,47,1826,1143,263,3227,1056,169,23,1248,2542,349,4133,184,384,4,567,3793,466,4821,36,380,3,419,3426,526,4362,5,52,0,63,1650,311,2023,4,3,0,8,481,140,633,4000,1260,107,5364,16780,2582,24722,12,115,3,127,1235,179,1546,171,100,8,274,815,71,1161,1348,159,102,1605,953,208,2769,2062,163,149,2371,874,257,3503,982,401,47,1422,2589,328,4336,85,895,4,979,3437,413,4824,27,514,3,547,3095,501,4146,5,82,0,91,1656,368,2111,7,4,0,13,728,234,972,4699,2440,310,7444,15370,2556,25366,21,186,8,218,2593,407,3218,236,145,9,387,1857,163,2410,2277,243,121,2642,2305,415,5364,3767,241,194,4196,2014,516,6731,2036,568,65,2669,5129,674,8472,263,1276,6,1547,7224,878,9647,66,893,6,966,6513,1026,8504,11,134,0,153,3302,680,4133,16,10,0,23
SOSR222,3,60,0,65,917,170,1150,34,25,0,63,665,84,816,562,56,25,632,923,165,1726,1061,60,38,1157,718,170,2050,670,105,24,796,1667,270,2737,138,241,7,391,2559,281,3228,31,230,0,262,2065,315,2638,4,50,0,52,831,158,1043,0,0,0,8,268,65,344,2510,828,88,3424,10617,1682,15723,9,75,0,86,784,143,1012,93,53,7,148,526,72,751,807,104,59,976,660,158,1788,1295,87,90,1468,575,191,2236,612,234,38,886,1695,243,2826,58,592,5,659,2245,263,3161,10,332,4,343,1719,280,2340,4,46,0,49,810,195,1052,7,4,0,15,404,85,502,2907,1527,198,4631,9416,1628,15679,14,129,0,151,1697,313,2156,126,79,10,217,1193,160,1563,1370,162,81,1609,1585,326,3521,2358,149,125,2632,1291,365,4284,1283,342,55,1682,3368,512,5565,204,833,14,1045,4801,543,6392,45,557,4,609,3780,593,4978,12,88,0,106,1639,353,2095,12,7,0,18
SOSR231,65,525,0,588,11594,2005,14188,312,344,4,666,8650,1056,10371,5351,536,113,5999,9401,2516,17911,12682,472,355,13510,7471,2908,23893,9504,1142,226,10873,19046,3353,33275,1804,3125,61,4991,27327,3387,35706,290,2901,18,3212,21070,3122,27407,47,502,4,554,8262,1596,10409,39,34,0,78,1970,456,2499,30101,9583,788,40467,114790,20394,175653,86,882,7,975,10187,1697,12860,691,670,31,1389,6686,727,8809,7924,934,403,9256,6701,1377,17334,14971,832,827,16631,5685,1781,24097,8440,2801,356,11589,18949,2615,33153,789,7127,62,7978,22614,2789,33382,196,4432,21,4655,15805,2486,22945,30,513,5,549,6583,1339,8465,56,33,11,98,2191,474,2766,33190,18215,1719,53121,95400,15287,163808,155,1404,7,1565,21780,3697,27043,1006,1008,39,2053,15340,1787,19177,13277,1465,515,15258,16101,3890,35251,27653,1307,1177,30147,13159,4693,47992,17939,3941,584,22465,37995,5964,66424,2591,10256,128,12972,49947,6176,69088,485,7336,40,7862,36878,5610,50347,81,1009,10,1099,14842,2933,18869,94,69,11,172
