SOSR_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR201,373438,744688,7120,40702,49811,232013,9502,43364,287045,1102060,353482,1418139,31260,132339,49543,174299,91407,295250,172206,601888,525687,2020024,1979,9516,11407,40601,4188,15041,52399,139383,69974,204541,8810,28388,20328,46737,63657,139463,92789,214584,162762,419126,22218,47228,1084106,3231067
SOSR203,15148,30036,212,1174,1570,7218,315,1428,9218,35659,11308,45483,888,3677,1486,5039,2940,9177,5317,17890,16625,63376,96,451,542,1946,241,832,2806,7452,3687,10683,336,1086,859,1866,2695,5775,3890,8729,7579,19407,677,1405,40024,114228
SOSR211,25880,51354,507,2919,2827,13380,729,3388,16471,64766,20539,84458,1331,5557,2133,7022,4768,15044,8231,27619,28765,112079,214,1039,1085,4009,553,1969,6180,17075,8030,24091,612,1941,1352,2998,4422,9449,6388,14388,14418,38472,1150,2375,70220,204278
SOSR212,16539,32828,345,1952,1902,8910,482,2218,9831,38694,12565,51763,971,4082,1436,4773,3159,9984,5567,18840,18130,70601,123,569,660,2390,284,988,3386,9238,4450,13184,360,1124,826,1785,2577,5559,3763,8465,8213,21644,627,1309,43515,126386
SOSR213,26412,52187,400,2177,2575,11903,630,2847,14852,58515,18456,75443,1245,5115,2208,7281,4471,13890,7926,26280,26375,101723,169,754,867,3103,372,1322,4861,13288,6269,18462,474,1484,1152,2509,3680,7752,5310,11748,11581,30217,819,1701,65189,185824
SOSR214,15703,31036,216,1199,1324,6176,355,1591,7111,28189,9013,37151,600,2467,1034,3356,2416,7495,4051,13323,13063,50467,92,406,453,1600,239,828,2581,7023,3363,9858,253,790,660,1445,2030,4231,2947,6465,6309,16327,430,875,35505,98699
SOSR215,24289,48037,399,2193,2132,9999,547,2467,12259,48553,15338,63213,996,4087,1577,5186,3967,12413,6541,21684,21878,84899,127,581,725,2573,281,971,3673,10022,4808,14148,346,1054,928,2004,3082,6482,4355,9544,9165,23687,667,1388,55993,158016
SOSR221,7385,14559,101,544,610,2858,173,787,3263,13005,4150,17194,271,1088,462,1519,1106,3417,1841,6025,5988,23213,38,170,170,613,84,285,889,2412,1175,3471,72,232,219,465,808,1669,1096,2363,2269,5837,170,349,15822,43955
SOSR222,4433,8753,66,359,419,1936,117,503,2009,8021,2609,10819,153,615,343,1096,765,2336,1256,4044,3862,14864,15,56,116,415,41,148,592,1592,762,2211,53,167,140,301,511,1046,710,1512,1474,3722,117,232,9884,27572
SOSR231,50481,99687,1002,5536,5651,26413,1394,6305,23468,95046,31514,133299,2864,11791,4661,15301,10548,33012,18068,60103,49588,193399,132,572,764,2724,328,1159,3745,10186,4969,14644,427,1366,1071,2314,4366,9262,5866,12946,10830,27588,928,1939,111828,322617
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
