SOSR_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR201,88112,75241,38471,23798,34395,24743,13563,298323,20472,19556,10568,6323,8798,4948,2603,73272,20083,17496,8723,5275,7241,4133,2190,65137,95865,94558,52787,32800,43475,23218,11424,354130,1146,1096,585,308,336,164,83,3715,225675,207942,111134,68504,94249,57207,29867,794584,7312,10323,7216,5505,8824,6203,3827,49202,2900,4188,2834,2058,3001,1600,840,17418,1861,2826,1916,1344,2066,1117,661,11784,11928,17560,12034,8635,12027,5726,2939,70847,1262,1231,715,532,484,231,121,4579,25264,36127,24711,18072,26393,14883,8388,153834,250937,244070,135843,86578,120644,72089,38254,948411
SOSR203,1009,850,427,335,430,245,120,3415,517,495,293,193,283,129,58,1964,508,456,239,147,188,97,40,1680,5529,4890,2651,1652,2209,980,441,18347,54,36,15,14,10,3,0,131,7609,6727,3626,2354,3114,1446,663,25543,96,147,108,77,154,101,48,726,135,158,106,86,110,44,30,670,86,95,61,43,69,29,23,402,1128,1450,928,715,950,322,135,5619,60,83,47,17,36,16,4,266,1503,1925,1248,940,1323,503,238,7678,9112,8655,4878,3293,4436,1953,900,33224
SOSR211,1962,1694,874,512,676,304,114,6128,688,657,361,221,314,96,44,2376,755,647,288,182,253,86,27,2240,10811,9833,5254,3293,4365,1409,465,35430,64,77,51,34,22,9,8,258,14278,12906,6822,4232,5635,1901,657,46433,277,348,223,147,216,82,54,1347,224,271,184,136,203,60,36,1118,89,161,119,77,110,30,13,593,2924,3770,2258,1452,1987,600,195,13183,166,140,73,47,44,12,0,481,3684,4696,2861,1856,2555,780,298,16731,17965,17601,9682,6091,8188,2685,952,63164
SOSR212,1261,1198,673,392,582,207,78,4397,449,407,229,150,227,75,25,1556,402,369,184,128,183,82,21,1375,6055,5886,3242,2079,2935,902,277,21379,49,49,20,21,19,3,3,167,8216,7906,4348,2771,3946,1271,409,28872,126,152,104,93,131,42,20,678,127,147,98,78,95,35,10,591,60,106,63,58,66,27,6,387,1580,1993,1191,876,1262,315,106,7325,71,73,54,39,24,8,3,278,1973,2468,1513,1149,1576,427,146,9251,10184,10380,5858,3925,5528,1699,551,38127
SOSR213,787,725,410,251,382,140,54,2743,741,697,400,258,316,115,30,2558,696,666,279,185,234,101,44,2198,9866,9741,5231,3383,4428,1361,418,34430,59,58,23,29,20,11,3,204,12143,11893,6341,4105,5388,1728,549,42140,80,118,95,70,118,35,8,522,194,261,157,97,143,50,17,920,78,126,88,71,114,42,18,537,2219,2924,1791,1315,1756,471,117,10596,143,98,92,34,45,6,3,421,2713,3535,2211,1593,2182,605,159,12997,14857,15421,8551,5700,7565,2330,705,55136
SOSR214,407,360,208,134,170,60,22,1349,308,364,169,98,151,46,20,1163,316,312,157,96,129,34,11,1059,4705,4664,2754,1708,2258,639,174,16901,37,38,17,15,17,0,0,126,5772,5731,3312,2041,2726,789,228,20595,28,58,28,34,46,19,3,221,81,135,78,89,100,31,12,525,26,64,39,44,57,22,9,253,1170,1537,997,761,959,254,54,5729,52,65,40,29,25,8,0,218,1357,1863,1180,948,1193,328,69,6942,7128,7593,4486,2991,3917,1118,296,27538
SOSR215,492,498,284,184,263,98,34,1857,562,640,360,218,281,82,38,2186,587,593,283,182,237,78,29,1990,8241,8246,4589,2752,3673,988,305,28799,48,67,44,34,24,4,3,228,9942,10048,5560,3371,4491,1254,401,35064,42,74,62,38,78,25,8,340,125,235,134,106,152,37,12,804,68,120,108,50,96,22,16,474,1540,2275,1420,1009,1379,335,85,8037,86,86,54,41,35,3,3,316,1865,2802,1782,1243,1741,428,127,9980,11802,12853,7335,4616,6233,1678,531,45045
SOSR221,65,81,65,29,41,11,9,308,169,150,90,64,81,42,11,609,126,127,80,45,58,13,3,453,2121,2463,1337,833,1080,276,74,8188,14,19,11,3,0,0,0,46,2502,2845,1585,970,1263,344,100,9602,8,12,12,8,9,4,0,42,31,44,33,19,41,9,3,170,12,42,33,14,31,6,0,140,361,546,379,262,335,78,17,1978,12,25,8,4,12,0,0,63,425,668,462,312,418,94,26,2399,2928,3508,2052,1282,1678,441,123,12002
SOSR222,46,59,36,20,27,13,3,207,78,100,55,28,41,17,3,332,88,98,54,49,50,19,4,356,1344,1466,839,527,707,193,40,5120,15,21,13,8,3,0,0,54,1568,1743,1000,635,836,236,54,6073,6,5,10,6,3,3,0,35,35,35,21,13,24,9,3,130,7,17,8,10,9,9,0,63,219,384,220,174,214,51,6,1262,10,15,14,6,3,0,0,51,270,459,267,212,262,71,15,1545,1836,2202,1274,843,1098,303,64,7624
SOSR231,835,937,623,421,558,239,86,3701,810,1052,735,477,680,244,96,4094,949,1064,685,456,668,210,83,4113,14193,18054,11302,7441,10243,2957,906,65098,109,116,84,79,48,12,3,445,16894,21226,13434,8865,12192,3655,1172,77446,35,63,51,40,64,31,13,293,128,207,137,95,130,45,19,761,63,131,83,54,93,33,14,468,1534,2178,1584,1118,1558,382,141,8506,81,88,60,54,45,8,0,338,1841,2673,1913,1356,1888,502,186,10361,18738,23895,15348,10227,14079,4158,1365,87806
