SOSR_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR201,978483,2876730,155370,335212,103957,268391,259326,603602,87360,166868,49142,85930,93048,173768,329,655,229883,427219,549,804,1389,1907,114,180,3689,8525,5735,11422,4412,9670,1477840,3928640,156535,..,1634376,3928640
SOSR203,49368,125750,6320,10271,1361,2729,7684,12993,1891,2974,107,157,186,307,4,7,2189,3451,46,72,131,174,0,4,216,621,399,872,170,350,59805,143416,6381,..,66188,143416
SOSR211,86861,224709,11080,20001,1291,2889,12374,22890,1967,3067,121,196,23,32,3,7,2112,3296,79,108,49,75,6,8,130,296,255,491,337,666,101942,252046,10854,..,112796,252046
SOSR212,52524,138083,5630,9238,607,1179,6236,10414,3144,4844,104,127,0,0,0,3,3250,4976,86,139,110,170,4,19,46,125,255,453,187,361,62461,154283,6739,..,69198,154283
SOSR213,82441,207456,7441,11406,976,1919,8418,13323,3117,4562,67,123,15,21,4,7,3204,4713,151,212,158,232,11,20,103,223,420,676,354,701,94837,226881,15353,..,110195,226881
SOSR214,47974,114196,2699,4121,216,424,2914,4543,2074,2994,42,62,43,54,9,13,2168,3122,157,202,207,290,3,14,86,189,459,696,304,601,53821,123150,11494,..,65311,123150
SOSR215,75762,183044,2703,3916,248,512,2950,4432,2305,3222,27,40,13,15,7,17,2352,3298,329,463,218,308,16,37,495,1068,1055,1872,435,935,82548,193584,23359,..,105908,193584
SOSR221,22162,52164,299,457,37,76,343,535,208,264,0,0,0,0,7,10,215,276,261,347,106,156,21,44,125,265,513,811,135,282,23363,54067,9505,..,32869,54067
SOSR222,13605,32146,159,308,33,81,191,390,196,321,18,38,37,107,0,0,254,470,56,93,16,38,12,20,122,264,197,416,146,315,14393,33730,6773,..,21161,33730
SOSR231,137775,361981,361,830,119,272,480,1104,330,565,5,10,66,112,21,35,419,721,536,840,807,1269,174,354,289,679,1802,3131,1224,2877,141696,369815,31639,..,173336,369815
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
