SOSR_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR201,21752,3984,1988,53,62,27835,8350,1429,614,18,9,10417,7351,1232,598,15,13,9207,12053,2046,1037,14,19,15167,17121,3007,1544,27,29,21732,52803,9806,5669,111,101,68486,66404,12371,7136,125,141,86176,92938,15793,9342,180,198,118448,42547,8147,4243,85,115,55135,37589,8116,3332,59,104,49199,28799,6389,2092,43,91,37412,19369,2865,1231,40,48,23550,407073,75181,38830,773,930,522783
SOSR203,886,57,11,0,0,952,507,42,7,0,0,557,448,40,7,0,0,496,884,74,23,4,0,982,1202,112,33,3,0,1350,3484,290,85,8,8,3872,3714,230,40,9,7,4001,3492,170,32,20,9,3721,1186,56,12,6,0,1255,828,27,5,0,0,868,429,20,0,0,4,452,745,53,11,5,0,815,17804,1167,266,65,35,19334
SOSR211,1381,88,15,3,7,1492,959,67,8,3,3,1028,882,59,6,3,0,955,1712,130,17,3,6,1864,2680,192,17,6,3,2898,8329,587,51,8,20,8995,7862,392,32,6,19,8315,5502,216,15,6,20,5759,1436,45,0,3,0,1488,909,41,3,0,3,959,530,17,0,0,0,552,1324,59,4,3,3,1397,33508,1897,167,40,85,35692
SOSR212,835,48,20,0,4,907,533,26,8,0,0,567,499,19,8,0,0,533,1168,55,28,0,3,1259,1777,74,42,3,0,1897,5078,197,80,0,3,5357,4494,92,69,4,6,4672,3476,51,17,0,3,3548,1015,14,3,0,0,1033,625,14,3,0,3,644,337,3,0,0,0,346,828,32,7,3,0,866,20664,641,286,21,21,21631
SOSR213,1370,60,17,5,3,1453,940,44,10,3,0,998,927,45,14,0,0,988,1882,60,24,3,3,1972,2738,113,35,0,3,2890,7140,219,41,5,9,7413,6287,153,20,6,10,6477,5166,117,8,8,12,5305,1630,46,3,0,5,1685,1117,28,3,0,3,1149,534,15,4,3,4,552,1271,34,14,4,7,1329,31001,939,180,32,59,32216
SOSR214,709,15,11,0,8,743,587,10,4,0,0,595,516,14,10,0,0,543,1162,24,16,0,0,1199,1576,22,19,3,7,1634,3711,68,26,3,7,3824,3051,58,20,0,14,3134,2505,35,10,3,3,2559,816,16,4,0,4,837,512,9,3,0,3,532,301,3,0,3,0,311,767,11,10,0,0,793,16213,294,127,22,49,16697
SOSR215,1298,18,12,6,9,1344,1021,8,12,6,4,1057,1037,12,18,10,7,1076,2039,26,16,14,7,2102,2643,25,33,10,17,2727,6085,62,48,33,32,6258,5232,48,14,20,17,5326,4585,26,10,26,5,4656,1484,3,6,0,7,1502,940,5,3,12,9,970,502,4,0,3,5,515,1390,12,8,12,14,1439,28259,269,175,147,129,28977
SOSR221,468,0,0,4,0,475,442,0,0,3,0,447,385,3,0,4,0,389,736,11,0,8,3,749,830,3,0,5,0,841,1805,5,5,9,11,1836,1458,4,0,0,4,1470,1188,4,4,8,7,1208,386,3,0,0,0,391,264,0,3,3,0,266,123,4,0,3,0,131,465,0,0,5,3,472,8550,35,13,59,30,8686
SOSR222,296,3,0,3,5,306,333,0,0,3,0,341,269,4,0,3,5,280,486,3,4,3,0,495,594,4,3,5,3,607,1181,5,7,11,4,1203,840,0,4,3,8,858,652,4,3,9,8,673,224,3,0,3,0,230,122,0,0,0,3,125,88,0,0,0,3,94,260,0,0,5,5,277,5340,32,19,47,43,5488
SOSR231,3823,11,3,24,32,3897,1760,3,5,22,16,1804,1553,3,0,12,10,1581,2857,4,0,26,19,2905,3701,9,3,26,34,3768,9218,16,6,43,51,9341,8486,30,9,19,48,8600,9307,35,17,37,66,9459,3928,9,0,12,25,3971,3512,3,0,19,20,3555,2517,7,0,17,19,2561,3515,6,7,16,24,3565,54173,136,51,277,368,55003
