SOSR_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR201,1211,6258,83961,481141,318553,57192,10151,20006,978483,370,10222,76076,52890,10162,1037,236,4377,155370,225,2796,26676,54526,15226,2072,366,2074,103957,592,13017,102755,107410,25387,3110,600,6449,259326,1078,19624,46496,15366,1621,191,156,2831,87360,837,16048,26863,3788,215,47,51,1298,49142,2463,31022,47663,8787,517,62,112,2433,93048,7,97,127,67,14,0,3,17,329,4387,66790,121143,28009,2364,292,313,6581,229883,255,1544,1935,1175,386,66,27,340,5735,71,597,1168,1200,531,104,64,676,4412,6516,88207,310968,618943,347224,60767,11165,34052,1477840
SOSR203,58,524,6325,27805,11606,1597,364,1085,49368,29,1360,3348,1182,148,16,11,226,6320,4,139,476,602,102,3,0,32,1361,34,1502,3825,1786,249,22,12,255,7684,23,577,924,255,17,4,3,94,1891,3,33,68,3,0,0,0,5,107,0,46,93,32,7,3,3,8,186,0,0,3,0,0,0,0,0,4,30,654,1084,293,21,3,6,105,2189,11,82,109,75,71,15,7,17,399,0,10,47,63,24,3,0,15,170,138,2775,11388,30025,11979,1641,385,1472,59805
SOSR211,88,707,8986,46974,24879,2821,491,1916,86861,33,1420,5140,3208,793,50,23,416,11080,0,54,376,621,166,21,8,40,1291,37,1478,5516,3826,955,75,24,458,12374,15,457,1038,324,29,3,7,92,1967,0,37,48,14,4,0,0,10,121,0,14,0,4,0,0,0,0,23,0,3,0,0,0,0,0,0,3,15,514,1093,338,34,4,7,107,2112,24,69,63,54,22,0,0,20,255,7,45,82,102,53,9,7,43,337,170,2812,15738,51299,25949,2903,529,2548,101942
SOSR212,54,341,4797,29316,14737,1794,298,1180,52524,41,662,3376,1160,100,8,3,285,5630,0,30,228,286,37,3,0,19,607,41,694,3609,1444,135,14,3,295,6236,21,557,1867,472,18,0,3,203,3144,0,65,18,9,3,0,0,7,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,629,1889,483,22,0,3,208,3250,25,93,68,33,10,0,0,22,255,0,18,55,53,19,4,0,41,187,141,1777,10414,31327,14923,1812,309,1753,62461
SOSR213,85,619,8167,45262,23335,2578,467,1927,82441,45,1184,4207,1388,225,19,18,362,7441,0,122,263,446,92,16,4,32,976,48,1307,4473,1831,318,26,21,395,8418,5,604,1963,358,17,0,0,158,3117,0,17,32,11,0,0,0,3,67,0,0,11,3,0,0,0,0,15,0,3,0,0,0,0,0,0,4,5,621,2004,372,18,0,4,166,3204,54,149,101,58,19,3,0,31,420,0,30,64,115,47,11,9,84,354,195,2722,14810,47641,23742,2620,502,2604,94837
SOSR214,82,573,6751,25976,11573,1472,276,1272,47974,24,544,1349,590,54,5,3,126,2699,0,3,77,121,16,0,0,0,216,19,551,1419,710,73,11,3,129,2914,10,424,1243,244,22,6,3,120,2074,0,0,34,3,0,0,0,3,42,0,17,20,3,0,0,0,3,43,0,0,5,0,0,0,0,0,9,10,440,1304,253,24,6,3,123,2168,46,150,161,44,17,0,4,31,459,12,32,79,99,36,10,3,36,304,169,1742,9713,27086,11726,1496,297,1596,53821
SOSR215,95,1068,10214,41157,18444,2395,467,1918,75762,11,546,1378,534,40,5,4,178,2703,0,17,78,129,14,4,5,8,248,16,561,1453,664,57,14,8,187,2950,22,526,1278,298,23,4,10,141,2305,0,11,8,3,0,0,0,0,27,0,7,0,5,3,0,0,0,13,0,0,0,0,0,3,0,0,7,22,540,1294,304,23,3,10,144,2352,75,302,217,257,84,20,12,86,1055,3,31,77,176,64,5,23,55,435,214,2508,13262,42554,18674,2433,518,2387,82548
SOSR221,34,423,3531,11562,5186,718,153,550,22162,14,88,122,41,4,4,0,27,299,0,0,3,30,3,0,0,0,37,14,88,123,73,9,4,0,27,343,4,77,77,15,0,3,0,19,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,4,82,77,19,3,0,0,19,215,61,232,84,63,18,3,4,50,513,0,9,34,48,23,0,0,18,135,119,830,3860,11766,5239,732,157,670,23363
SOSR222,29,274,2098,7288,3029,426,97,363,13605,0,15,50,65,18,0,0,10,159,0,4,7,16,0,0,0,0,33,0,23,60,76,20,0,0,11,191,3,84,60,25,0,0,3,21,196,7,4,6,4,0,0,0,0,18,0,6,16,9,4,0,0,0,37,0,0,0,0,0,0,0,0,0,8,94,79,38,8,3,5,27,254,20,42,42,55,24,3,11,12,197,0,16,20,51,25,8,6,17,146,52,443,2303,7506,3108,434,116,431,14393
SOSR231,375,2689,14221,61109,45547,8876,2072,2885,137775,3,50,101,109,60,14,4,13,361,0,4,46,49,9,3,3,0,119,3,52,154,164,71,20,8,11,480,16,92,87,100,13,3,0,12,330,0,0,0,0,0,0,0,0,5,0,10,40,9,0,0,0,3,66,0,4,4,0,0,0,0,4,21,16,108,130,117,21,5,3,17,419,166,632,459,260,99,21,18,149,1802,12,56,192,470,286,71,24,115,1224,570,3539,15157,62113,46020,8996,2123,3177,141696
