SOSR_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR201,230413,429004,113844,12614,785875,162644,29969,978483,36519,34221,15777,2212,88730,57620,9013,155370,27781,32141,11569,1872,73362,21709,8885,103957,64301,66356,27349,4087,162093,79332,17901,259326,20401,12211,6838,1565,41025,38802,7537,87360,12972,3851,2525,1006,20350,22713,6075,49142,25335,6917,4738,2771,39765,38834,14450,93048,73,50,32,3,155,148,23,329,58785,23027,14138,5347,101295,100505,28080,229883,78,27,24,3,132,393,16,549,185,53,72,6,318,1056,17,1389,7,16,0,0,26,82,0,114,870,715,374,82,2037,1209,445,3689,1141,810,470,97,2513,2744,482,5735,948,935,337,74,2293,1755,364,4412,355590,520134,156131,22217,1054074,346965,76804,1477840
SOSR203,12804,15563,6474,565,35399,11987,1981,49368,1205,495,578,61,2336,3674,309,6320,379,200,140,25,741,494,126,1361,1584,691,717,93,3081,4164,437,7684,312,155,145,16,620,1163,106,1891,15,3,6,0,25,71,14,107,41,12,8,0,58,110,16,186,0,0,0,0,0,3,0,4,369,166,158,15,708,1350,133,2189,11,4,4,0,12,27,0,46,16,0,10,0,27,100,8,131,0,0,0,0,0,0,0,0,34,92,14,5,141,55,18,216,58,98,25,7,182,183,29,399,38,31,15,4,88,63,18,170,14853,16543,7393,680,39466,17743,2595,59805
SOSR211,22803,26933,12208,952,62904,20532,3429,86861,1845,1275,1303,149,4571,5889,624,11080,284,180,236,21,731,436,124,1291,2130,1455,1546,172,5302,6325,750,12374,271,110,213,13,614,1240,120,1967,20,10,4,0,34,75,10,121,0,0,4,0,4,16,0,23,0,0,0,0,0,0,0,3,290,124,220,18,654,1332,129,2112,16,3,0,0,22,57,3,79,8,0,4,0,15,32,0,49,0,0,3,0,3,4,0,6,31,28,20,5,84,44,6,130,57,34,26,5,116,131,8,255,74,57,25,6,164,152,17,337,25356,28601,14026,1149,69140,28476,4330,101942
SOSR212,14335,17277,7067,531,39207,11724,1596,52524,1089,431,514,60,2098,3298,239,5630,146,76,74,0,298,271,40,607,1236,506,585,63,2389,3568,282,6236,449,191,304,29,977,2035,135,3144,16,0,0,0,21,78,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,467,197,308,26,995,2116,142,3250,18,7,4,0,29,54,0,86,30,3,5,3,37,74,4,110,0,0,0,0,3,3,0,4,11,16,3,0,32,18,3,46,60,27,8,3,103,146,6,255,55,25,12,3,99,87,6,187,16151,18026,7986,627,42787,17636,2035,62461
SOSR213,23785,25424,10264,713,60192,20116,2137,82441,1266,463,638,63,2427,4759,255,7441,236,162,112,8,517,413,43,976,1499,628,757,65,2946,5174,296,8418,495,137,231,32,895,2101,125,3117,16,7,0,0,24,34,5,67,0,0,0,0,3,11,0,15,0,0,0,0,0,7,0,4,520,144,233,34,925,2147,132,3204,26,11,5,3,41,110,0,151,34,5,7,3,48,107,8,158,0,0,0,0,0,3,0,11,28,19,14,0,61,38,4,103,91,32,20,3,152,255,14,420,88,60,25,4,181,162,10,354,25988,26287,11300,822,64391,27856,2591,94837
SOSR214,14450,12670,5687,393,33193,13480,1305,47974,476,145,247,14,892,1734,78,2699,40,32,33,8,110,89,15,216,524,179,280,20,1002,1824,86,2914,306,91,152,15,566,1435,74,2074,9,0,7,0,18,24,0,42,3,3,3,0,11,34,0,43,3,0,0,0,3,3,0,9,324,94,163,15,598,1499,77,2168,32,3,3,0,42,113,5,157,55,3,7,0,65,140,3,207,0,3,0,0,0,3,0,3,22,24,12,0,51,36,4,86,106,34,21,0,161,287,9,459,95,45,27,0,169,125,7,304,15488,13024,6177,424,35117,17217,1485,53821
SOSR215,22699,21283,8443,636,53066,20866,1829,75762,430,140,186,13,773,1859,69,2703,73,33,33,0,142,86,19,248,507,175,219,13,911,1949,88,2950,330,97,153,6,596,1648,64,2305,4,0,0,0,8,16,0,27,4,0,0,0,3,12,0,13,0,0,0,0,4,0,0,7,344,104,157,9,606,1676,64,2352,61,5,19,0,81,236,10,329,37,8,11,0,50,154,5,218,3,3,0,0,12,7,0,16,145,111,41,3,302,175,16,495,245,127,67,3,445,578,35,1055,102,98,40,3,249,174,13,435,23898,21786,8930,663,55280,25248,2021,82548
SOSR221,7048,5875,2160,162,15243,6357,556,22162,61,17,18,3,96,203,6,299,16,3,3,0,24,12,3,37,70,23,22,3,118,210,8,343,27,3,9,0,39,165,5,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,30,3,9,0,44,170,5,215,49,3,6,3,62,196,7,261,8,3,0,0,14,85,5,106,6,6,3,0,10,6,0,21,32,27,14,0,78,45,3,125,98,40,25,3,164,334,13,513,27,28,12,3,67,64,5,135,7280,5965,2220,170,15635,7134,593,23363
SOSR222,4187,3735,1359,108,9391,3865,347,13605,44,24,19,0,80,78,3,159,3,8,0,0,15,12,3,33,47,28,19,0,94,93,4,191,23,9,19,0,48,134,14,196,0,3,4,0,6,4,3,18,6,12,3,0,23,16,3,37,0,0,0,0,0,0,0,0,30,19,23,0,78,157,18,254,5,5,5,0,19,38,0,56,3,0,3,0,9,11,0,16,3,0,0,0,3,4,0,12,40,24,15,0,73,40,3,122,47,32,24,0,107,88,5,197,44,35,7,0,88,47,3,146,4365,3850,1437,117,9761,4249,384,14393
SOSR231,48038,48584,10107,902,107634,27508,2630,137775,109,83,29,3,220,123,18,361,48,31,10,0,84,37,3,119,153,110,39,3,302,160,20,480,60,30,32,3,128,184,14,330,0,0,0,0,3,0,0,5,22,5,4,0,32,33,0,66,4,3,3,0,9,8,0,21,93,44,38,3,181,227,14,419,101,33,20,7,160,360,15,536,190,40,43,3,279,492,33,807,34,36,13,0,86,88,4,174,95,79,17,0,195,85,5,289,422,186,93,9,712,1029,63,1802,399,323,88,5,820,375,31,1224,49103,49245,10367,927,109645,29303,2751,141696
