SOSR_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR201,126765,4755,208,131727,1794,338,41,53,2233,430,39,467,2692,177,8,2879,4183,537,32,97,4846,386,144,530,5376,229,10,5621,5973,882,76,154,7079,810,180,992,8072,409,17,8496,114253,13633,1563,1758,131206,2971,656,3623,134834,5163,229,140222,40338,6551,719,1150,48747,1874,436,2309,51058,8219,184,59459,251,61,4,202,517,7,3,16,531,65,525,1117,154833,20248,2284,3105,180475,4853,1094,5950,186421,13450,936,200808,23400,2894,227,197,26717,667,156,818,27536,1521,34,29088,36490,4205,339,317,41343,601,144,739,42089,1306,46,43445,793,134,221,16,1155,20,3,31,1189,63,5,1255,426,98,7,408,947,31,5,36,980,79,34,1101,61112,7325,797,935,70163,1321,309,1628,71791,2976,115,74884,874,186,24,16,1098,274,20,298,1394,121,3,1518,1947,278,12,53,2288,214,72,289,2575,147,7,2729,2815,466,34,71,3391,487,96,583,3973,270,7,4250,63925,7790,823,1010,73553,1803,405,2207,75764,3240,122,79131,17280,3078,305,553
SOSR203,4356,139,6,4497,47,5,0,0,54,12,0,12,66,0,0,62,132,15,0,3,143,13,0,10,155,5,0,161,176,18,3,6,201,21,0,22,224,9,0,225,3931,422,76,30,4466,96,22,109,4576,139,4,4722,1209,168,28,38,1441,55,15,72,1510,237,3,1751,14,0,0,5,16,0,0,0,16,0,6,26,5146,593,103,78,5918,145,35,183,6102,380,15,6497,691,97,13,7,807,14,13,24,835,49,4,886,1409,128,18,4,1556,29,4,32,1584,51,0,1641,30,3,10,0,47,0,0,0,47,4,0,44,13,0,0,8,31,0,0,0,30,0,0,28,2143,231,43,23,2438,43,11,57,2495,96,6,2599,21,7,0,0,31,10,0,10,39,0,0,39,62,4,0,0,65,5,3,4,75,0,3,72,80,7,0,0,98,14,3,16,108,3,3,116,2231,238,41,26,2534,52,13,69,2602,98,8,2711,488,76,10,24
SOSR211,7912,335,7,8256,106,17,0,6,126,30,0,32,157,12,0,173,223,35,4,3,265,18,15,34,292,20,0,317,334,49,3,10,396,46,17,60,454,38,0,494,7026,880,131,123,8159,156,45,205,8369,373,11,8745,2411,346,52,71,2881,156,25,189,3064,530,23,3623,10,0,0,0,14,0,0,0,14,3,31,44,9444,1227,183,195,11058,315,78,389,11447,906,58,12406,1342,170,23,6,1543,31,9,37,1586,91,0,1674,2327,262,39,24,2658,28,10,40,2696,89,3,2793,59,14,11,0,85,0,0,3,88,0,0,87,33,0,0,24,56,4,0,4,61,9,0,67,3765,447,73,59,4342,63,22,85,4427,187,5,4624,45,6,0,0,54,19,0,19,76,10,0,86,91,9,0,3,105,10,3,8,111,21,0,139,137,19,0,7,156,25,3,27,187,35,0,224,3900,464,73,61,4501,88,24,110,4620,225,4,4849,1013,174,30,29
SOSR212,4966,208,9,5180,60,9,0,0,65,11,3,19,83,8,0,92,119,13,0,5,127,20,3,23,148,9,0,157,177,17,3,5,196,31,5,40,233,14,0,250,4418,503,70,77,5068,104,24,128,5200,227,7,5430,1281,205,29,43,1556,87,22,112,1668,429,7,2107,11,0,0,3,17,3,0,3,17,0,17,31,5714,710,98,123,6645,187,50,240,6885,653,31,7573,863,100,6,6,983,23,4,30,1014,62,0,1069,1608,143,24,14,1783,19,5,25,1813,55,0,1868,52,3,12,0,71,0,0,0,71,3,0,73,12,5,0,16,29,0,0,0,33,3,0,35,2538,254,40,36,2869,50,12,58,2925,117,3,3047,30,4,0,0,40,12,0,10,52,3,0,56,54,11,3,0,69,7,3,8,81,5,0,84,85,17,4,0,107,20,5,25,132,11,0,144,2628,264,44,36,2974,70,17,82,3055,132,3,3191,547,79,20,15
SOSR213,7679,303,10,7989,47,17,3,0,68,10,0,10,74,4,0,81,199,17,3,0,219,20,6,28,255,8,0,266,245,36,4,0,291,29,6,42,329,15,0,348,6799,814,134,95,7842,127,38,162,8008,320,10,8339,2168,277,58,61,2559,92,23,111,2672,309,4,2986,8,4,0,3,18,0,0,0,18,4,20,41,8975,1094,198,156,10425,221,60,275,10699,634,38,11370,1188,148,21,11,1368,29,3,31,1402,70,3,1478,2478,240,28,27,2770,33,4,42,2809,100,0,2910,71,9,27,4,109,4,0,4,112,6,0,118,14,3,0,27,46,0,0,0,46,0,3,56,3760,404,74,69,4297,70,11,76,4370,183,5,4564,43,16,3,0,63,8,0,9,71,12,0,80,78,9,0,3,90,7,0,7,105,9,0,112,124,22,3,3,153,13,3,19,172,18,0,194,3882,425,77,70,4446,82,13,93,4547,196,6,4753,842,94,20,21
SOSR214,3716,160,3,3877,26,3,0,5,33,11,0,11,43,6,0,52,83,12,0,0,100,5,3,7,110,11,3,116,106,18,6,5,131,14,3,24,151,16,3,169,3206,427,93,47,3770,78,20,92,3861,169,3,4041,982,156,37,32,1207,49,12,60,1271,174,3,1448,9,3,0,3,16,0,0,0,16,3,8,29,4200,584,125,81,5000,129,27,159,5155,352,16,5516,665,83,4,10,756,9,12,22,771,46,0,822,1264,156,36,9,1468,20,3,29,1494,43,3,1542,38,8,10,0,59,0,3,3,66,0,0,66,10,0,0,10,27,0,0,0,23,0,0,24,1978,247,56,34,2307,35,19,49,2358,91,3,2458,18,0,0,0,21,12,0,14,35,4,0,35,36,4,0,0,40,4,0,4,46,3,0,53,59,6,0,0,65,15,4,20,81,9,0,87,2036,250,54,33,2372,49,20,67,2440,99,3,2542,387,68,7,15
SOSR215,6480,264,16,6757,55,6,3,3,66,18,0,18,86,7,0,93,136,9,3,0,148,6,3,12,161,15,0,168,189,18,4,3,211,26,4,27,244,18,0,266,5600,733,151,108,6598,106,22,123,6723,288,14,7021,1762,257,58,56,2142,58,17,71,2216,306,6,2524,13,3,0,7,24,0,0,0,26,0,21,52,7383,989,212,176,8766,168,37,203,8962,592,45,9602,1015,129,26,8,1181,18,6,27,1205,62,3,1274,2035,281,33,23,2374,34,3,34,2408,99,8,2511,70,11,25,0,112,3,0,3,111,5,0,121,25,8,0,29,64,0,0,0,59,3,0,62,3137,435,87,57,3724,50,8,64,3789,169,9,3970,25,0,0,0,22,5,0,5,32,3,0,33,60,4,0,0,69,5,0,5,71,8,0,81,87,4,3,0,90,16,0,16,110,10,0,112,3221,437,92,63,3812,67,8,77,3892,180,9,4083,784,97,33,34
SOSR221,1789,76,3,1868,10,4,0,0,11,6,0,6,18,5,0,22,39,8,0,4,49,5,0,5,54,4,0,59,47,10,0,6,59,12,0,11,70,9,0,85,1533,227,33,34,1826,27,10,35,1863,84,3,1949,502,98,14,25,637,17,5,19,659,96,3,755,5,0,0,0,5,0,0,0,5,3,9,15,2042,331,48,52,2471,43,7,56,2526,187,13,2722,304,34,0,0,346,8,0,7,350,15,3,369,576,95,17,5,691,16,3,13,709,34,0,747,15,3,3,0,23,0,0,0,23,0,0,23,3,3,0,9,17,0,0,0,17,3,0,24,909,129,23,19,1084,22,3,22,1105,53,3,1162,3,5,0,0,7,5,0,7,14,0,0,14,22,3,0,0,28,4,0,4,30,0,0,33,30,7,0,0,39,11,0,7,51,3,0,52,938,139,24,20,1123,31,3,34,1154,62,3,1213,171,48,6,14
SOSR222,1093,59,0,1154,7,0,0,0,10,6,0,6,17,6,0,21,33,0,0,0,35,0,0,0,34,3,0,39,36,0,6,0,42,6,0,4,54,10,0,59,967,122,25,8,1128,9,6,15,1146,64,0,1211,302,57,7,18,385,9,0,12,390,55,0,444,3,0,0,0,3,0,0,0,3,0,7,5,1273,180,36,29,1512,19,7,26,1544,123,6,1667,203,30,9,0,236,3,0,3,243,13,0,259,351,55,8,3,414,0,4,4,416,20,0,436,10,0,0,0,12,0,0,0,12,3,0,18,11,0,0,0,11,0,0,0,11,4,0,10,572,86,19,4,672,3,4,8,678,40,0,719,3,0,0,0,4,0,0,0,8,0,0,5,13,4,0,0,11,0,0,0,12,0,0,12,16,5,0,0,15,0,0,3,18,0,0,17,584,89,19,4,689,10,4,11,701,39,0,743,131,30,3,5
SOSR231,14393,471,31,14892,70,14,0,3,87,20,0,20,101,13,0,117,232,36,9,0,275,24,6,31,308,6,3,314,299,57,9,6,364,47,6,52,412,17,3,432,12687,1460,276,212,14636,131,39,171,14806,490,32,15330,3521,480,91,146,4245,83,14,98,4342,492,16,4851,52,3,13,9,79,0,0,0,74,5,35,118,16260,1944,379,370,18954,218,55,271,19227,990,82,20294,3063,323,42,29,3460,20,9,29,3489,142,7,3645,5063,586,80,59,5789,41,9,46,5836,183,6,6026,134,24,46,3,212,7,0,7,217,19,0,230,69,7,0,93,170,0,0,0,170,10,3,180,8329,941,174,186,9628,66,18,88,9715,353,19,10085,60,11,0,0,74,16,0,16,89,13,0,105,127,20,0,3,148,13,3,15,161,4,0,172,187,30,0,3,222,28,3,33,249,22,0,271,8513,969,172,193,9854,97,24,117,9970,371,19,10359,1623,236,51,64
