SOSR_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOSR201,62809,43435,24278,11863,4279,2284,242245,15124,44901,41093,33390,23367,10922,2933,901,172632,8268,20459,12664,7356,4012,2042,903,429,56135,8832,18440,12788,10059,5327,3909,1144,508,61000,752,329,244,328,357,485,392,146,3040,1771,4745,4794,3532,2255,1225,473,229,19030,19030,25728,19409,17549,15432,14841,13487,10622,136097,99339,286168,234917,181747,127088,75266,37386,19861,1061779,8546,19418,17400,13644,9624,5673,2040,724,77060,6442,34364,31894,14441,6653,1830,235,45,95901,15356,55698,52390,53140,43566,30560,16634,5844,273188,10897,30177,21774,18601,12579,7734,4536,1317,107611,2286,6561,6014,4574,2821,1344,591,197,24385,12624,51746,39364,33338,26397,14873,7448,2707,188505,5806,29224,27929,28158,28568,18876,7487,2171,148210,36090,129155,110862,79207,48027,25086,9010,3815,441257,22757,64844,58164,47911,35205,18282,5463,1598,254223,14443,35499,21966,12561,7265,3799,1551,633,97716,12640,31238,20755,15732,8555,5712,2039,763,97434,1510,778,517,592,651,772,659,228,5708,2946,8350,8460,6682,4467,2518,1087,506,35025,39558,53730,41362,36628,30898,27929,23693,15987,269784,191895,550772,458860,365205
SOSR203,1636,1203,806,398,152,90,6571,695,1454,1405,1294,989,456,86,26,6403,231,481,330,247,136,62,36,18,1540,485,756,483,410,238,182,58,14,2648,21,13,9,7,16,14,19,9,111,36,94,105,91,54,37,13,9,435,820,719,640,743,735,790,871,727,6054,4030,8716,7518,6515,5369,3291,1918,1154,38521,296,494,521,317,286,149,55,10,2135,184,558,433,253,156,44,0,0,1627,721,1889,1697,1928,1829,1423,736,302,10532,645,1523,995,733,601,419,234,79,5235,111,268,274,234,146,105,53,30,1223,689,2212,1680,1548,1439,711,364,157,8807,279,1245,1216,1099,1349,943,412,119,6657,928,2768,2674,2130,1531,798,278,130,11239,1046,2003,1856,1743,1346,693,171,49,8902,402,800,598,371,241,104,54,25,2595,668,1216,760,641,398,270,126,35,4114,35,21,14,16,32,23,31,12,193,69,203,222,201,136,85,28,19,962,1701,1532,1365,1561,1462,1480,1467,1074,11641,7787,16753,14292,12789
SOSR211,2765,2087,1381,610,198,99,11179,1281,2725,2483,2117,1727,768,130,44,11270,298,555,411,251,210,110,53,21,1907,1007,1553,886,656,405,283,89,34,4912,30,23,16,22,24,44,32,6,194,42,138,181,120,94,51,19,7,649,1591,1464,1268,1326,1378,1407,1360,878,10669,6881,14799,12639,10569,9049,5593,2902,1458,63899,197,520,554,368,295,212,60,17,2224,274,1007,769,400,264,100,13,0,2817,1132,3310,2924,3099,2910,2265,1030,316,16979,1012,2189,1410,1158,1015,666,342,92,7890,225,609,573,482,317,199,100,29,2539,1013,3268,2606,2519,2503,1386,603,227,14127,564,2256,2182,1880,2127,1631,643,192,11474,1634,4694,4484,3501,2512,1227,383,141,18561,1752,3542,3321,2796,2332,1146,278,56,15236,610,977,716,425,378,217,94,26,3439,1308,2277,1408,1034,700,459,175,58,7418,64,47,37,39,46,67,42,9,354,75,288,406,317,240,149,76,29,1575,3250,3011,2634,2682,2745,2680,2289,1336,20629,13105,27993,24014,20699
SOSR212,1614,1303,774,347,119,63,6496,710,1390,1390,1267,994,440,86,26,6297,136,295,198,119,86,40,26,6,907,603,1017,606,459,303,179,59,22,3249,24,12,6,12,12,13,21,7,108,27,84,86,75,47,22,9,4,352,960,960,818,891,968,1067,1022,686,7380,4003,8417,7399,6627,5535,3357,1932,1009,38280,123,282,328,243,197,82,44,5,1305,104,297,289,155,113,39,8,0,1007,736,2056,1942,2127,1895,1371,663,191,10987,536,1235,828,776,631,381,190,63,4636,137,422,427,343,211,126,68,19,1743,593,1952,1501,1514,1521,747,388,114,8329,321,1225,1261,1230,1268,810,307,101,6530,902,2520,2540,2160,1522,706,218,91,10656,958,1853,1836,1652,1316,626,157,40,8437,279,508,355,208,153,105,37,15,1667,822,1418,924,751,504,323,115,40,4889,46,29,15,28,22,24,35,8,208,54,177,211,173,131,60,35,17,861,1997,1979,1709,1898,1948,1989,1687,1021,14231,7604,15941,14155,13264
SOSR213,2368,1821,1317,686,266,126,9587,903,1923,2097,2141,1751,811,163,22,9807,195,455,430,263,171,130,55,25,1712,772,1341,915,688,456,364,130,27,4691,17,10,13,26,16,32,30,8,159,25,85,138,124,86,43,28,10,542,1259,1075,1107,1260,1430,1626,1565,1102,10433,5087,11521,11220,10117,9117,6285,3428,1788,58559,132,402,469,361,336,239,64,36,2051,160,437,440,260,189,102,13,5,1608,1033,2798,2837,3310,3177,2613,1290,413,17476,842,2039,1475,1314,1189,732,388,124,8113,248,709,752,589,398,248,127,46,3117,697,2574,2245,2295,2455,1460,705,260,12691,356,1854,1959,1800,2258,1700,705,209,10849,1026,3314,3694,2930,2352,1379,524,203,15419,1232,2488,2696,2752,2318,1176,300,59,13020,376,721,672,397,306,228,81,31,2801,1023,1906,1439,1089,733,564,223,57,7041,41,27,20,31,30,55,49,23,278,61,198,320,277,230,139,80,44,1350,2613,2255,2362,2589,2767,3109,2718,1667,20080,9836,21710,21398,19994
SOSR214,1093,887,720,470,188,82,4691,399,878,1068,1114,997,550,136,43,5188,72,167,219,165,116,73,35,19,876,428,657,486,365,263,227,68,38,2541,16,10,11,3,21,22,14,6,105,15,50,78,63,69,32,13,7,326,683,582,699,782,926,1258,1164,763,6864,2442,5114,5599,5441,5261,4361,2384,1233,31824,57,153,260,213,193,166,49,14,1107,50,157,174,143,108,55,7,4,703,466,1336,1455,1730,1748,1677,854,325,9583,382,815,653,690,703,529,319,85,4174,126,350,438,375,265,194,97,34,1877,304,1018,962,1205,1248,971,456,171,6339,170,775,886,880,1180,1124,439,117,5574,471,1336,1604,1420,1260,865,305,133,7399,532,1080,1364,1456,1337,815,234,62,6883,143,274,350,265,212,150,67,23,1482,571,956,750,622,448,360,134,55,3900,27,21,11,18,27,35,32,12,191,34,117,174,150,158,111,38,23,802,1550,1445,1552,1780,1914,2337,2028,1165,13772,4886,9851,10632,10947
SOSR215,1770,1463,1126,733,265,141,7614,663,1473,1664,1724,1667,893,163,58,8303,130,313,384,300,205,174,70,30,1601,581,1071,755,585,416,330,109,35,3895,14,20,11,20,15,34,28,18,158,22,87,137,128,83,57,36,12,566,1148,905,1045,1226,1496,1638,1492,1052,9999,3909,8624,9092,8745,8617,6561,3365,1761,50670,107,286,409,320,319,257,80,30,1803,78,244,299,213,190,76,9,0,1108,806,2187,2464,2995,2933,2592,1171,406,15540,653,1608,1300,1097,1109,753,439,118,7078,242,742,867,647,499,313,155,51,3513,494,1608,1576,1939,2020,1465,711,245,10071,289,1370,1594,1452,2088,1798,661,178,9432,665,2303,2649,2262,1965,1398,523,219,11979,865,1824,2068,2204,2184,1312,316,88,10854,242,507,598,449,391,313,109,46,2651,757,1532,1234,1000,720,525,189,68,6031,34,30,18,26,25,57,56,25,272,52,178,267,261,216,155,92,40,1248,2424,1866,2092,2594,3043,3182,2746,1622,19576,7714,16280,17430,17469
SOSR221,480,434,382,230,68,29,2143,168,354,445,526,512,254,50,18,2317,20,88,99,98,87,67,17,8,486,159,254,222,172,143,114,32,10,1115,4,0,3,3,11,7,6,3,30,4,16,27,39,32,17,4,0,146,297,226,298,392,480,523,374,246,2853,992,2089,2488,2662,2782,2006,861,411,14298,24,50,107,85,99,83,25,7,473,19,67,67,61,57,41,4,0,318,198,633,749,975,1027,829,408,84,4902,167,391,350,370,373,273,140,33,2097,77,193,243,243,186,101,39,7,1094,97,366,442,531,672,421,177,54,2762,80,344,384,441,623,526,175,44,2606,157,532,668,636,632,425,117,49,3215,217,424,544,667,690,427,82,23,3073,49,129,161,137,142,130,28,12,776,198,353,323,292,234,187,59,11,1656,8,0,4,0,14,11,12,9,61,14,38,62,92,74,53,12,5,357,640,477,608,817,1010,1093,692,398,5725,1947,3999,4707,5357
SOSR222,290,267,234,126,32,15,1279,105,221,290,313,333,153,19,10,1440,14,53,68,68,48,33,7,0,293,82,161,130,118,84,63,16,3,655,4,0,4,0,6,4,0,3,20,0,6,18,10,11,13,4,0,67,233,180,226,303,300,278,204,118,1846,645,1331,1604,1744,1740,1105,430,195,8784,9,44,78,65,61,57,11,6,322,11,30,32,37,47,10,3,0,174,122,398,404,576,644,472,176,37,2832,87,212,212,258,264,164,55,25,1274,52,165,207,151,108,59,27,13,777,70,237,260,360,444,222,80,28,1702,57,184,273,293,385,286,83,23,1587,95,329,415,408,385,241,53,17,1952,144,281,364,401,437,228,39,6,1905,27,81,88,97,77,54,8,0,434,111,227,203,192,145,103,24,10,1019,4,3,4,0,5,3,10,4,38,5,21,34,43,32,39,10,4,193,488,364,443,629,649,598,375,203,3741,1280,2572,3030,3506
SOSR231,3543,3654,2551,1231,270,103,14670,1053,1966,2604,3233,3146,1395,222,49,13674,238,471,608,594,556,290,67,28,2849,842,1363,1237,1264,809,489,103,41,6143,26,17,19,23,32,33,28,4,177,55,126,265,269,225,122,23,11,1088,2472,1517,2117,3006,3131,2650,1335,475,16711,7326,13213,17672,20637,19520,11318,3356,1002,94049,191,488,944,859,979,636,160,30,4290,144,351,538,506,385,178,9,3,2110,1782,3750,5183,7589,7178,4995,1593,359,32428,1226,2279,2428,2851,2645,1553,532,106,13618,1161,2285,3213,3562,2632,1284,390,81,14622,886,2567,3440,4708,5071,2684,792,171,20323,431,1781,2526,3264,4799,3351,770,147,17074,1192,3447,5041,5553,4406,2496,569,157,22854,1392,2450,3265,4133,4250,2222,431,92,18233,463,771,897,885,886,540,125,33,4596,1051,1770,1803,1909,1374,800,207,59,8973,36,35,25,49,54,86,54,16,359,106,288,533,588,544,332,91,12,2498,5571,4289,5376,6958,6982,5924,2958,908,38964,15639,26558,35211,43412
