SSC_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,4111,4081,8184,163,157,319,165,164,325,84,129,210,366,400,760,1558,1620,3183,726,561,1281,435,350,786,287,323,608,209,211,419,77,107,185,45,59,104,3887,3877,7769,216,197,421,14,15,30,0,0,0,3,0,3,14,16,30,2298,2214,4512,1402,1469,2869,2732,2590,5324,1008,1136,2139,2907,2871,5775,24,30,54,148,141,295,71,107,176,173,178,349,288,386,678,2869,2865,5733,214,161,380,158,140,302,61,67,127,63,111,169,25,37,70,3618,3627,7245,448,398,840
SSC20003,1904,1994,3897,101,79,179,259,289,550,180,162,348,146,138,284,178,200,379,232,274,510,325,344,668,256,250,505,133,125,261,57,72,130,37,52,89,1838,1929,3770,70,64,127,7,8,12,0,0,0,0,0,3,8,5,17,1481,1541,3021,336,352,687,1437,1479,2920,383,420,800,1731,1791,3524,32,12,44,240,268,505,156,148,303,81,77,156,42,74,113,997,1077,2082,174,158,337,174,155,331,61,71,132,46,47,89,6,4,11,1801,1898,3701,75,93,165
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,83,88,171,0,0,0,17,12,29,3,0,7,4,3,10,4,3,5,7,8,19,10,9,21,11,14,30,20,27,45,4,7,9,0,4,4,72,73,143,11,14,29,0,0,0,0,0,0,0,0,0,0,0,0,63,67,133,6,5,14,69,72,145,0,3,3,71,76,145,0,0,0,13,13,25,3,0,4,0,4,3,0,0,0,29,36,60,8,12,16,14,6,25,3,5,11,3,8,8,0,0,0,64,63,127,7,9,16
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,30,32,59,0,0,0,4,7,6,0,4,3,0,0,0,0,0,4,5,7,9,6,5,14,6,3,15,3,4,9,3,0,3,0,0,0,29,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,40,4,3,3,19,25,43,0,0,0,19,25,43,0,0,0,3,3,9,0,4,4,0,0,0,0,0,0,3,6,6,4,0,4,3,9,9,4,4,13,0,0,0,0,0,0,19,25,46,8,5,13
SSC20008,32,41,71,0,0,0,0,9,7,0,0,0,0,0,0,4,4,4,3,4,4,3,7,8,5,7,13,6,6,18,4,3,5,0,0,0,28,31,61,0,4,9,0,3,4,0,0,0,0,0,0,0,3,4,25,34,62,5,3,11,23,37,60,4,4,6,28,39,65,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,9,11,18,4,3,5,11,9,14,3,3,8,5,3,9,0,0,0,28,31,61,0,0,0
SSC20009,41,39,81,3,4,6,10,6,12,0,3,3,0,3,3,3,4,4,9,3,14,3,8,12,4,4,7,7,4,16,0,3,4,0,0,0,38,36,76,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,39,75,4,4,3,35,33,74,0,0,0,38,39,72,0,0,3,10,6,12,0,0,0,0,0,0,0,0,0,5,14,15,3,8,7,12,10,16,3,3,7,5,0,7,0,0,0,38,37,75,0,0,0
SSC20010,28,22,57,3,0,3,0,3,3,3,3,4,3,0,3,3,3,7,0,3,5,6,0,5,9,4,15,7,0,6,3,0,4,0,0,3,33,23,51,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,22,52,0,3,5,27,22,53,0,0,0,30,22,52,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,7,11,20,13,6,14,4,3,6,0,0,5,3,0,4,0,0,0,33,23,51,0,0,0
