SSC_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,3,0,0,0,83,84,3,0,0,0,364,366,247,6,28,0,1277,1558,262,32,42,0,388,726,166,28,45,4,190,435,143,11,61,4,72,287,103,9,45,5,37,209,43,5,11,11,10,77,23,0,3,7,3,45,995,89,238,34,2425,3777,0,0,0,0,127,129,10,0,0,0,391,400,327,16,37,0,1239,1620,225,16,45,3,272,561,170,20,51,3,106,350,128,7,86,15,82,323,94,3,53,22,37,211,24,0,9,47,17,107,11,0,0,30,15,59,996,71,281,131,2283,3758,5,0,0,0,208,210,13,0,0,0,750,760,575,22,58,0,2522,3183,489,49,87,5,662,1281,339,45,99,5,291,786,271,21,144,21,153,608,203,15,102,32,71,419,71,6,22,62,30,185,38,0,3,45,18,104,1993,163,516,170,4704,7543
SSC20003,0,0,0,0,180,180,0,0,0,0,146,146,40,0,3,0,136,178,168,6,9,0,43,232,256,15,24,0,24,325,192,11,24,5,22,256,100,3,9,6,13,133,49,0,5,3,3,57,18,0,0,16,3,37,826,39,76,32,574,1543,0,0,0,0,163,162,0,0,0,0,138,138,53,0,3,0,136,200,211,3,16,0,46,274,261,4,40,9,30,344,178,9,27,13,28,250,81,4,23,7,10,125,35,5,7,27,5,72,7,0,3,39,0,52,830,25,117,97,558,1626,0,0,0,0,349,348,0,0,0,0,288,284,97,0,3,0,277,379,381,10,25,0,87,510,516,21,62,8,59,668,372,21,50,17,45,505,184,10,34,12,26,261,76,5,14,29,7,130,26,0,4,57,3,89,1653,67,195,124,1135,3172
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,4,7,0,0,0,0,7,3,0,3,0,0,10,7,0,3,0,0,11,14,0,0,4,3,20,4,0,0,0,0,4,0,0,0,0,0,0,42,0,9,3,13,68,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,5,0,0,0,0,8,5,0,0,0,4,9,11,0,0,0,3,14,19,0,0,0,4,27,3,0,0,3,0,7,0,0,0,0,0,4,45,3,7,9,15,77,0,0,0,0,7,7,0,0,0,0,10,10,3,0,0,0,0,5,16,0,0,0,3,19,9,0,3,0,3,21,15,3,3,0,3,30,35,0,3,0,3,45,13,0,0,3,0,9,0,0,0,0,0,4,87,4,15,11,26,144
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,6,0,0,6,0,0,6,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,7,0,7,0,8,23,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,3,3,0,0,0,5,0,0,0,0,6,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,0,11,27,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,9,4,3,3,0,4,14,0,0,3,0,6,15,3,0,3,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,15,3,10,0,14,46
SSC20008,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,5,3,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,17,0,3,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,7,0,0,0,0,7,4,0,0,0,0,7,6,0,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,16,0,3,3,5,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,4,10,0,0,0,0,8,7,0,3,0,0,13,14,0,0,0,0,18,4,0,0,3,0,5,0,0,0,0,0,0,37,0,7,3,9,53
SSC20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,8,30,0,0,0,0,3,3,0,0,0,0,3,3,4,0,0,0,0,4,4,0,0,0,0,3,4,0,0,0,3,8,4,0,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,3,7,32,0,0,0,0,3,3,0,0,0,0,3,3,4,0,0,0,3,4,5,0,0,0,3,14,6,0,3,0,5,12,7,0,0,0,0,7,14,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,34,3,4,6,20,57
SSC20010,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,4,0,0,0,5,9,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,10,0,3,0,9,27,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,3,18,0,0,0,0,4,4,0,0,0,0,3,3,3,0,0,0,3,7,3,0,0,0,0,5,8,0,0,0,0,5,9,0,0,0,5,15,0,0,0,0,0,6,3,0,0,0,0,4,0,0,0,3,0,3,29,0,5,4,17,52
