SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC20001,0,0,0,0,0,0,0,0,0,0
SSC20002,64,13,104,2688,2137,441,216,1300,750,7543
SSC20003,22,15,89,891,850,406,254,580,186,3172
SSC20004,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,4,23,40,20,9,30,24,144
SSC20006,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,4,7,8,8,7,12,46
SSC20008,0,0,0,11,13,7,8,7,3,53
SSC20009,0,0,0,9,8,20,13,5,3,57
SSC20010,0,0,3,6,17,10,0,10,9,52
SSC20011,0,0,0,0,0,0,0,0,0,0
SSC20012,4,3,20,142,202,124,64,98,57,679
SSC20013,0,0,0,18,37,21,8,22,15,114
SSC20014,89,38,244,1513,1575,709,518,1507,564,6388
SSC20015,0,0,0,0,0,0,0,0,0,0
SSC20016,18,11,44,808,811,339,367,1710,428,4459
SSC20017,53,19,115,1446,1492,531,330,897,469,5161
SSC20018,7,0,5,43,54,33,29,46,22,222
SSC20019,0,0,0,9,19,9,16,16,7,71
SSC20020,22,17,62,844,853,336,237,1220,512,4005
SSC20021,77,16,127,411,583,292,253,483,281,2307
SSC20022,38,17,106,1702,2029,972,720,1309,427,7161
SSC20023,0,0,0,0,11,3,4,0,0,19
SSC20024,0,0,0,9,8,14,9,5,22,71
SSC20025,0,0,0,11,19,12,11,14,13,71
SSC20026,0,0,3,52,75,46,25,36,19,251
SSC20027,3,3,18,259,320,158,134,176,160,1209
SSC20028,0,0,3,24,46,13,18,16,24,144
SSC20029,0,0,0,14,28,15,18,29,8,102
SSC20030,0,4,3,22,41,27,28,29,12,158
SSC20031,0,0,0,6,4,3,3,4,3,14
SSC20032,0,0,0,3,15,5,6,5,6,41
SSC20033,39,13,85,1277,1335,483,244,666,252,4251
SSC20034,123,71,330,2134,2434,1040,786,1868,728,8981
SSC20035,217,27,322,3588,3862,1603,1434,4381,1082,15956
SSC20036,252,116,490,2070,2196,917,831,2835,1040,9899
SSC20037,0,0,3,10,28,20,10,21,22,108
SSC20038,0,0,0,9,15,9,6,9,12,59
SSC20039,0,0,0,0,0,0,0,0,0,0
SSC20040,0,3,7,31,38,19,45,60,14,216
SSC20041,3,0,3,104,155,84,77,88,64,571
SSC20042,0,0,0,12,22,13,8,10,9,72
SSC20043,0,0,0,4,4,4,0,0,3,23
SSC20044,0,0,0,3,4,5,0,3,0,19
SSC20045,56,15,107,442,638,363,217,313,185,2160
SSC20046,0,0,0,7,4,4,8,0,3,23
SSC20047,0,0,0,14,18,8,9,9,8,60
SSC20048,17,7,40,255,383,204,143,235,165,1378
SSC20049,0,0,0,0,0,0,6,6,0,11
SSC20050,0,0,0,10,7,6,3,3,0,25
SSC20051,4,0,10,50,62,24,35,59,12,241
SSC20052,129,49,285,1217,1643,805,652,1523,1256,7094
SSC20053,0,0,0,10,24,13,11,16,0,70
SSC20054,0,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,43,39,33,13,30,14,174
SSC20056,0,0,0,13,19,4,4,13,9,65
SSC20057,0,0,0,3,3,0,7,9,0,23
SSC20058,0,0,0,0,3,0,0,0,0,5
SSC20059,0,0,0,0,0,3,3,0,3,14
SSC20060,0,0,0,3,6,4,0,0,5,20
SSC20061,58,35,116,495,504,240,184,842,276,2544
SSC20062,0,0,4,104,83,52,20,73,72,404
SSC20063,0,0,0,9,0,4,5,3,7,30
SSC20064,6,0,5,22,47,17,25,48,26,193
SSC20065,95,43,237,2514,2102,722,496,1330,648,7817
SSC20066,0,0,0,20,17,10,10,9,9,78
SSC20067,0,0,8,910,931,367,286,395,224,3107
SSC20068,0,0,3,8,9,17,4,5,3,46
SSC20069,0,0,0,8,0,0,3,0,6,18
SSC20070,4,3,11,76,111,60,55,55,48,405
SSC20071,0,0,0,82,95,49,45,25,14,309
SSC20072,0,0,3,17,19,3,10,12,15,77
SSC20073,6,0,21,324,432,198,192,270,119,1542
SSC20074,104,21,210,3427,3330,1211,825,2331,969,12087
SSC20075,0,0,4,23,52,28,18,11,8,147
SSC20076,98,43,235,1567,1809,801,479,1078,334,6074
SSC20077,132,24,229,1300,1456,592,370,1449,474,5643
SSC20078,45,11,122,1403,1597,685,466,945,371,5471
SSC20079,37,18,95,1353,1421,656,416,1182,258,5290
SSC20080,0,0,0,25,22,14,10,13,16,109
SSC20081,18,3,19,674,627,305,211,797,151,2763
SSC20082,0,0,0,0,0,3,0,0,6,10
SSC20083,0,0,0,6,0,0,0,0,0,8
SSC20084,0,0,3,31,49,25,20,84,7,225
SSC20085,6,4,17,159,217,120,107,154,103,861
SSC20086,18,4,30,145,240,133,138,233,111,996
SSC20087,0,0,0,0,7,0,0,0,0,7
SSC20088,216,51,396,2044,2170,1107,910,2824,794,9847
SSC20089,0,0,0,8,9,4,3,3,0,29
SSC20090,4,0,11,166,191,105,57,107,54,687
SSC20091,0,0,0,48,75,47,44,31,26,267
SSC20092,0,3,4,133,187,90,81,82,48,619
SSC20093,0,0,0,14,5,5,8,7,3,33
SSC20094,74,32,184,1048,1375,671,486,1191,470,5245
SSC20095,0,0,3,56,68,40,31,63,38,297
SSC20096,8,5,20,277,350,179,144,228,93,1271
SSC20097,0,0,0,0,4,0,0,0,3,8
SSC20098,0,0,0,53,68,23,35,27,16,227
SSC20099,3,0,3,11,5,0,3,9,0,30
SSC20100,0,3,3,9,7,6,7,4,3,35
SSC20101,0,0,3,12,24,14,19,23,3,93
SSC20102,174,64,326,1110,1499,751,644,1427,876,6311
SSC20103,0,0,0,25,41,18,15,39,12,142
SSC20104,27,12,66,1544,1276,384,194,789,457,4649
SSC20105,3,0,3,14,18,7,10,23,7,85
SSC20106,0,0,3,10,7,15,3,3,3,48
SSC20107,29,14,69,468,644,342,287,456,229,2426
SSC20108,0,0,0,15,3,9,6,10,6,49
SSC20109,0,0,0,0,3,0,3,0,0,8
SSC20110,63,14,111,1162,1306,570,310,774,394,4522
SSC20111,117,36,224,956,1272,583,390,1064,460,4724
SSC20112,102,26,176,678,860,406,310,717,240,3213
SSC20113,0,0,3,19,26,18,10,22,7,103
SSC20114,3,0,7,50,52,22,39,52,23,238
SSC20115,0,0,0,13,32,12,29,9,17,115
SSC20116,0,0,0,14,7,11,3,3,9,45
SSC20117,0,0,0,15,23,19,13,17,16,94
SSC20118,0,4,5,49,74,41,29,34,34,261
SSC20119,12,14,48,415,538,279,212,243,162,1854
SSC20120,4,0,9,69,108,58,43,48,51,368
SSC20121,0,0,0,0,5,0,0,0,0,4
SSC20122,219,52,498,2927,2857,1414,967,2385,611,11157
SSC20123,252,72,678,4270,4156,2153,1548,3624,851,16603
SSC20124,3,0,11,87,93,45,52,79,40,392
SSC20125,0,0,0,22,53,26,21,40,28,190
SSC20126,0,0,3,21,20,17,12,13,5,85
SSC20127,0,0,0,10,11,3,0,7,0,35
SSC20128,0,0,0,107,141,32,40,130,34,479
SSC20129,0,0,0,9,9,7,4,5,3,43
SSC20130,23,6,39,89,138,89,61,250,112,737
SSC20131,0,0,0,3,8,3,4,5,3,29
SSC20132,69,14,94,820,1169,506,448,695,282,3914
SSC20133,0,0,0,3,3,4,3,4,4,23
SSC20134,0,0,0,10,11,3,0,0,0,25
SSC20135,95,14,124,380,519,218,173,338,127,1755
SSC20136,0,0,5,14,22,14,15,10,6,77
SSC20137,0,0,3,36,42,25,22,26,24,176
SSC20138,0,0,0,6,0,0,3,3,0,15
SSC20139,0,0,0,17,24,16,12,14,19,109
SSC20140,0,6,8,63,101,79,50,56,35,387
SSC20141,0,0,0,5,12,3,11,9,6,37
SSC20142,0,0,0,4,0,3,5,9,5,35
SSC20143,0,0,6,30,43,31,29,69,43,244
SSC20144,0,0,0,0,4,0,4,0,0,10
SSC20145,0,0,9,162,218,101,72,97,62,715
SSC20146,0,0,0,35,36,14,19,18,14,133
SSC20147,0,0,0,30,30,16,9,12,3,105
SSC20148,0,0,9,72,99,52,50,53,32,355
SSC20149,3,0,7,27,53,33,32,32,11,182
SSC20150,0,0,5,42,54,26,12,20,28,185
SSC20151,0,0,0,0,4,0,6,0,3,15
SSC20152,0,0,0,0,3,3,0,0,0,7
SSC20153,0,0,0,0,7,0,7,4,0,21
SSC20154,0,0,0,4,4,0,0,0,0,11
SSC20155,0,0,0,3,5,0,3,7,11,28
SSC20156,0,0,3,7,3,3,7,6,0,21
SSC20157,0,0,0,0,3,3,0,0,0,10
SSC20158,0,0,0,13,20,14,9,15,16,89
SSC20159,0,0,0,29,48,29,33,25,14,179
SSC20160,0,3,0,16,34,27,12,10,8,108
SSC20161,21,9,60,733,911,441,301,373,186,2941
SSC20162,0,0,0,0,3,0,0,0,3,8
SSC20163,0,0,3,54,80,49,39,57,30,314
SSC20164,3,0,10,179,172,100,87,104,47,701
SSC20165,0,0,0,14,17,4,4,3,0,49
SSC20166,0,0,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,6,0,0,7,8,23
SSC20168,9,8,24,421,468,184,171,395,169,1813
SSC20169,0,0,0,0,10,0,0,5,3,17
SSC20170,0,0,4,66,97,54,45,63,56,374
SSC20171,0,0,0,21,23,13,15,8,7,91
SSC20172,166,64,289,2328,2417,1023,833,2411,744,9759
SSC20173,96,122,250,1746,1924,779,637,1483,594,7159
SSC20174,17,10,51,1362,1516,650,455,1026,289,5296
SSC20175,23,3,38,497,651,316,222,389,169,2242
SSC20176,3,3,7,27,34,27,27,49,27,175
SSC20177,0,0,0,11,27,17,26,40,20,137
SSC20178,0,0,0,9,14,3,11,4,3,53
SSC20179,0,0,0,7,8,5,4,7,0,25
SSC20180,32,24,68,203,290,159,147,313,165,1280
SSC20181,135,79,469,2823,3121,1598,903,1720,675,10844
SSC20182,0,0,0,3,7,3,3,3,4,20
SSC20183,0,4,8,59,62,34,38,67,41,305
SSC20184,0,0,0,11,18,12,8,16,12,74
SSC20185,57,21,106,565,868,480,298,537,499,3243
SSC20186,0,0,0,6,7,4,7,0,6,18
SSC20187,3,3,24,800,977,446,285,407,189,3103
SSC20188,0,0,6,259,330,159,107,159,60,1073
SSC20189,0,0,11,336,431,189,143,194,72,1356
SSC20190,55,7,124,899,1024,467,384,1106,317,4188
SSC20191,44,27,118,864,1022,461,443,971,371,4139
SSC20192,0,4,3,25,31,28,12,23,24,146
SSC20193,0,0,0,0,0,0,0,0,0,0
SSC20194,3,0,15,138,204,145,77,114,45,719
SSC20195,0,0,3,54,95,52,37,51,32,321
SSC20196,0,0,0,12,18,14,3,3,3,51
SSC20197,15,4,39,343,383,145,133,370,113,1480
SSC20198,0,0,0,0,0,0,0,0,0,0
SSC20199,0,0,0,17,39,16,16,13,11,111
SSC20200,311,105,625,2743,3245,1453,1014,2372,868,11698
SSC20201,3,0,0,3,17,9,6,10,9,62
SSC20202,4,0,11,43,75,36,26,47,24,247
SSC20203,206,89,485,1627,2180,1185,924,1866,958,8735
SSC20204,3,0,3,23,33,26,18,24,16,128
SSC20205,0,0,3,12,18,7,8,7,3,54
SSC20206,0,0,3,43,72,34,21,21,25,227
SSC20207,38,45,136,1071,1280,527,394,909,513,4703
SSC20208,0,0,0,9,22,17,12,24,15,99
SSC20209,0,0,0,14,13,7,9,10,5,54
SSC20210,0,0,0,10,12,3,0,10,9,35
SSC20211,0,0,0,10,39,19,14,14,14,107
SSC20212,0,0,0,10,12,6,0,6,0,40
SSC20213,182,54,412,3453,3703,1518,1012,2582,737,12999
SSC20214,361,98,823,5510,6089,2587,1774,4569,1321,21853
SSC20215,0,0,0,0,3,0,0,0,0,5
SSC20216,0,0,0,20,43,22,14,19,7,120
SSC20217,0,0,0,9,6,0,7,13,4,39
SSC20218,0,0,3,15,29,20,20,36,12,135
SSC20219,0,0,0,8,8,5,3,6,4,34
SSC20220,6,3,11,22,35,19,20,39,21,148
SSC20221,0,0,0,0,6,3,4,8,7,38
SSC20222,0,0,0,29,34,23,12,13,12,122
SSC20223,389,124,805,9145,9902,4432,3439,8043,1980,36937
SSC20224,0,0,0,11,20,12,14,18,9,86
SSC20225,0,0,4,16,21,13,10,18,24,102
SSC20226,0,0,3,12,15,10,16,19,5,73
SSC20227,0,0,0,0,0,0,0,4,0,3
SSC20228,0,0,3,85,112,63,51,61,24,396
SSC20229,0,0,0,6,24,14,7,16,16,89
SSC20230,7,3,13,50,77,40,46,45,37,296
SSC20231,0,0,0,42,59,47,33,46,32,262
SSC20232,5,0,3,351,445,211,177,367,157,1701
SSC20233,0,0,0,0,0,0,3,0,0,3
SSC20234,0,0,0,50,64,17,19,26,20,195
