SSC_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,0,5,0,139,6,3,0,8,0,6,0,0,0,4,18,51,0,0,0,0,0,0,0,0,0,0,0,0,101,24,3,145,25,106,3,21,4,41,23,489
SSC20003,0,0,0,183,17,3,0,15,3,7,0,4,0,6,25,79,0,0,0,0,0,0,0,0,0,0,0,4,158,17,4,220,29,89,8,24,9,29,25,597
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,14
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SSC20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,10
SSC20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,0,0,13,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,23,3,12,3,0,0,3,4,64
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,18
SSC20014,0,5,0,80,8,7,0,14,0,6,0,3,0,8,26,76,0,0,0,0,0,0,0,0,0,4,0,8,186,25,14,276,26,157,5,39,5,103,27,870
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,0,4,0,22,9,0,3,10,0,3,0,9,3,14,23,69,0,0,0,0,0,3,0,0,0,0,3,11,81,29,5,100,11,158,11,69,16,179,28,688
SSC20017,0,4,0,312,14,0,0,11,0,4,0,5,0,9,64,105,0,0,0,0,0,0,0,0,0,0,0,4,157,25,9,220,20,143,4,22,3,39,67,703
SSC20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,3,0,0,0,0,4,24
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6
SSC20020,0,0,0,11,9,0,3,3,0,4,0,0,0,3,22,48,0,0,0,0,0,0,0,0,0,0,4,6,60,25,5,88,7,102,0,47,3,74,26,433
SSC20021,0,0,0,12,3,0,0,3,0,4,0,0,0,0,16,26,0,0,0,3,0,0,0,0,0,0,0,4,42,12,5,98,7,42,3,3,3,20,15,247
SSC20022,0,0,0,109,24,0,0,21,0,5,0,7,0,0,52,116,3,0,0,0,0,0,0,0,0,0,3,8,246,46,4,488,48,193,12,43,8,26,58,1179
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,12
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
SSC20026,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,5,0,3,0,0,3,48
SSC20027,0,0,0,9,4,0,0,8,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,5,28,11,6,80,9,19,3,9,0,4,14,184
SSC20028,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,5,0,19
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,13
SSC20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,5,4,21
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20033,0,0,0,235,7,4,0,16,0,3,0,0,0,6,33,76,0,0,0,0,0,0,0,0,0,0,0,3,136,33,3,267,15,86,3,22,4,18,38,626
SSC20034,0,0,0,166,11,3,0,13,3,7,0,5,0,12,52,121,5,0,0,4,0,3,0,0,0,4,0,18,249,48,5,368,46,240,7,59,14,106,56,1209
SSC20035,0,3,0,163,33,4,3,31,3,41,3,16,5,37,103,274,3,0,0,3,0,3,0,0,0,4,5,23,424,88,21,637,79,567,26,158,32,319,110,2456
SSC20036,3,3,0,99,15,5,0,21,0,10,0,9,3,28,53,135,0,0,0,0,0,0,0,0,0,9,6,21,208,34,12,299,60,285,15,115,25,244,70,1367
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,3,0,19
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,16
SSC20041,0,0,0,9,0,0,0,3,0,4,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,23,0,11,4,4,0,0,7,79
SSC20042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,7
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20045,0,0,0,24,3,0,0,8,0,4,0,3,0,3,5,31,0,0,0,0,0,0,0,0,0,0,0,3,45,21,3,94,4,43,3,12,3,15,6,248
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC20048,0,0,0,0,3,0,0,8,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,46,5,17,5,9,3,9,8,124
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,3,0,0,4,21
SSC20052,0,0,0,30,25,6,0,22,3,5,3,3,0,6,32,109,3,0,0,0,0,0,0,0,0,0,0,6,148,27,7,211,28,87,18,40,7,61,38,678
SSC20053,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,9,0,4,0,0,0,0,0,27
SSC20056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,8
SSC20057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SSC20061,0,0,0,8,5,0,0,3,0,5,0,3,0,3,13,37,0,0,0,0,0,0,0,0,0,0,3,10,45,17,5,49,9,72,4,37,8,53,17,304
SSC20062,0,0,0,6,0,0,0,3,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,26,0,9,0,3,0,4,3,59
SSC20063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
SSC20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,4,0,18
SSC20065,4,5,3,338,9,0,4,17,3,15,4,3,0,4,59,110,4,0,0,4,0,5,0,0,0,0,0,13,158,32,8,241,33,211,9,40,8,38,64,838
SSC20066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,9
SSC20067,0,0,0,19,6,0,0,12,0,9,0,0,0,0,26,55,0,0,0,0,0,0,0,0,0,0,0,3,103,19,5,224,48,143,7,18,9,21,27,620
SSC20068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
SSC20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20070,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,3,10,3,4,0,6,0,59
SSC20071,0,0,0,5,0,0,0,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,23,0,6,0,3,0,0,3,51
SSC20072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,0,0,0,0,0,13
SSC20073,0,0,0,17,3,0,0,3,4,0,0,0,0,0,14,28,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,85,14,39,5,16,0,13,11,252
