SUA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
2000,558,502,1060,16572,15530,32097,1300,1239,2536,18430,17268,35696,575,533,1109,19424,18142,37569,1577,1475,3051,21572,20155,41728,516,557,1074,19294,18545,37836,1557,1505,3066,21368,20607,41976,483,506,987,18977,17154,36132,1452,1376,2826,20912,19036,39948,346,284,637,14672,12854,27527,1235,1116,2345,16255,14256,30512,294,310,605,13595,13273,26874,1201,1068,2267,15096,14648,29741,254,239,496,14254,15192,29449,1166,1234,2404,15674,16673,32347,228,232,457,15468,16183,31655,1217,1272,2492,16916,17687,34601,254,242,493,18653,19547,38200,1512,1521,3031,20419,21312,41733,287,288,578,21116,22008,43129,1777,1654,3430,23176,23956,47133,298,263,565,23155,23800,46959,1946,1878,3816,25395,25944,51337,268,258,526,24900,25087,49990,2050,1989,4039,27215,27333,54545,205,186,389,24986,24744,49732,2198,2047,4250,27390,26981,54365,353,345,698,68849,70590,139443,6451,6818,13267,75654,77754,153411,4923,4747,9665,313913,312663,626578,26637,26198,52831,345471,343603,689078
2001,12,20,31,711,607,1319,24,36,57,750,658,1407,15,28,40,711,724,1431,25,28,53,752,773,1529,22,17,37,626,608,1229,31,41,65,672,659,1332,15,10,28,644,609,1259,28,31,58,692,651,1342,13,10,21,582,550,1131,34,29,60,625,582,1208,10,6,21,569,593,1163,33,33,65,609,632,1247,9,4,12,585,630,1210,35,28,58,621,658,1286,6,10,16,620,664,1287,40,42,79,664,711,1376,8,5,10,618,700,1319,38,36,75,668,739,1407,14,4,13,698,720,1413,39,34,70,745,756,1496,9,3,12,586,630,1214,40,36,73,632,673,1302,4,5,11,549,615,1165,32,39,73,588,660,1248,4,3,7,514,545,1057,37,22,63,557,576,1128,0,4,3,1263,1525,2786,107,130,242,1374,1662,3032,129,129,264,9271,9715,18982,545,555,1101,9944,10407,20345
2002,35,41,70,362,378,744,40,53,87,438,469,903,41,31,73,357,362,721,39,38,78,433,438,870,26,32,62,367,346,714,38,32,66,429,417,850,20,28,51,368,350,719,38,32,67,428,409,838,20,22,51,324,359,683,48,44,93,390,425,822,25,16,36,346,369,717,40,43,79,411,426,838,19,15,30,342,345,687,42,33,80,401,394,791,9,14,19,299,344,649,21,29,48,333,386,720,16,12,22,342,355,701,43,36,74,396,400,797,15,19,33,341,429,767,35,34,66,383,479,861,15,10,27,342,455,797,34,45,77,389,507,901,8,12,17,402,458,863,39,52,93,448,522,969,3,5,11,393,457,852,37,45,84,431,510,945,10,11,23,1413,1779,3193,171,241,412,1588,2033,3625,258,274,530,5999,6796,12794,652,755,1404,6905,7819,14728
2003,93,92,188,3112,2860,5969,189,173,366,3392,3127,6519,93,91,180,3054,2975,6027,166,167,330,3307,3227,6539,83,85,166,2861,2709,5564,157,148,298,3093,2936,6033,74,80,160,3069,2920,5987,169,194,363,3311,3191,6504,74,85,156,3391,3463,6853,250,232,478,3709,3783,7489,49,56,99,3061,3143,6208,202,197,404,3314,3401,6708,38,49,87,2826,2983,5812,192,198,386,3057,3224,6280,19,45,65,2668,2918,5588,163,165,328,2851,3129,5981,37,42,77,2722,3030,5756,178,174,347,2933,3248,6179,23,43,70,2742,3123,5858,163,187,350,2927,3351,6278,25,31,54,2823,3121,5943,180,170,349,3031,3318,6351,23,21,46,2655,3013,5666,157,195,358,2833,3233,6063,18,16,36,2509,2841,5350,153,190,337,2679,3049,5726,29,33,63,6898,8987,15883,577,704,1286,7503,9726,17231,668,772,1443,44382,48078,92466,2887,3089,5974,47944,51943,99885
2004,134,120,256,2829,2710,5541,194,183,376,3157,3015,6170,111,92,201,2950,2679,5628,198,172,371,3259,2948,6208,90,79,170,2666,2571,5229,202,158,359,2955,2802,5757,84,96,178,2757,2721,5483,175,185,362,3016,3002,6023,87,85,171,3108,3284,6395,202,202,407,3395,3572,6970,68,73,140,2775,3047,5827,177,193,374,3021,3315,6345,42,47,90,2737,2859,5595,199,195,396,2976,3099,6074,36,36,73,2435,2681,5119,160,174,336,2637,2891,5527,30,41,77,2534,2780,5314,163,165,324,2724,2993,5718,42,46,86,2573,2758,5331,184,178,358,2796,2979,5773,29,36,62,2510,2834,5341,180,187,370,2711,3058,5777,33,28,60,2540,2945,5489,199,174,374,2772,3143,5915,13,24,44,2441,2657,5098,158,189,344,2617,2875,5491,26,37,67,6837,8474,15314,558,697,1255,7428,9211,16635,825,847,1669,41694,45009,86701,2944,3061,6009,45463,48916,94378
2005,16,9,24,363,316,681,15,25,37,394,352,744,11,0,12,388,322,705,14,15,28,417,338,751,12,9,18,336,330,664,23,13,36,371,353,718,8,7,9,345,316,662,25,17,43,374,345,713,5,3,8,357,332,692,27,27,47,391,363,745,3,5,9,379,326,704,33,24,53,414,356,767,3,3,5,314,304,617,24,10,39,344,323,666,5,5,14,317,284,604,14,14,29,339,300,644,3,13,13,327,305,628,16,14,31,352,328,673,4,5,9,343,381,726,24,22,52,374,405,780,4,0,3,324,367,690,22,24,43,351,389,735,3,3,6,349,411,756,26,27,51,376,437,818,0,4,0,345,385,735,20,28,51,370,417,790,3,4,14,1046,1411,2458,94,128,222,1142,1549,2698,73,73,152,5535,5786,11318,387,393,779,5995,6258,12250
2006,27,28,63,506,499,1010,39,47,85,579,575,1157,42,42,83,527,541,1066,46,40,88,617,624,1242,34,39,72,565,537,1103,35,39,82,638,611,1252,30,37,60,582,529,1105,21,36,60,624,601,1223,27,27,55,396,403,808,41,39,75,460,474,937,23,22,44,420,530,947,27,49,78,470,597,1066,18,17,34,486,504,994,33,45,79,532,572,1107,13,17,29,407,479,885,34,34,68,460,521,983,17,22,37,547,576,1126,45,33,77,610,630,1238,14,21,35,572,628,1203,37,29,65,622,679,1302,9,19,29,551,612,1156,34,45,75,591,668,1261,15,20,34,604,671,1267,44,45,87,657,735,1390,17,14,28,576,639,1215,47,41,87,636,694,1332,14,30,45,2114,2411,4525,175,195,367,2302,2633,4934,301,338,641,8857,9552,18408,653,721,1374,9816,10611,20424
2007,147,151,302,7477,6934,14414,415,380,798,8040,7466,15507,141,147,288,7385,7168,14558,374,389,759,7903,7703,15604,133,145,274,7135,6663,13802,382,333,720,7652,7138,14794,138,143,279,7278,7050,14330,380,366,743,7795,7552,15347,110,103,214,7707,7340,15047,468,466,927,8284,7907,16188,76,76,151,7164,7357,14522,446,443,883,7688,7870,15555,71,83,146,7211,7685,14892,399,401,802,7681,8168,15846,71,73,142,6985,7310,14295,364,339,695,7421,7713,15138,63,79,139,7542,8074,15615,432,399,829,8031,8552,16580,75,60,140,7249,7921,15173,457,423,879,7784,8401,16187,61,64,124,7064,7831,14899,392,434,827,7510,8328,15845,40,44,87,6912,7726,14645,412,429,840,7364,8197,15565,45,47,89,6574,7187,13762,403,431,832,7017,7660,14677,47,60,108,18426,22789,41208,1430,1866,3295,19904,24713,44617,1212,1267,2477,112118,119021,231137,6747,7085,13840,120081,127382,247459
2008,11,5,15,650,606,1256,37,33,63,693,642,1332,5,10,17,774,713,1491,43,32,69,823,751,1573,8,5,15,779,674,1452,35,25,63,825,707,1531,3,3,7,658,614,1275,27,29,55,688,642,1334,0,4,3,466,450,913,21,15,45,490,467,961,7,0,4,344,370,713,17,15,39,365,390,753,0,3,3,441,531,974,25,28,53,463,559,1028,5,8,9,543,620,1161,42,32,75,592,655,1248,6,5,8,703,795,1493,37,31,70,746,830,1580,3,4,7,747,801,1547,38,41,79,785,846,1635,3,3,4,683,752,1431,36,35,70,717,785,1504,0,0,0,668,660,1329,38,39,75,709,697,1408,3,6,6,548,596,1145,35,23,54,580,628,1205,4,4,10,1421,1445,2873,102,145,246,1535,1592,3125,56,52,107,9425,9624,19049,530,522,1053,10017,10202,20218
2009,23,24,44,505,438,947,22,16,37,555,480,1035,15,23,35,509,492,1002,26,20,40,550,532,1079,14,19,32,479,401,878,24,28,49,511,442,955,10,13,27,455,427,882,24,24,53,495,472,961,3,8,9,443,475,920,23,28,49,467,510,980,9,12,20,482,481,961,32,26,57,520,513,1040,14,9,21,414,481,895,27,20,49,458,514,968,5,4,13,378,418,800,26,16,51,414,447,859,4,10,11,396,474,873,15,28,47,422,510,931,4,7,13,439,450,892,28,17,44,471,477,949,4,7,11,457,520,974,27,26,52,493,548,1039,4,4,16,471,539,1008,26,31,55,507,568,1079,3,6,8,454,495,942,32,50,78,482,549,1034,4,5,7,1364,1768,3132,99,120,214,1464,1890,3354,120,153,275,7248,7853,15104,435,445,873,7806,8448,16250
