SUA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
2000,2494,19504,13963,244295,5616,285875,15,65,18,1000,27,1130,2804,132,204,1302,76,4512,1050,199,71,368,18,1703,7015,2122,1382,4071,180,14774,34332,18470,13909,206695,5653,279060,2161,53,394,73,58,2750,920,180,140,1588,47,2876,6123,2096,1425,20859,517,31016,1670,467,166,1114,64,3485,934,210,93,306,23,1576,2099,160,74,181,29,2540,6864,4421,2822,71287,1465,86861,7745,2421,994,11547,398,23102,195,3,10,17,4,221,213,79,34,171,5,504,378,74,47,155,19,666,2004,553,299,1252,59,4170,1054,196,145,181,22,1590,1796,788,617,406,51,3665,1785,365,198,979,58,3386,586,86,68,279,26,1039,8691,5006,3681,60757,1282,79414,367,59,26,80,13,543,675,125,97,110,14,1022,668,125,73,484,10,1366,385,91,73,97,0,647,317,65,11,52,12,457,584,33,44,28,19,703,1253,374,223,1931,42,3818,12943,2753,2142,6203,424,24464,1141,357,294,7502,50928,60220,91287,36489,26089,471689,63524,689078
2001,121,825,548,6554,98,8149,0,8,0,44,0,51,88,4,9,45,3,150,95,11,5,40,3,154,209,75,43,115,3,442,1240,696,556,5547,101,8144,52,6,6,0,0,64,24,4,4,33,0,66,227,86,48,526,9,896,87,29,15,66,3,201,51,3,4,18,0,84,171,10,9,10,0,196,286,169,138,2116,34,2735,260,114,38,414,11,831,3,0,0,0,0,3,28,6,3,7,0,46,33,12,3,16,0,66,311,91,70,268,12,763,39,3,6,0,0,53,92,40,52,22,0,195,101,28,23,78,0,236,14,3,0,8,0,30,344,153,133,1531,34,2199,55,14,6,5,0,79,40,3,3,0,0,53,42,6,0,27,0,80,11,6,0,0,0,17,9,3,0,3,0,19,49,4,4,0,0,52,46,10,19,43,0,113,595,155,85,222,11,1061,41,15,13,134,983,1184,3859,1500,1065,12681,1241,20345
2002,59,375,282,5440,140,6299,0,0,3,82,3,84,96,11,0,44,3,153,0,0,0,3,0,9,117,43,23,110,4,294,641,365,272,4512,142,5929,80,0,10,0,4,95,6,3,4,33,0,47,106,33,20,427,14,603,16,3,3,17,0,36,9,0,0,5,0,14,83,3,4,8,0,108,93,64,50,1208,37,1457,185,36,27,266,6,522,9,0,0,0,0,9,0,3,3,3,0,10,0,0,0,0,0,0,27,7,0,18,0,44,12,3,10,10,0,34,41,15,13,6,0,71,34,8,3,10,0,63,9,0,0,7,0,7,156,100,73,1137,25,1485,3,0,0,4,0,3,19,5,0,4,0,30,16,0,0,7,0,25,13,0,0,0,0,16,0,0,0,0,0,0,44,0,3,0,0,45,23,8,10,28,0,66,225,66,36,141,8,474,32,4,6,166,1286,1493,1805,690,515,10116,1588,14728
2003,283,2604,1801,34155,722,39561,0,14,8,150,3,174,1166,43,58,345,17,1625,228,47,28,117,4,419,911,454,263,966,26,2612,3464,2492,1833,33186,710,41691,441,21,81,7,10,554,103,27,25,261,3,420,549,281,205,3226,47,4313,192,55,19,237,4,508,98,26,21,61,0,204,1028,38,22,28,7,1127,825,687,469,13612,223,15809,447,277,100,1629,30,2477,44,0,3,3,0,51,29,25,3,54,0,114,36,10,3,18,4,75,135,72,32,177,5,423,79,29,14,29,0,148,171,112,80,75,5,443,205,53,43,206,9,516,106,16,9,48,4,176,990,730,498,9821,143,12178,49,15,4,16,3,92,101,24,6,14,3,151,98,16,19,104,0,239,121,20,19,17,0,171,18,12,0,4,0,35,98,6,15,3,3,117,126,52,36,410,11,631,2398,470,371,1027,47,4318,157,46,22,997,5480,6708,12147,5080,3558,72069,7027,99885
2004,235,2282,1454,34374,701,39044,0,9,0,202,3,212,655,37,47,497,18,1253,58,22,13,55,0,149,398,244,135,514,16,1305,2614,2197,1460,32920,734,39932,330,9,77,20,12,452,72,25,7,251,7,369,410,247,110,3416,63,4252,123,56,22,155,3,367,53,28,9,36,0,126,758,26,20,31,9,841,581,562,304,11859,216,13532,361,245,90,1908,57,2657,53,0,3,4,0,63,39,10,3,27,0,80,22,0,3,19,0,47,76,40,13,105,7,242,123,35,12,31,0,203,134,112,68,81,4,400,106,40,20,127,0,289,66,7,12,47,0,131,725,569,373,8734,151,10547,32,4,4,19,0,57,100,30,7,19,3,162,78,10,11,85,9,193,172,19,9,15,0,219,23,3,3,10,0,41,99,9,10,3,0,122,90,48,24,308,7,473,2569,349,238,920,49,4129,114,39,34,984,5826,7002,9495,4276,2697,70531,7385,94378
2005,20,309,169,4644,117,5265,0,0,0,8,0,10,89,0,0,18,3,109,6,0,0,8,0,17,63,35,12,75,0,193,329,258,183,3909,114,4796,44,3,11,4,3,64,7,3,5,27,0,38,44,21,20,302,10,399,16,5,3,17,0,37,11,0,0,0,0,19,43,0,0,0,0,49,46,69,48,1610,30,1807,93,38,4,197,4,338,11,0,0,0,0,11,3,0,4,7,0,18,0,0,0,0,0,0,11,8,0,16,0,31,36,15,5,0,0,53,28,6,12,3,0,48,10,0,0,10,0,24,3,0,0,7,0,11,94,79,55,1228,22,1480,0,0,0,0,0,0,6,3,0,4,0,6,10,3,5,8,0,20,7,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,17,19,5,4,34,3,56,275,29,21,80,9,418,28,7,9,235,684,957,1180,533,340,9262,936,12250
2006,42,451,345,7988,162,8984,0,3,4,99,4,107,66,4,0,38,0,112,14,7,0,3,0,18,89,40,28,87,0,245,675,390,348,6980,140,8542,86,0,14,4,0,103,14,4,7,51,0,81,96,45,25,668,14,850,17,7,3,31,0,63,18,6,0,8,0,33,73,3,0,3,0,80,135,102,61,2256,33,2580,117,59,21,377,14,587,13,0,0,0,0,13,3,4,0,7,0,14,0,0,0,3,0,3,27,5,0,18,0,49,30,3,3,5,0,48,37,31,10,12,0,85,38,5,5,14,0,69,13,0,0,0,0,13,201,138,75,1829,51,2291,0,0,0,0,0,3,24,0,0,0,0,30,18,5,0,19,0,46,32,0,0,0,0,37,7,0,0,0,0,7,13,3,0,0,0,10,33,4,5,43,0,80,212,65,42,140,4,460,23,10,4,286,1263,1584,1799,825,609,15574,1617,20424
2007,1201,8534,6097,71642,1422,88893,3,21,10,303,15,346,2792,107,187,478,23,3589,2593,343,189,744,42,3913,2837,981,614,2076,77,6586,13446,7961,5778,67141,1480,95816,1382,33,241,50,30,1730,369,100,80,569,10,1119,2649,946,562,6832,152,11150,981,241,87,680,22,2004,623,104,71,244,23,1060,2668,87,43,84,18,2889,3093,2169,1405,26122,387,33167,3980,1190,479,4553,175,10375,176,0,17,9,0,203,189,55,24,105,0,379,1133,154,71,277,18,1655,684,208,120,539,17,1568,346,69,48,52,14,533,625,386,287,133,7,1433,1416,290,183,677,37,2599,416,67,51,119,13,667,3662,2230,1617,20724,404,28635,885,88,62,115,20,1172,460,93,80,65,4,710,614,89,92,263,15,1076,366,37,23,47,4,475,326,61,21,57,4,464,699,24,48,13,8,792,575,204,126,778,19,1702,10528,1538,1148,2830,231,16275,537,137,105,1671,13584,16033,52631,16728,11648,149276,17186,247459
2008,101,880,598,6410,96,8082,0,0,3,7,0,13,91,12,15,56,3,172,80,17,3,27,0,130,150,62,39,124,3,383,1464,733,554,5552,85,8394,24,0,0,0,0,29,44,8,7,54,0,111,248,108,43,570,19,988,75,22,10,59,3,166,43,7,3,9,0,66,52,11,8,8,0,87,351,228,158,2286,38,3067,362,114,59,422,13,966,3,0,0,0,0,10,11,8,0,11,0,27,30,3,3,20,0,58,231,57,38,162,3,494,15,6,13,12,0,41,72,35,27,10,0,148,107,27,15,82,3,235,22,3,6,12,0,45,397,197,142,1719,31,2486,14,0,0,11,0,31,59,8,9,5,0,77,36,3,0,15,0,60,25,15,3,9,0,49,15,4,0,0,0,23,20,4,9,0,0,35,84,19,12,72,0,191,489,141,97,235,8,966,22,9,3,136,953,1113,3780,1562,1062,12630,1177,20218
2009,32,294,234,5898,111,6572,0,3,0,28,0,33,78,3,4,27,0,115,6,3,0,4,0,13,76,32,25,113,0,246,304,295,219,5681,157,6653,88,3,30,3,0,126,6,0,0,56,3,62,78,42,30,1584,25,1761,23,9,0,18,0,53,14,0,0,7,0,21,145,3,0,5,0,150,76,75,37,1535,37,1754,129,36,24,291,10,488,6,0,0,0,0,6,12,0,0,9,0,20,0,0,3,3,0,8,3,10,0,17,0,30,8,0,4,0,0,17,3,7,15,0,0,36,23,6,4,25,0,56,3,0,3,3,0,12,95,68,46,1646,35,1903,0,0,0,0,0,0,10,12,0,0,0,25,9,3,0,8,0,25,20,0,0,0,0,23,29,0,0,0,0,34,3,0,3,0,0,11,10,16,6,53,3,79,259,48,40,90,3,445,18,6,3,237,777,1042,1332,575,421,12845,1080,16250
