SUA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
2000,0,3,5,30,75,173,262,134,33,715,0,14,55,128,35,38,15,8,0,291,44,119,116,1205,152,139,140,75,20,2013,3,13,29,104,44,32,48,30,11,304,3,3,11,58,18,14,12,6,0,114,3,14,21,66,34,11,3,0,0,150,4,48,34,260,152,190,224,143,49,1113,0,11,40,115,200,578,1061,783,312,3093,0,21,31,107,40,34,26,4,5,263,3,10,48,104,19,3,4,3,0,191,0,0,4,46,17,28,17,3,4,119,11,33,91,313,163,114,38,19,8,799,0,3,10,33,75,267,396,130,20,942,0,4,11,44,54,45,49,11,3,213,0,3,24,99,25,14,10,11,5,181,0,7,21,106,3,0,0,0,0,133,3,28,35,207,249,810,1541,661,226,3755,56,365,560,2072,1706,1695,1036,318,78,7890,0,7,8,58,93,127,184,90,23,594,9,14,9,67,17,11,3,3,6,136
2001,0,0,0,0,3,6,14,4,0,29,0,0,0,3,0,0,0,0,0,8,10,11,13,109,9,9,7,0,3,168,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,5,8,7,4,0,45,0,0,0,4,8,20,28,18,3,79,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,0,0,5,0,0,0,3,4,3,3,0,0,19,0,0,0,17,15,28,29,7,10,103,0,0,0,3,0,4,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,23,28,12,6,95,0,20,25,102,57,40,27,10,0,276,0,0,0,3,7,3,14,4,0,23,0,0,0,4,3,0,0,0,0,10
2002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,5,5,48,0,3,4,3,0,72,0,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,3,0,17,0,0,0,3,0,6,16,25,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,3,0,0,16,0,0,0,0,0,3,7,7,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,10,26,25,0,57,0,3,3,41,30,32,16,12,0,140,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6
2003,0,0,0,0,3,9,21,20,7,62,0,9,9,8,11,9,9,0,0,45,15,66,69,580,63,32,26,5,6,860,0,3,9,20,3,4,7,0,0,47,0,3,4,35,3,4,5,0,0,60,0,3,0,18,11,0,0,0,0,32,0,5,12,36,15,12,26,18,8,129,0,0,0,8,16,26,47,45,31,175,0,6,3,41,11,5,3,9,0,81,0,4,3,24,0,0,0,0,0,43,0,0,0,5,3,0,0,0,0,12,0,18,21,64,28,29,7,9,0,180,0,0,0,3,3,18,23,10,0,62,0,0,3,9,0,4,0,0,0,22,0,0,3,9,3,0,3,3,0,18,0,0,3,27,3,0,0,0,0,36,3,3,3,12,17,88,218,147,32,525,8,49,77,222,142,127,73,37,13,749,0,0,3,3,14,12,17,16,5,65,0,9,9,46,4,3,0,0,0,65
2004,0,0,0,0,9,6,6,17,4,46,0,0,4,18,4,5,8,0,0,43,20,50,58,449,42,27,18,9,4,675,0,0,10,20,18,5,3,0,0,61,5,19,5,12,7,0,0,0,0,47,0,0,6,11,0,3,3,0,0,22,0,6,6,36,16,13,21,13,6,118,0,0,4,6,13,23,29,23,20,121,0,8,7,10,3,3,0,0,0,30,0,5,6,31,3,3,0,0,0,51,0,0,0,8,4,3,0,0,0,17,0,5,21,52,30,18,14,3,0,150,0,0,0,0,0,10,8,6,3,26,0,3,0,21,7,0,0,0,0,34,0,17,72,223,64,34,19,11,0,448,3,3,0,29,0,0,0,0,0,37,0,0,3,14,9,42,66,42,16,183,7,24,54,216,109,115,60,19,8,610,0,0,0,6,12,12,13,10,3,46,0,10,7,41,3,0,0,0,0,61
2005,0,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,4,3,3,0,29,0,4,0,0,0,37,0,0,0,4,0,0,0,0,0,4,0,3,3,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,17,15,10,49,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,3,0,8,12,11,3,37,0,16,15,39,17,18,11,5,3,123,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,10
2006,0,0,0,0,0,0,3,0,0,7,0,0,0,4,0,3,0,0,0,11,8,0,3,54,0,0,0,3,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,12,3,9,8,5,3,40,0,0,0,4,0,5,14,15,4,44,0,0,0,6,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,3,0,0,0,12,0,0,0,0,0,3,11,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,7,29,7,6,59,0,7,16,59,39,33,18,12,5,196,0,0,0,0,0,0,8,0,0,13,0,0,0,3,0,0,0,0,0,7
2007,0,3,7,9,47,66,135,99,39,411,3,21,60,62,19,19,16,3,0,207,50,134,373,1491,108,85,59,27,21,2352,3,11,36,101,40,14,21,11,3,240,5,73,72,210,53,27,16,3,3,463,18,42,15,107,32,12,5,0,0,229,6,47,23,169,100,86,74,57,30,592,3,13,21,72,133,271,465,449,209,1642,5,17,14,80,26,8,3,3,3,164,0,23,26,94,9,7,0,0,0,157,3,3,3,33,24,27,7,6,0,102,3,22,79,211,81,81,27,14,3,522,0,0,0,4,8,76,132,40,4,270,0,9,13,41,21,6,3,4,0,91,3,13,79,161,50,31,29,5,3,376,0,7,19,74,4,0,0,0,0,104,0,14,17,53,58,238,565,322,153,1428,28,135,240,889,454,369,209,70,22,2414,0,9,6,43,64,95,108,68,15,413,16,69,81,198,19,11,7,4,0,401
2008,0,0,0,3,0,8,3,3,0,18,0,0,3,0,0,0,0,0,0,12,0,0,0,16,5,10,0,3,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,25,16,10,8,4,4,68,0,0,0,3,18,34,32,16,4,109,0,0,0,3,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,3,8,3,3,4,0,0,28,0,0,0,3,0,39,32,6,0,88,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,25,3,3,56,3,22,6,91,73,46,15,7,4,261,0,0,0,4,8,4,15,4,0,33,0,0,0,3,0,0,0,0,0,3
2009,0,0,0,0,3,3,4,0,0,13,0,0,0,0,0,0,0,0,0,4,3,18,4,78,9,4,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,13,0,0,0,4,3,3,13,15,12,53,0,0,0,3,3,0,0,0,0,6,0,0,3,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,0,0,0,25,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,7,16,11,0,33,0,4,13,26,9,11,6,3,0,73,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6
