SUA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
2000,8429,1107,957,1141,1572,2606,1550,585,154,18099,4265,804,379,469,746,1337,1117,379,146,9654,1449,1532,1517,1627,2369,3829,4137,1896,550,18904,758,951,1092,1520,2410,4265,9310,5655,1475,27432,1056,1250,1335,1698,2697,4263,7255,3850,1405,24807,947,1834,1741,1866,2803,4087,5058,2222,671,21223,464,2367,2999,2863,3844,4480,3489,1510,410,22420,253,2241,4371,4228,5377,5742,2970,866,287,26329,113,1421,4684,4892,5885,5645,2435,703,235,26029,30,548,2966,3569,4104,3593,1295,297,78,16478,7,257,2026,3069,3563,2950,807,206,73,12959,10,94,1183,2186,2659,1968,537,107,53,8783,11,68,1267,2752,3510,2607,667,183,50,11120,18,74,451,1283,1822,1643,725,256,80,6350,3095,1712,3798,4164,5217,5593,5388,3189,1359,33517,20912,16255,30767,37337,48576,54607,46732,21903,7026,284107,7308,971,2124,2478,3158,5100,1863,571,257,23846,5139,989,1362,1672,1712,2408,1248,420,164,15112,1763,1878,2817,3172,3603,5604,4565,1926,647,25980,746,1392,2497,3256,3998,6013,10224,5150,1727,35014
2001,325,59,27,21,41,64,40,15,4,594,133,42,6,19,11,9,27,7,0,254,36,50,49,44,40,61,92,27,6,405,36,37,31,37,42,63,194,95,26,553,38,51,37,48,49,68,111,60,19,484,33,62,56,46,60,61,101,24,10,455,13,74,98,74,90,72,63,24,7,509,12,96,153,127,140,105,51,19,5,713,8,54,227,165,176,139,52,18,0,831,0,19,163,163,147,110,31,3,4,648,0,17,113,140,143,85,15,3,0,523,0,4,80,142,103,73,10,0,0,412,0,7,85,171,176,103,12,0,0,552,3,0,22,42,60,36,9,4,0,174,65,47,80,99,97,92,102,53,25,653,692,625,1233,1332,1373,1139,914,348,116,7773,265,60,106,132,126,173,56,13,6,940,199,35,54,60,41,50,25,9,3,488,69,74,103,88,87,108,99,32,8,677,15,66,96,93,103,130,228,103,30,864
2002,159,16,20,11,22,34,27,11,3,302,87,10,7,13,10,12,20,7,3,174,37,33,39,48,39,72,78,40,10,397,18,25,26,30,36,62,170,134,47,539,17,38,45,45,49,56,127,84,22,478,17,46,48,32,51,71,101,56,20,440,10,68,91,76,69,89,77,42,7,530,0,56,141,91,114,94,58,33,6,598,0,37,124,96,81,102,48,23,5,525,0,11,64,69,56,63,26,6,0,294,0,0,39,53,51,50,9,3,0,217,0,0,22,29,34,21,11,0,0,118,0,0,30,37,61,32,6,6,0,168,0,3,16,19,31,28,8,4,0,110,64,52,96,73,81,95,118,90,44,718,428,390,809,732,773,877,878,532,183,5605,120,17,48,30,44,61,34,13,5,363,112,18,29,27,26,33,27,10,3,276,45,47,56,73,73,120,88,44,16,563,21,36,61,64,66,114,219,150,28,750
2003,1417,337,194,145,163,207,113,39,14,2628,725,207,65,49,66,97,94,38,9,1350,351,627,408,229,243,318,327,188,58,2744,103,279,277,217,298,413,894,642,202,3314,172,315,267,258,344,452,666,432,151,3051,118,400,352,261,287,416,487,232,73,2626,50,433,631,442,432,449,420,171,44,3063,27,424,958,624,613,557,292,94,33,3623,6,234,968,784,725,601,284,61,28,3687,7,80,666,570,571,392,126,42,13,2460,0,34,445,577,483,355,78,24,4,1994,0,20,274,404,390,255,47,15,3,1404,0,12,299,515,552,368,65,17,0,1833,3,12,98,282,358,234,76,26,3,1073,342,301,466,432,435,409,444,303,156,3287,3311,3709,6368,5789,5950,5514,4406,2315,786,38144,1137,237,374,353,320,529,200,77,22,3245,910,236,228,219,197,212,167,62,29,2252,454,675,527,414,395,619,463,239,118,3906,145,435,460,443,496,650,1144,726,247,4734
2004,1234,230,131,122,118,171,101,34,16,2161,699,185,73,56,67,117,87,33,9,1331,293,496,300,228,239,331,328,181,66,2449,135,233,233,235,247,375,791,621,166,3035,124,251,260,233,318,385,626,392,132,2712,101,398,335,294,292,378,504,238,83,2618,60,469,639,432,435,503,357,194,76,3161,20,418,901,633,586,599,314,131,44,3647,4,248,930,649,646,595,252,82,35,3443,0,118,616,554,529,394,118,20,10,2360,0,38,436,512,490,341,93,16,14,1938,0,22,268,338,349,233,49,12,4,1272,3,19,318,492,497,317,64,22,6,1740,4,11,78,197,224,186,63,20,7,792,345,269,480,387,467,475,442,356,226,3440,3016,3395,6001,5358,5513,5384,4192,2352,886,36093,999,195,301,325,286,464,152,67,37,2828,864,249,224,191,173,228,114,35,25,2105,406,585,489,401,393,549,459,232,96,3615,132,385,439,432,498,635,1021,702,238,4479
2005,120,22,18,12,14,16,15,5,0,232,99,13,5,11,4,15,13,4,0,178,25,24,27,22,41,40,47,35,11,281,8,8,41,27,50,67,117,110,38,467,22,20,27,35,28,47,121,62,31,397,22,44,36,43,37,60,59,46,18,366,15,67,79,53,62,72,61,27,7,448,13,91,166,99,91,80,35,14,7,590,0,42,131,113,114,98,33,9,7,553,0,11,71,86,66,56,21,3,4,323,0,5,38,45,53,42,5,0,0,199,0,0,16,47,28,37,6,5,0,139,0,0,24,27,29,34,11,0,0,130,0,0,6,18,23,9,5,3,0,73,42,28,67,52,64,74,61,41,20,454,374,391,753,687,724,747,612,380,154,4817,108,15,29,29,27,66,20,6,4,312,101,15,21,32,15,47,22,9,5,263,33,39,59,56,45,90,75,51,15,459,14,33,69,61,76,95,160,102,89,692
2006,204,24,23,29,22,41,41,20,3,409,187,15,11,9,10,22,24,3,5,285,41,31,37,36,42,76,116,60,14,453,28,18,18,31,46,95,274,199,37,743,46,38,39,40,52,90,201,120,34,657,42,49,38,50,58,100,163,80,32,620,16,90,122,82,88,115,106,53,18,689,5,81,176,126,151,170,91,31,8,833,0,46,167,157,167,160,73,24,3,797,0,17,112,113,106,92,21,12,0,472,0,3,66,102,132,70,17,8,0,388,0,4,50,67,104,46,19,0,0,294,0,3,52,103,92,54,11,0,3,316,0,0,11,44,44,45,19,5,5,174,59,51,78,89,97,115,160,125,66,851,624,460,1009,1064,1217,1295,1332,741,226,7977,180,24,50,52,52,125,54,17,7,562,196,15,36,32,38,50,25,5,3,396,53,48,67,78,73,134,133,74,16,681,19,38,79,87,94,146,356,196,53,1083
2007,3419,731,492,333,407,607,362,141,81,6575,1904,582,185,149,181,275,224,111,34,3653,699,1106,687,484,551,850,957,572,186,6089,285,653,531,485,572,942,2061,1599,503,7630,302,761,648,474,692,843,1559,971,440,6693,227,925,801,579,630,943,1333,666,210,6310,104,942,1361,905,941,1059,970,439,173,6894,60,859,1981,1479,1506,1471,821,282,82,8540,15,566,2286,1981,1797,1628,756,206,65,9303,8,228,1718,1598,1381,1073,381,80,31,6508,6,110,1309,1580,1397,988,270,62,17,5743,3,45,784,1230,1121,737,156,34,20,4134,3,21,865,1899,1749,1158,270,57,23,6047,6,31,288,933,1079,702,223,71,25,3351,749,718,1424,1343,1285,1112,1131,776,472,9015,7795,8284,15369,15448,15298,14383,11474,6063,2361,96484,2861,543,1183,1221,1081,1584,587,225,192,9463,2305,619,544,685,512,652,403,145,57,5932,901,1276,1128,1079,1077,1480,1373,660,240,9204,334,853,995,1102,1216,1600,2582,1815,643,11135
2008,331,37,15,37,40,47,43,17,0,573,164,48,15,4,6,18,27,7,3,289,46,52,26,12,22,52,73,35,10,330,20,33,13,14,16,37,121,76,20,360,21,32,19,21,27,46,135,71,21,384,21,59,26,31,51,55,113,46,18,410,17,60,42,56,60,87,87,23,4,441,7,56,84,76,106,101,82,20,7,541,0,45,125,141,155,133,90,25,3,713,3,13,112,121,133,98,56,12,3,544,0,9,107,149,158,141,34,3,0,612,0,5,56,135,124,92,19,4,0,443,0,3,99,268,277,174,39,6,3,868,0,3,35,174,222,117,28,4,0,590,63,29,50,95,100,89,81,47,14,571,688,490,828,1335,1506,1288,1026,393,112,7677,300,35,86,154,105,169,82,23,3,961,177,57,37,49,61,55,41,8,0,494,66,74,56,87,86,109,93,48,10,630,17,48,36,78,105,77,172,69,19,617
2009,176,20,20,17,19,29,21,14,0,319,130,18,4,10,13,16,15,3,3,221,36,39,40,30,35,55,65,35,15,349,18,25,33,25,39,60,133,114,51,500,35,39,32,49,65,79,99,78,40,513,30,67,56,47,41,66,102,82,22,515,14,99,135,73,85,96,64,46,10,619,3,82,186,109,116,169,72,22,6,768,0,39,157,120,150,120,41,11,3,638,0,9,96,90,90,61,29,9,0,396,0,8,49,77,69,56,17,4,0,281,0,0,35,48,59,48,12,5,0,207,0,0,46,61,71,44,11,8,0,248,0,4,6,26,26,30,11,3,3,108,45,23,83,65,73,64,73,67,23,513,495,467,981,836,964,989,773,500,183,6190,138,25,45,48,35,83,27,8,3,415,152,22,30,38,37,44,21,7,7,354,62,52,70,64,58,84,88,48,26,550,29,38,82,77,81,121,191,148,64,835
