SUA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
2000,8887,1567,162,85,7249,2961,20912,5989,2626,433,201,5254,1759,16255,9411,8296,2001,1035,6127,3886,30767,9921,12054,3671,1827,5507,4353,37337,12580,15421,4373,2227,8590,5384,48576,12604,16302,5497,3098,11378,5729,54607,7051,11202,6063,4571,11786,6064,46732,2529,4047,2474,2175,6660,4008,21903,730,927,501,483,2827,1554,7026,69695,72447,25170,15695,65382,35709,284107,8668,2095,298,127,5253,2601,19036,4634,3621,1013,989,2677,1324,14256,4585,8849,5020,7402,2798,2670,31319,3185,11503,8824,9865,2395,3222,38999,4815,17152,11416,8137,4199,4178,49901,4897,16176,12232,9556,6429,5015,54307,2585,8619,9479,10066,8022,5508,44278,1491,3265,3193,3992,6284,4365,22601,870,1153,752,721,4916,2459,10880,35737,72429,52233,50860,42970,31339,285568,17559,3664,455,213,12503,5560,39948,10626,6240,1438,1186,7931,3085,30512,14003,17142,7022,8439,8926,6554,62085,13101,23558,12499,11693,7902,7575,76335,17392,32571,15788,10356,12793,9568,98475,17501,32478,17733,12659,17803,10743,108918,9632,19823,15543,14638,19807,11574,91011,4022,7316,5667,6167,12949,8374,44497,1602,2074,1257,1204
2001,296,47,7,3,293,51,692,204,89,16,3,278,35,625,456,326,76,21,284,71,1233,417,440,117,37,235,87,1332,384,442,114,47,293,98,1373,300,345,105,35,266,88,1139,141,212,107,61,295,89,914,41,70,48,22,106,54,348,16,11,13,0,49,20,116,2259,1983,607,232,2082,599,7773,333,64,9,3,194,45,651,215,127,34,32,147,27,582,235,407,188,256,139,65,1293,155,442,316,353,102,83,1454,134,511,321,249,133,81,1423,120,390,263,210,174,75,1235,65,220,192,196,205,112,990,38,74,62,59,136,82,451,22,21,12,14,114,33,216,1308,2258,1408,1372,1352,612,8307,632,108,15,3,485,92,1342,423,214,49,34,419,65,1208,689,740,264,273,421,140,2530,569,888,439,387,336,169,2787,515,949,430,296,425,184,2802,422,733,374,242,443,165,2377,206,429,304,263,502,202,1903,82,145,111,83,241,139,795,42,32,24,17
2002,173,23,3,5,146,71,428,140,70,13,3,116,49,390,253,226,56,25,152,96,809,195,214,80,40,115,81,732,205,230,79,42,152,74,773,213,260,73,46,187,95,877,121,224,108,65,232,131,878,63,108,57,40,165,93,532,12,20,19,15,74,43,183,1377,1378,488,284,1333,745,5605,165,49,4,3,127,69,409,123,108,24,33,73,59,425,110,214,107,209,100,85,821,74,242,151,187,62,71,788,90,320,230,161,107,87,987,98,300,215,169,148,116,1036,61,191,193,183,208,129,971,38,106,92,88,185,175,683,29,23,22,27,175,111,383,777,1555,1038,1060,1175,890,6498,334,76,10,10,271,144,838,266,184,39,38,185,107,822,370,438,156,237,253,177,1628,268,459,231,229,176,156,1518,293,545,308,198,260,166,1767,308,555,288,212,333,209,1908,178,414,300,253,437,261,1851,98,214,150,133,352,268,1212,43,40,41,35
2003,1425,212,18,15,1361,285,3311,1417,635,87,46,1227,296,3709,2252,1864,393,150,1245,458,6368,1762,1991,508,232,896,397,5789,1719,1965,470,233,1122,430,5950,1365,1758,494,224,1268,405,5514,739,1160,499,308,1201,486,4406,266,463,257,197,773,356,2315,75,111,53,42,361,144,786,11020,10165,2786,1456,9457,3259,38144,1464,325,45,40,1050,274,3191,1309,1044,237,181,753,270,3783,1281,2067,940,1278,631,432,6622,657,1990,1469,1375,502,378,6369,716,2383,1430,1004,705,435,6676,589,2041,1349,941,885,468,6281,304,1070,1042,1049,1081,528,5080,225,465,448,444,945,535,3059,140,227,91,95,775,254,1589,6686,11610,7056,6400,7324,3575,42647,2893,537,60,55,2409,560,6504,2717,1688,324,225,1975,564,7489,3531,3928,1330,1423,1876,893,12991,2422,3987,1981,1600,1395,779,12161,2435,4350,1904,1241,1827,864,12626,1955,3801,1839,1167,2153,873,11787,1044,2230,1547,1365,2284,1013,9477,489,925,707,637,1719,895,5375,220,338,150,137
2004,1230,217,24,10,1234,299,3016,1358,624,93,26,1048,246,3395,2094,1818,353,157,1121,454,6001,1553,1880,513,202,826,385,5358,1582,1779,429,213,1055,453,5513,1350,1698,495,222,1159,464,5384,680,1078,513,354,1087,477,4192,296,476,257,215,704,402,2352,97,108,58,52,360,208,886,10239,9679,2734,1459,8607,3389,36093,1340,336,57,27,940,309,3002,1247,1012,226,167,677,244,3572,1172,2061,948,1192,615,433,6419,587,1860,1281,1322,442,394,5884,759,2103,1271,850,632,418,6039,629,1932,1319,897,792,451,6022,274,933,965,1031,971,508,4688,202,442,385,455,855,552,2891,129,183,109,93,718,400,1632,6344,10859,6562,6028,6644,3713,40147,2567,552,74,42,2173,608,6023,2603,1642,313,193,1731,483,6970,3269,3880,1303,1351,1736,882,12416,2139,3738,1794,1517,1265,782,11241,2340,3878,1703,1058,1689,873,11552,1981,3624,1815,1121,1949,916,11405,958,2013,1476,1385,2058,984,8880,497,919,638,671,1567,953,5240,224,285,169,147
2005,152,33,0,0,152,35,374,138,76,10,5,125,34,391,239,194,26,22,195,71,753,207,212,63,20,136,53,687,194,222,56,24,172,58,724,170,223,91,30,172,57,747,88,149,65,45,182,85,612,43,56,41,43,127,74,380,19,10,9,7,77,30,154,1256,1170,359,197,1340,498,4817,154,32,0,6,114,33,345,104,93,28,27,79,31,363,106,217,87,151,68,44,678,61,184,151,150,55,36,628,71,257,194,125,91,62,794,61,251,191,144,135,78,860,41,146,120,123,178,91,706,23,88,67,81,168,112,540,25,39,14,10,153,57,303,661,1301,845,817,1042,543,5219,308,63,0,6,267,72,713,241,167,38,29,207,60,745,348,412,113,175,262,121,1432,270,393,206,172,194,83,1315,265,476,245,147,264,118,1515,234,470,283,174,304,135,1606,133,294,184,168,366,179,1318,68,143,107,122,290,186,914,45,51,23,19
2006,270,45,3,3,244,61,624,176,69,8,3,155,48,460,346,292,60,24,207,73,1009,309,370,85,40,171,95,1064,357,415,88,27,224,98,1217,327,378,111,48,299,133,1295,219,323,146,102,387,158,1332,94,110,78,65,267,136,741,18,30,12,4,113,54,226,2119,2031,588,318,2070,858,7977,284,58,12,3,173,67,601,133,135,35,34,93,42,474,206,365,173,216,110,93,1166,110,396,244,247,74,79,1153,170,488,301,163,127,95,1350,137,471,282,199,214,123,1428,94,245,271,272,345,158,1382,57,119,93,114,301,172,858,21,38,20,16,214,86,393,1219,2315,1427,1263,1654,924,8794,557,104,17,3,419,133,1223,312,208,36,41,244,94,937,554,660,233,240,314,175,2176,427,760,327,290,244,166,2219,528,908,395,188,352,199,2565,459,845,386,251,518,260,2726,315,564,415,369,730,318,2713,147,229,169,175,567,306,1601,40,72,30,29
2007,3270,459,63,25,3332,637,7795,3255,1224,163,56,2923,659,8284,5649,4055,757,302,3203,1400,15369,4820,5217,1301,498,2362,1251,15448,4521,5076,1270,496,2725,1207,15298,3637,4613,1363,574,3117,1081,14383,1987,3140,1424,798,2980,1147,11474,790,1284,725,521,1883,850,6063,242,351,164,135,1018,450,2361,28173,25430,7233,3417,23549,8676,96484,3586,773,86,39,2494,587,7552,3081,1891,419,275,1704,542,7907,3459,5015,2165,2681,1748,973,16036,1773,5015,3655,3847,1094,885,16268,1861,5959,3782,2495,1629,1008,16730,1784,5058,3463,2317,2153,1088,15858,893,2726,2780,2659,2588,1212,12862,542,1219,1203,1170,2313,1205,7644,352,500,297,232,2031,794,4203,17330,28146,17852,15704,17753,8291,105074,6856,1236,148,64,5825,1224,15347,6331,3111,585,334,4625,1194,16188,9106,9067,2918,2987,4957,2375,31402,6599,10231,4957,4347,3455,2130,31719,6385,11035,5051,2996,4357,2214,32028,5423,9670,4828,2888,5271,2170,30243,2879,5868,4209,3453,5573,2361,24339,1332,2509,1929,1689,4196,2056,13708,597,851,462,364
2008,357,37,3,3,235,50,688,205,72,9,3,180,20,490,296,261,44,20,155,51,828,388,561,126,45,126,89,1335,458,565,147,45,195,93,1506,317,448,164,74,197,87,1288,168,297,163,109,211,75,1026,58,78,48,46,103,62,393,11,23,4,16,48,18,112,2252,2355,720,353,1445,545,7677,359,41,9,0,178,58,642,221,97,16,9,107,22,467,186,279,142,212,77,53,953,127,450,351,425,53,90,1488,143,604,428,278,89,87,1632,112,440,335,245,120,79,1327,61,214,252,272,142,92,1034,23,65,63,64,86,69,372,14,21,18,12,79,52,193,1244,2210,1601,1512,931,598,8100,709,78,13,3,416,109,1334,426,171,24,15,289,50,961,484,545,185,236,231,100,1783,514,1014,479,469,175,180,2826,605,1174,578,326,283,174,3138,432,889,501,312,315,165,2608,228,510,421,383,354,169,2060,81,149,111,103,194,131,762,30,40,17,21
2009,233,23,0,0,186,40,495,163,89,8,8,177,30,467,306,304,66,35,184,84,981,254,273,75,34,137,62,836,274,308,84,32,195,71,964,276,321,87,33,204,71,989,135,179,96,61,214,85,773,69,101,67,30,157,80,500,28,19,15,10,77,39,183,1739,1623,501,247,1532,550,6190,221,55,4,0,144,40,472,145,144,39,32,108,34,510,187,309,168,190,114,57,1028,75,288,217,236,89,55,954,96,368,260,131,114,53,1025,102,341,229,173,175,100,1120,56,167,196,175,192,103,896,49,92,104,91,203,105,647,28,53,38,32,158,49,356,961,1821,1257,1059,1300,600,7000,455,84,11,0,329,84,961,305,230,51,40,281,65,980,494,620,231,223,304,140,2010,330,562,293,264,230,118,1788,370,677,347,166,306,119,1983,377,663,313,213,374,166,2110,190,346,296,237,406,188,1665,120,194,168,122,363,180,1144,54,74,54,43
