SUA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2000,1148,1215,783,503,650,199,49,4547,1321,1567,930,604,850,224,70,5559,1438,1560,871,560,780,182,63,5456,23529,26746,15907,10080,13618,3464,897,94242,166,205,138,104,78,12,6,707,27606,31285,18631,11856,15981,4077,1080,110520,89,159,121,94,141,52,8,660,297,518,304,252,339,89,28,1819,135,294,201,130,232,64,30,1080,3947,5726,3779,2742,3614,829,212,20848,209,241,141,116,96,21,9,836,4679,6935,4550,3328,4423,1049,283,25246,32283,38219,23180,15181,20412,5128,1368,135768
2001,69,85,32,20,46,21,9,278,94,91,52,22,44,17,6,326,79,72,42,20,29,17,12,270,883,910,455,291,429,157,55,3176,3,0,0,3,4,4,0,18,1121,1159,585,355,544,215,80,4070,5,8,10,5,7,0,0,38,24,41,19,14,18,0,8,117,7,11,8,4,12,4,3,55,172,224,139,102,113,53,18,811,3,13,10,0,0,5,0,36,208,293,180,125,154,61,28,1051,1330,1456,767,481,704,277,106,5123
2002,41,38,14,10,15,3,0,131,22,19,23,4,7,4,0,81,25,21,6,7,7,3,0,74,523,489,289,185,249,51,8,1783,6,7,3,3,0,0,0,24,627,576,332,213,278,60,8,2094,7,0,4,0,3,0,0,8,16,19,12,7,5,3,0,58,3,15,5,4,6,3,0,37,138,177,99,80,128,21,3,646,12,6,13,0,4,0,0,33,173,214,123,93,147,23,3,783,795,790,458,307,421,87,14,2869
2003,421,337,184,104,129,59,22,1253,229,238,129,82,123,30,7,845,247,210,108,76,87,33,9,767,3973,3822,2083,1254,1702,594,237,13665,26,20,17,11,11,0,0,86,4892,4626,2516,1529,2063,723,274,16614,32,59,38,31,36,11,9,215,69,82,50,49,60,17,9,330,17,47,27,18,30,12,8,158,927,1237,793,500,737,228,68,4487,45,38,23,16,14,0,0,144,1093,1465,931,618,875,267,90,5336,5983,6098,3448,2143,2941,985,362,21952
2004,400,322,174,109,156,59,16,1238,179,176,107,69,79,33,11,652,184,166,66,44,68,20,6,557,3815,3625,1937,1305,1685,545,165,13090,12,14,14,10,3,0,0,59,4597,4302,2301,1540,1999,658,202,15597,27,38,24,21,34,16,9,166,54,70,50,40,57,15,11,298,22,49,43,24,31,7,0,168,956,1252,761,522,707,217,87,4498,40,37,18,14,13,3,0,116,1098,1436,898,614,841,259,104,5249,5697,5742,3201,2154,2835,914,304,20846
2005,42,32,20,13,7,0,0,116,30,18,8,0,7,4,0,69,16,17,5,4,4,0,0,46,457,492,261,174,239,51,10,1685,3,3,0,0,0,0,0,8,541,559,301,194,258,57,11,1924,5,9,5,0,5,0,0,20,3,6,7,3,3,0,0,23,11,7,10,4,3,0,0,28,140,127,93,69,86,14,0,527,9,0,3,0,5,0,0,18,165,154,113,72,101,19,3,623,707,714,406,269,359,70,15,2545
2006,33,32,17,6,13,3,0,107,38,30,23,18,12,6,0,126,29,37,13,6,10,5,0,101,756,819,472,350,455,103,21,2980,9,3,4,4,0,0,0,20,864,924,529,385,492,117,23,3337,0,5,9,3,4,0,0,15,12,10,10,8,9,5,0,43,6,5,5,3,5,0,0,26,174,201,139,79,133,28,3,757,5,3,4,3,0,0,0,18,198,226,163,87,149,29,3,855,1059,1151,693,471,637,148,20,4196
2007,1271,1135,608,444,588,315,158,4516,907,876,506,365,476,205,88,3419,883,830,398,255,319,153,78,2926,9270,8897,4819,3007,3973,1698,694,32354,64,56,25,24,9,6,3,187,12401,11789,6355,4090,5368,2377,1018,43396,110,173,128,94,188,108,45,865,214,257,168,125,175,67,39,1049,104,151,91,67,118,43,29,598,1546,2150,1407,1066,1445,485,202,8314,85,97,66,34,46,16,5,354,2066,2835,1865,1392,1978,717,328,11175,14460,14628,8220,5484,7346,3093,1347,54577
2008,52,66,39,23,43,24,7,260,87,137,80,37,52,32,16,436,84,84,69,33,46,29,11,358,955,1054,635,359,468,212,88,3765,9,7,3,7,0,0,0,23,1180,1344,826,459,616,292,125,4843,0,9,5,6,7,5,0,30,9,15,7,10,17,6,3,75,4,9,12,10,8,6,0,40,57,93,80,55,97,37,19,438,3,7,3,0,3,0,0,15,72,141,104,84,136,56,21,605,1248,1484,929,539,746,344,149,5448
2009,62,47,33,18,16,3,0,188,23,27,12,12,10,3,0,80,36,30,13,6,10,0,0,95,643,653,356,215,301,53,7,2238,4,5,0,0,4,0,0,18,770,762,418,251,338,59,12,2617,3,3,0,0,5,0,0,11,10,9,7,6,10,3,0,38,6,8,4,3,4,0,0,22,168,228,116,85,102,30,4,733,6,5,6,3,0,0,0,32,187,257,129,97,118,35,3,832,961,1017,553,353,462,100,15,3446
2010,88703,75836,38838,24041,34742,24962,13660,300775,20972,20102,10946,6543,9112,5126,2688,75486,20555,17946,8981,5485,7536,4271,2249,67028,100535,99421,55722,34673,46046,24322,11890,372606,1178,1125,597,328,346,166,86,3821,231942,214426,115078,71066,97784,58844,30573,819714,7346,10376,7246,5543,8877,6231,3842,49463,2987,4312,2918,2117,3082,1630,858,17899,1898,2892,1966,1382,2107,1149,673,12057,12664,18466,12665,9095,12671,5933,3027,74518,1285,1263,743,555,505,239,121,4711,26177,37315,25541,18678,27235,15181,8525,158651,258121,251739,140621,89741,125019,74020,39094,978362
2011,1051,1011,495,297,357,175,71,3452,261,216,109,51,84,35,22,793,288,218,104,62,84,28,11,797,2151,1789,895,550,675,232,82,6376,25,33,19,14,3,0,3,97,3779,3269,1615,969,1201,485,194,11519,204,237,142,87,129,49,34,886,90,95,60,35,68,23,12,380,41,60,38,18,37,12,8,214,698,789,422,230,318,98,29,2587,69,60,26,15,12,3,0,183,1098,1243,692,396,568,184,85,4261,4878,4510,2309,1365,1766,671,282,15773
2012,229,227,141,79,126,38,9,842,85,82,39,28,63,13,0,309,96,79,41,17,36,14,3,284,1835,1858,1076,661,936,213,50,6642,23,19,13,6,7,0,0,62,2276,2262,1306,790,1158,276,65,8139,21,42,25,25,34,6,3,150,22,36,22,18,27,0,0,128,29,25,14,10,12,3,0,91,521,639,370,247,341,89,16,2226,25,27,21,10,5,3,0,101,619,772,451,316,417,102,20,2705,2900,3036,1756,1102,1582,383,88,10845
2013,16,26,16,13,15,6,9,98,22,33,21,5,13,5,0,93,24,21,15,15,18,3,3,101,495,453,274,196,249,86,32,1785,3,6,7,3,0,0,0,17,565,540,327,230,294,96,42,2095,12,15,6,3,14,5,0,53,18,29,3,0,3,0,0,52,0,7,11,5,12,7,0,42,205,239,142,109,139,29,3,870,12,8,8,3,3,0,0,41,244,299,168,133,166,39,7,1059,812,832,496,365,461,135,49,3149
2014,16,16,9,8,18,4,3,72,13,15,7,10,8,0,0,55,13,21,8,4,5,3,0,50,395,340,218,166,197,35,8,1357,4,0,0,0,0,0,0,7,438,394,244,187,224,43,10,1539,4,3,0,3,0,0,0,10,6,3,6,0,7,3,0,25,0,3,5,4,0,0,0,14,94,116,75,61,88,16,4,459,3,3,3,0,3,0,0,11,111,127,90,63,98,17,3,515,548,521,333,248,324,65,13,2056
2015,70,58,33,22,27,10,0,223,38,47,25,15,17,3,0,144,44,37,17,16,13,3,0,123,578,546,286,189,244,59,11,1914,9,0,0,5,3,0,0,19,738,684,362,238,312,73,18,2426,8,3,7,8,3,0,0,34,9,16,6,4,15,8,0,60,10,10,6,3,6,0,0,34,133,180,93,82,115,30,0,627,7,4,0,5,4,0,0,21,164,210,115,98,146,38,0,775,902,890,477,342,461,116,15,3196
2016,719,642,321,197,307,106,31,2340,91,77,39,26,40,7,3,292,95,108,52,33,35,17,4,337,1482,1576,864,550,872,204,39,5594,18,17,6,8,10,0,3,67,2412,2418,1288,815,1272,341,82,8627,67,61,52,45,52,30,16,318,37,40,28,18,26,10,0,158,15,30,18,4,16,3,0,92,477,592,362,255,372,74,22,2146,26,33,26,21,6,0,0,107,622,754,477,342,475,112,36,2830,3034,3179,1767,1155,1746,456,115,11457
2017,86,53,27,13,32,9,4,220,5,4,3,0,8,0,0,26,29,18,6,0,0,0,0,55,423,359,187,160,196,35,9,1369,3,6,0,5,0,0,0,17,544,442,222,177,239,44,12,1683,7,11,6,4,7,3,0,37,7,6,0,0,5,0,0,24,0,3,0,3,4,0,0,12,103,123,78,65,69,14,3,458,14,3,7,0,7,0,0,23,131,148,87,77,90,21,4,562,675,583,312,256,330,70,22,2243
2018,173,156,95,49,62,24,15,571,54,66,47,32,32,14,4,246,53,53,28,21,35,15,7,208,1450,1401,752,496,605,186,48,4932,9,16,8,5,9,0,0,43,1741,1690,925,599,741,230,67,5999,29,40,26,24,32,11,4,161,25,26,25,15,15,3,3,121,10,23,13,20,23,5,3,100,480,560,324,247,300,73,21,2010,35,26,16,8,6,0,0,94,577,673,404,320,377,97,30,2483,2319,2359,1336,917,1119,327,100,8482
2019,36,26,21,7,8,3,0,106,31,31,16,14,13,3,0,110,33,35,10,11,15,3,0,111,673,708,421,270,341,86,18,2504,10,4,3,0,3,0,0,24,788,810,466,302,373,101,19,2856,9,7,12,5,6,0,0,42,6,13,10,9,10,0,0,58,3,3,6,8,0,0,0,18,170,247,139,107,135,31,6,841,11,5,10,3,9,0,0,38,196,284,172,135,166,37,7,999,982,1091,639,434,538,136,29,3854
2020,88,96,50,40,47,23,9,354,104,113,60,34,56,19,3,398,78,102,58,36,52,26,3,348,1427,1498,770,498,671,246,71,5173,0,3,3,3,0,0,0,14,1702,1815,935,614,830,309,81,6290,9,17,12,4,27,8,3,79,19,33,19,17,14,10,4,120,17,15,13,12,17,11,0,78,248,380,229,154,232,77,12,1318,16,9,4,0,4,0,0,37,303,453,276,186,301,101,20,1631,2005,2274,1213,796,1126,408,98,7922
2021,80,74,62,34,46,8,0,299,99,75,33,26,27,10,0,270,88,82,35,16,28,9,4,260,1236,1312,720,497,681,172,54,4678,10,8,6,3,0,0,0,26,1503,1555,850,579,780,198,59,5524,17,11,18,7,7,0,0,60,34,33,21,14,17,10,5,123,7,21,14,8,13,3,0,69,252,368,224,155,263,70,13,1343,16,13,10,6,0,0,0,48,325,442,283,196,299,84,15,1645,1836,2000,1134,768,1080,282,73,7168
