SUA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
2000,60586,4818,3054,535,87,48,474,69594
2001,2204,194,143,24,3,0,14,2597
2002,1134,103,67,11,5,3,11,1328
2003,8934,719,469,73,13,7,44,10255
2004,8300,717,467,59,17,5,54,9617
2005,1019,89,50,10,0,0,3,1180
2006,1765,154,79,12,0,0,10,2024
2007,24617,1848,995,162,24,8,116,27779
2008,2671,141,91,15,0,0,5,2924
2009,1375,115,109,14,3,0,16,1629
2010,493357,27726,13753,5600,519,244,1416,542609
2011,6154,541,377,97,18,11,39,7233
2012,4291,380,237,60,10,7,44,5027
2013,1227,123,104,19,0,0,10,1476
2014,854,88,61,3,0,0,12,1012
2015,1279,116,77,6,0,0,11,1494
2016,4538,325,222,61,8,3,31,5190
2017,909,72,41,16,0,0,3,1042
2018,3280,328,194,36,7,3,31,3883
2019,1518,123,92,20,3,0,17,1769
2020,3305,269,191,21,3,0,24,3815
2021,3063,214,147,17,3,0,18,3466
