SUA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
2000,..,72175,72175,91988,5368,97356,31938,482,32421,30996,135,31132,15050,70,15126,6451,51,6504,176428,78285,254709
2001,..,1609,1609,2135,111,2244,1113,17,1129,1299,0,1299,591,0,588,225,0,224,5359,1741,7099
2002,..,1768,1768,1917,104,2023,723,16,744,645,3,650,285,3,288,109,4,115,3686,1904,5587
2003,..,11213,11213,11568,1292,12856,5168,316,5479,5077,148,5230,2147,35,2187,828,19,846,24788,13019,37811
2004,..,10265,10265,11234,1092,12326,5002,315,5321,4568,84,4652,2075,27,2103,871,15,888,23759,11809,35561
2005,..,1557,1557,1448,116,1566,598,35,634,535,5,540,266,12,272,126,9,136,2970,1732,4697
2006,..,2165,2165,2752,174,2926,925,26,946,968,14,985,452,0,453,174,0,171,5268,2375,7646
2007,..,24721,24721,28829,2213,31048,13317,607,13917,13554,260,13816,5608,102,5713,2017,85,2107,63336,27994,91328
2008,..,1128,1128,2155,69,2229,1039,13,1049,1423,3,1429,632,0,632,215,0,215,5471,1210,6682
2009,..,2097,2097,2164,127,2293,787,30,822,789,11,798,359,0,361,114,0,114,4209,2269,6481
2010,..,354886,354886,426031,49808,475840,245722,16723,262451,260297,6998,267295,104582,2564,107146,50725,1591,52317,1087364,432567,1519926
2011,..,4031,4031,5527,535,6058,3626,59,3686,3429,20,3442,1561,10,1568,1041,3,1044,15191,4649,19836
2012,..,5259,5259,6033,445,6484,2541,74,2618,2323,29,2353,1199,14,1213,540,6,546,12640,5838,18471
2013,..,2410,2410,2153,174,2322,884,8,894,740,0,740,281,0,281,125,0,128,4184,2591,6781
2014,..,1359,1359,1448,102,1546,548,13,555,507,6,507,186,0,182,63,0,63,2746,1475,4220
2015,..,1772,1772,1785,143,1930,765,24,788,708,3,714,310,8,321,106,5,106,3677,1949,5624
2016,..,4959,4959,5436,431,5866,2534,91,2627,2398,40,2436,1147,19,1162,633,10,646,12159,5549,17703
2017,..,1261,1261,1277,115,1396,546,30,578,446,7,457,235,3,238,100,3,102,2604,1421,4026
2018,..,5118,5118,4960,390,5351,2112,56,2172,1918,12,1936,775,0,773,334,5,337,10092,5577,15676
2019,..,2528,2528,2458,182,2639,925,18,944,867,7,872,378,8,384,123,0,128,4752,2741,7495
2020,..,3241,3241,4379,260,4642,1769,21,1797,1720,10,1731,881,6,882,384,3,391,9132,3545,12676
2021,..,3778,3778,4100,338,4443,1679,99,1776,1649,41,1686,743,19,762,295,17,312,8468,4282,12751
