SUA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
2000,5295,38,22,36,52,5441,3567,18,20,30,17,3653,3246,33,25,20,20,3347,6254,51,39,37,23,6408,7908,44,52,46,51,8100,17848,99,69,89,87,18191,14157,69,36,39,72,14366,12132,61,21,60,68,12348,4269,11,7,22,22,4328,3200,13,8,19,31,3273,2122,14,3,18,24,2182,4832,19,15,36,45,4944,84823,467,320,449,510,86573
2001,110,5,0,0,0,114,56,6,0,0,0,65,54,4,0,0,0,58,105,3,0,0,0,104,179,10,0,0,0,196,579,34,0,0,0,613,717,25,0,0,0,742,652,34,0,0,0,690,204,23,0,0,0,220,149,8,0,0,0,151,36,0,0,0,0,36,137,4,0,0,0,142,2972,157,4,3,5,3140
2002,70,0,3,0,0,73,60,0,0,0,0,60,55,3,0,0,0,57,91,0,0,0,0,90,171,0,0,0,0,170,424,0,0,0,0,426,364,0,0,0,0,367,190,0,0,0,0,196,51,0,0,0,0,51,40,0,0,0,0,40,17,0,0,0,0,17,67,0,0,0,0,71,1602,15,3,3,4,1626
2003,477,34,4,0,0,515,340,30,0,0,0,372,323,29,5,0,0,360,603,64,9,8,3,685,1019,91,3,3,0,1113,2852,246,21,5,11,3137,2444,171,15,3,5,2642,1840,89,4,10,6,1952,566,23,0,3,0,592,378,23,0,3,0,408,222,7,0,0,0,237,418,25,0,0,0,445,11489,828,74,36,37,12456
2004,536,15,5,0,3,560,374,10,3,0,0,391,328,12,3,0,0,343,656,25,4,0,0,685,928,37,3,3,3,971,2787,86,18,0,5,2898,2695,50,15,3,3,2765,1910,31,8,4,7,1953,518,3,0,0,3,525,339,8,0,0,0,350,183,6,0,0,0,187,476,3,0,3,0,481,11731,284,58,16,28,12117
2005,54,3,0,0,3,61,45,0,0,0,0,47,51,4,0,0,0,53,103,3,0,0,0,105,155,3,0,0,0,160,431,8,0,3,0,438,301,0,0,0,0,303,151,3,0,0,0,152,35,0,0,0,0,35,27,0,0,0,0,27,16,0,0,0,0,16,73,0,0,0,0,73,1444,28,0,3,3,1478
2006,99,3,0,0,0,107,52,3,0,0,0,50,56,0,0,0,0,52,117,3,3,0,0,119,165,12,3,0,0,182,559,23,0,0,3,582,513,13,0,0,0,527,412,4,0,0,0,412,115,0,0,0,0,113,83,0,0,0,0,87,43,0,0,3,0,46,114,0,0,0,0,112,2316,67,11,3,4,2404
2007,1426,82,12,0,0,1522,788,56,10,0,3,860,694,55,6,0,3,758,1340,91,23,4,0,1457,1837,151,39,3,0,2033,5337,364,90,14,12,5817,6004,310,44,13,12,6387,6234,240,36,22,13,6554,2252,85,13,5,4,2358,1649,46,9,4,4,1719,866,34,3,3,4,907,1294,72,15,10,0,1393,29727,1595,302,82,61,31761
2008,139,4,0,0,0,147,53,0,0,0,0,59,54,3,0,0,0,53,90,9,0,0,0,96,118,4,0,0,0,125,356,20,0,0,0,380,479,25,0,0,4,506,742,10,0,0,0,755,400,10,0,0,0,410,336,3,0,0,0,342,211,0,0,0,0,211,165,3,0,0,0,168,3148,86,0,0,3,3241
2009,99,3,0,0,0,99,66,0,0,0,0,63,69,4,0,0,0,74,192,0,3,0,0,201,246,6,7,0,0,260,608,10,7,0,0,624,400,3,0,0,0,401,221,0,0,0,0,222,67,0,0,0,0,67,42,0,0,0,0,42,27,0,0,0,3,27,72,0,3,0,0,74,2100,31,23,0,0,2159
