SUA_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
2000,187,21,59,6,277,0,0,0,277,27,0,301,85,19,0,143,240,0,0,0,245,8,0,255,9772,1239,272,254,11535,129,18,149,11690,529,28,12248,81,12,0,4,99,19,0,24,125,14,0,133,108,13,4,7,132,9,8,13,143,14,0,162,192,31,4,10,229,32,9,35,271,27,0,296,9963,1272,276,259,11773,159,26,187,11960,556,28,12543,1559,253,74,83,1971,62,19,78,2053,496,6,2548,26,5,0,4,31,3,0,3,35,5,39,78,11550,1530,356,340,13774,225,41,268,14040,1059,72,15169,1162,113,27,11,1306,11,3,10,1324,83,3,1403,1284,190,37,25,1534,13,5,20,1553,86,6,1643,57,11,16,0,93,0,0,0,88,6,0,99,24,4,0,23,49,0,0,0,49,4,0,51,2524,323,80,53,2978,24,9,32,3012,176,4,3192,25,5,0,0,31,8,0,8,34,0,0,41,31,3,0,0,33,0,0,0
2001,3,0,0,0,7,0,0,0,7,0,0,6,3,0,3,3,6,0,0,0,6,0,0,6,336,37,4,7,388,9,0,9,395,12,0,408,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,3,0,7,11,0,0,0,8,0,0,0,8,3,0,11,344,38,10,7,400,9,0,9,404,12,0,418,74,10,3,4,91,3,0,3,91,14,0,102,0,0,0,0,0,0,0,0,0,0,3,3,425,44,12,9,487,9,0,9,498,26,3,527,51,3,0,0,52,0,0,0,52,0,0,54,84,9,0,0,95,0,0,0,91,3,0,97,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,130,13,0,0,154,0,0,0,152,7,0,155,4,0,0,0,4,0,0,0,4,0,0,3,7,0,0,0,7,0,0,0
2002,3,0,3,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,178,26,3,0,204,4,0,4,213,9,0,221,3,0,0,0,4,0,0,0,4,0,0,4,0,3,0,0,3,0,0,0,3,0,0,3,3,3,0,0,8,0,0,0,8,0,0,8,181,27,3,0,209,4,0,4,214,9,0,223,18,6,0,0,27,0,0,0,27,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,199,30,3,4,236,4,0,4,245,11,5,262,6,6,0,0,16,0,0,0,16,3,0,16,20,6,5,0,25,0,0,0,25,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,39,0,0,0,39,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,21,5,3,0,29,0,0,0,33,7,0,37,5,0,0,10,19,0,0,0,19,0,0,19,1311,143,17,21,1493,26,12,39,1533,77,3,1613,12,3,0,0,14,0,3,3,17,0,0,22,15,0,0,0,20,0,0,0,22,0,0,22,32,4,0,0,37,0,3,3,41,0,0,37,1348,147,17,21,1529,26,12,40,1573,82,3,1651,182,21,6,7,221,8,0,10,236,66,0,293,0,0,0,0,0,0,0,0,0,0,0,0,1532,172,24,25,1750,38,15,53,1803,141,3,1948,213,25,0,0,237,3,0,3,242,8,0,252,230,28,4,0,264,4,0,4,269,14,0,279,4,0,0,0,13,0,0,0,13,0,0,13,0,0,0,5,3,0,0,0,3,0,0,3,451,56,7,9,519,8,0,8,521,20,0,546,3,0,0,0,3,3,0,3,5,0,0,5,4,0,0,0,4,0,0,0
2004,24,11,4,0,33,0,0,0,38,0,0,38,7,4,0,5,15,0,0,0,15,0,0,17,1229,171,21,12,1439,12,7,19,1452,63,3,1526,12,4,0,0,14,0,0,0,19,3,0,20,14,0,0,0,14,0,0,0,14,0,0,18,31,5,0,0,36,0,0,0,36,3,0,37,1256,174,21,12,1472,15,7,20,1487,72,3,1562,188,34,6,3,228,12,9,20,248,62,3,310,4,0,0,0,3,0,0,0,3,0,4,6,1455,211,27,15,1706,24,9,37,1739,132,10,1885,170,26,0,3,204,4,0,4,205,14,0,221,204,38,3,3,243,5,0,5,251,15,0,265,8,3,0,0,17,0,0,0,17,0,0,17,0,3,0,3,3,0,0,0,3,0,0,3,386,65,11,9,467,5,0,5,475,29,0,504,4,0,0,0,4,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0
2005,3,0,0,0,3,0,0,0,8,0,0,8,0,0,0,4,4,0,0,0,4,0,0,4,180,17,3,3,197,0,0,3,207,9,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,17,3,3,204,0,0,3,206,9,0,216,16,5,3,0,24,0,0,0,24,3,0,30,0,0,0,0,0,0,0,0,0,0,4,3,201,19,8,3,232,0,0,3,236,13,4,257,11,0,0,0,12,0,0,0,17,0,0,17,27,0,0,0,29,0,0,0,29,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,39,3,0,0,46,0,3,3,44,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,8,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,349,38,8,5,393,5,3,9,400,10,0,414,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,4,0,0,0,4,0,0,4,3,3,0,0,8,0,0,0,8,0,0,8,351,40,8,5,398,5,3,9,407,10,0,421,29,0,0,0,27,0,0,0,27,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,379,40,8,5,428,5,3,9,438,15,3,452,40,3,0,0,44,0,0,0,44,3,0,47,40,6,0,0,53,0,0,0,53,0,0,53,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,85,8,3,0,95,0,0,0,95,3,0,99,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
2007,62,9,11,0,82,3,0,3,84,9,0,92,20,5,0,30,55,0,0,0,55,0,0,52,3363,370,66,65,3859,54,0,52,3913,166,3,4084,32,5,0,0,37,4,0,4,40,3,0,43,60,8,0,0,66,9,0,7,75,12,0,83,94,15,0,0,105,13,0,17,121,15,0,131,3457,383,67,65,3963,63,3,68,4028,183,3,4212,582,73,8,12,674,18,4,23,703,160,3,868,10,0,0,3,12,0,0,0,12,0,3,17,4047,458,73,75,4650,87,8,93,4743,341,10,5096,603,74,6,3,690,7,0,7,701,33,0,738,787,120,20,9,927,11,3,14,948,49,0,992,36,0,13,5,56,0,0,0,56,4,0,55,13,4,0,11,21,0,0,0,21,0,0,21,1433,199,44,27,1699,21,3,26,1720,86,5,1812,18,7,0,0,22,10,0,10,28,0,0,32,24,4,3,0,27,3,3,4
2008,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,3,4,0,0,0,3,0,0,4,401,51,9,9,470,8,0,7,477,14,3,495,3,0,0,0,3,0,0,0,3,0,0,3,10,3,0,0,7,0,0,0,7,0,0,10,15,3,0,0,13,0,0,0,13,0,0,13,413,50,9,9,482,8,0,7,488,18,3,507,53,3,3,0,60,0,0,0,60,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,463,58,10,6,541,8,0,7,551,25,4,576,82,3,3,0,83,6,0,6,90,4,0,91,107,15,0,0,124,3,0,3,127,10,0,131,3,3,0,0,5,0,0,0,5,0,0,8,0,0,0,3,4,0,0,0,4,0,0,4,183,22,3,4,220,5,0,9,222,9,0,238,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,0,0,0
2009,4,0,0,0,4,0,0,0,4,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,229,26,3,3,265,3,0,3,268,6,0,277,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,7,3,0,0,0,3,0,0,0,3,3,0,7,237,26,3,3,269,4,0,4,273,8,0,281,21,4,0,0,27,0,0,0,27,9,0,35,3,0,0,0,3,0,0,0,3,0,0,3,254,30,3,3,296,4,0,4,302,17,0,318,13,3,3,0,23,0,0,0,23,0,0,19,18,3,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,3,0,47,0,0,0,47,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
