SUA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
2000,3434,3292,1102,2096,1646,717,289,672,155,13403,3467,2914,1675,4487,2835,1016,396,1129,213,18137,12827,2633,27196,8827,5793,3964,6548,8817,1105,77705,594,185,382,719,822,597,285,774,50,4409,1082,381,567,1370,914,626,444,806,72,6266,331,296,206,186,213,121,136,243,40,1777,1817,839,1150,1075,794,824,808,1555,723,9590,33410,40519,34150,22874,17052,9246,9309,15556,2899,185019
2001,62,95,41,67,67,23,13,16,4,385,88,97,65,146,130,38,22,21,12,630,235,106,950,297,262,115,261,197,36,2462,15,3,15,14,27,22,8,13,0,120,15,14,17,58,47,22,24,19,3,215,8,7,10,3,13,0,7,6,0,49,27,14,27,29,18,11,14,31,10,188,710,1348,1177,724,719,304,372,331,93,5771
2002,33,62,10,57,47,8,3,9,0,233,56,76,42,107,65,26,6,21,3,385,173,67,575,217,157,124,113,171,20,1605,11,6,5,26,10,13,3,11,0,95,14,4,10,38,16,19,11,29,0,130,4,9,4,6,5,3,3,4,0,31,26,13,13,21,15,30,13,45,24,194,400,832,689,547,375,247,157,319,50,3622
2003,306,501,161,308,287,115,57,76,27,1834,357,467,294,715,513,232,54,122,35,2796,933,435,3798,1439,1077,749,627,919,112,10080,37,25,55,101,135,126,30,106,3,617,71,44,67,163,125,95,49,73,6,684,23,61,29,30,34,22,12,15,7,230,72,99,104,111,82,105,74,134,77,849,3334,8911,4896,3770,3173,1797,1001,1683,398,28953
2004,216,439,154,310,230,80,31,63,18,1540,338,456,269,736,414,180,52,141,28,2611,1002,440,3786,1539,1038,707,692,1035,111,10354,48,33,58,83,111,102,38,111,3,587,72,49,74,182,142,110,63,126,16,828,21,58,23,27,36,23,15,33,3,243,82,105,99,121,80,100,69,133,71,868,2971,7975,4724,3709,2880,1583,1025,1863,324,27050
2005,30,60,16,67,27,12,0,6,0,212,43,38,16,86,54,23,7,28,0,290,151,50,461,242,99,91,125,234,19,1484,7,0,3,9,19,13,8,26,0,91,6,10,7,38,17,13,7,25,0,131,3,0,3,3,3,4,4,5,0,34,19,11,24,32,9,12,16,46,11,169,341,569,554,526,277,186,169,397,44,3076
2006,63,86,29,58,38,25,6,16,4,325,72,110,57,159,69,30,11,21,7,531,299,72,883,312,164,197,169,272,26,2403,10,6,3,27,16,18,3,23,0,115,27,5,15,44,28,18,7,19,0,163,9,5,3,5,0,5,0,6,3,43,24,30,21,31,17,28,25,45,24,247,768,1309,1062,755,448,368,230,438,65,5429
2007,861,1473,625,902,778,356,144,215,62,5417,1051,1328,961,1833,1335,599,213,369,90,7785,2346,1091,9681,3772,2370,1727,1639,2409,370,25415,93,80,119,248,219,217,80,204,15,1267,199,152,172,467,361,254,148,216,25,1988,67,176,83,84,75,51,36,48,16,630,180,294,278,333,220,215,202,319,217,2254,9005,22388,12976,10049,8018,4564,2786,4435,1111,75342
2008,109,175,42,61,64,29,12,15,3,506,120,119,83,163,143,43,13,20,6,713,277,106,984,223,226,108,126,151,25,2243,12,3,11,16,24,16,0,8,0,94,23,13,18,50,55,21,14,16,4,209,4,20,11,5,6,5,4,3,0,69,17,39,23,30,31,18,8,12,10,181,1106,2179,1259,772,805,330,198,263,75,6995
2009,64,83,17,61,47,20,6,10,3,316,71,101,31,129,92,37,6,10,5,475,246,86,700,258,194,154,144,137,23,1943,7,9,11,15,35,22,3,17,0,117,22,8,12,34,30,20,4,15,0,155,9,10,0,5,3,5,3,0,0,37,16,17,19,19,14,17,9,27,13,165,602,1253,812,633,510,297,190,236,60,4596
2010,16071,22708,11510,12886,15889,7733,3736,4555,1201,96285,20450,22318,17349,28290,24432,12246,5359,7173,1696,139311,33088,15764,123253,39675,32769,20762,22313,26912,4556,319088,1571,1124,1569,2942,3916,2538,1256,2199,186,17300,3959,3081,3071,6921,7345,4094,2431,2972,502,34374,2272,4356,1804,1727,2470,1432,1020,1241,423,16753,3388,5064,4345,4443,4456,3330,2851,4057,4024,35950,206348,476674,192842,145350,176475,91325,50730,68953,21804,1430509
2011,162,147,98,160,168,70,55,59,6,931,222,235,188,498,353,106,107,94,23,1823,482,217,2317,892,734,387,722,609,108,6460,18,9,29,60,74,62,44,48,5,352,51,32,46,154,91,56,91,65,14,592,14,23,19,22,22,12,27,16,6,161,41,48,78,79,68,60,94,82,67,617,1415,2512,2974,2256,2013,940,1277,1080,274,14728
2012,128,242,52,153,86,44,22,38,9,761,197,240,115,383,222,79,18,63,21,1346,647,232,1782,675,550,389,370,494,79,5217,31,14,9,65,66,88,24,53,3,357,56,29,34,105,81,56,35,56,5,444,10,22,14,15,11,4,6,18,7,111,74,66,63,75,56,90,59,93,66,631,1604,3170,2151,1731,1300,818,559,908,201,12451
2013,18,64,28,47,22,3,0,14,3,196,44,57,40,123,80,21,10,15,9,404,125,71,806,276,196,110,141,216,34,1980,7,11,6,23,16,11,4,17,3,102,8,0,15,52,32,9,8,12,0,144,0,10,10,0,6,5,3,5,0,36,10,21,25,30,18,23,11,28,19,192,282,697,946,638,414,201,192,323,76,3788
2014,23,53,8,18,17,3,12,8,0,146,30,48,12,80,44,12,9,8,3,250,94,56,493,182,101,49,165,146,17,1305,12,3,8,16,16,11,3,14,0,77,11,12,4,23,10,3,11,21,0,98,3,8,8,0,0,3,0,0,0,18,8,12,11,14,13,9,27,27,9,139,257,615,567,380,243,106,242,233,33,2675
2015,40,87,37,38,18,13,4,10,3,251,72,84,51,115,59,21,7,25,5,444,165,63,614,214,171,95,92,154,22,1590,3,4,5,7,18,12,4,17,0,71,9,11,17,28,14,14,6,11,0,114,11,4,4,8,7,4,3,15,3,54,10,19,13,24,7,12,9,16,16,124,484,1156,783,555,365,201,139,273,54,4017
2016,121,235,41,126,100,37,15,50,11,736,219,250,127,392,255,95,38,85,11,1466,534,210,1724,677,444,350,315,551,56,4860,21,7,15,39,53,49,12,48,0,250,29,22,32,85,58,29,26,46,10,337,16,31,9,17,15,11,0,25,4,137,45,44,59,55,40,49,55,102,59,504,1491,3399,2117,1663,1228,713,499,1008,172,12294
2017,32,53,13,32,17,7,4,3,0,162,39,55,23,71,36,30,4,22,5,285,182,51,433,128,113,70,75,122,22,1192,9,3,3,10,13,14,3,8,0,70,7,13,6,14,12,18,6,12,3,92,3,4,0,0,5,0,0,4,0,24,15,12,9,13,10,15,11,24,15,120,384,719,504,341,253,163,109,216,46,2738
2018,70,139,82,89,88,33,20,19,9,549,149,214,117,291,206,73,27,25,21,1124,391,153,1783,552,532,269,416,464,77,4634,22,6,18,37,47,36,19,47,9,240,28,8,32,81,56,36,17,39,3,307,9,17,9,9,14,7,7,10,3,89,36,44,45,75,40,31,44,74,34,420,1071,2515,2204,1353,1230,551,565,728,175,10393
2019,56,79,33,69,41,19,6,14,0,310,72,105,34,174,98,46,20,22,5,576,208,76,704,314,204,179,148,195,18,2053,9,0,11,18,27,23,10,23,0,112,23,10,15,49,30,25,14,23,3,188,9,19,4,3,10,4,0,4,0,48,9,18,22,22,7,22,27,28,16,172,552,1358,859,771,531,355,223,338,54,5040
2020,111,181,65,101,92,28,16,43,4,636,161,182,87,274,175,63,21,64,11,1040,524,150,1561,495,373,245,351,480,50,4227,22,7,21,32,39,30,8,40,0,202,36,7,35,73,41,35,30,31,3,298,11,15,11,8,11,7,3,14,3,83,57,26,48,45,34,30,24,58,37,360,1329,2404,1916,1241,982,515,460,818,136,9798
