SUA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
2000,6236,12475,8953,11823,24146,33001,17437,38601,3936,156613,539,2039,1476,1665,1002,1547,626,2946,267,12106,7,20,32,26,35,58,27,64,0,275,299,1084,897,869,1266,1071,535,462,67,6544,56,48,87,99,171,185,48,51,0,738,136,666,438,431,359,442,114,200,32,2817,78,253,262,281,346,324,145,139,16,1853,699,4407,2806,2881,2198,1188,712,915,197,16006,531,4264,1823,1635,1027,708,462,1225,223,11916,150,468,400,429,427,352,193,290,31,2742,47,212,165,164,191,119,92,58,9,1061,183,226,422,489,575,404,138,147,28,2605,70,223,232,207,343,252,131,166,13,1647,246,1079,995,1102,1013,754,379,500,54,6123,196,1373,737,673,528,419,148,205,76,4362,638,862,1176,1221,1783,1242,526,515,71,8040,815,2417,2882,2961,2464,1740,1365,2163,165,16969,2220,3598,6786,7825,4228,3263,1185,1459,350,30912,123,573,367,372,288,208,109,226,39,2301,198,998,708,694,672,468,221,283,59,4301
2001,127,314,212,279,829,1247,651,1138,113,4917,3,15,3,9,7,7,6,6,0,59,0,0,0,0,0,0,0,3,0,10,11,26,12,14,35,37,8,9,3,161,3,0,0,4,3,0,0,0,0,12,4,17,23,22,20,23,3,4,0,121,0,8,11,6,16,12,12,4,0,82,22,190,94,94,70,53,28,22,6,584,7,147,50,29,21,17,11,10,0,295,12,20,26,20,44,52,14,14,5,199,0,3,0,0,8,8,5,0,0,28,12,5,12,17,32,33,7,9,0,131,0,4,7,11,13,10,3,4,3,61,5,43,45,25,40,37,20,25,3,239,8,35,20,16,31,19,7,10,3,143,24,22,57,31,104,78,30,27,3,369,27,86,106,113,119,87,61,76,3,686,42,98,156,216,147,104,42,45,6,851,0,30,9,5,7,3,3,8,0,63,4,34,12,25,38,15,8,10,3,155
2002,111,237,168,276,550,551,327,599,62,2888,9,14,6,6,7,6,3,3,3,59,0,0,0,0,0,0,0,0,0,0,8,28,30,30,54,7,16,11,3,183,0,0,3,3,3,3,0,0,0,17,3,13,9,13,4,4,3,4,0,56,0,9,5,8,8,7,3,6,0,42,26,99,76,80,50,31,11,21,5,401,10,72,44,38,36,8,10,17,7,242,0,3,8,5,4,7,0,3,0,41,3,10,4,0,10,0,0,0,0,23,3,3,8,7,5,7,3,6,0,49,0,3,7,3,4,14,3,0,0,34,3,15,17,21,19,16,7,5,3,109,3,31,19,18,10,7,4,6,0,106,19,18,14,17,38,32,15,8,0,153,26,46,53,82,69,35,21,34,3,375,46,75,158,187,114,101,31,37,9,743,0,12,4,8,3,3,0,0,0,33,7,21,15,19,19,13,11,10,4,108
2003,616,2023,1253,1661,4345,4892,2955,4074,427,22234,3,36,23,19,7,16,10,4,3,130,0,3,5,11,7,7,11,13,0,44,36,162,105,96,207,114,75,69,10,879,3,3,7,11,23,23,4,9,0,92,13,83,75,69,78,55,9,16,3,401,4,38,26,26,43,31,14,12,0,197,147,834,506,478,406,208,105,107,29,2811,81,844,326,258,185,79,59,120,44,2001,18,50,45,60,74,37,21,14,0,327,27,37,32,30,77,52,50,27,3,336,32,27,58,67,101,76,33,25,3,406,5,32,30,26,72,48,19,29,0,252,33,172,152,170,209,168,75,75,6,1064,18,169,106,101,91,53,20,26,11,584,97,125,187,208,316,218,100,93,8,1347,142,465,494,531,614,347,271,410,28,3298,374,635,1103,1402,955,751,249,261,39,5762,21,121,71,76,51,33,27,30,5,434,28,171,103,133,116,65,52,32,7,716
2004,699,1891,1162,1653,4376,4479,2732,3727,388,21093,12,32,28,25,32,22,13,12,7,185,4,4,3,4,10,20,6,14,0,68,42,151,97,122,297,149,71,59,13,1013,5,7,11,26,30,38,9,7,0,139,5,84,48,59,70,56,20,31,7,389,12,42,19,22,40,17,10,16,0,179,127,885,488,454,408,171,118,82,23,2771,61,699,307,248,144,100,65,89,27,1742,13,49,45,42,35,37,17,18,3,249,14,35,20,21,52,24,12,12,0,196,61,59,124,122,308,135,71,46,7,928,3,24,29,27,57,45,17,24,0,224,38,132,88,130,192,113,55,67,6,818,32,175,124,103,112,50,28,19,6,654,98,80,149,172,313,188,89,85,21,1188,122,419,423,415,452,300,195,297,31,2659,385,597,1031,1443,954,631,259,236,42,5579,18,109,36,44,31,26,11,17,0,296,35,157,114,142,123,65,49,30,9,717
2005,93,231,167,231,611,488,384,527,67,2797,4,7,9,8,6,9,0,8,0,46,0,0,0,0,0,0,0,0,0,0,16,30,27,44,69,45,13,11,5,248,0,0,0,0,3,0,0,0,0,6,0,13,3,6,7,4,0,0,0,34,4,4,3,7,4,0,0,0,0,21,23,101,63,64,56,30,14,12,8,362,7,105,31,33,12,20,5,15,3,227,0,13,8,13,3,4,0,5,0,42,0,6,8,11,11,5,0,5,0,40,3,3,4,5,9,6,3,0,0,35,0,9,0,0,15,6,3,0,0,30,0,15,12,15,21,13,6,3,0,85,0,20,18,14,18,3,3,7,0,81,13,23,28,34,47,13,6,6,3,170,9,33,49,53,39,29,29,25,3,267,24,93,121,145,122,45,26,27,8,610,0,12,3,0,0,5,7,0,0,30,0,20,9,17,16,5,4,6,0,76
2006,167,368,212,302,805,906,596,1011,104,4468,4,15,5,9,3,15,3,7,0,68,0,0,0,0,0,0,0,0,0,3,10,30,26,30,60,32,9,17,0,228,0,0,0,0,4,4,0,0,0,17,8,12,13,19,13,16,7,7,3,88,0,6,13,14,13,5,3,3,0,54,40,155,88,127,74,72,41,33,10,635,39,161,107,94,72,46,28,59,4,617,5,13,7,18,13,7,6,5,0,74,0,12,3,3,8,0,3,0,0,30,3,4,12,8,31,17,5,6,0,91,3,4,3,6,17,6,3,3,0,52,0,20,25,20,38,18,14,11,0,150,8,36,17,24,29,7,8,3,4,132,10,22,26,34,51,33,9,18,0,199,29,67,64,77,97,76,50,57,4,512,56,91,206,256,180,127,58,55,9,1037,7,27,21,12,15,10,3,5,3,96,3,34,26,24,35,26,5,5,0,175
2007,1724,5155,3302,4083,10359,13662,6802,10787,1099,56970,26,78,55,49,42,66,18,44,4,382,6,3,5,9,3,7,3,9,0,39,77,321,283,235,325,358,116,117,17,1847,20,35,41,39,139,63,29,24,0,389,40,265,177,158,139,166,51,63,18,1079,33,131,106,99,173,126,56,48,4,775,339,2017,1333,1230,1090,751,359,361,72,7569,195,1938,770,651,413,271,172,233,77,4713,38,116,114,136,156,140,67,67,13,839,22,101,83,68,123,73,34,40,3,543,118,108,259,250,426,326,166,120,0,1774,29,82,91,95,216,138,68,74,3,797,98,456,427,407,535,453,194,228,19,2810,61,512,349,276,275,139,64,89,34,1802,251,365,481,459,761,606,252,226,24,3436,336,1123,1256,1193,1311,888,583,863,49,7607,781,1719,2837,3265,2245,1476,565,561,107,13553,45,303,129,123,81,72,31,59,14,860,71,457,310,343,315,181,98,96,27,1900
2008,151,392,255,303,754,1232,688,1287,85,5145,3,10,12,6,3,11,3,5,3,51,0,0,0,0,0,0,0,0,0,3,8,36,35,26,33,27,18,15,0,195,0,3,8,4,6,7,3,0,0,34,3,31,21,25,18,21,6,13,3,138,0,3,6,9,27,9,7,3,0,67,12,144,86,72,54,32,21,18,4,458,14,110,45,26,14,18,7,12,4,251,9,14,36,40,38,33,7,13,4,192,0,10,9,14,0,8,3,8,0,56,18,9,38,32,48,43,13,18,0,219,3,8,17,16,10,7,3,7,0,64,18,56,43,58,55,50,19,28,3,321,7,46,30,31,18,17,10,10,0,172,35,32,57,57,81,51,30,36,4,377,35,142,118,126,113,96,67,95,5,797,58,130,226,204,107,94,38,36,5,892,0,33,17,11,7,12,4,11,0,96,0,35,30,33,21,22,7,22,0,163
2009,123,311,179,260,799,863,467,673,79,3756,3,26,6,9,8,6,0,5,0,62,0,0,0,0,0,0,0,0,0,3,0,17,10,9,14,13,4,0,0,75,10,0,9,3,9,15,0,0,0,44,0,15,6,11,18,10,4,3,0,66,0,10,0,6,19,8,6,0,0,44,22,131,96,100,86,31,35,16,7,525,16,136,47,43,29,9,12,25,4,324,3,8,7,5,6,9,3,0,0,43,5,4,3,4,16,8,7,0,0,39,3,9,12,8,27,26,5,6,0,94,0,3,7,5,12,9,4,0,0,34,5,21,11,36,42,17,11,13,0,155,3,47,24,20,26,10,0,8,0,140,10,13,29,35,52,26,13,14,0,203,14,45,80,78,69,36,46,57,8,426,74,118,187,236,167,141,42,46,7,1021,3,22,13,9,4,0,3,3,0,59,9,28,23,26,34,11,7,4,6,149
