SUA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
2000,19,9,12,38,25,17,37,72,226,3,300,20,58,3,78,18,8,28,110,114,0,222,34,173,23,223,67,51,117,341,396,11,747,40,258,35,335,66,70,133,468,629,7,1099,83,529,37,656,88,114,201,853,1005,21,1875,236,1039,65,1339,107,139,251,1591,1348,16,2948,405,980,74,1453,63,60,128,1586,1390,20,2993,616,825,83,1528,34,35,68,1602,1246,24,2869,780,649,89,1522,26,37,56,1579,980,17,2569,692,405,48,1149,26,14,41,1190,565,12,1770,500,259,37,798,12,3,14,814,305,3,1114,426,130,31,582,5,3,15,598,193,6,798,502,146,31,677,4,5,12,685,198,8,885,196,41,14,253,0,0,5,253,85,3,345,77,12,6,90,0,0,0,90,26,0,112,76,31,4,113,3,0,7,114,50,0,167,76,24,8,105,0,0,3,105,64,3,178,756,651,78,1484,65,33,100,1581,894,54,2530,47,58
2001,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,9,0,9,0,3,0,4,3,0,3,11,10,0,23,3,4,0,8,0,0,0,6,21,0,32,4,12,3,13,0,4,6,23,44,0,62,3,30,0,37,3,5,10,49,41,0,91,13,34,3,50,3,3,10,60,59,0,120,23,39,4,63,3,7,5,69,38,0,113,34,22,3,57,0,0,3,59,36,0,98,42,20,3,64,0,0,3,69,13,0,84,25,15,0,46,0,0,0,43,17,0,59,27,7,0,40,0,0,0,39,10,0,50,30,12,3,46,0,0,0,46,11,0,61,16,0,0,16,0,0,0,14,3,0,21,4,0,0,4,0,0,0,4,4,0,4,0,0,0,4,0,0,0,4,0,3,3,6,0,0,6,0,0,0,6,3,0,3,29,16,4,43,0,0,0,49,22,0,76,3,0
2002,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,5,0,6,0,4,0,4,0,3,3,5,14,0,19,0,9,0,6,0,3,7,14,19,0,36,0,16,0,15,7,0,12,25,31,0,55,6,28,7,36,3,8,11,51,36,0,83,16,34,3,46,0,3,3,51,51,0,104,27,20,3,55,0,3,3,58,31,0,85,15,15,4,41,0,0,0,37,23,0,66,12,11,5,29,0,0,0,29,14,0,42,18,8,0,26,0,0,0,26,4,0,31,15,5,0,20,0,0,0,20,4,0,24,10,3,0,16,0,0,0,16,9,0,22,5,0,0,9,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,6,15,21,0,40,0,0,0,45,25,0,70,0,0
2003,4,0,0,9,5,3,8,17,42,0,58,0,6,0,6,0,0,3,6,16,0,17,4,16,5,26,11,13,24,50,63,0,120,0,38,4,43,16,16,31,67,119,0,192,11,81,11,99,20,43,67,168,221,0,387,27,190,16,236,27,48,79,311,283,3,597,80,184,15,278,11,23,35,315,318,3,638,131,177,9,316,9,15,26,338,235,0,577,152,150,11,315,7,12,20,343,163,0,504,165,97,9,267,7,0,6,269,90,0,367,129,50,8,185,0,3,3,194,65,0,252,110,27,7,144,0,0,0,146,29,0,178,109,35,12,155,0,0,0,156,32,0,191,44,9,0,53,0,0,0,56,9,0,65,16,6,0,19,0,0,0,19,0,0,24,21,3,0,22,0,0,3,29,6,0,38,16,3,0,22,0,0,0,26,5,0,30,137,102,9,247,17,15,34,282,130,16,425,11,14
2004,0,0,3,3,4,3,7,11,43,0,49,0,8,0,8,4,5,7,17,21,0,37,3,22,0,23,10,13,26,52,78,0,128,3,35,6,44,19,15,33,78,117,0,193,12,76,14,98,16,11,29,125,171,0,294,36,197,26,252,18,38,60,317,268,0,583,65,209,18,291,12,12,31,326,304,0,633,132,197,13,334,9,11,20,355,243,3,602,170,151,8,331,7,8,17,355,179,3,532,148,89,13,256,0,3,3,258,112,3,377,143,44,9,198,5,0,5,204,57,0,262,94,32,4,132,0,0,0,131,27,0,158,115,38,5,160,4,0,4,160,37,0,196,38,13,3,52,0,0,0,57,13,0,63,9,3,0,10,0,0,0,13,3,0,13,15,0,0,15,0,0,0,15,11,0,27,11,0,0,16,0,4,4,21,7,0,25,140,100,17,261,6,13,19,281,142,8,427,13,13
2005,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,3,0,7,3,5,3,0,3,6,10,0,19,0,7,0,7,0,3,4,14,22,0,32,0,17,0,14,3,0,3,21,19,0,37,3,28,0,40,3,3,10,46,45,0,90,4,21,3,28,0,0,3,31,34,0,61,9,23,4,37,0,0,3,42,22,0,63,14,20,0,33,0,0,0,35,15,0,44,12,18,0,33,0,0,0,33,18,0,45,9,3,0,12,0,0,0,12,9,0,20,12,7,0,15,0,0,0,15,5,0,20,11,7,0,20,0,0,0,20,6,0,25,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,18,8,0,31,0,0,0,27,20,0,52,0,0
2006,0,0,0,0,0,3,3,3,3,0,8,0,0,0,0,0,0,0,3,0,0,4,0,5,0,6,0,3,0,13,12,0,23,0,12,0,12,5,0,5,10,18,0,30,0,13,0,16,3,0,7,18,29,0,53,7,32,4,44,0,4,8,50,45,0,99,12,40,3,52,0,3,4,55,40,0,92,34,31,3,65,0,0,0,67,32,0,96,36,31,6,64,3,3,3,68,34,0,104,26,12,4,40,0,0,0,43,15,0,58,24,13,0,40,0,0,0,40,5,0,42,18,6,0,23,0,0,0,23,5,0,29,17,4,0,23,0,0,0,23,3,0,27,11,0,0,11,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,6,0,0,0,6,0,0,6,22,20,3,49,4,0,4,51,30,0,82,0,0
2007,9,4,3,16,13,3,17,30,118,0,152,0,24,3,29,11,12,19,51,47,0,95,4,63,9,71,19,26,48,116,172,0,294,14,85,12,104,25,26,49,150,213,0,367,30,194,15,240,47,36,85,319,387,0,706,70,422,38,533,54,65,121,652,544,3,1205,156,391,23,569,31,32,67,636,566,4,1203,242,391,35,666,20,27,47,711,514,3,1228,378,390,35,796,20,19,42,839,430,8,1272,362,218,28,611,16,9,25,636,244,5,886,319,138,16,478,6,3,7,484,147,6,636,270,80,14,363,7,6,6,374,90,3,465,369,87,19,482,5,6,9,487,112,3,599,121,28,3,152,0,0,0,155,36,0,190,49,14,0,59,0,0,0,59,17,0,76,64,16,0,79,0,0,0,78,19,0,99,51,9,3,62,3,0,4,68,16,0,89,297,250,28,583,19,17,40,622,335,14,968,25,22
2008,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,4,0,4,0,4,0,4,0,0,0,8,8,0,13,0,4,0,4,0,0,0,3,13,0,15,3,8,0,16,0,0,0,16,10,0,22,4,17,0,15,0,0,0,18,20,0,34,6,30,0,42,0,0,3,44,9,0,51,11,28,6,42,3,0,3,44,19,0,60,23,29,0,48,0,0,0,53,16,0,68,14,13,0,26,3,0,3,23,13,0,37,22,11,0,30,0,0,0,30,7,0,43,15,14,0,30,0,0,0,30,3,0,36,35,8,3,42,0,0,0,48,5,0,54,14,0,0,11,0,0,0,11,4,0,19,12,0,0,9,0,0,0,9,0,0,15,3,0,0,4,0,0,0,4,0,0,4,7,0,3,5,0,0,0,5,0,0,10,23,13,3,44,0,0,3,46,18,0,66,5,0
2009,0,0,0,0,0,0,0,3,5,0,9,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,3,7,4,0,10,0,4,0,5,3,6,9,18,18,0,37,0,15,0,17,3,3,8,23,41,0,56,3,31,3,38,4,4,9,48,47,0,95,13,30,0,52,0,3,4,49,45,0,99,21,32,3,55,0,3,3,55,34,0,91,31,16,0,53,0,0,0,48,33,0,82,14,16,3,35,0,0,0,35,14,0,55,19,3,0,23,0,0,0,23,15,0,38,14,0,3,16,0,0,0,16,4,0,17,15,4,0,15,0,0,0,15,3,0,18,7,0,0,7,0,0,0,7,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,7,0,5,20,14,3,31,0,0,0,31,18,0,50,4,0
