UCL_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL201001,36,1831,674,351,1834,0.9,1546,2.7
UCL203001,38,1500,591,275,1555,0.8,1206,2.4
UCL211001,36,1400,655,250,1497,0.8,1228,2.4
UCL211002,37,1322,584,250,1466,0.8,1134,2.4
UCL211003,38,1387,608,250,1446,0.8,1171,2.4
UCL211004,33,1445,578,275,1412,0.8,1258,2.8
UCL212001,39,1232,548,225,1300,0.8,1022,2.4
UCL212002,37,1300,583,225,1385,0.8,1135,2.5
UCL212003,38,1600,691,312,1844,0.8,1569,2.7
UCL212004,38,1312,638,240,1640,0.8,1276,2.4
UCL212005,41,1408,612,250,1478,0.8,1152,2.4
UCL213001,37,1517,637,270,1666,0.8,1375,2.6
UCL213002,44,1300,549,240,1226,0.7,948,2.2
UCL213003,42,1257,576,218,1393,0.8,1050,2.3
UCL213004,40,1500,555,270,1391,0.8,1146,2.5
UCL213005,45,1500,557,300,1379,0.7,1141,2.4
UCL213006,43,1303,602,248,1402,0.8,1103,2.3
UCL213007,41,1200,618,200,1401,0.7,1088,2.3
UCL213008,36,1642,680,313,1807,0.8,1555,2.7
UCL213009,37,1600,637,330,1597,0.8,1376,2.6
UCL213010,44,1040,475,170,1160,0.8,826,2.2
UCL213011,43,953,469,180,1083,0.7,801,2.1
UCL213012,42,1733,702,340,1850,0.8,1492,2.5
UCL213013,44,1138,525,200,1316,0.7,1022,2.2
UCL213014,40,1300,604,245,1524,0.7,1147,2.3
UCL213015,39,1265,601,200,1398,0.8,1090,2.3
UCL213016,39,2000,769,400,2027,0.8,1753,2.7
UCL213017,44,1300,583,220,1351,0.7,1021,2.2
UCL213018,43,1400,582,250,1482,0.7,1153,2.4
UCL214001,46,1017,554,200,1244,0.7,967,2.2
UCL214002,49,1127,525,200,1175,0.7,874,2.1
UCL214003,47,1300,567,266,1333,0.8,956,2.2
UCL214004,45,1257,501,205,1254,0.8,930,2.3
UCL214005,44,1341,549,200,1425,0.8,1125,2.5
UCL214006,38,1950,753,359,2124,0.8,1845,2.8
UCL214007,46,1083,570,200,1372,0.7,1013,2.2
UCL214008,44,1517,573,300,1441,0.8,1161,2.4
UCL214009,52,1700,552,270,1286,0.7,1016,2.2
UCL214010,39,1560,584,280,1590,0.8,1347,2.6
UCL214011,47,1200,540,193,1233,0.8,957,2.3
UCL214012,53,1300,474,220,1091,0.7,814,2.1
UCL214013,43,1343,566,240,1373,0.7,1046,2.3
UCL214014,50,988,458,200,977,0.7,762,2.1
UCL214015,58,1500,487,270,1150,0.7,871,2
UCL214016,45,1143,528,200,1223,0.8,953,2.2
UCL214017,47,953,519,175,1273,0.7,909,2.1
UCL214018,35,1690,688,300,1742,0.8,1589,3
UCL214019,48,1294,468,230,1085,0.7,794,2.2
UCL214020,50,1351,513,240,1231,0.7,956,2.3
UCL215001,53,1517,657,315,1459,0.7,1211,2.2
UCL215002,50,1300,516,200,1329,0.7,910,2.1
UCL215003,51,1624,712,320,1699,0.7,1284,2.2
UCL215004,48,1517,577,250,1202,0.8,917,2.1
UCL215005,43,1400,564,250,1467,0.7,1155,2.4
UCL215006,47,1710,704,360,1742,0.8,1420,2.5
UCL215007,34,1749,695,330,1762,0.8,1652,3
UCL215008,34,1649,840,300,2039,0.8,1915,3
UCL215009,53,975,477,160,1062,0.7,789,2.1
