UCL_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
UCL201001,77,552,116885,117513,2837,9296,130770,142901,104230,54986,148838,308060,172285,33284,65237,270810,158583,24391,60222,243195,130606,14466,47065,192140,96911,6161,29473,132537,51882,1712,17136,70733,13631,351,9464,23448,731040,145208,625084,1501335,243,937,111781,112959,8230,13907,117584,139721,138256,57138,125670,321066,177698,32207,73219,283124,159277,22847,79309,261432,124715,12125,71897,208736,86159,4484,58489,149135,36787,1012,48828,86622,6134,188,28120,34443,737489,144845,714898,1597231,323,1485,228661,230474,11062,23206,248355,282617,242488,112123,274511,629118,349986,65492,138455,553934,317856,47237,139535,504624,255319,26593,118961,400876,183068,10643,87963,281675,88670,2727,65960,157355,19767,536,37583,57886,1468534,290050,1339978,3098564
UCL203001,4,28,4226,4261,104,615,4494,5210,3087,2144,4278,9504,5024,1211,2375,8608,4975,872,2721,8570,4992,559,2264,7813,4043,252,1455,5751,2250,63,845,3162,663,16,489,1164,25140,5765,23141,54042,12,77,4073,4157,223,843,3986,5057,3932,2201,3887,10015,5329,1106,2922,9360,5243,892,3437,9570,4901,500,3387,8789,3704,185,2825,6714,1760,40,2411,4214,325,4,1513,1844,25427,5855,28438,59726,14,107,8300,8418,332,1459,8481,10271,7011,4346,8166,19524,10355,2316,5293,17963,10219,1767,6160,18139,9894,1060,5652,16602,7742,442,4275,12464,4017,105,3255,7380,990,18,2005,3010,50564,11623,51581,113763
UCL211001,0,20,1052,1074,43,207,745,991,736,519,760,2020,1085,287,485,1861,1150,212,576,1937,1085,129,487,1697,885,53,308,1248,412,23,143,572,106,5,67,179,5504,1462,4610,11575,4,47,915,964,81,266,570,916,988,548,799,2340,1154,263,639,2054,1152,197,748,2103,1129,125,708,1959,764,47,589,1404,302,14,433,751,49,0,216,264,5615,1513,5617,12748,3,69,1967,2039,122,470,1315,1904,1725,1068,1562,4360,2242,555,1124,3918,2296,415,1330,4039,2208,252,1190,3657,1651,101,898,2652,714,35,569,1318,155,7,284,441,11111,2976,10231,24326
UCL211002,0,30,2587,2612,56,431,2501,2985,1745,1367,2304,5420,2815,719,1331,4870,2805,565,1499,4865,2818,358,1291,4464,2316,169,901,3381,1264,62,480,1809,313,8,232,551,14121,3701,13135,30960,3,53,2394,2449,109,639,2357,3105,2181,1338,2246,5764,2996,731,1779,5500,2919,584,2153,5664,2770,300,2075,5147,2186,127,1753,4069,947,30,1428,2403,144,3,864,1010,14254,3806,17044,35104,3,83,4982,5066,162,1067,4854,6083,3921,2708,4549,11179,5814,1449,3109,10372,5720,1150,3657,10524,5588,654,3371,9608,4500,298,2654,7449,2210,93,1909,4213,464,12,1093,1568,28380,7504,30180,66061
UCL211003,3,20,2633,2649,87,500,2282,2863,1803,1282,2133,5215,2710,664,1345,4716,2749,549,1491,4786,2943,306,1356,4609,2407,132,875,3409,1387,42,513,1945,335,13,269,609,14409,3510,12891,30806,8,73,2461,2540,145,677,2194,3015,2278,1296,2156,5733,2906,665,1732,5309,2890,524,1938,5360,2957,269,2002,5224,2219,107,1624,3952,1051,26,1274,2351,178,7,760,947,14633,3650,16140,34432,8,89,5089,5191,229,1175,4472,5882,4082,2577,4289,10952,5613,1333,3077,10025,5639,1076,3430,10147,5898,573,3358,9832,4622,240,2501,7362,2440,71,1785,4297,511,18,1027,1554,29048,7157,29034,65233
UCL211004,0,13,1635,1651,44,211,1393,1647,1315,748,1581,3642,1909,505,1002,3419,1649,304,890,2838,1638,187,703,2519,1264,93,469,1823,400,15,189,607,64,3,65,129,8279,2081,7919,18280,0,29,1498,1529,119,292,1253,1666,1799,805,1533,4138,1863,480,1180,3530,1629,300,1079,3011,1690,166,1056,2911,998,63,809,1869,239,9,410,655,30,0,174,200,8361,2150,8992,19505,3,40,3131,3178,165,500,2644,3310,3113,1550,3113,7776,3773,993,2184,6948,3272,604,1971,5845,3324,354,1760,5434,2259,155,1277,3695,634,32,600,1261,90,3,239,329,16643,4236,16909,37791
UCL212001,0,16,977,993,31,174,652,860,640,454,765,1859,855,250,509,1610,906,166,578,1654,986,118,552,1653,915,76,355,1350,514,31,194,735,151,3,100,254,4990,1292,4683,10969,0,30,872,898,62,232,627,928,784,453,829,2064,962,232,637,1835,962,184,771,1917,995,118,701,1808,851,60,624,1532,404,19,572,990,73,0,314,387,5088,1325,5945,12358,0,46,1847,1891,94,409,1276,1783,1421,906,1595,3925,1817,484,1146,3445,1864,349,1353,3571,1984,232,1252,3464,1762,132,979,2880,913,43,765,1728,222,5,419,642,10075,2614,10629,23324
UCL212002,0,18,1453,1473,55,160,946,1163,994,519,1055,2577,1385,297,719,2406,1517,232,805,2547,1408,155,620,2192,1171,80,420,1667,632,31,263,921,200,3,107,310,7362,1492,6389,15245,9,32,1313,1357,136,241,796,1175,1245,516,1025,2780,1496,292,859,2650,1524,230,932,2689,1389,151,905,2449,1049,51,741,1839,487,16,631,1141,87,3,356,451,7428,1527,7571,16525,9,50,2773,2827,193,401,1740,2337,2243,1037,2078,5357,2882,592,1577,5050,3038,465,1732,5230,2795,310,1528,4639,2215,126,1164,3506,1120,47,893,2056,288,7,464,763,14785,3026,13963,31773
UCL212003,0,7,1163,1164,12,110,965,1091,679,478,785,1946,1299,313,459,2072,1479,233,496,2207,1329,136,383,1852,815,53,243,1117,380,15,118,515,87,5,53,153,6089,1347,4670,12108,0,18,1077,1093,35,165,855,1058,856,487,718,2055,1416,304,547,2271,1607,227,678,2511,1234,134,632,2008,703,51,489,1241,267,10,353,637,50,0,193,248,6175,1400,5554,13122,0,23,2234,2262,50,274,1818,2146,1532,959,1504,4002,2712,620,1005,4336,3086,459,1173,4723,2569,275,1019,3859,1522,102,731,2358,649,24,477,1153,141,12,253,398,12267,2748,10218,25229
UCL212004,0,4,682,691,19,141,511,668,521,392,587,1498,780,193,353,1325,824,150,409,1386,830,79,351,1254,602,38,218,859,361,13,99,473,73,0,51,134,4010,1020,3261,8295,0,9,618,635,39,213,472,723,667,393,588,1643,857,183,436,1477,815,148,509,1471,852,71,462,1384,572,32,416,1015,256,5,355,621,23,3,193,217,4080,1072,4037,9187,0,16,1304,1325,56,355,981,1398,1184,782,1177,3144,1639,379,784,2801,1642,304,912,2855,1680,154,810,2643,1173,68,636,1878,621,15,453,1094,100,3,246,347,8089,2088,7305,17481
